# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4885 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,421.460,525.579,204.265,474021888,6.28,156.280,60.915,16719,1488.702,-1.000,0,65.31,4885.6,6272.9,5690.0,582.5,392.5,1038.6,229.4,8749.7,0.403,1,0.000,0.013,0.000,0.000,0.000
2,256,280.244,366.550,101.115,323321856,12.78,140.693,38.435,0,976.893,0.820,0,0.00,4885.6,6249.1,5690.8,558.0,392.6,1040.0,260.1,8748.2,1.305,1,0.000,0.008,0.000,0.000,0.000
3,256,305.871,436.818,81.390,368357376,17.63,181.922,42.558,63,1059.094,0.820,0,0.25,4885.6,6229.5,5688.0,541.1,393.1,1030.8,269.7,8747.7,0.562,1,0.000,0.007,0.000,0.000,0.000
4,256,147.355,216.227,80.849,174698496,23.26,38.718,27.787,1,530.636,0.820,0,0.00,4885.6,6230.7,5689.4,540.8,393.1,1029.9,268.9,8747.7,0.729,1,0.000,0.008,0.000,0.000,0.000
5,256,173.516,291.017,84.981,244715520,27.47,49.772,38.762,1,625.923,0.820,0,0.00,4885.6,6229.8,5689.0,540.3,393.1,1030.3,269.8,8748.2,0.593,1,0.000,0.008,0.000,0.000,0.000
6,256,160.878,250.505,85.509,204914688,31.34,40.580,34.789,1,586.307,0.820,0,0.00,4885.6,6229.2,5688.5,540.3,393.1,1029.8,269.1,8748.2,1.142,1,0.000,0.007,0.000,0.000,0.000
7,256,143.998,192.581,84.351,148131840,35.06,35.284,24.363,63,508.846,0.820,0,0.25,4885.6,6230.9,5690.1,540.3,392.9,1028.4,265.4,8749.7,0.629,1,0.000,0.007,0.000,0.000,0.000
8,256,156.575,250.128,84.393,207187968,37.93,40.320,31.862,1,571.732,0.820,0,0.00,4885.6,6230.2,5689.4,540.3,392.9,1023.9,259.0,8750.8,0.604,1,0.000,0.007,0.000,0.000,0.000
9,256,164.363,281.332,82.710,244420608,40.24,44.559,37.093,1,594.945,0.820,0,0.00,4885.6,6229.2,5688.5,540.3,392.9,1025.3,260.4,8751.0,0.685,1,0.000,0.007,0.000,0.000,0.000
10,256,178.356,316.514,86.318,260714496,42.20,49.445,42.592,1,641.941,0.820,0,0.00,4885.6,6231.2,5690.4,540.3,392.9,1020.8,250.2,8751.3,0.582,1,0.000,0.008,0.000,0.000,0.000
11,256,145.899,210.167,81.102,169660416,44.42,37.710,27.088,63,519.500,0.820,0,0.25,4885.6,6230.4,5689.7,540.3,392.6,1022.2,250.1,8752.0,0.637,1,0.000,0.009,0.000,0.000,0.000
12,256,184.384,333.689,83.567,298238528,45.78,53.362,47.455,1,693.768,0.820,0,0.00,4885.6,6230.2,5689.4,540.3,392.6,1020.9,248.9,8752.3,0.621,1,0.000,0.006,0.000,0.000,0.000
