# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,382.854,565.787,133.464,452689920,6.53,187.409,61.981,9226,1317.584,-1.000,0,36.04,5000.0,6662.1,5874.4,787.1,322.1,1641.2,292.0,9641.0,0.373,1,0.000,0.007,0.000,0.000,0.000
2,256,238.202,388.019,84.630,312655872,13.10,117.294,36.277,0,840.222,0.820,0,0.00,5000.0,6627.9,5840.2,787.1,356.9,1665.9,318.8,9605.5,1.384,1,0.000,0.007,0.000,0.000,0.000
3,256,235.029,460.201,97.823,365690880,17.95,68.311,68.895,1,853.792,0.820,0,0.00,5000.0,6628.2,5840.6,787.1,356.9,1665.5,317.4,9605.8,0.665,1,0.000,0.009,0.000,0.000,0.000
4,256,160.688,226.014,90.988,172032000,23.58,40.553,29.146,1,578.275,0.820,0,0.00,5000.0,6626.9,5839.2,787.1,356.9,1664.8,316.6,9605.9,0.838,1,0.000,0.007,0.000,0.000,0.000
5,256,196.735,316.605,97.031,242049024,27.78,57.879,41.825,1,682.075,0.820,0,0.00,5000.0,6626.5,5838.9,787.1,356.9,1661.9,265.8,9609.1,0.677,1,0.000,0.007,0.000,0.000,0.000
6,256,171.701,256.368,91.913,196915200,31.68,43.710,36.078,0,621.648,0.820,0,0.00,5000.0,6626.2,5838.6,787.1,356.9,1661.7,265.6,9609.1,0.805,1,0.000,0.008,0.000,0.000,0.000
7,256,151.870,189.076,90.163,142798848,35.41,37.176,24.531,1,539.052,0.820,0,0.00,5000.0,6627.4,5839.8,787.1,356.9,1659.8,263.7,9609.9,0.674,1,0.000,0.007,0.000,0.000,0.000
8,256,170.644,250.142,91.069,199188480,38.31,46.326,33.250,1,619.127,0.820,0,0.00,5000.0,6626.7,5839.1,787.1,356.9,1650.5,254.0,9609.9,0.566,1,0.000,0.007,0.000,0.000,0.000
9,256,191.650,296.149,94.077,239087616,40.63,56.373,41.200,0,686.316,0.820,0,0.00,5000.0,6628.5,5840.8,787.1,356.9,1643.1,246.6,9609.9,0.756,1,0.000,0.008,0.000,0.000,0.000
10,256,193.222,317.562,95.220,250048512,42.62,51.588,46.413,0,714.708,0.820,0,0.00,5000.0,6627.9,5840.2,787.1,356.9,1644.5,248.0,9609.9,0.665,1,0.000,0.009,0.000,0.000,0.000
