# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,494.799,603.410,227.713,452689920,6.53,202.459,64.627,13899,1590.479,-1.000,0,54.29,5000.0,7048.4,5854.9,1193.1,341.8,1648.0,176.8,9521.3,0.373,1,0.000,0.009,0.000,0.000,0.000
2,256,270.623,383.530,104.608,312655872,13.10,131.706,34.309,0,914.583,0.820,0,0.00,5000.0,7035.8,5855.4,1180.0,341.8,1649.1,174.5,9522.1,1.252,1,0.000,0.006,0.000,0.000,0.000
3,256,302.016,466.197,91.744,365690880,17.95,170.685,39.587,18,1025.205,0.820,0,0.07,5000.0,7018.7,5855.9,1162.4,341.8,1652.1,204.6,9518.6,0.635,1,0.000,0.007,0.000,0.000,0.000
4,256,232.204,227.717,115.803,172032000,23.58,96.643,19.759,1,784.990,0.820,0,0.00,5000.0,7002.7,5854.8,1147.5,341.8,1655.3,236.0,9516.4,0.590,1,0.000,0.006,0.000,0.000,0.000
5,256,251.988,317.109,83.218,242049024,27.78,136.010,32.760,1,845.846,0.820,0,0.00,5000.0,6989.1,5854.2,1134.5,341.8,1646.2,254.9,9515.7,0.552,1,0.000,0.007,0.000,0.000,0.000
6,256,174.751,251.276,90.884,196915200,31.68,51.175,32.692,0,617.707,0.820,0,0.00,5000.0,6987.3,5853.8,1133.1,341.8,1647.5,257.6,9516.0,0.712,1,0.000,0.008,0.000,0.000,0.000
7,256,163.198,185.819,86.298,142798848,35.41,49.405,27.495,18,561.569,0.820,0,0.07,5000.0,6982.9,5855.2,1127.3,341.8,1651.6,268.8,9515.8,0.700,1,0.000,0.006,0.000,0.000,0.000
8,256,169.022,252.452,91.363,199188480,38.31,44.449,33.211,1,615.810,0.820,0,0.00,5000.0,6980.7,5854.5,1125.8,341.8,1644.9,263.9,9516.0,0.515,1,0.000,0.008,0.000,0.000,0.000
9,256,183.619,297.754,91.187,239087616,40.63,51.852,40.580,0,661.429,0.820,0,0.00,5000.0,6982.3,5856.2,1125.6,341.8,1640.8,259.9,9516.0,0.690,1,0.000,0.008,0.000,0.000,0.000
10,256,190.817,313.509,95.634,250048512,42.62,48.894,46.289,0,707.429,0.820,0,0.00,5000.0,6981.7,5855.7,1125.6,341.8,1636.7,254.1,9516.3,0.615,1,0.000,0.009,0.000,0.000,0.000
11,256,162.214,223.359,92.882,166993920,44.84,40.442,28.891,17,572.387,0.820,0,0.07,5000.0,6977.9,5854.8,1122.8,341.6,1643.3,264.4,9516.3,0.818,1,0.000,0.007,0.000,0.000,0.000
12,256,205.300,336.796,102.613,268907072,46.32,57.137,45.550,0,716.944,0.820,0,0.00,5000.0,6976.4,5854.4,1121.6,341.6,1646.3,244.1,9523.3,0.890,1,0.000,0.008,0.000,0.000,0.000
13,256,292.174,297.150,116.482,214204416,47.92,148.855,26.836,0,916.071,0.820,0,0.00,5000.0,6957.4,5855.3,1101.8,341.6,1625.3,224.4,9552.4,0.826,1,0.000,0.006,0.000,0.000,0.000
14,256,310.888,503.380,90.316,411918336,48.47,173.158,47.414,0,1097.664,0.820,0,0.00,5000.0,6885.8,5817.7,1067.6,380.1,1666.1,308.1,9512.4,5.229,1,0.000,0.006,0.000,0.000,0.000
15,256,194.058,222.334,92.525,163835904,50.05,80.885,20.648,18,648.070,0.820,0,0.07,5000.0,6878.7,5810.7,1067.6,385.9,1662.7,308.0,9503.6,0.530,1,0.000,0.006,0.000,0.000,0.000
16,256,140.446,164.067,87.447,126308352,51.64,34.855,18.144,1,491.968,0.820,0,0.00,5000.0,6879.5,5811.5,1067.6,385.9,1661.3,303.6,9503.9,0.693,1,0.000,0.008,0.000,0.000,0.000
17,256,155.789,193.892,90.795,152580096,53.00,41.503,23.491,3,543.373,0.820,0,0.01,5000.0,6878.4,5810.4,1067.6,385.9,1662.7,304.9,9504.1,0.677,1,0.000,0.007,0.000,0.000,0.000
18,256,185.397,288.895,90.367,225263616,53.98,57.606,37.424,0,666.587,0.820,0,0.00,5000.0,6879.8,5811.8,1067.6,385.9,1649.6,291.8,9505.2,0.746,1,0.000,0.008,0.000,0.000,0.000
