# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,4861.547,828.693,4314.150,452689920,6.53,324.681,222.716,14635,12977.876,-1.000,0,57.17,5000.0,5789.9,5619.9,169.5,577.1,700.5,30.9,9555.0,0.524,1,0.000,0.020,0.000,0.000,0.000
2,256,6343.894,1981.160,4713.015,312655872,13.10,1162.787,468.092,12846,15405.860,0.820,0,50.18,5000.0,4282.5,4271.2,10.8,1926.4,140.3,31.0,8197.4,64.455,1,0.000,0.026,0.000,0.000,0.000
3,256,20086.378,18417.928,14023.774,365690880,17.95,5815.207,247.398,368409,17336.163,0.820,0,1439.10,5000.0,1676.3,1669.9,5.9,4528.1,1512.7,130.0,6533.9,2515.610,1,0.000,20.125,0.000,0.000,0.000
4,256,4028.748,507.059,3821.352,172032000,23.58,32.299,175.097,97194,6957.887,0.820,0,379.66,5000.0,2062.1,2055.3,6.3,4141.3,1207.0,116.3,6865.8,3.615,1,0.000,0.078,0.000,0.000,0.000
5,256,2826.421,621.893,2459.901,242049024,27.78,155.219,211.302,85315,5546.419,0.820,0,333.26,5000.0,2321.3,2314.8,6.1,3881.4,1027.4,71.3,7016.5,1.138,1,0.000,0.061,0.000,0.000,0.000
6,256,3004.801,797.130,2423.890,196915200,31.68,454.285,126.627,52249,6182.346,0.820,0,204.10,5000.0,2196.0,2189.4,6.1,4006.5,1029.4,124.2,6735.9,5.114,1,0.000,1.033,0.000,0.000,0.000
7,256,4374.928,561.563,3854.008,142798848,35.41,413.020,107.900,101277,9447.642,0.820,0,395.61,5000.0,2029.0,2022.4,6.1,4174.9,964.8,125.9,6401.9,152.960,1,0.000,0.058,0.000,0.000,0.000
8,256,2663.663,440.803,2386.301,199188480,38.31,122.855,154.506,83693,6639.978,0.820,0,326.93,5000.0,2268.0,2261.4,6.1,3935.0,996.8,146.6,6565.0,1.020,1,0.000,0.044,0.000,0.000,0.000
9,256,1226.823,515.117,936.226,239087616,40.63,69.513,221.084,59080,3654.204,0.820,0,230.78,5000.0,2653.5,2646.9,6.1,3551.1,1026.7,141.8,7025.4,4.405,1,0.000,0.035,0.000,0.000,0.000
10,256,423.411,382.235,258.704,250048512,42.62,67.517,97.190,28656,1555.780,0.820,0,111.94,5000.0,2989.3,2982.8,6.1,3214.3,1029.9,139.1,7364.4,0.619,1,0.000,0.007,0.000,0.000,0.000
