# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,416.732,546.729,187.936,452689920,6.53,157.097,71.699,16506,1480.898,-1.000,0,64.48,5000.0,6786.6,5859.1,927.1,337.6,1601.0,267.2,9471.5,0.427,1,0.000,0.007,0.000,0.000,0.000
2,256,223.215,383.307,85.782,312655872,13.10,100.459,36.974,0,797.878,0.820,0,0.00,5000.0,6786.6,5859.2,927.1,338.0,1596.2,264.3,9466.3,2.664,1,0.000,0.005,0.000,0.000,0.000
3,256,235.113,451.590,99.731,365690880,17.95,67.242,68.140,11,892.367,0.820,0,0.04,5000.0,6787.0,5859.5,927.1,338.0,1591.7,258.6,9468.5,0.611,1,0.000,0.008,0.000,0.000,0.000
4,256,158.672,221.043,91.363,172032000,23.58,38.596,28.713,1,580.878,0.820,0,0.00,5000.0,6785.9,5858.4,927.1,338.0,1586.9,253.8,9468.5,0.756,1,0.000,0.007,0.000,0.000,0.000
5,256,186.392,299.493,91.191,242049024,27.78,56.332,38.869,1,673.657,0.820,0,0.00,5000.0,6785.4,5857.9,927.1,338.0,1575.0,241.9,9468.5,0.611,1,0.000,0.006,0.000,0.000,0.000
6,256,172.658,254.316,95.446,196915200,31.68,43.233,33.979,0,646.757,0.820,0,0.00,5000.0,6785.0,5857.5,927.1,338.0,1575.7,239.5,9469.0,0.799,1,0.000,0.008,0.000,0.000,0.000
7,256,153.182,189.136,91.682,142798848,35.41,38.598,22.903,10,544.765,0.820,0,0.04,5000.0,6786.5,5859.0,927.1,338.0,1574.9,238.7,9469.0,0.636,1,0.000,0.007,0.000,0.000,0.000
8,256,170.382,253.878,93.687,199188480,38.31,44.299,32.396,1,629.876,0.820,0,0.00,5000.0,6785.7,5858.2,927.1,338.0,1575.6,236.7,9469.0,0.572,1,0.000,0.007,0.000,0.000,0.000
9,256,184.768,296.106,94.539,239087616,40.63,50.810,39.419,0,682.739,0.820,0,0.00,5000.0,6787.4,5859.9,927.1,338.0,1575.5,236.3,9469.0,0.678,1,0.000,0.007,0.000,0.000,0.000
10,256,189.473,308.570,94.855,250048512,42.62,50.760,43.858,0,720.900,0.820,0,0.00,5000.0,6786.8,5859.4,927.1,338.0,1574.1,235.0,9469.0,0.622,1,0.000,0.008,0.000,0.000,0.000
11,256,159.721,218.166,92.640,166993920,44.84,40.213,26.868,9,583.126,0.820,0,0.04,5000.0,6785.8,5858.3,927.1,338.0,1574.8,235.7,9469.0,0.639,1,0.000,0.007,0.000,0.000,0.000
12,256,195.778,336.860,95.724,268907072,46.32,56.178,43.877,0,724.368,0.820,0,0.00,5000.0,6785.6,5858.2,927.1,338.0,1575.4,236.2,9469.0,0.589,1,0.000,0.008,0.000,0.000,0.000
13,256,174.895,274.467,93.607,214204416,47.92,45.546,35.742,0,654.695,0.820,0,0.00,5000.0,6786.4,5858.9,927.1,338.0,1574.1,233.1,9470.5,0.828,1,0.000,0.008,0.000,0.000,0.000
14,256,246.444,489.967,96.339,411918336,48.47,76.022,74.083,0,942.244,0.820,0,0.00,5000.0,6787.5,5860.0,927.1,338.0,1572.1,231.1,9470.8,0.799,1,0.000,0.009,0.000,0.000,0.000
15,256,157.444,216.124,88.603,163835904,50.05,43.657,25.184,9,564.546,0.820,0,0.04,5000.0,6786.1,5858.6,927.1,337.8,1572.1,230.8,9471.8,0.732,1,0.000,0.006,0.000,0.000,0.000
16,256,142.303,163.526,88.482,126308352,51.64,36.192,17.628,1,515.401,0.820,0,0.00,5000.0,6787.1,5859.7,927.1,337.8,1567.3,225.6,9472.8,0.921,1,0.000,0.006,0.000,0.000,0.000
17,256,161.882,196.739,92.907,152580096,53.00,44.235,24.739,1,586.509,0.820,0,0.00,5000.0,6786.0,5858.6,927.1,337.8,1555.4,213.6,9472.8,0.673,1,0.000,0.006,0.000,0.000,0.000
18,256,180.552,285.991,93.118,225263616,53.98,49.652,37.782,0,666.988,0.820,0,0.00,5000.0,6787.0,5859.6,927.1,337.8,1544.9,203.0,9472.8,0.743,1,0.000,0.007,0.000,0.000,0.000
19,256,144.243,167.022,91.002,128778240,55.24,32.994,20.248,10,530.666,0.820,0,0.04,5000.0,6787.5,5860.1,927.1,337.8,1543.7,201.4,9473.0,0.621,1,0.000,0.007,0.000,0.000,0.000
20,256,133.701,136.154,85.660,101621760,56.51,33.495,14.546,1,480.862,0.820,0,0.00,5000.0,6787.3,5859.8,927.1,337.8,1543.7,195.7,9474.8,0.609,1,0.000,0.006,0.000,0.000,0.000
21,256,142.932,139.132,92.783,101720064,57.68,34.935,15.215,1,503.177,0.820,0,0.00,5000.0,6787.2,5860.1,926.7,337.8,1551.4,203.7,9473.8,0.590,1,0.000,0.005,0.000,0.000,0.000
22,256,195.443,130.252,114.464,93917184,58.80,69.279,11.700,0,656.438,0.820,0,0.00,5000.0,6768.4,5859.7,908.3,338.0,1592.7,269.2,9472.0,0.557,1,0.000,0.006,0.000,0.000,0.000
23,256,171.934,145.115,99.769,104189952,59.81,58.839,13.327,10,586.624,0.820,0,0.04,5000.0,6768.5,5859.8,908.3,338.0,1583.0,261.8,9470.8,0.515,1,0.000,0.005,0.000,0.000,0.000
24,256,111.483,67.619,86.439,45723648,60.95,17.960,7.084,1,406.538,0.820,0,0.00,5000.0,6768.7,5860.0,908.3,338.0,1582.8,261.6,9470.8,0.631,1,0.000,0.006,0.000,0.000,0.000
25,256,126.713,122.046,83.917,96387072,61.86,29.289,13.507,0,448.169,0.820,0,0.00,5000.0,6766.5,5857.8,908.3,338.0,1585.3,264.2,9471.0,0.573,1,0.000,0.006,0.000,0.000,0.000
26,256,137.721,153.739,86.086,120188928,62.64,33.975,17.660,0,489.611,0.820,0,0.00,5000.0,6768.1,5859.4,908.3,338.0,1583.6,261.1,9471.0,0.599,1,0.000,0.004,0.000,0.000,0.000
27,256,117.661,92.882,84.049,70017024,63.52,23.371,10.241,10,434.131,0.820,0,0.04,5000.0,6766.3,5857.6,908.3,338.0,1585.1,262.6,9471.0,0.533,1,0.000,0.005,0.000,0.000,0.000
28,256,117.667,92.567,85.536,69525504,64.36,22.529,9.602,0,423.602,0.820,0,0.00,5000.0,6768.7,5860.0,908.3,338.0,1581.9,259.3,9471.0,0.533,1,0.000,0.005,0.000,0.000,0.000
29,256,110.682,64.669,85.828,45428736,65.21,17.239,7.615,0,410.288,0.820,0,0.00,5000.0,6768.7,5859.9,908.3,338.0,1581.8,259.2,9471.0,0.630,1,0.000,0.006,0.000,0.000,0.000
30,256,104.789,49.269,86.170,40390656,66.03,12.370,6.249,0,394.695,0.820,0,0.00,5000.0,6768.5,5859.8,908.3,338.0,1583.7,261.1,9471.0,0.559,1,0.000,0.005,0.000,0.000,0.000
31,256,112.422,71.782,85.721,50860032,66.78,18.553,8.148,11,420.932,0.820,0,0.04,5000.0,6768.4,5859.7,908.3,337.8,1583.8,261.2,9471.0,0.510,1,0.000,0.005,0.000,0.000,0.000
32,256,102.554,39.364,87.311,26861568,67.56,10.594,4.648,0,379.880,0.820,0,0.00,5000.0,6768.0,5859.2,908.3,337.8,1571.5,248.9,9471.0,0.521,1,0.000,0.004,0.000,0.000,0.000
33,256,201.430,365.031,93.627,286396416,67.67,60.718,47.085,0,746.114,0.820,0,0.00,5000.0,6767.5,5858.8,908.3,337.8,1566.9,244.3,9471.3,0.574,1,0.000,0.006,0.000,0.000,0.000
34,256,158.228,202.148,93.254,153563136,68.09,38.624,26.350,1,582.260,0.820,0,0.00,5000.0,6767.5,5858.8,908.3,337.8,1567.2,242.5,9471.5,0.889,1,0.000,0.007,0.000,0.000,0.000
35,256,199.717,350.938,97.797,286396416,68.18,52.477,49.442,12,758.336,0.820,0,0.05,5000.0,6766.9,5858.2,908.3,337.8,1567.3,242.5,9471.5,0.951,1,0.000,0.008,0.000,0.000,0.000
36,256,127.514,118.821,87.618,88977408,68.72,26.839,13.057,0,463.061,0.820,0,0.00,5000.0,6767.3,5858.6,908.3,337.8,1565.9,241.1,9471.5,0.653,1,0.000,0.005,0.000,0.000,0.000
37,256,121.239,104.345,85.964,78114816,69.25,23.843,11.431,1,438.072,0.820,0,0.00,5000.0,6768.2,5859.4,908.3,337.8,1565.9,241.1,9471.5,0.506,1,0.000,0.006,0.000,0.000,0.000
38,256,139.369,157.304,87.946,121171968,69.67,34.103,17.320,1,505.033,0.820,0,0.00,5000.0,6768.6,5859.9,908.3,337.8,1566.5,241.7,9471.5,0.557,1,0.000,0.005,0.000,0.000,0.000
39,256,120.079,103.029,84.407,77721600,70.15,24.167,11.505,12,436.692,0.820,0,0.05,5000.0,6768.4,5859.7,908.3,337.7,1564.6,239.8,9471.8,0.587,1,0.000,0.005,0.000,0.000,0.000
40,256,137.435,153.743,86.486,118112256,70.54,34.326,16.623,0,486.950,0.820,0,0.00,5000.0,6768.4,5859.7,908.3,337.7,1564.6,239.8,9471.8,0.556,1,0.000,0.006,0.000,0.000,0.000
41,256,134.608,142.373,86.347,110309376,70.93,32.029,16.232,1,490.037,0.820,0,0.00,5000.0,6768.8,5860.1,908.3,337.7,1565.8,241.0,9471.8,0.527,1,0.000,0.005,0.000,0.000,0.000
42,256,98.516,29.010,86.681,18763776,71.48,7.635,4.201,0,369.263,0.820,0,0.00,5000.0,6768.4,5859.7,908.3,337.7,1565.6,240.6,9472.0,0.560,1,0.000,0.005,0.000,0.000,0.000
43,256,127.326,133.062,82.670,102113280,71.84,31.392,13.264,12,445.113,0.820,0,0.05,5000.0,6768.3,5859.6,908.3,337.7,1564.1,239.1,9472.0,0.533,1,0.000,0.005,0.000,0.000,0.000
44,256,136.768,150.573,86.383,112582656,72.18,34.893,15.492,1,484.358,0.820,0,0.00,5000.0,6768.1,5859.4,908.3,337.7,1565.5,240.5,9472.0,0.547,1,0.000,0.005,0.000,0.000,0.000
45,256,124.555,109.244,84.878,83447808,72.55,27.261,12.416,2,446.761,0.820,0,0.01,5000.0,6768.7,5860.0,908.3,337.7,1564.3,239.2,9472.0,0.647,1,0.000,0.006,0.000,0.000,0.000
46,256,131.847,134.806,87.540,104976384,72.88,29.459,14.847,0,482.244,0.820,0,0.00,5000.0,6768.8,5860.1,908.3,337.7,1564.5,239.2,9472.0,0.538,1,0.000,0.007,0.000,0.000,0.000
47,256,132.041,132.957,87.428,99446784,73.20,29.640,14.973,12,476.613,0.820,0,0.05,5000.0,6768.8,5860.1,908.3,337.6,1563.7,238.4,9472.3,0.527,1,0.000,0.005,0.000,0.000,0.000
48,256,108.600,54.348,87.532,37724160,73.61,14.649,6.419,2,415.037,0.820,0,0.01,5000.0,6766.6,5857.9,908.3,337.6,1549.9,224.1,9472.8,0.715,1,0.000,0.005,0.000,0.000,0.000
49,256,128.913,117.119,88.878,86212608,73.93,27.891,12.144,0,460.385,0.820,0,0.00,5000.0,6767.0,5858.2,908.3,337.6,1551.0,225.2,9472.8,0.560,1,0.000,0.005,0.000,0.000,0.000
50,256,111.281,64.558,86.551,45723648,74.31,17.270,7.460,2,410.601,0.820,0,0.01,5000.0,6767.3,5858.6,908.3,337.6,1549.6,223.8,9472.8,0.528,1,0.000,0.005,0.000,0.000,0.000
51,256,122.418,105.350,86.805,80781312,74.61,24.777,10.837,11,451.194,0.820,0,0.04,5000.0,6768.1,5859.3,908.3,337.6,1550.8,225.0,9472.8,0.521,1,0.000,0.005,0.000,0.000,0.000
52,256,103.730,40.905,87.505,24195072,75.00,11.997,4.227,2,385.154,0.820,0,0.01,5000.0,6767.6,5858.9,908.3,337.5,1550.4,224.6,9472.8,0.526,1,0.000,0.005,0.000,0.000,0.000
53,256,107.816,51.771,87.359,34664448,75.35,14.289,6.168,1,399.355,0.820,0,0.00,5000.0,6767.2,5858.5,908.3,337.5,1550.6,224.8,9472.8,0.505,1,0.000,0.005,0.000,0.000,0.000
54,256,93.099,8.845,88.599,5332992,75.75,2.665,1.835,1,362.836,0.820,0,0.00,5000.0,6767.3,5858.6,908.3,337.5,1549.5,223.6,9472.8,0.527,1,0.000,0.004,0.000,0.000,0.000
55,256,123.136,99.094,86.153,69820416,76.03,26.631,10.352,12,437.710,0.820,0,0.05,5000.0,6767.9,5859.2,908.3,337.5,1550.7,224.9,9472.8,0.563,1,0.000,0.005,0.000,0.000,0.000
56,256,119.599,95.750,86.818,75251712,76.29,22.583,10.197,2,441.284,0.820,0,0.01,5000.0,6768.4,5859.7,908.3,337.5,1550.1,224.3,9472.8,0.562,1,0.000,0.005,0.000,0.000,0.000
57,256,123.065,90.462,89.469,62115840,76.56,24.472,9.123,1,440.701,0.820,0,0.00,5000.0,6768.9,5860.2,908.3,337.5,1544.5,218.7,9472.8,0.537,1,0.000,0.005,0.000,0.000,0.000
58,256,110.387,61.324,86.625,42762240,76.86,16.536,7.226,1,410.590,0.820,0,0.00,5000.0,6768.5,5859.8,908.3,337.5,1541.1,215.3,9473.0,0.523,1,0.000,0.005,0.000,0.000,0.000
59,256,156.019,187.763,92.168,139739136,77.00,43.234,20.617,12,547.940,0.820,0,0.05,5000.0,6767.0,5858.3,908.3,337.3,1540.6,207.2,9474.3,0.618,1,0.000,0.007,0.000,0.000,0.000
60,256,126.036,104.796,86.731,77721600,77.23,28.347,10.958,1,450.312,0.820,0,0.00,5000.0,6767.4,5858.6,908.3,337.3,1540.2,206.8,9474.5,0.617,1,0.000,0.005,0.000,0.000,0.000
61,256,130.306,119.789,87.419,95993856,77.42,28.423,14.464,0,466.666,0.820,0,0.00,5000.0,6767.4,5858.7,908.3,337.3,1538.0,204.5,9474.5,0.634,1,0.000,0.006,0.000,0.000,0.000
62,256,104.900,43.852,87.646,32096256,77.70,12.053,5.201,0,395.474,0.820,0,0.00,5000.0,6767.6,5858.9,908.3,337.3,1536.6,198.3,9475.8,0.621,1,0.000,0.005,0.000,0.000,0.000
63,256,171.132,259.047,91.629,206106624,77.73,46.881,32.622,11,623.504,0.820,0,0.04,5000.0,6766.9,5858.2,908.3,337.3,1535.2,196.8,9476.5,0.510,1,0.000,0.006,0.000,0.000,0.000
64,256,102.187,32.359,89.352,21528576,78.02,9.207,3.629,0,378.983,0.820,0,0.00,5000.0,6769.4,5860.7,908.3,337.3,1533.6,191.1,9476.5,0.571,1,0.000,0.005,0.000,0.000,0.000
65,256,123.484,41.320,103.831,26959872,78.28,14.479,5.175,0,469.702,0.820,0,0.00,5000.0,6762.3,5860.5,901.4,337.3,1584.9,252.8,9475.5,0.527,1,0.000,0.005,0.000,0.000,0.000
66,256,176.519,65.349,131.685,42663936,78.52,34.339,10.495,1,606.226,0.820,0,0.00,5000.0,6743.4,5852.6,890.4,345.1,1584.9,267.8,9466.3,5.136,1,0.000,0.005,0.000,0.000,0.000
67,256,118.293,90.979,85.780,67055616,78.72,22.999,9.513,70,436.055,0.820,0,0.27,5000.0,6743.2,5852.5,890.3,345.0,1562.6,245.6,9466.5,0.619,1,0.000,0.005,0.000,0.000,0.000
68,256,190.407,138.073,110.132,99053568,78.88,66.537,13.739,2,608.755,0.820,0,0.01,5000.0,6709.7,5828.9,880.4,368.1,1606.8,274.4,9457.0,0.620,1,0.000,0.005,0.000,0.000,0.000
69,256,271.457,301.211,118.793,225951744,78.87,119.478,33.186,0,908.545,0.820,0,0.00,5000.0,6689.3,5828.5,860.4,368.1,1600.7,256.3,9462.1,0.583,1,0.000,0.006,0.000,0.000,0.000
70,256,183.519,49.064,155.614,29626368,79.10,19.495,8.410,2,631.157,0.820,0,0.01,5000.0,6676.2,5828.0,847.8,368.1,1606.7,283.0,9460.6,1.502,1,0.000,0.006,0.000,0.000,0.000
71,256,184.020,139.706,109.576,96583680,79.25,57.660,16.785,70,617.933,0.820,0,0.27,5000.0,6669.5,5828.5,840.6,368.0,1597.1,283.5,9459.3,3.952,1,0.000,0.007,0.000,0.000,0.000
72,256,123.132,100.059,86.260,80289792,79.41,25.521,11.352,0,436.559,0.820,0,0.00,5000.0,6669.3,5828.4,840.6,368.0,1597.7,284.2,9459.3,0.600,1,0.000,0.005,0.000,0.000,0.000
73,256,139.890,157.073,88.831,120680448,79.52,34.167,16.892,0,503.384,0.820,0,0.00,5000.0,6668.6,5827.7,840.6,368.0,1598.4,283.5,9459.3,0.570,1,0.000,0.005,0.000,0.000,0.000
74,256,144.221,168.316,89.183,133914624,79.61,34.607,20.431,1,529.238,0.820,0,0.00,5000.0,6670.9,5830.0,840.6,368.0,1595.4,277.4,9459.3,0.615,1,0.000,0.006,0.000,0.000,0.000
75,256,113.473,66.808,87.745,51056640,79.80,17.773,7.956,67,414.410,0.820,0,0.26,5000.0,6671.2,5830.3,840.6,367.7,1595.9,278.0,9459.8,0.621,1,0.000,0.005,0.000,0.000,0.000
76,256,101.661,32.667,88.260,21528576,80.02,9.304,4.098,0,391.386,0.820,0,0.00,5000.0,6668.9,5827.9,840.6,367.7,1596.9,279.0,9459.8,0.598,1,0.000,0.004,0.000,0.000,0.000
