# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=0 cache_mb=0 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=0 force_cache=0 load_all=0 io_threads=0 o_direct=0 overlap=0 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=0 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,142.479,0.000,142.479,0,-1.00,0.000,0.000,12,387.752,-1.000,0,0.05,0.0,3817.2,286.6,3530.2,0.0,6138.0,187.5,11120.5,3.684,1,0.000,0.000,0.000,0.000,0.000
2,128,187.495,0.000,187.495,0,-1.00,0.000,0.000,12,524.649,-1.000,0,0.05,0.0,3812.7,286.6,3525.6,0.0,6132.7,219.8,11115.5,0.548,1,0.000,0.000,0.000,0.000,0.000
3,128,117.364,0.000,117.364,0,-1.00,0.000,0.000,0,347.614,-1.000,0,0.00,0.0,3815.3,286.6,3528.2,0.0,6084.2,176.8,11112.0,0.387,1,0.000,0.000,0.000,0.000,0.000
4,128,63.409,0.000,63.409,0,-1.00,0.000,0.000,0,196.812,-1.000,0,0.00,0.0,3815.3,286.6,3528.2,0.0,6070.3,165.1,11109.2,0.323,1,0.000,0.000,0.000,0.000,0.000
5,128,31.537,0.000,31.537,0,-1.00,0.000,0.000,0,122.228,-1.000,0,0.00,0.0,3815.3,286.6,3528.2,0.0,6064.6,160.7,11107.5,0.437,1,0.000,0.000,0.000,0.000,0.000
6,128,42.834,0.000,42.834,0,-1.00,0.000,0.000,4,152.050,-1.000,0,0.02,0.0,3818.1,286.6,3531.1,0.0,6063.1,156.2,11102.7,0.888,1,0.000,0.000,0.000,0.000,0.000
7,128,90.567,0.000,90.567,0,-1.00,0.000,0.000,0,279.075,-1.000,0,0.00,0.0,3818.1,286.6,3531.1,0.0,6088.5,184.7,11095.5,2.022,1,0.000,0.000,0.000,0.000,0.000
8,128,204.800,0.000,204.800,0,-1.00,0.000,0.000,11,550.154,-1.000,0,0.04,0.0,3820.9,286.6,3533.8,0.0,6068.0,198.0,11091.7,0.364,1,0.000,0.000,0.000,0.000,0.000
9,128,142.509,0.000,142.509,0,-1.00,0.000,0.000,0,401.001,-1.000,0,0.00,0.0,3820.9,286.6,3533.8,0.0,6104.7,250.6,11087.2,0.306,1,0.000,0.000,0.000,0.000,0.000
10,128,99.854,0.000,99.854,0,-1.00,0.000,0.000,0,303.114,-1.000,0,0.00,0.0,3820.9,286.6,3533.8,0.0,6104.5,255.2,11084.2,0.309,1,0.000,0.000,0.000,0.000,0.000
