# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,139.385,41.726,101.811,31961088,12.21,36.980,0.595,11924,401.416,-1.000,0,46.58,4500.0,4971.2,3200.4,1770.6,268.4,3352.2,128.6,10524.4,0.129,1,0.000,0.005,0.000,0.000,0.000
2,128,153.320,40.099,120.831,21307392,21.85,28.038,4.450,11,405.267,-1.000,0,0.04,4500.0,4967.1,3220.6,1746.2,268.4,3316.3,127.9,10512.2,2.321,1,0.000,0.008,0.000,0.000,0.000
3,128,175.363,15.501,145.642,14204928,29.65,27.567,2.154,12,451.433,-1.000,0,0.05,4500.0,4969.6,3233.3,1736.1,269.5,3293.7,130.6,10496.7,0.901,1,0.000,0.009,0.000,0.000,0.000
4,128,172.902,11.422,154.618,7102464,36.13,17.695,0.589,12,421.085,-1.000,0,0.05,4500.0,4932.6,3231.9,1700.4,277.6,3262.8,124.4,10488.2,6.733,1,0.000,0.008,0.000,0.000,0.000
5,128,157.970,26.312,136.643,21307392,41.22,20.487,0.840,11,430.353,-1.000,0,0.04,4500.0,4923.6,3238.4,1684.9,291.4,3252.5,125.3,10469.7,0.470,1,0.000,0.008,0.000,0.000,0.000
6,128,195.959,10.359,178.010,10653696,45.70,17.350,0.600,703,524.782,-1.000,0,2.75,4500.0,4914.9,3246.1,1668.4,293.8,3323.2,212.0,10455.0,2.382,1,0.000,0.006,0.000,0.000,0.000
7,128,165.122,4.379,160.326,3551232,49.63,1.734,3.062,567,452.886,0.812,0,2.21,4500.0,4920.0,3251.3,1668.4,291.8,3332.3,205.9,10448.0,0.353,1,0.000,0.005,0.000,0.000,0.000
8,128,126.265,35.714,99.907,28409856,52.65,25.818,0.541,273,316.513,0.812,0,1.07,4500.0,4948.1,3279.4,1668.4,290.6,3283.7,154.0,10441.7,0.306,1,0.000,0.003,0.000,0.000,0.000
9,128,214.385,0.000,213.829,0,55.68,0.000,0.556,564,554.010,0.812,0,2.20,4500.0,4907.0,3275.5,1631.2,295.0,3366.6,245.5,10445.7,0.965,1,0.000,0.006,0.000,0.000,0.000
10,128,144.051,15.299,137.591,7102464,58.25,5.602,0.857,993,394.522,0.812,0,3.88,4500.0,4915.1,3283.6,1631.2,293.2,3334.9,180.9,10457.3,0.353,1,0.000,0.005,0.000,0.000,0.000
11,128,227.747,8.568,220.449,3551232,60.58,6.799,0.500,795,635.108,0.812,0,3.11,4500.0,4915.1,3283.6,1631.2,296.9,3319.0,140.0,10452.7,0.377,1,0.000,0.003,0.000,0.000,0.000
