# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,79.130,38.922,49.987,31961088,12.21,28.714,0.430,137,246.609,-1.000,0,0.54,4500.0,4491.5,3285.9,1205.2,182.9,3271.4,103.6,10513.4,0.129,1,0.000,0.002,0.000,0.000,0.000
2,128,79.373,31.294,53.541,21307392,21.85,25.427,0.405,2,233.004,-1.000,0,0.01,4500.0,4502.7,3306.2,1196.2,182.9,3253.2,103.0,10509.6,0.649,1,0.000,0.002,0.000,0.000,0.000
3,128,76.006,22.447,53.131,14204928,29.65,22.516,0.358,2,232.848,-1.000,0,0.01,4500.0,4510.9,3319.7,1190.8,182.9,3241.8,108.2,10507.4,0.423,1,0.000,0.002,0.000,0.000,0.000
4,128,55.708,12.654,47.994,7102464,36.13,7.291,0.423,2,183.502,-1.000,0,0.01,4500.0,4516.2,3326.4,1189.4,182.9,3234.8,105.5,10506.1,0.296,1,0.000,0.001,0.000,0.000,0.000
5,128,68.040,28.977,55.475,21307392,41.22,12.151,0.414,2,223.575,-1.000,0,0.01,4500.0,4520.4,3346.7,1173.3,182.9,3218.8,107.9,10506.3,3.970,1,0.000,0.002,0.000,0.000,0.000
6,128,67.673,15.602,52.270,10653696,45.70,15.034,0.369,3,226.873,-1.000,0,0.01,4500.0,4525.4,3354.2,1170.8,185.9,3207.6,102.4,10502.5,0.312,1,0.000,0.002,0.000,0.000,0.000
7,128,67.701,5.031,56.305,3551232,49.63,10.445,0.951,2,218.452,0.969,0,0.01,4500.0,4511.5,3349.4,1161.7,194.2,3203.3,103.0,10493.5,0.306,1,0.000,0.002,0.000,0.000,0.000
8,128,126.963,45.660,64.684,28409856,52.65,61.834,0.445,3,394.800,0.969,0,0.01,4500.0,4510.1,3358.3,1151.4,212.0,3177.2,104.0,10473.8,0.450,1,0.000,0.002,0.000,0.000,0.000
9,128,67.866,0.000,67.424,0,55.68,0.000,0.442,4,231.320,0.969,0,0.02,4500.0,4499.4,3352.3,1146.7,218.2,3171.6,102.2,10467.3,0.373,1,0.000,0.002,0.000,0.000,0.000
10,128,103.130,16.351,63.545,7102464,58.25,39.157,0.428,2,290.748,0.969,0,0.01,4500.0,4486.7,3345.8,1140.5,231.2,3159.8,95.1,10458.2,13.226,1,0.000,0.002,0.000,0.000,0.000
11,128,63.655,3.376,59.766,3551232,60.58,3.407,0.482,3,220.879,0.969,0,0.01,4500.0,4486.2,3345.3,1140.5,235.0,3180.2,117.1,10456.7,4.333,1,0.000,0.003,0.000,0.000,0.000
12,128,67.663,22.625,47.162,14204928,62.53,20.114,0.386,3,210.416,0.969,0,0.01,4500.0,4494.4,3358.7,1135.3,235.0,3170.1,123.3,10453.7,0.348,1,0.000,0.002,0.000,0.000,0.000
13,128,59.486,5.513,53.919,3551232,64.40,5.231,0.337,3,190.262,0.969,0,0.01,4500.0,4489.9,3362.0,1127.4,235.0,3166.4,130.7,10451.9,0.285,1,0.000,0.002,0.000,0.000,0.000
14,128,60.273,0.000,59.805,0,66.12,0.000,0.468,2,201.200,0.969,0,0.01,4500.0,4478.5,3362.0,1116.0,235.0,3168.1,139.6,10450.0,0.372,1,0.000,0.002,0.000,0.000,0.000
15,128,58.590,0.000,55.115,0,67.69,0.000,3.476,3,196.753,0.812,0,0.01,4500.0,4477.2,3362.0,1114.8,235.0,3164.2,137.2,10448.5,0.289,1,0.000,0.002,0.000,0.000,0.000
16,128,84.314,81.307,46.499,42614784,68.70,37.378,0.436,3,271.777,0.812,0,0.01,4500.0,4497.1,3402.5,1094.2,235.0,3124.6,137.9,10447.2,0.331,1,0.000,0.002,0.000,0.000,0.000
17,128,63.692,10.391,58.849,7102464,69.96,4.402,0.441,3,205.355,0.812,0,0.01,4500.0,4493.7,3409.3,1084.0,235.0,3118.8,140.9,10449.6,4.355,1,0.000,0.002,0.000,0.000,0.000
18,128,59.178,16.761,48.503,10653696,71.09,10.310,0.364,2,184.636,0.812,0,0.01,4500.0,4503.0,3419.4,1083.2,235.0,3109.8,133.2,10448.1,0.479,1,0.000,0.002,0.000,0.000,0.000
19,128,64.099,5.766,60.385,3551232,72.19,3.301,0.413,3,225.457,0.812,0,0.01,4500.0,4505.5,3422.8,1082.3,235.0,3108.5,138.6,10447.4,0.284,1,0.000,0.002,0.000,0.000,0.000
20,128,67.719,20.644,48.879,14204928,73.11,18.421,0.419,3,205.437,0.812,0,0.01,4500.0,4517.7,3436.3,1081.0,235.0,3096.6,124.0,10444.7,0.287,1,0.000,0.002,0.000,0.000,0.000
21,128,71.701,17.287,56.045,10653696,74.00,15.257,0.399,3,230.308,0.812,0,0.01,4500.0,4523.6,3446.4,1076.8,235.0,3090.0,123.7,10440.7,0.305,1,0.000,0.001,0.000,0.000,0.000
22,128,55.736,0.000,55.320,0,74.91,0.000,0.415,2,193.856,0.812,0,0.01,4500.0,4520.2,3446.4,1073.4,235.0,3091.0,123.5,10439.9,0.257,1,0.000,0.002,0.000,0.000,0.000
23,128,79.794,5.391,74.273,3551232,75.73,4.273,1.248,9,244.323,0.812,0,0.04,4500.0,4513.2,3449.9,1062.9,234.9,3083.6,122.7,10435.7,0.278,1,0.000,0.003,0.000,0.000,0.000
24,128,77.485,0.000,76.999,0,76.52,0.000,0.486,15,244.134,0.812,0,0.06,4500.0,4503.5,3449.9,1053.2,234.9,3081.2,124.1,10433.4,0.307,1,0.000,0.003,0.000,0.000,0.000
25,128,78.670,3.590,72.549,3551232,77.24,5.658,0.463,15,253.833,0.812,0,0.06,4500.0,4486.5,3453.4,1032.7,234.8,3070.8,118.0,10432.0,0.349,1,0.000,0.002,0.000,0.000,0.000
26,128,107.908,0.000,107.261,0,77.94,0.000,0.648,17,326.268,0.812,0,0.07,4500.0,4459.0,3453.4,1005.2,234.8,3052.0,118.4,10425.8,0.361,1,0.000,0.003,0.000,0.000,0.000
27,128,104.125,0.000,103.623,0,78.60,0.000,0.502,15,330.545,0.812,0,0.06,4500.0,4447.4,3453.5,993.4,234.6,3041.4,118.5,10421.9,0.310,1,0.000,0.004,0.000,0.000,0.000
28,128,43.678,0.000,43.193,0,79.21,0.000,0.485,13,160.634,0.812,0,0.05,4500.0,4444.2,3453.5,990.3,234.6,3037.7,118.2,10417.9,0.333,1,0.000,0.003,0.000,0.000,0.000
29,128,42.636,0.000,42.124,0,79.80,0.000,0.513,14,153.822,0.812,0,0.05,4500.0,4442.6,3453.5,988.7,234.5,3034.1,117.9,10415.4,0.302,1,0.000,0.004,0.000,0.000,0.000
30,128,47.148,9.888,39.704,7102464,80.31,7.002,0.442,13,159.573,0.812,0,0.05,4500.0,4448.4,3460.4,987.5,234.5,3038.3,129.8,10413.1,0.283,1,0.000,0.002,0.000,0.000,0.000
31,128,55.750,0.000,54.716,0,80.83,0.000,1.034,15,194.018,0.812,0,0.06,4500.0,4448.4,3460.4,987.5,234.5,3097.5,191.1,10412.6,0.309,1,0.000,0.002,0.000,0.000,0.000
32,128,55.714,0.000,55.339,0,81.33,0.000,0.375,16,193.930,0.812,0,0.06,4500.0,4448.5,3460.5,987.5,234.4,3095.0,186.2,10412.4,0.263,1,0.000,0.002,0.000,0.000,0.000
33,128,129.972,6.992,121.593,7102464,81.76,7.878,0.500,14,361.850,0.812,0,0.05,4500.0,4454.6,3467.3,986.9,234.2,3091.1,167.9,10425.6,0.294,1,0.000,0.002,0.000,0.000,0.000
34,128,57.155,0.000,56.738,0,82.21,0.000,0.417,20,198.624,0.812,0,0.08,4500.0,4445.1,3467.4,977.3,234.2,3094.8,173.8,10426.1,0.537,1,0.000,0.002,0.000,0.000,0.000
35,128,63.727,9.619,59.674,3551232,82.62,3.712,0.341,17,210.093,0.812,0,0.07,4500.0,4448.5,3470.8,977.3,234.1,3091.7,170.6,10425.6,0.275,1,0.000,0.002,0.000,0.000,0.000
36,128,55.721,0.000,55.372,0,83.02,0.000,0.349,17,193.472,0.812,0,0.07,4500.0,4447.7,3470.0,977.3,235.0,3092.8,170.9,10423.9,0.266,1,0.000,0.002,0.000,0.000,0.000
37,128,55.790,0.000,55.331,0,83.41,0.000,0.459,18,194.616,0.812,0,0.07,4500.0,4447.9,3470.2,977.3,234.9,3100.5,184.2,10422.4,0.260,1,0.000,0.002,0.000,0.000,0.000
38,128,51.692,0.000,51.266,0,83.79,0.000,0.426,21,181.663,0.812,0,0.08,4500.0,4447.9,3470.2,977.3,234.9,3103.8,187.2,10428.5,0.262,1,0.000,0.002,0.000,0.000,0.000
39,128,55.729,0.000,54.733,0,84.14,0.000,0.996,18,194.623,0.812,0,0.07,4500.0,4448.0,3470.3,977.3,234.8,3103.1,188.1,10427.0,0.280,1,0.000,0.002,0.000,0.000,0.000
40,128,55.742,0.000,55.412,0,84.48,0.000,0.330,20,193.768,0.812,0,0.08,4500.0,4448.0,3470.3,977.3,234.6,3104.3,189.1,10425.2,0.301,1,0.000,0.002,0.000,0.000,0.000
