# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,32,75.577,37.485,49.910,31961088,12.21,25.191,0.476,110,232.979,-1.000,0,0.43,4500.0,4399.2,3309.8,1089.1,158.9,3349.2,105.3,10723.8,0.127,1,0.000,0.002,0.000,0.000,0.000
2,32,67.577,25.660,42.122,21307392,21.85,25.008,0.447,2,220.536,-1.000,0,0.01,4500.0,4413.7,3328.7,1084.8,160.4,3331.3,104.1,10718.5,0.722,1,0.000,0.001,0.000,0.000,0.000
3,32,64.219,21.383,44.310,14204928,29.65,19.547,0.362,2,201.288,-1.000,0,0.01,4500.0,4422.2,3342.2,1079.8,160.4,3319.9,102.9,10715.5,0.299,1,0.000,0.002,0.000,0.000,0.000
4,32,58.820,11.504,46.263,7102464,36.13,12.172,0.385,2,181.392,-1.000,0,0.01,4500.0,4426.1,3349.0,1076.9,160.4,3314.6,102.9,10714.8,0.317,1,0.000,0.001,0.000,0.000,0.000
5,32,63.680,22.049,45.848,21307392,41.22,17.488,0.344,2,210.514,-1.000,0,0.01,4500.0,4440.7,3369.2,1071.2,160.4,3296.0,103.7,10712.5,0.326,1,0.000,0.001,0.000,0.000,0.000
6,32,53.909,15.217,46.181,10653696,45.70,7.399,0.329,1,195.013,-1.000,0,0.00,4500.0,4449.7,3378.2,1071.2,161.6,3287.6,102.7,10710.0,0.335,1,0.000,0.001,0.000,0.000,0.000
7,32,51.316,4.240,45.562,3551232,49.63,4.860,0.893,2,176.821,1.000,0,0.01,4500.0,4453.1,3381.6,1071.2,161.6,3285.8,107.0,10709.6,2.889,1,0.000,0.002,0.000,0.000,0.000
8,32,60.799,32.061,45.632,28409856,52.65,14.764,0.402,2,187.335,1.000,0,0.01,4500.0,4472.9,3404.0,1068.6,166.2,3260.3,103.3,10704.6,3.000,1,0.000,0.001,0.000,0.000,0.000
9,32,51.170,0.000,50.685,0,55.68,0.000,0.486,0,176.377,1.000,0,0.00,4500.0,4466.1,3397.2,1068.6,173.0,3259.9,110.8,10698.3,1.416,1,0.000,0.002,0.000,0.000,0.000
10,32,67.650,11.407,59.942,7102464,58.25,7.203,0.504,2,212.009,1.000,0,0.01,4500.0,4471.9,3403.0,1068.6,174.0,3251.8,101.1,10696.8,0.255,1,0.000,0.003,0.000,0.000,0.000
11,32,63.763,4.520,58.179,3551232,60.58,4.866,0.718,2,205.357,1.000,0,0.01,4500.0,4473.4,3404.6,1068.5,176.0,3242.6,101.4,10692.8,0.333,1,0.000,0.002,0.000,0.000,0.000
12,32,63.685,22.218,42.475,14204928,62.53,20.775,0.435,1,192.415,1.000,0,0.00,4500.0,4484.6,3416.2,1068.1,177.9,3226.6,100.9,10685.6,0.319,1,0.000,0.002,0.000,0.000,0.000
13,32,54.314,4.863,48.441,3551232,64.40,5.464,0.410,2,199.574,1.000,0,0.01,4500.0,4487.6,3419.2,1068.1,177.9,3219.5,100.2,10683.1,0.272,1,0.000,0.002,0.000,0.000,0.000
14,32,55.668,0.000,55.268,0,66.12,0.000,0.400,2,190.604,1.000,0,0.01,4500.0,4487.6,3419.2,1068.1,177.9,3214.6,100.2,10681.3,5.739,1,0.000,0.002,0.000,0.000,0.000
15,32,55.746,0.000,45.343,0,67.69,0.000,10.403,2,194.219,1.000,0,0.01,4500.0,4487.6,3419.2,1068.1,177.9,3212.5,103.4,10680.1,0.294,1,0.000,0.002,0.000,0.000,0.000
16,32,90.492,49.721,38.940,42614784,68.70,51.116,0.435,1,285.931,1.000,0,0.00,4500.0,4519.9,3458.0,1061.6,179.5,3196.8,125.0,10669.3,0.303,1,0.000,0.002,0.000,0.000,0.000
17,32,75.381,11.052,63.855,7102464,69.96,11.110,0.416,1,246.990,1.000,0,0.00,4500.0,4526.6,3464.7,1061.6,179.5,3189.0,123.2,10667.8,5.420,1,0.000,0.002,0.000,0.000,0.000
18,32,55.335,15.885,46.084,10653696,71.09,8.790,0.462,2,171.699,1.000,0,0.01,4500.0,4536.4,3474.7,1061.4,179.6,3169.1,107.1,10667.3,4.641,1,0.000,0.001,0.000,0.000,0.000
19,32,48.148,4.892,42.989,3551232,72.19,4.741,0.418,2,173.470,1.000,0,0.01,4500.0,4532.9,3473.6,1059.0,184.1,3170.4,122.6,10662.3,0.257,1,0.000,0.001,0.000,0.000,0.000
20,32,53.136,18.209,30.058,14204928,73.11,22.683,0.396,2,188.965,1.000,0,0.01,4500.0,4511.7,3452.5,1059.0,218.9,3193.1,143.4,10627.8,0.289,1,0.000,0.002,0.000,0.000,0.000
21,32,51.666,14.363,43.629,10653696,74.00,7.670,0.367,1,172.269,1.000,0,0.00,4500.0,4494.4,3435.1,1059.0,246.4,3209.5,159.9,10600.8,6.872,1,0.000,0.002,0.000,0.000,0.000
22,32,43.794,0.000,43.470,0,74.91,0.000,0.323,2,154.792,1.000,0,0.01,4500.0,4491.7,3432.5,1059.0,248.9,3211.5,161.8,10598.1,0.244,1,0.000,0.001,0.000,0.000,0.000
23,32,51.278,6.208,45.953,3551232,75.73,4.333,0.991,7,165.549,1.000,0,0.03,4500.0,4495.1,3435.8,1059.0,248.9,3208.9,166.4,10597.3,0.246,1,0.000,0.002,0.000,0.000,0.000
24,32,52.260,0.000,51.870,0,76.52,0.000,0.390,18,190.373,1.000,0,0.07,4500.0,4495.1,3435.8,1059.0,248.9,3209.9,168.9,10595.6,0.248,1,0.000,0.001,0.000,0.000,0.000
25,32,51.601,4.305,45.038,3551232,77.24,6.149,0.414,16,174.675,1.000,0,0.06,4500.0,4498.5,3439.2,1059.0,248.9,3207.1,158.6,10593.8,0.356,1,0.000,0.002,0.000,0.000,0.000
26,32,48.591,0.000,48.136,0,77.94,0.000,0.455,18,163.358,1.000,0,0.07,4500.0,4498.6,3439.3,1059.0,248.8,3201.3,149.0,10592.6,0.257,1,0.000,0.002,0.000,0.000,0.000
27,32,54.936,0.000,54.573,0,78.60,0.000,0.363,15,183.092,1.000,0,0.06,4500.0,4498.7,3439.5,1059.0,248.8,3209.2,154.0,10590.6,0.240,1,0.000,0.002,0.000,0.000,0.000
28,32,50.736,0.000,50.354,0,79.21,0.000,0.382,17,192.594,1.000,0,0.07,4500.0,4498.7,3439.5,1059.0,248.6,3210.1,150.8,10588.8,0.250,1,0.000,0.002,0.000,0.000,0.000
