# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=mmap drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,32,251.631,63.205,219.168,31961088,12.21,31.733,0.730,360,678.386,-1.000,0,1.41,4500.0,4382.7,2920.1,1462.1,260.8,3692.0,198.9,10575.9,0.129,1,0.000,0.007,0.000,0.000,0.000
2,32,111.061,31.848,94.813,21307392,21.85,15.717,0.531,6,304.751,-1.000,0,0.02,4500.0,4402.9,2940.3,1462.1,260.8,3667.0,167.1,10571.6,1.065,1,0.000,0.003,0.000,0.000,0.000
3,32,87.556,20.172,70.597,14204928,29.65,16.537,0.422,7,252.377,-1.000,0,0.03,4500.0,4415.8,2953.8,1461.5,260.6,3651.3,150.4,10568.4,0.337,1,0.000,0.003,0.000,0.000,0.000
4,32,123.693,24.237,104.980,7102464,36.13,18.185,0.529,7,334.440,-1.000,0,0.03,4500.0,4413.7,2957.7,1455.5,263.6,3626.3,140.4,10558.1,0.333,1,0.000,0.003,0.000,0.000,0.000
5,32,146.118,35.482,127.548,21307392,41.22,18.083,0.488,6,407.346,-1.000,0,0.02,4500.0,4410.3,2973.8,1436.0,267.8,3604.6,153.3,10543.4,0.347,1,0.000,0.002,0.000,0.000,0.000
6,32,164.089,15.425,140.484,10653696,45.70,18.805,4.800,6,437.054,-1.000,0,0.02,4500.0,4394.4,2972.3,1421.6,279.5,3583.0,144.2,10527.4,9.448,1,0.000,0.002,0.000,0.000,0.000
7,32,195.676,4.334,149.573,3551232,49.63,3.451,42.653,563,543.775,0.827,0,2.20,4500.0,4346.3,2955.1,1390.8,300.0,3561.3,142.2,10506.9,0.337,1,0.000,0.009,0.000,0.000,0.000
8,32,95.108,44.835,68.180,28409856,52.65,26.337,0.591,291,242.942,0.827,0,1.14,4500.0,4358.9,2980.3,1378.1,301.9,3563.6,144.7,10498.3,3.933,1,0.000,0.003,0.000,0.000,0.000
9,32,55.876,0.000,55.495,0,55.68,0.000,0.381,809,193.831,0.827,0,3.16,4500.0,4361.7,2983.1,1378.1,298.9,3564.6,146.2,10499.5,0.416,1,0.000,0.002,0.000,0.000,0.000
10,32,68.260,33.606,56.504,7102464,58.25,11.407,0.350,1422,236.031,0.827,0,5.55,4500.0,4374.0,2995.4,1378.1,293.2,3561.3,144.3,10501.5,0.262,1,0.000,0.002,0.000,0.000,0.000
