# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4992 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,401.782,609.393,161.577,455356416,6.50,174.151,66.054,19290,1335.139,-1.000,0,75.35,4992.2,6385.5,5959.1,426.0,230.1,1109.1,149.0,9859.4,0.377,1,0.000,0.008,0.000,0.000,0.000
2,256,292.031,419.750,108.704,312655872,13.08,144.366,38.961,0,941.913,0.820,0,0.00,4992.2,6292.1,5865.7,426.0,324.0,1187.3,147.5,9772.2,5.176,1,0.000,0.007,0.000,0.000,0.000
3,256,297.136,478.611,92.548,365690880,17.93,163.794,40.794,2,957.446,0.820,0,0.01,4992.2,6292.5,5866.1,426.0,324.0,1194.5,135.1,9762.7,0.550,1,0.000,0.005,0.000,0.000,0.000
4,256,317.749,237.801,203.192,172032000,23.55,93.975,20.582,1,958.392,0.820,0,0.00,4992.2,6267.0,5865.0,401.7,324.0,1180.6,109.3,9772.2,0.584,1,0.000,0.007,0.000,0.000,0.000
5,256,245.841,304.386,102.298,242049024,27.75,109.845,33.697,1,817.846,0.820,0,0.00,4992.2,6257.8,5864.4,393.0,324.0,1193.9,128.1,9762.5,0.542,1,0.000,0.006,0.000,0.000,0.000
6,256,222.932,265.749,92.396,196915200,31.66,103.002,27.534,0,748.862,0.820,0,0.00,4992.2,6257.4,5863.9,393.0,324.0,1205.5,136.9,9753.1,0.573,1,0.000,0.006,0.000,0.000,0.000
7,256,199.383,195.551,96.674,142798848,35.39,73.755,28.953,2,672.217,0.820,0,0.01,4992.2,6254.7,5865.4,388.9,324.0,1215.3,150.4,9743.2,0.548,1,0.000,0.006,0.000,0.000,0.000
8,256,219.593,261.509,104.878,199188480,38.30,91.625,23.090,1,733.671,0.820,0,0.00,4992.2,6254.0,5864.7,388.9,324.0,1226.0,162.1,9732.7,2.635,1,0.000,0.006,0.000,0.000,0.000
9,256,229.039,307.010,87.451,239087616,40.61,106.976,34.612,0,764.156,0.820,0,0.00,4992.2,6252.9,5863.6,388.9,324.0,1233.4,163.3,9724.5,0.562,1,0.000,0.007,0.000,0.000,0.000
10,256,247.475,328.227,88.772,255381504,42.58,127.890,30.812,0,830.501,0.820,0,0.00,4992.2,6250.9,5865.7,384.8,324.0,1239.4,172.1,9711.2,2.865,1,0.000,0.006,0.000,0.000,0.000
11,256,207.455,229.607,98.967,166993920,44.80,88.620,19.868,1,661.965,0.820,0,0.00,4992.2,6244.3,5864.7,379.2,324.0,1242.6,162.2,9710.6,0.539,1,0.000,0.006,0.000,0.000,0.000
12,256,237.864,356.756,78.433,274240064,46.26,128.800,30.631,0,782.200,0.820,0,0.00,4992.2,6243.9,5864.4,379.2,324.0,1253.5,168.4,9696.4,0.569,1,0.000,0.006,0.000,0.000,0.000
13,256,219.625,288.207,79.817,214204416,47.85,105.614,34.193,0,733.799,0.820,0,0.00,4992.2,6244.6,5865.1,379.0,324.0,1260.8,179.6,9684.1,0.574,1,0.000,0.006,0.000,0.000,0.000
14,256,283.770,506.384,75.226,411918336,48.41,142.677,65.866,0,1027.674,0.820,0,0.00,4992.2,6236.8,5863.5,372.9,324.4,1274.0,200.2,9670.0,0.578,1,0.000,0.006,0.000,0.000,0.000
15,256,206.305,226.755,96.227,163835904,49.99,90.128,19.950,1,679.836,0.820,0,0.00,4992.2,6237.6,5864.3,372.9,324.4,1278.6,208.5,9659.5,5.552,1,0.000,0.006,0.000,0.000,0.000
16,256,195.264,169.601,103.306,126308352,51.59,75.998,15.959,0,656.764,0.820,0,0.00,4992.2,6233.1,5865.5,367.2,324.4,1316.7,250.6,9715.8,5.725,1,0.000,0.007,0.000,0.000,0.000
17,256,217.875,208.703,95.336,152580096,52.95,95.643,26.896,1,689.522,0.820,0,0.00,4992.2,6226.8,5864.3,362.2,324.4,1326.9,270.3,9704.8,4.691,1,0.000,0.007,0.000,0.000,0.000
18,256,236.061,295.620,86.435,225263616,53.93,118.406,31.220,0,774.228,0.820,0,0.00,4992.2,6228.2,5865.7,362.2,324.4,1333.7,276.3,9696.3,1.571,1,0.000,0.005,0.000,0.000,0.000
19,256,174.995,174.517,87.875,128778240,55.19,63.662,23.458,1,585.923,0.820,0,0.00,4992.2,6228.3,5865.9,362.0,324.4,1335.9,282.2,9689.1,0.521,1,0.000,0.007,0.000,0.000,0.000
20,256,123.188,127.879,78.651,101621760,56.46,29.633,14.904,0,415.400,0.820,0,0.00,4992.2,6227.9,5865.5,362.0,324.4,1329.0,274.6,9686.6,0.590,1,0.000,0.005,0.000,0.000,0.000
21,256,128.270,131.840,79.017,101720064,57.63,34.036,15.217,1,436.539,0.820,0,0.00,4992.2,6225.7,5863.3,362.0,324.4,1326.4,266.0,9692.8,0.555,1,0.000,0.006,0.000,0.000,0.000
22,256,118.150,125.240,76.685,93917184,58.76,28.560,12.904,0,400.385,0.820,0,0.00,4992.2,6228.1,5865.7,362.0,324.4,1325.4,265.0,9690.0,0.531,1,0.000,0.006,0.000,0.000,0.000
23,256,123.317,140.242,76.567,104189952,59.77,30.850,15.899,1,423.787,0.820,0,0.00,4992.2,6225.8,5863.3,362.0,324.4,1329.1,266.1,9688.3,0.507,1,0.000,0.006,0.000,0.000,0.000
24,256,101.773,65.468,75.880,45723648,60.90,19.203,6.690,1,362.636,0.820,0,0.00,4992.2,6225.8,5863.4,362.0,324.4,1326.2,249.9,9689.3,0.559,1,0.000,0.005,0.000,0.000,0.000
