# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,406.049,584.458,178.852,452689920,6.53,159.415,67.782,13962,1396.636,-1.000,0,54.54,5000.0,6306.4,5906.5,399.5,290.3,1155.2,179.6,9711.3,0.377,1,0.000,0.007,0.000,0.000,0.000
2,256,345.981,420.159,155.518,312655872,13.10,140.576,49.887,0,1086.281,0.820,0,0.00,5000.0,6271.5,5875.8,395.4,321.3,1174.6,128.1,9693.8,5.767,1,0.000,0.007,0.000,0.000,0.000
3,256,290.031,482.097,83.597,365690880,17.95,160.262,46.172,28,953.183,0.820,0,0.11,5000.0,6267.0,5876.3,390.2,321.3,1179.7,130.1,9682.8,1.020,1,0.000,0.006,0.000,0.000,0.000
4,256,207.464,225.574,111.991,172032000,23.58,70.628,24.845,1,696.942,0.820,0,0.00,5000.0,6265.8,5875.2,390.2,321.3,1189.9,132.6,9673.0,0.603,1,0.000,0.006,0.000,0.000,0.000
5,256,242.499,310.388,97.933,242049024,27.78,110.018,34.548,1,801.875,0.820,0,0.00,5000.0,6259.6,5874.5,384.7,321.3,1203.6,138.8,9660.6,1.957,1,0.000,0.007,0.000,0.000,0.000
6,256,227.928,270.391,96.595,196915200,31.68,102.616,28.717,0,757.383,0.820,0,0.00,5000.0,6259.3,5874.2,384.7,321.3,1216.9,149.7,9648.7,0.528,1,0.000,0.006,0.000,0.000,0.000
7,256,203.735,188.126,107.549,142798848,35.41,78.481,17.705,28,666.171,0.820,0,0.11,5000.0,6255.5,5875.6,379.5,321.2,1221.3,160.2,9639.7,0.553,1,0.000,0.006,0.000,0.000,0.000
8,256,219.110,262.058,93.941,199188480,38.31,92.279,32.890,1,761.938,0.820,0,0.00,5000.0,6252.2,5875.0,376.7,321.2,1231.5,171.3,9627.2,0.523,1,0.000,0.005,0.000,0.000,0.000
9,256,229.672,317.319,108.624,239087616,40.63,92.990,28.057,0,783.114,0.820,0,0.00,5000.0,6250.0,5876.6,373.0,321.2,1237.8,180.8,9616.0,5.608,1,0.000,0.005,0.000,0.000,0.000
10,256,254.607,333.452,102.547,250048512,42.62,122.676,29.384,0,847.978,0.820,0,0.00,5000.0,6243.0,5875.9,366.6,321.2,1237.8,170.7,9623.6,2.309,1,0.000,0.007,0.000,0.000,0.000
11,256,207.453,229.662,91.497,166993920,44.84,96.197,19.760,28,677.076,0.820,0,0.11,5000.0,6241.8,5874.8,366.6,321.8,1250.7,177.1,9612.1,5.446,1,0.000,0.006,0.000,0.000,0.000
12,256,253.622,354.009,104.456,268907072,46.32,117.282,31.885,0,820.851,0.820,0,0.00,5000.0,6241.4,5874.4,366.6,321.8,1255.1,167.1,9597.3,0.571,1,0.000,0.007,0.000,0.000,0.000
13,256,223.976,286.209,85.271,214204416,47.92,108.240,30.466,0,738.452,0.820,0,0.00,5000.0,6236.2,5875.1,360.6,321.8,1260.3,167.1,9589.8,0.584,1,0.000,0.005,0.000,0.000,0.000
