# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,361.615,561.109,149.152,452689920,6.53,138.190,74.273,15931,1260.344,-1.000,0,62.23,5000.0,6911.6,5873.1,1037.9,323.4,1702.2,282.7,9592.7,0.376,1,0.000,0.006,0.000,0.000,0.000
2,256,210.433,391.705,89.308,312655872,13.10,59.397,61.728,2,743.407,0.820,0,0.01,5000.0,6906.5,5868.0,1037.9,329.1,1711.2,291.7,9586.0,1.358,1,0.000,0.007,0.000,0.000,0.000
3,256,231.980,461.793,94.401,365690880,17.95,65.661,71.918,3,845.519,0.820,0,0.01,5000.0,6906.8,5868.4,1037.9,329.1,1712.4,290.3,9585.0,0.649,1,0.000,0.008,0.000,0.000,0.000
4,256,151.477,223.257,84.405,172032000,23.58,36.263,30.809,1,535.528,0.820,0,0.00,5000.0,6905.6,5867.1,1037.9,329.1,1713.5,289.2,9584.2,0.893,1,0.000,0.006,0.000,0.000,0.000
5,256,180.485,304.366,86.840,242049024,27.78,48.756,44.889,1,644.760,0.820,0,0.00,5000.0,6905.0,5866.5,1037.9,329.1,1715.2,290.9,9583.2,0.620,1,0.000,0.007,0.000,0.000,0.000
6,256,165.340,257.556,87.911,196915200,31.68,41.708,35.721,1,587.224,0.820,0,0.00,5000.0,6904.6,5866.1,1037.9,329.2,1715.7,291.4,9581.7,0.765,1,0.000,0.007,0.000,0.000,0.000
7,256,152.565,191.135,86.172,142798848,35.41,41.074,25.319,3,541.699,0.820,0,0.01,5000.0,6905.9,5867.5,1037.9,329.4,1714.7,290.4,9581.5,0.599,1,0.000,0.007,0.000,0.000,0.000
8,256,159.900,249.749,84.442,199188480,38.31,40.893,34.565,1,571.899,0.820,0,0.00,5000.0,6903.8,5865.4,1037.9,330.6,1715.7,290.0,9579.5,0.515,1,0.000,0.007,0.000,0.000,0.000
9,256,179.807,300.711,88.842,239087616,40.63,50.362,40.604,1,634.727,0.820,0,0.00,5000.0,6905.1,5866.6,1037.9,331.1,1715.8,290.0,9578.7,0.628,1,0.000,0.007,0.000,0.000,0.000
10,256,184.745,322.824,89.671,250048512,42.62,50.420,44.654,1,650.858,0.820,0,0.00,5000.0,6904.4,5865.9,1037.9,331.1,1717.1,286.6,9579.2,0.719,1,0.000,0.008,0.000,0.000,0.000
