# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,5255.307,1096.404,4340.986,452689920,6.53,537.095,377.225,62082,13896.086,-1.000,0,242.51,5000.0,4545.9,4504.1,41.4,1692.8,1010.3,30.3,8455.4,4.443,1,0.000,0.027,0.000,0.000,0.000
2,256,2405.470,722.061,1735.201,312655872,13.10,231.801,438.468,25999,6931.160,0.820,0,101.56,5000.0,4372.6,4339.2,33.0,1858.2,1041.5,31.4,8284.2,44.965,1,0.000,0.010,0.000,0.000,0.000
3,256,3704.713,776.573,2866.176,365690880,17.95,486.697,351.840,33702,10371.270,0.820,0,131.65,5000.0,4046.5,4018.8,27.3,2179.0,1056.6,30.8,7963.7,37.261,1,0.000,0.013,0.000,0.000,0.000
4,256,1991.090,414.915,1545.309,172032000,23.58,264.196,181.585,27413,5921.774,0.820,0,107.08,5000.0,3806.4,3785.2,20.8,2411.7,958.3,32.0,7758.0,8.528,1,0.000,0.008,0.000,0.000,0.000
5,256,5541.352,1013.687,4207.480,242049024,27.78,951.725,382.146,17500,12910.939,0.820,0,68.36,5000.0,2454.7,2444.9,9.4,3751.3,184.5,31.6,6400.8,0.590,1,0.000,0.020,0.000,0.000,0.000
6,256,9784.322,1805.292,8798.723,196915200,31.68,479.270,506.329,369368,15484.878,0.820,0,1442.84,5000.0,1361.4,1353.6,7.4,4841.9,1294.9,256.6,6277.6,4.543,1,0.000,466.243,0.000,0.000,0.000
7,256,2381.396,284.009,2265.145,142798848,35.41,32.078,84.172,137418,4722.651,0.820,0,536.79,5000.0,2002.3,1994.1,7.7,4203.2,1200.1,57.4,6962.3,1.505,1,0.000,0.062,0.000,0.000,0.000
8,256,3406.524,472.203,3149.600,199188480,38.31,147.676,109.248,101134,6822.261,0.820,0,395.05,5000.0,2232.9,2225.0,7.5,3971.3,1041.4,29.6,7083.8,0.661,1,0.000,0.051,0.000,0.000,0.000
9,256,3695.843,628.835,3235.515,239087616,40.63,311.690,148.638,69037,8105.336,0.820,0,269.68,5000.0,2119.3,2111.4,7.5,4086.9,998.2,47.8,6766.7,11.279,1,0.000,0.085,0.000,0.000,0.000
10,256,3473.176,692.437,3041.937,250048512,42.62,185.483,245.755,108290,8344.998,0.820,0,423.01,5000.0,2215.8,2207.9,7.5,3990.0,1048.0,103.7,6775.7,7.599,1,0.000,0.047,0.000,0.000,0.000
11,256,1178.806,319.777,937.470,166993920,44.84,131.286,110.050,34619,3187.167,0.820,0,135.23,5000.0,2353.0,2345.1,7.5,3851.4,1125.6,174.5,6878.3,18.282,1,0.000,0.029,0.000,0.000,0.000
