# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,417.610,577.144,139.780,452689920,6.53,215.598,62.232,16897,1446.563,-1.000,0,66.00,5000.0,6821.2,5884.0,936.8,312.4,1605.0,261.4,9641.5,0.373,1,0.000,0.007,0.000,0.000,0.000
2,256,219.421,387.322,87.150,312655872,13.10,75.336,56.935,0,772.314,0.820,0,0.00,5000.0,6821.7,5884.6,936.7,312.4,1595.8,254.7,9638.3,1.401,1,0.000,0.007,0.000,0.000,0.000
3,256,234.395,460.491,92.040,365690880,17.95,69.990,72.364,1,838.793,0.820,0,0.00,5000.0,6822.2,5885.0,936.7,312.4,1596.6,258.5,9636.3,0.693,1,0.000,0.008,0.000,0.000,0.000
4,256,148.055,220.012,80.544,172032000,23.58,36.862,30.648,1,530.573,0.820,0,0.00,5000.0,6820.9,5883.8,936.7,312.4,1598.8,260.4,9634.3,0.997,1,0.000,0.006,0.000,0.000,0.000
5,256,178.048,304.649,85.804,242049024,27.78,49.265,42.980,1,622.706,0.820,0,0.00,5000.0,6820.3,5883.2,936.7,312.4,1601.1,263.6,9632.3,0.631,1,0.000,0.007,0.000,0.000,0.000
6,256,163.292,256.691,87.778,196915200,31.68,39.081,36.434,0,591.833,0.820,0,0.00,5000.0,6820.1,5883.0,936.7,312.4,1602.2,264.9,9629.0,0.846,1,0.000,0.007,0.000,0.000,0.000
7,256,142.688,194.093,82.200,142798848,35.41,36.448,24.040,1,493.650,0.820,0,0.00,5000.0,6821.4,5884.2,936.7,312.4,1604.4,267.2,9622.8,0.618,1,0.000,0.007,0.000,0.000,0.000
8,256,159.471,254.859,83.914,199188480,38.31,40.968,34.589,1,567.065,0.820,0,0.00,5000.0,6820.8,5883.6,936.7,312.4,1606.1,268.8,9619.0,0.582,1,0.000,0.006,0.000,0.000,0.000
9,256,176.376,302.758,86.973,239087616,40.63,48.143,41.260,0,621.753,0.820,0,0.00,5000.0,6822.0,5884.8,936.7,312.9,1604.9,267.7,9617.0,0.637,1,0.000,0.007,0.000,0.000,0.000
10,256,182.813,322.475,86.462,250048512,42.62,50.872,45.479,0,651.024,0.820,0,0.00,5000.0,6821.4,5884.3,936.7,312.9,1606.1,268.9,9617.0,0.682,1,0.000,0.008,0.000,0.000,0.000
11,256,148.714,219.623,83.549,166993920,44.84,39.067,26.099,0,514.569,0.820,0,0.00,5000.0,6820.5,5883.3,936.7,312.9,1606.4,269.2,9617.0,0.607,1,0.000,0.007,0.000,0.000,0.000
12,256,190.088,348.231,89.757,268907072,46.32,54.208,46.124,0,663.550,0.820,0,0.00,5000.0,6820.1,5882.9,936.7,312.9,1606.7,269.5,9617.0,0.711,1,0.000,0.007,0.000,0.000,0.000
13,256,165.938,278.342,84.509,214204416,47.92,45.958,35.471,0,588.497,0.820,0,0.00,5000.0,6820.8,5883.7,936.7,312.9,1606.4,268.6,9617.3,0.872,1,0.000,0.007,0.000,0.000,0.000
14,256,240.061,518.023,92.253,411918336,48.47,71.918,75.889,0,858.028,0.820,0,0.00,5000.0,6822.2,5885.0,936.7,312.9,1605.2,266.4,9617.3,0.810,1,0.000,0.008,0.000,0.000,0.000
15,256,149.956,221.136,83.988,166502400,50.03,36.640,29.327,0,537.753,0.820,0,0.00,5000.0,6822.1,5884.9,936.7,312.9,1604.2,265.4,9617.3,0.744,1,0.000,0.008,0.000,0.000,0.000
16,256,130.965,166.680,79.296,129073152,51.62,31.729,19.940,0,460.176,0.820,0,0.00,5000.0,6822.0,5884.8,936.7,312.9,1604.3,265.5,9617.3,0.794,1,0.000,0.006,0.000,0.000,0.000
