# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,385.460,561.479,145.703,452689920,6.53,173.696,66.062,15248,1354.422,-1.000,0,59.56,5000.0,6761.2,5888.2,872.6,308.4,1620.5,291.7,9648.0,0.372,1,0.000,0.009,0.000,0.000,0.000
2,256,231.335,388.585,84.720,312655872,13.10,108.148,38.467,0,821.323,0.824,0,0.00,5000.0,6728.4,5856.4,871.6,340.6,1647.8,321.5,9617.1,1.424,1,0.000,0.004,0.000,0.000,0.000
3,256,227.090,451.459,91.960,365690880,17.95,65.950,69.179,1,818.570,0.824,0,0.00,5000.0,6728.2,5856.2,871.6,341.1,1645.7,318.1,9616.9,0.585,1,0.000,0.008,0.000,0.000,0.000
4,256,151.679,221.037,84.270,172032000,23.58,36.763,30.647,1,544.729,0.824,0,0.00,5000.0,6727.1,5855.1,871.6,341.1,1648.2,320.4,9616.2,0.793,1,0.000,0.009,0.000,0.000,0.000
5,256,182.110,305.063,89.910,242049024,27.78,49.634,42.566,1,641.383,0.824,0,0.00,5000.0,6726.5,5854.5,871.6,341.1,1648.3,319.0,9614.7,0.577,1,0.000,0.008,0.000,0.000,0.000
6,256,164.756,254.770,88.614,196915200,31.68,41.002,35.141,0,593.182,0.824,0,0.00,5000.0,6726.0,5853.9,871.6,341.1,1649.7,320.4,9613.2,0.744,1,0.000,0.008,0.000,0.000,0.000
7,256,145.677,192.108,83.221,142798848,35.41,37.115,25.341,1,500.858,0.824,0,0.00,5000.0,6727.4,5855.4,871.6,341.1,1648.4,319.0,9612.2,0.684,1,0.000,0.007,0.000,0.000,0.000
8,256,164.251,254.403,87.144,199188480,38.31,42.323,34.784,1,582.167,0.824,0,0.00,5000.0,6726.8,5854.8,871.6,341.1,1650.3,320.1,9611.2,0.584,1,0.000,0.008,0.000,0.000,0.000
9,256,184.437,300.022,90.545,239087616,40.63,51.879,42.013,0,651.386,0.824,0,0.00,5000.0,6728.4,5856.4,871.6,341.1,1645.7,305.0,9613.2,0.769,1,0.000,0.008,0.000,0.000,0.000
10,256,184.167,316.797,89.907,250048512,42.62,47.703,46.557,0,665.467,0.824,0,0.00,5000.0,6727.6,5855.6,871.6,341.5,1645.9,304.0,9611.7,0.764,1,0.000,0.008,0.000,0.000,0.000
11,256,182.379,219.319,112.105,166993920,44.84,45.043,25.231,0,610.822,0.824,0,0.00,5000.0,6726.7,5854.6,871.6,341.5,1630.1,281.1,9617.0,0.574,1,0.000,0.008,0.000,0.000,0.000
12,256,211.873,344.399,85.796,268907072,46.32,85.227,40.850,0,732.971,0.824,0,0.00,5000.0,6726.4,5854.3,871.6,341.5,1608.9,257.3,9619.2,0.578,1,0.000,0.008,0.000,0.000,0.000
13,256,168.000,274.811,86.533,214204416,47.92,45.096,36.371,0,592.230,0.824,0,0.00,5000.0,6727.1,5855.1,871.6,341.5,1606.4,253.5,9620.0,0.779,1,0.000,0.007,0.000,0.000,0.000
14,256,237.460,503.736,90.423,411918336,48.47,70.112,76.925,0,859.190,0.824,0,0.00,5000.0,6728.2,5856.2,871.6,341.5,1604.5,251.6,9620.0,0.728,1,0.000,0.008,0.000,0.000,0.000
15,256,152.580,224.634,83.169,166502400,50.03,40.788,28.623,0,529.405,0.824,0,0.00,5000.0,6728.2,5856.1,871.6,341.5,1605.0,252.1,9620.5,0.755,1,0.000,0.008,0.000,0.000,0.000
16,256,131.660,164.604,78.856,129073152,51.62,33.149,19.655,0,457.062,0.824,0,0.00,5000.0,6728.2,5856.1,871.6,341.5,1605.2,252.2,9620.5,0.776,1,0.000,0.005,0.000,0.000,0.000
17,256,145.586,190.697,84.049,152580096,52.98,37.606,23.931,1,496.887,0.824,0,0.00,5000.0,6727.5,5855.5,871.6,341.5,1604.0,250.1,9620.5,0.603,1,0.000,0.007,0.000,0.000,0.000
18,256,199.321,378.905,89.566,292909056,53.71,57.273,52.482,0,698.701,0.824,0,0.00,5000.0,6727.4,5855.4,871.6,341.5,1604.6,250.2,9620.7,0.675,1,0.000,0.010,0.000,0.000,0.000
19,256,165.171,261.073,88.093,203735040,54.71,41.504,35.575,0,586.497,0.824,0,0.00,5000.0,6726.9,5854.8,871.6,341.5,1604.8,250.4,9620.7,0.782,1,0.000,0.008,0.000,0.000,0.000
20,256,156.737,234.255,84.082,187047936,55.69,41.293,31.362,0,551.347,0.824,0,0.00,5000.0,6726.1,5854.1,871.6,341.5,1606.0,250.0,9621.0,0.623,1,0.000,0.007,0.000,0.000,0.000
21,256,157.206,242.837,83.445,187932672,56.60,43.042,30.718,0,553.995,0.824,0,0.00,5000.0,6726.6,5854.5,871.6,341.5,1604.0,248.0,9621.2,0.706,1,0.000,0.007,0.000,0.000,0.000
22,256,121.534,125.803,80.188,96583680,57.75,26.186,15.161,0,423.699,0.824,0,0.00,5000.0,6727.2,5855.2,871.6,341.5,1604.1,248.1,9621.2,0.702,1,0.000,0.007,0.000,0.000,0.000
23,256,141.788,194.567,79.993,152481792,58.64,38.902,22.892,0,491.682,0.824,0,0.00,5000.0,6726.9,5854.9,871.6,341.5,1604.4,248.4,9621.5,0.532,1,0.000,0.007,0.000,0.000,0.000
