# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,508.770,699.974,224.614,452689920,6.53,193.248,90.908,14124,1574.722,-1.000,0,55.17,5000.0,6294.7,5876.0,418.3,320.8,1209.9,163.6,9716.9,0.376,1,0.000,0.007,0.000,0.000,0.000
2,256,291.158,443.255,107.943,312655872,13.10,128.038,55.178,0,952.139,0.820,0,0.00,5000.0,6273.9,5876.6,396.9,320.8,1218.1,163.4,9704.3,1.529,1,0.000,0.005,0.000,0.000,0.000
3,256,281.966,466.715,84.323,365690880,17.95,152.114,45.530,31,956.267,0.820,0,0.12,5000.0,6268.3,5877.1,390.8,320.7,1228.5,164.6,9692.8,5.411,1,0.000,0.006,0.000,0.000,0.000
4,256,207.303,226.540,106.495,172032000,23.58,75.987,24.821,1,703.261,0.820,0,0.00,5000.0,6260.8,5875.8,384.5,320.7,1238.7,174.0,9683.4,0.585,1,0.000,0.005,0.000,0.000,0.000
5,256,243.760,320.132,102.448,242049024,27.78,100.002,41.309,1,810.312,0.820,0,0.00,5000.0,6260.2,5875.2,384.5,320.7,1249.3,184.5,9668.9,0.517,1,0.000,0.005,0.000,0.000,0.000
6,256,224.561,270.625,102.351,196915200,31.68,86.566,35.643,0,759.405,0.820,0,0.00,5000.0,6253.5,5875.0,378.0,320.7,1258.8,198.3,9658.2,0.518,1,0.000,0.007,0.000,0.000,0.000
7,256,203.174,198.083,101.578,142798848,35.41,83.514,18.082,31,674.060,0.820,0,0.12,5000.0,6254.9,5876.5,378.0,320.7,1262.1,202.7,9650.4,1.390,1,0.000,0.005,0.000,0.000,0.000
8,256,223.541,259.232,103.591,199188480,38.31,88.961,30.989,1,741.785,0.820,0,0.00,5000.0,6247.8,5875.0,372.4,321.2,1268.7,186.2,9640.1,4.775,1,0.000,0.004,0.000,0.000,0.000
9,256,245.665,307.379,98.116,239087616,40.63,107.011,40.538,0,832.313,0.820,0,0.00,5000.0,6249.6,5876.7,372.4,321.2,1273.8,178.9,9637.8,0.552,1,0.000,0.006,0.000,0.000,0.000
10,256,249.195,326.610,106.744,250048512,42.62,114.035,28.416,0,822.699,0.820,0,0.00,5000.0,6249.1,5876.3,372.4,321.2,1286.8,190.1,9622.8,0.550,1,0.000,0.005,0.000,0.000,0.000
11,256,227.457,225.431,102.512,166993920,44.84,100.113,24.832,29,750.052,0.820,0,0.11,5000.0,6248.3,5875.4,372.4,321.1,1293.0,190.8,9613.7,0.558,1,0.000,0.005,0.000,0.000,0.000
12,256,237.627,341.186,90.891,268907072,46.32,114.680,32.056,0,815.031,0.820,0,0.00,5000.0,6242.6,5874.9,367.3,321.1,1300.2,204.9,9602.2,0.653,1,0.000,0.005,0.000,0.000,0.000
13,256,216.065,278.388,80.129,214204416,47.92,105.956,29.981,0,747.710,0.820,0,0.00,5000.0,6240.2,5875.8,364.0,321.2,1307.0,225.0,9591.0,0.573,1,0.000,0.006,0.000,0.000,0.000
14,256,293.297,508.278,80.043,411918336,48.47,159.484,53.771,0,1011.656,0.820,0,0.00,5000.0,6240.0,5876.9,362.7,321.3,1312.8,236.1,9581.5,5.581,1,0.000,0.005,0.000,0.000,0.000
15,256,204.607,220.189,96.331,163835904,50.05,84.349,23.926,30,701.843,0.820,0,0.12,5000.0,6234.1,5874.9,358.8,321.9,1324.2,251.4,9569.5,0.521,1,0.000,0.005,0.000,0.000,0.000
16,256,195.504,170.638,102.066,126308352,51.64,78.074,15.364,0,647.034,0.820,0,0.00,5000.0,6231.9,5872.8,358.8,325.2,1335.6,266.3,9557.2,5.596,1,0.000,0.005,0.000,0.000,0.000
17,256,218.107,198.146,97.834,152580096,53.00,94.605,25.668,3,684.531,0.820,0,0.01,5000.0,6184.4,5831.2,352.8,365.2,1377.6,311.1,9515.0,0.512,1,0.000,0.005,0.000,0.000,0.000
18,256,240.736,298.995,103.094,225263616,53.98,101.711,35.931,0,817.597,0.820,0,0.00,5000.0,6161.1,5813.6,347.2,384.1,1403.6,350.0,9487.0,0.599,1,0.000,0.006,0.000,0.000,0.000
19,256,187.470,175.911,110.599,128778240,55.24,61.448,15.423,30,631.287,0.820,0,0.12,5000.0,6161.4,5813.8,347.2,384.1,1403.8,345.9,9492.5,0.523,1,0.000,0.006,0.000,0.000,0.000
20,256,194.355,139.804,103.815,101621760,56.51,73.965,16.574,0,624.683,0.820,0,0.00,5000.0,6161.1,5813.5,347.2,384.1,1409.0,357.3,9484.5,0.562,1,0.000,0.006,0.000,0.000,0.000
21,256,127.912,130.503,78.897,101720064,57.68,33.453,15.562,1,440.362,0.820,0,0.00,5000.0,6160.1,5813.6,346.0,384.6,1408.1,353.0,9484.2,0.581,1,0.000,0.005,0.000,0.000,0.000
22,256,141.570,128.498,94.384,93917184,58.80,30.552,16.634,0,487.236,0.820,0,0.00,5000.0,6158.2,5813.3,344.5,384.6,1402.6,350.8,9480.0,0.533,1,0.000,0.006,0.000,0.000,0.000
23,256,128.201,139.259,77.800,104189952,59.81,30.853,19.548,31,441.950,0.820,0,0.12,5000.0,6158.2,5813.8,344.0,384.4,1413.5,362.7,9477.2,0.584,1,0.000,0.006,0.000,0.000,0.000
24,256,102.167,63.755,77.567,45723648,60.95,17.720,6.881,1,369.174,0.820,0,0.00,5000.0,6158.1,5813.9,343.8,384.4,1407.9,357.4,9475.2,0.619,1,0.000,0.005,0.000,0.000,0.000
25,256,121.602,123.371,79.997,96387072,61.86,27.774,13.831,0,419.169,0.820,0,0.00,5000.0,6155.8,5811.6,343.8,384.4,1409.6,358.3,9473.2,0.579,1,0.000,0.007,0.000,0.000,0.000
26,256,126.843,147.901,77.835,120188928,62.64,30.920,18.087,0,449.787,0.820,0,0.00,5000.0,6157.4,5813.2,343.8,384.4,1409.0,356.2,9471.7,0.546,1,0.000,0.005,0.000,0.000,0.000
27,256,113.841,94.903,79.157,70017024,63.52,24.121,10.563,32,402.341,0.820,0,0.12,5000.0,6155.3,5811.5,343.4,384.3,1411.8,359.7,9470.2,0.540,1,0.000,0.005,0.000,0.000,0.000
