# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,367.248,505.443,159.144,452689920,6.53,140.730,67.374,13962,1305.753,-1.000,0,54.54,5000.0,6314.5,5903.4,410.7,293.3,1194.8,204.6,9669.6,0.376,1,0.000,0.007,0.000,0.000,0.000
2,256,262.472,344.505,94.755,312655872,13.10,130.690,37.027,2,922.070,0.820,0,0.01,5000.0,6285.5,5874.4,410.7,322.6,1227.0,229.0,9633.0,5.386,1,0.000,0.006,0.000,0.000,0.000
3,256,286.052,438.021,91.606,365690880,17.95,151.601,42.845,16,941.419,0.820,0,0.06,5000.0,6280.8,5874.8,405.6,322.6,1226.8,185.6,9633.1,6.089,1,0.000,0.006,0.000,0.000,0.000
4,256,328.824,209.893,209.046,172032000,23.58,93.995,25.783,1,999.963,0.820,0,0.00,5000.0,6260.0,5873.8,385.8,322.6,1207.5,116.2,9635.1,0.627,1,0.000,0.007,0.000,0.000,0.000
5,256,321.821,286.566,141.304,242049024,27.78,144.604,35.914,1,1037.028,0.820,0,0.00,5000.0,6235.3,5873.2,361.7,322.6,1213.1,149.8,9630.7,0.575,1,0.000,0.006,0.000,0.000,0.000
6,256,231.656,246.126,87.749,196915200,31.68,117.210,26.697,1,782.311,0.820,0,0.00,5000.0,6234.7,5872.7,361.6,322.6,1225.4,158.8,9620.8,0.533,1,0.000,0.005,0.000,0.000,0.000
7,256,214.171,182.695,109.757,142798848,35.41,82.420,21.993,16,728.028,0.820,0,0.06,5000.0,6228.3,5874.2,353.7,322.6,1231.3,157.0,9613.5,0.553,1,0.000,0.005,0.000,0.000,0.000
8,256,230.069,241.080,90.846,199188480,38.31,116.204,23.019,1,771.879,0.820,0,0.00,5000.0,6223.5,5873.3,349.8,322.6,1241.4,166.0,9604.8,3.145,1,0.000,0.006,0.000,0.000,0.000
9,256,246.479,277.933,88.774,239087616,40.63,126.188,31.517,1,832.343,0.820,0,0.00,5000.0,6221.3,5875.3,345.6,322.8,1253.8,179.2,9588.8,5.473,1,0.000,0.007,0.000,0.000,0.000
10,256,257.047,296.790,95.392,250048512,42.62,131.733,29.922,1,882.007,0.820,0,0.00,5000.0,6219.8,5873.8,345.6,323.3,1261.8,183.7,9575.3,0.530,1,0.000,0.007,0.000,0.000,0.000
11,256,796.082,213.556,649.768,166993920,44.84,117.719,28.595,16,2383.440,0.820,0,0.06,5000.0,6211.5,5873.0,338.1,323.3,1285.0,176.9,9544.1,0.570,1,0.000,0.007,0.000,0.000,0.000
12,256,824.979,339.453,678.581,268907072,46.32,101.414,44.983,1,2511.102,0.820,0,0.00,5000.0,6202.7,5872.6,329.7,323.3,1305.4,217.9,9519.9,0.591,1,0.000,0.006,0.000,0.000,0.000
13,256,1085.120,306.821,928.061,214204416,47.92,122.394,34.665,1,3260.600,0.820,0,0.00,5000.0,6172.5,5849.8,322.3,346.9,1330.9,257.4,9468.8,0.578,1,0.000,0.007,0.000,0.000,0.000
14,256,304.772,477.236,84.677,411918336,48.47,166.810,53.285,1,1074.441,0.820,0,0.00,5000.0,6159.8,5841.3,318.1,356.6,1327.7,261.0,9468.1,0.552,1,0.000,0.007,0.000,0.000,0.000
15,256,222.167,222.708,82.884,166502400,50.03,118.768,20.516,15,735.746,0.820,0,0.06,5000.0,6153.0,5834.6,318.1,363.1,1336.0,267.9,9455.6,3.178,1,0.000,0.005,0.000,0.000,0.000
16,256,205.393,173.029,79.899,129073152,51.62,106.262,19.231,234,657.613,0.820,0,0.91,5000.0,6147.3,5828.9,318.1,369.0,1340.6,271.8,9443.8,5.873,1,0.000,0.006,0.000,0.000,0.000
17,256,268.113,202.692,136.102,152580096,52.98,99.448,32.563,3,789.289,0.820,0,0.01,5000.0,6132.4,5813.9,318.1,383.3,1344.0,240.8,9572.3,0.524,1,0.000,0.008,0.000,0.000,0.000
18,256,300.847,392.792,105.122,292909056,53.71,150.583,45.141,0,989.816,0.820,0,0.00,5000.0,6091.7,5777.5,313.8,419.8,1465.3,366.3,9580.8,0.596,1,0.000,0.005,0.000,0.000,0.000
19,256,230.584,252.027,88.106,203735040,54.71,114.844,27.634,17,776.664,0.820,0,0.07,5000.0,6075.5,5761.3,313.8,435.4,1459.5,357.8,9580.2,0.547,1,0.000,0.006,0.000,0.000,0.000
20,256,240.018,236.851,82.751,187047936,55.69,126.409,30.858,1,780.281,0.820,0,0.00,5000.0,6051.6,5737.4,313.8,458.6,1483.9,378.4,9569.9,4.861,1,0.000,0.005,0.000,0.000,0.000
21,256,221.721,233.407,79.921,187932672,56.60,118.581,23.218,1,741.590,0.820,0,0.00,5000.0,6046.1,5731.9,313.8,464.4,1510.2,410.1,9559.4,0.522,1,0.000,0.005,0.000,0.000,0.000
22,256,146.898,129.434,80.312,96583680,57.75,44.492,22.093,0,494.236,0.820,0,0.00,5000.0,6082.9,5768.7,313.8,428.2,1503.1,404.9,9590.5,2.261,1,0.000,0.006,0.000,0.000,0.000
23,256,141.678,189.659,79.025,152481792,58.64,38.662,23.991,16,481.915,0.820,0,0.06,5000.0,6078.3,5764.1,313.8,432.4,1507.1,408.8,9582.8,0.537,1,0.000,0.006,0.000,0.000,0.000
24,256,117.840,121.902,77.442,91545600,59.67,26.414,13.985,1,417.576,0.820,0,0.00,5000.0,6074.5,5760.3,313.8,437.0,1507.8,409.0,9581.5,0.618,1,0.000,0.006,0.000,0.000,0.000
25,256,122.978,143.090,75.180,120483840,60.55,30.993,16.806,0,418.155,0.820,0,0.00,5000.0,6069.9,5755.6,313.8,441.8,1514.8,415.9,9579.6,0.664,1,0.000,0.006,0.000,0.000,0.000
26,256,142.582,213.498,77.192,179245056,61.20,38.251,27.139,0,496.994,0.820,0,0.00,5000.0,6065.2,5751.0,313.8,446.4,1523.1,424.1,9571.9,0.527,1,0.000,0.006,0.000,0.000,0.000
27,256,115.297,113.343,75.728,89174016,62.07,20.372,19.197,17,422.100,0.820,0,0.07,5000.0,6092.2,5777.9,313.8,417.7,1528.1,429.0,9597.3,0.592,1,0.000,0.006,0.000,0.000,0.000
28,256,123.670,136.994,77.438,107249664,62.85,28.391,17.840,1,436.610,0.820,0,0.00,5000.0,6110.2,5796.0,313.8,399.9,1530.9,431.9,9613.7,0.508,1,0.000,0.006,0.000,0.000,0.000
29,256,112.490,109.445,74.847,85524480,63.63,25.071,12.572,0,402.595,0.820,0,0.00,5000.0,6110.4,5796.1,313.8,399.9,1531.6,432.6,9613.8,0.634,1,0.000,0.005,0.000,0.000,0.000
30,256,109.564,101.541,75.169,81076224,64.39,22.124,12.271,2,384.972,0.820,0,0.01,5000.0,6114.7,5800.5,313.8,395.8,1530.3,431.2,9617.7,0.524,1,0.000,0.007,0.000,0.000,0.000
31,256,103.315,82.594,73.272,69820416,65.14,19.549,10.493,16,371.608,0.820,0,0.06,5000.0,6115.2,5801.0,313.8,395.8,1521.6,422.2,9624.7,0.498,1,0.000,0.006,0.000,0.000,0.000
32,256,187.651,68.011,106.605,45625344,65.91,74.653,6.392,1,609.703,0.820,0,0.00,5000.0,6114.5,5800.3,313.8,395.8,1494.0,385.9,9652.0,0.500,1,0.000,0.006,0.000,0.000,0.000
33,256,157.348,192.611,80.765,150405120,66.39,52.812,23.771,524,533.033,0.820,0,2.05,5000.0,6125.6,5811.8,313.3,384.9,1504.6,365.4,9665.1,0.577,1,0.000,0.005,0.000,0.000,0.000
34,256,209.217,191.397,88.331,149815296,66.84,102.112,18.773,1,685.310,0.820,0,0.00,5000.0,6119.5,5809.5,309.6,387.2,1521.6,392.6,9655.6,0.511,1,0.000,0.005,0.000,0.000,0.000
35,256,193.922,146.230,81.904,107347968,67.38,93.909,18.110,16,618.756,0.820,0,0.06,5000.0,6119.2,5813.6,305.2,383.0,1526.6,406.4,9653.5,2.801,1,0.000,0.006,0.000,0.000,0.000
36,256,167.584,62.125,126.123,42958848,68.03,31.585,9.876,170,561.664,0.820,0,0.66,5000.0,6119.4,5813.8,305.2,383.3,1527.7,412.4,9647.0,0.549,1,0.000,0.006,0.000,0.000,0.000
37,256,101.769,62.127,77.272,37625856,68.66,17.893,6.604,1,362.426,0.820,0,0.00,5000.0,6119.3,5813.7,305.2,383.7,1518.5,403.3,9644.7,0.513,1,0.000,0.007,0.000,0.000,0.000
38,256,121.689,132.747,77.192,104878080,69.13,29.341,15.156,1,417.615,0.820,0,0.00,5000.0,6118.1,5812.5,305.2,384.8,1522.4,407.2,9642.3,0.599,1,0.000,0.006,0.000,0.000,0.000
39,256,109.981,84.755,79.859,67055616,69.65,19.608,10.513,16,392.047,0.820,0,0.06,5000.0,6117.7,5812.3,305.1,385.2,1524.1,394.7,9647.8,0.581,1,0.000,0.006,0.000,0.000,0.000
40,256,141.758,139.520,84.891,109916160,70.06,41.306,15.560,0,477.617,0.820,0,0.00,5000.0,6114.9,5811.7,302.8,385.0,1524.8,382.9,9647.7,0.564,1,0.000,0.005,0.000,0.000,0.000
41,256,179.391,112.924,114.861,83251200,70.51,52.965,11.565,1,591.485,0.820,0,0.00,5000.0,6111.6,5814.5,296.7,382.7,1529.5,400.5,9643.5,0.555,1,0.000,0.008,0.000,0.000,0.000
42,256,205.764,183.429,96.626,136974336,70.84,90.976,18.162,0,666.089,0.820,0,0.00,5000.0,6111.7,5814.6,296.7,382.8,1536.3,412.9,9637.0,0.592,1,0.000,0.009,0.000,0.000,0.000
43,256,181.112,117.586,98.928,86016000,71.25,70.890,11.295,16,605.855,0.820,0,0.06,5000.0,6108.4,5814.7,293.3,382.8,1537.7,420.1,9633.2,0.567,1,0.000,0.007,0.000,0.000,0.000
44,256,160.180,127.182,88.211,93622272,71.63,60.142,11.827,1,520.494,0.820,0,0.00,5000.0,6108.7,5814.9,293.3,382.8,1532.3,419.1,9628.0,0.549,1,0.000,0.008,0.000,0.000,0.000
45,256,113.798,101.402,76.436,80683008,72.02,24.984,12.379,2,391.263,0.820,0,0.01,5000.0,6109.0,5815.4,293.2,382.7,1531.8,419.2,9626.5,0.588,1,0.000,0.006,0.000,0.000,0.000
46,256,116.423,107.372,77.510,83447808,72.39,26.514,12.399,0,410.808,0.820,0,0.00,5000.0,6106.5,5813.0,293.1,382.7,1535.9,423.5,9623.7,0.559,1,0.000,0.006,0.000,0.000,0.000
47,256,106.759,83.265,74.509,67153920,72.78,22.035,10.215,16,370.341,0.820,0,0.06,5000.0,6106.5,5813.0,293.1,382.7,1536.2,424.0,9623.5,0.546,1,0.000,0.005,0.000,0.000,0.000
48,256,90.483,38.535,75.360,27058176,73.22,10.126,4.997,1,328.305,0.820,0,0.00,5000.0,6105.6,5813.0,292.2,382.7,1545.9,436.6,9620.8,0.580,1,0.000,0.005,0.000,0.000,0.000
49,256,89.604,38.832,74.009,29429760,73.65,10.740,4.856,0,338.487,0.820,0,0.00,5000.0,6105.7,5813.2,292.1,382.7,1550.3,441.2,9619.0,0.562,1,0.000,0.005,0.000,0.000,0.000
50,256,94.553,52.173,74.903,34861056,74.04,13.344,6.306,3,334.469,0.820,0,0.01,5000.0,6105.2,5813.0,291.8,382.7,1551.7,443.5,9618.0,0.508,1,0.000,0.006,0.000,0.000,0.000
51,256,130.118,117.897,81.629,88682496,74.34,36.190,12.299,15,428.205,0.820,0,0.06,5000.0,6105.4,5813.1,291.8,382.5,1540.9,432.1,9623.1,0.541,1,0.000,0.006,0.000,0.000,0.000
52,256,92.461,40.079,75.393,26959872,74.73,12.065,5.004,2,335.616,0.820,0,0.01,5000.0,6104.9,5813.2,291.3,382.5,1551.5,439.1,9621.6,0.513,1,0.000,0.005,0.000,0.000,0.000
53,256,93.239,48.657,74.145,37330944,75.08,12.742,6.352,1,350.443,0.820,0,0.00,5000.0,6106.8,5815.2,291.2,382.5,1554.2,441.8,9619.3,0.538,1,0.000,0.005,0.000,0.000,0.000
54,256,80.378,12.596,74.559,7999488,75.48,3.887,1.932,1,309.465,0.820,0,0.00,5000.0,6106.3,5814.7,291.2,382.7,1547.5,435.4,9617.8,0.510,1,0.000,0.005,0.000,0.000,0.000
55,256,109.346,89.067,75.049,67153920,75.76,23.913,10.384,16,384.482,0.820,0,0.06,5000.0,6106.6,5815.2,291.1,382.5,1546.6,435.2,9615.8,0.563,1,0.000,0.006,0.000,0.000,0.000
56,256,111.492,91.928,77.544,72880128,76.03,22.524,11.424,2,393.668,0.820,0,0.01,5000.0,6104.3,5813.2,290.7,382.5,1550.7,440.1,9614.1,0.641,1,0.000,0.005,0.000,0.000,0.000
57,256,110.016,89.019,78.431,67547136,76.30,20.827,10.758,1,383.269,0.820,0,0.00,5000.0,6104.6,5813.6,290.6,382.5,1562.3,451.9,9611.9,0.539,1,0.000,0.007,0.000,0.000,0.000
58,256,99.484,60.297,75.383,42762240,76.60,16.940,7.161,1,353.618,0.820,0,0.00,5000.0,6104.6,5813.6,290.6,382.5,1552.2,441.7,9609.6,0.522,1,0.000,0.005,0.000,0.000,0.000
59,256,159.639,251.300,83.561,212127744,76.64,42.364,33.714,16,572.100,0.820,0,0.06,5000.0,6104.4,5813.4,290.6,383.0,1555.1,444.6,9605.9,0.603,1,0.000,0.007,0.000,0.000,0.000
60,256,114.337,104.789,76.738,80486400,76.87,25.862,11.738,1,399.001,0.820,0,0.00,5000.0,6104.0,5813.0,290.6,383.0,1557.5,447.1,9604.1,0.615,1,0.000,0.006,0.000,0.000,0.000
61,256,93.789,50.786,74.412,37527552,77.16,12.796,6.580,0,349.964,0.820,0,0.00,5000.0,6103.6,5812.6,290.6,383.5,1557.8,447.3,9601.9,0.587,1,0.000,0.006,0.000,0.000,0.000
62,256,98.044,51.190,74.390,34861056,77.44,17.946,5.708,0,346.133,0.820,0,0.00,5000.0,6103.7,5812.7,290.6,383.5,1558.9,444.1,9601.0,0.499,1,0.000,0.005,0.000,0.000,0.000
63,256,136.126,162.643,78.157,134111232,77.57,39.383,18.585,15,466.012,0.820,0,0.06,5000.0,6103.8,5812.9,290.6,383.4,1550.3,424.9,9602.8,0.504,1,0.000,0.005,0.000,0.000,0.000
64,256,95.892,53.371,75.474,37724160,77.83,14.134,6.284,0,335.014,0.820,0,0.00,5000.0,6103.5,5812.5,290.6,383.9,1550.4,425.0,9600.8,0.615,1,0.000,0.006,0.000,0.000,0.000
65,256,100.570,69.599,76.724,48586752,78.08,16.468,7.379,0,358.694,0.820,0,0.00,5000.0,6103.7,5812.7,290.6,384.0,1553.6,428.2,9599.0,0.548,1,0.000,0.005,0.000,0.000,0.000
66,256,92.628,46.079,74.741,37330944,78.32,11.416,6.471,1,341.912,0.820,0,0.00,5000.0,6103.7,5812.7,290.6,384.0,1553.5,428.1,9597.3,0.520,1,0.000,0.005,0.000,0.000,0.000
67,256,95.142,47.539,76.073,34959360,78.57,13.341,5.728,59,347.176,0.820,0,0.23,5000.0,6103.5,5812.5,290.6,383.8,1557.1,431.7,9596.0,0.568,1,0.000,0.006,0.000,0.000,0.000
68,256,122.172,126.604,78.788,104583168,78.72,27.843,15.540,2,434.558,0.820,0,0.01,5000.0,6103.4,5812.4,290.6,383.8,1558.2,432.8,9594.5,0.502,1,0.000,0.006,0.000,0.000,0.000
69,256,161.998,249.454,85.197,212422656,78.73,41.299,35.502,0,575.262,0.820,0,0.00,5000.0,6103.8,5812.8,290.6,383.8,1558.4,433.0,9591.5,0.553,1,0.000,0.007,0.000,0.000,0.000
70,256,89.112,39.805,75.266,26959872,78.97,9.305,4.541,2,342.090,0.820,0,0.01,5000.0,6104.0,5813.0,290.6,383.8,1559.2,433.7,9589.3,0.547,1,0.000,0.006,0.000,0.000,0.000
71,256,114.534,110.080,75.756,85917696,79.13,25.474,13.304,62,391.760,0.820,0,0.24,5000.0,6104.2,5813.2,290.6,383.5,1561.6,436.3,9588.6,0.557,1,0.000,0.006,0.000,0.000,0.000
72,256,105.733,83.121,75.498,66859008,79.31,20.456,9.779,0,369.345,0.820,0,0.00,5000.0,6103.8,5812.8,290.6,383.5,1563.6,438.2,9587.8,0.626,1,0.000,0.005,0.000,0.000,0.000
73,256,121.275,133.751,77.952,107347968,79.44,28.638,14.685,1,431.096,0.820,0,0.00,5000.0,6103.8,5812.8,290.6,383.5,1562.5,437.1,9587.8,0.503,1,0.000,0.006,0.000,0.000,0.000
74,256,129.643,156.362,78.022,131149824,79.53,31.989,19.632,1,454.073,0.820,0,0.00,5000.0,6103.1,5812.1,290.6,383.5,1563.6,438.2,9587.8,0.520,1,0.000,0.006,0.000,0.000,0.000
75,256,104.006,65.555,76.183,53723136,79.72,19.805,8.019,59,369.505,0.820,0,0.23,5000.0,6103.4,5812.4,290.6,383.3,1563.0,437.5,9588.7,0.670,1,0.000,0.005,0.000,0.000,0.000
76,256,97.299,62.558,74.492,48390144,79.90,15.802,7.006,0,358.958,0.820,0,0.00,5000.0,6103.4,5812.4,290.6,383.3,1561.1,435.5,9591.7,0.580,1,0.000,0.005,0.000,0.000,0.000
77,256,94.328,49.888,75.405,35057664,80.10,12.886,6.038,1,336.192,0.820,0,0.00,5000.0,6103.4,5812.4,290.6,383.3,1559.6,434.0,9591.7,0.517,1,0.000,0.005,0.000,0.000,0.000
78,256,82.052,16.784,74.602,10665984,80.32,4.922,2.527,0,308.593,0.820,0,0.00,5000.0,6103.0,5812.0,290.6,383.3,1560.2,434.5,9591.7,0.569,1,0.000,0.006,0.000,0.000,0.000
79,256,83.084,16.169,74.675,10764288,80.54,5.198,3.211,62,320.406,0.820,0,0.24,5000.0,6103.4,5812.4,290.6,383.0,1559.9,434.3,9592.7,0.498,1,0.000,0.005,0.000,0.000,0.000
80,256,114.934,111.604,76.603,86114304,80.66,26.941,11.390,0,397.724,0.820,0,0.00,5000.0,6105.6,5814.6,290.6,383.0,1557.1,431.4,9592.7,0.497,1,0.000,0.005,0.000,0.000,0.000
81,256,224.627,446.978,88.657,409743360,80.43,65.864,70.106,2,828.928,0.820,0,0.01,5000.0,6105.2,5814.2,290.6,383.0,1558.4,431.7,9592.7,0.499,1,0.000,0.007,0.000,0.000,0.000
82,256,160.373,248.859,86.629,209756160,80.42,35.993,37.751,1,593.145,0.820,0,0.00,5000.0,6105.9,5814.9,290.6,383.0,1555.4,428.6,9593.0,0.777,1,0.000,0.008,0.000,0.000,0.000
83,256,100.330,73.409,75.972,54312960,80.58,16.356,8.003,62,362.195,0.820,0,0.24,5000.0,6103.8,5812.9,290.6,382.8,1557.3,430.5,9593.5,0.585,1,0.000,0.005,0.000,0.000,0.000
84,256,94.588,48.805,75.324,37527552,80.75,13.605,5.659,1,336.371,0.820,0,0.00,5000.0,6103.9,5813.0,290.6,382.8,1557.4,430.5,9593.5,0.516,1,0.000,0.005,0.000,0.000,0.000
85,256,98.349,57.795,75.620,40488960,80.92,15.737,6.992,1,344.938,0.820,0,0.00,5000.0,6104.4,5813.4,290.6,382.8,1556.4,428.3,9594.2,0.546,1,0.000,0.006,0.000,0.000,0.000
86,256,153.296,134.482,82.540,104484864,81.02,57.359,13.397,1,492.023,0.820,0,0.00,5000.0,6106.1,5815.1,290.6,382.8,1539.1,386.1,9606.7,0.503,1,0.000,0.005,0.000,0.000,0.000
87,256,103.140,73.659,77.140,51253248,81.16,17.565,8.435,57,355.530,0.820,0,0.22,5000.0,6104.0,5813.0,290.6,382.5,1538.9,375.6,9609.0,0.602,1,0.000,0.006,0.000,0.000,0.000
88,256,111.234,100.723,77.430,80879616,81.28,22.575,11.229,0,384.883,0.820,0,0.00,5000.0,6106.3,5815.3,290.6,382.5,1530.4,366.0,9614.2,0.528,1,0.000,0.005,0.000,0.000,0.000
89,256,102.873,72.353,75.449,56291328,81.42,19.497,7.927,1,352.696,0.820,0,0.00,5000.0,6106.1,5815.1,290.6,382.5,1529.1,364.5,9620.4,0.525,1,0.000,0.005,0.000,0.000,0.000
90,256,142.964,194.942,81.131,157716480,81.45,37.566,24.267,2,501.124,0.820,0,0.01,5000.0,6104.1,5813.2,290.6,382.5,1530.1,362.5,9621.4,0.560,1,0.000,0.007,0.000,0.000,0.000
91,256,104.081,76.910,77.250,56487936,81.58,18.037,8.794,62,371.936,0.820,0,0.24,5000.0,6104.7,5813.7,290.6,382.3,1528.4,360.8,9622.3,0.687,1,0.000,0.006,0.000,0.000,0.000
92,256,103.694,80.650,75.672,61722624,81.71,19.293,8.728,0,369.076,0.820,0,0.00,5000.0,6104.7,5813.7,290.6,382.3,1528.1,360.3,9622.3,0.556,1,0.000,0.006,0.000,0.000,0.000
93,256,113.947,96.527,78.711,72486912,81.82,23.869,11.367,1,392.053,0.820,0,0.00,5000.0,6104.4,5813.4,290.6,382.3,1528.2,360.4,9622.3,0.537,1,0.000,0.005,0.000,0.000,0.000
94,256,99.128,66.941,75.427,51056640,81.95,16.307,7.394,1,360.391,0.820,0,0.00,5000.0,6104.8,5813.9,290.6,382.3,1527.7,359.9,9622.3,0.557,1,0.000,0.005,0.000,0.000,0.000
95,256,97.915,61.531,75.719,45821952,82.08,14.646,7.550,59,362.526,0.820,0,0.23,5000.0,6105.6,5814.6,290.6,382.0,1526.9,359.1,9623.0,0.539,1,0.000,0.006,0.000,0.000,0.000
96,256,124.136,132.057,76.710,107249664,82.15,32.653,14.773,1,427.106,0.820,0,0.00,5000.0,6104.9,5813.9,290.6,382.0,1525.1,356.9,9626.9,0.538,1,0.000,0.005,0.000,0.000,0.000
97,256,97.354,57.347,75.950,43155456,82.28,14.866,6.538,1,347.617,0.820,0,0.00,5000.0,6105.0,5814.0,290.6,382.0,1523.9,355.7,9626.9,0.554,1,0.000,0.005,0.000,0.000,0.000
98,256,99.368,62.257,74.707,45625344,82.41,17.251,7.410,1,353.830,0.820,0,0.00,5000.0,6105.0,5814.0,290.6,381.9,1523.8,355.6,9626.9,0.567,1,0.000,0.005,0.000,0.000,0.000
99,256,109.038,84.482,77.730,67055616,82.51,21.698,9.610,59,391.885,0.820,0,0.23,5000.0,6104.8,5813.8,290.6,381.8,1523.5,355.3,9627.1,0.586,1,0.000,0.006,0.000,0.000,0.000
100,256,212.428,421.889,90.883,372412416,82.34,59.563,61.982,2,780.563,0.820,0,0.01,5000.0,6106.2,5816.2,289.6,381.8,1533.6,367.6,9626.6,0.522,1,0.000,0.007,0.000,0.000,0.000
101,256,203.087,241.464,75.054,188424192,82.34,102.133,25.900,1,679.187,0.820,0,0.00,5000.0,6101.9,5814.3,287.2,381.7,1542.9,385.2,9623.4,0.758,1,0.000,0.006,0.000,0.000,0.000
102,256,164.414,258.961,85.976,216969216,82.30,44.678,33.761,2,579.761,0.820,0,0.01,5000.0,6100.6,5814.0,286.2,381.7,1542.6,387.5,9619.4,0.667,1,0.000,0.007,0.000,0.000,0.000
103,256,145.493,204.207,82.139,172032000,82.31,34.234,29.120,61,538.183,0.820,0,0.24,5000.0,6099.0,5814.1,284.5,381.5,1557.0,407.9,9614.7,0.702,1,0.000,0.007,0.000,0.000,0.000
104,256,145.341,96.013,91.584,69820416,82.41,44.848,8.909,1,484.197,0.820,0,0.00,5000.0,6097.1,5814.2,282.5,381.5,1550.4,408.1,9609.7,0.506,1,0.000,0.006,0.000,0.000,0.000
