# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,373.825,495.175,163.117,452689920,6.53,143.147,67.561,10929,1349.226,-1.000,0,42.69,5000.0,6318.6,5850.6,467.6,345.9,1307.3,177.2,9750.2,0.397,1,0.000,0.008,0.000,0.000,0.000
2,256,270.608,345.364,98.640,312655872,13.10,133.034,38.934,0,950.850,0.820,0,0.00,5000.0,6313.0,5851.2,461.3,345.9,1311.1,165.2,9745.0,6.537,1,0.000,0.006,0.000,0.000,0.000
3,256,365.407,431.483,139.118,365690880,17.95,181.747,44.542,31,1180.195,0.820,0,0.12,5000.0,6286.5,5851.8,434.2,345.8,1287.3,109.1,9744.4,0.571,1,0.000,0.005,0.000,0.000,0.000
4,256,307.845,212.322,143.991,172032000,23.58,116.689,47.165,1,972.842,0.820,0,0.00,5000.0,6272.9,5850.6,422.0,345.8,1299.7,117.9,9743.6,0.650,1,0.000,0.007,0.000,0.000,0.000
5,256,259.382,297.256,90.086,242049024,27.78,140.303,28.992,1,863.816,0.820,0,0.00,5000.0,6266.0,5849.7,415.8,346.0,1313.1,137.9,9731.0,0.543,1,0.000,0.006,0.000,0.000,0.000
6,256,243.587,246.530,93.614,196915200,31.68,121.412,28.560,0,821.966,0.820,0,0.00,5000.0,6259.4,5849.5,409.5,346.0,1325.9,152.6,9719.4,0.557,1,0.000,0.007,0.000,0.000,0.000
7,256,232.830,191.005,121.939,142798848,35.41,93.489,17.402,30,760.057,0.820,0,0.12,5000.0,6260.9,5851.0,409.5,346.0,1325.7,128.0,9722.1,0.604,1,0.000,0.005,0.000,0.000,0.000
8,256,236.439,248.704,94.902,199188480,38.31,117.406,24.130,1,785.424,0.820,0,0.00,5000.0,6253.5,5850.0,403.1,346.0,1336.8,143.7,9710.6,0.508,1,0.000,0.006,0.000,0.000,0.000
9,256,240.996,289.243,90.142,239087616,40.63,122.887,27.967,0,819.399,0.820,0,0.00,5000.0,6249.0,5851.9,396.7,346.0,1345.1,152.1,9695.8,0.539,1,0.000,0.006,0.000,0.000,0.000
10,256,273.059,296.569,90.023,250048512,42.62,148.258,34.778,0,943.586,0.820,0,0.00,5000.0,6242.2,5851.3,390.5,346.0,1355.1,169.9,9687.4,0.519,1,0.000,0.005,0.000,0.000,0.000
11,256,217.939,214.186,95.927,166993920,44.84,101.279,20.733,30,728.721,0.820,0,0.12,5000.0,6236.1,5850.6,385.1,345.9,1357.7,163.0,9682.7,0.550,1,0.000,0.006,0.000,0.000,0.000
12,256,268.873,320.481,97.905,268907072,46.32,138.859,32.109,0,932.287,0.820,0,0.00,5000.0,6235.5,5850.0,385.1,345.9,1365.7,160.9,9673.3,0.580,1,0.000,0.005,0.000,0.000,0.000
13,256,250.235,276.027,97.258,214204416,47.92,126.318,26.659,0,845.992,0.820,0,0.00,5000.0,6230.5,5851.0,379.1,345.9,1371.4,174.8,9663.3,0.558,1,0.000,0.005,0.000,0.000,0.000
14,256,325.742,474.083,73.799,411918336,48.47,202.236,49.706,0,1111.896,0.820,0,0.00,5000.0,6225.2,5851.8,373.0,346.0,1384.3,188.7,9647.5,5.687,1,0.000,0.005,0.000,0.000,0.000
15,256,229.305,220.799,99.899,166502400,50.03,110.004,19.402,30,748.839,0.820,0,0.12,5000.0,6225.3,5852.0,373.0,346.0,1394.0,205.5,9635.3,0.513,1,0.000,0.006,0.000,0.000,0.000
16,256,195.689,168.194,80.915,129073152,51.62,99.671,15.103,0,638.765,0.820,0,0.00,5000.0,6199.0,5831.8,366.8,366.0,1421.9,239.7,9606.0,0.557,1,0.000,0.005,0.000,0.000,0.000
17,256,221.800,200.482,88.587,152580096,52.98,115.312,17.902,1,699.179,0.820,0,0.00,5000.0,6175.6,5808.3,366.8,388.9,1445.1,266.3,9577.0,0.511,1,0.000,0.006,0.000,0.000,0.000
18,256,292.100,364.328,78.971,292909056,53.71,177.213,35.915,0,973.560,0.820,0,0.00,5000.0,6163.7,5802.5,360.7,394.7,1452.6,282.9,9561.5,5.356,1,0.000,0.006,0.000,0.000,0.000
19,256,239.426,250.341,92.035,203735040,54.71,122.657,24.735,32,795.701,0.820,0,0.12,5000.0,6151.9,5796.8,354.7,399.8,1454.5,298.6,9553.6,0.523,1,0.000,0.007,0.000,0.000,0.000
20,256,235.454,236.276,78.099,187047936,55.69,135.879,21.476,0,758.703,0.820,0,0.00,5000.0,6142.4,5787.3,354.7,408.7,1460.1,308.4,9539.6,0.543,1,0.000,0.006,0.000,0.000,0.000
21,256,235.485,230.569,82.991,187932672,56.60,129.074,23.419,1,783.890,0.820,0,0.00,5000.0,6127.4,5778.3,348.7,418.2,1461.6,318.4,9526.3,0.507,1,0.000,0.006,0.000,0.000,0.000
22,256,191.494,129.890,90.597,96583680,57.75,86.869,14.028,0,636.516,0.820,0,0.00,5000.0,6132.3,5783.2,348.7,414.0,1457.6,310.6,9541.8,0.508,1,0.000,0.007,0.000,0.000,0.000
23,256,255.508,203.495,118.218,152481792,58.64,117.291,19.999,31,770.282,0.820,0,0.12,5000.0,6118.9,5769.8,348.7,426.9,1427.1,227.0,9551.1,0.508,1,0.000,0.006,0.000,0.000,0.000
24,256,188.314,132.599,92.877,91545600,59.67,76.149,19.287,1,605.283,0.820,0,0.00,5000.0,6112.4,5763.2,348.7,434.2,1437.0,243.6,9541.1,0.570,1,0.000,0.006,0.000,0.000,0.000
25,256,205.486,153.969,90.106,120483840,60.55,100.766,14.614,0,691.368,0.820,0,0.00,5000.0,6099.2,5755.7,343.1,441.7,1441.1,252.2,9528.1,0.564,1,0.000,0.005,0.000,0.000,0.000
