# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,419.615,508.471,207.212,452689920,6.53,148.193,64.211,14342,1448.648,-1.000,0,56.02,5000.0,6260.9,5829.8,430.5,366.8,1317.0,208.7,9714.4,0.404,1,0.000,0.007,0.000,0.000,0.000
2,256,267.769,347.136,114.741,312655872,13.10,114.637,38.390,0,957.510,0.820,0,0.00,5000.0,6254.9,5830.6,423.8,366.7,1319.3,207.4,9710.2,3.957,1,0.000,0.006,0.000,0.000,0.000
3,256,282.006,418.474,89.400,365690880,17.95,144.442,48.164,43,998.216,0.820,0,0.17,5000.0,6242.3,5831.2,410.5,366.6,1321.5,218.3,9704.9,4.804,1,0.000,0.007,0.000,0.000,0.000
4,256,215.242,213.462,109.370,172032000,23.58,85.900,19.972,1,728.818,0.820,0,0.00,5000.0,6240.8,5829.8,410.5,366.6,1324.4,221.5,9700.7,0.581,1,0.000,0.005,0.000,0.000,0.000
5,256,239.192,282.818,102.348,242049024,27.78,107.939,28.904,1,819.366,0.820,0,0.00,5000.0,6233.4,5829.2,403.6,366.6,1328.5,229.8,9695.7,1.567,1,0.000,0.007,0.000,0.000,0.000
6,256,244.044,246.090,131.859,196915200,31.68,80.578,31.607,0,821.751,0.820,0,0.00,5000.0,6227.1,5828.8,397.8,366.6,1328.7,211.9,9694.5,0.842,1,0.000,0.007,0.000,0.000,0.000
7,256,210.689,189.766,118.265,142798848,35.41,66.773,25.651,44,721.457,0.820,0,0.17,5000.0,6228.7,5830.4,397.8,366.6,1332.4,200.0,9690.1,0.571,1,0.000,0.006,0.000,0.000,0.000
8,256,223.218,243.849,103.974,199188480,38.31,91.881,27.363,1,787.584,0.820,0,0.00,5000.0,6221.8,5829.6,391.6,366.6,1330.8,194.8,9689.5,5.227,1,0.000,0.006,0.000,0.000,0.000
9,256,239.530,276.728,108.947,239087616,40.63,99.223,31.361,0,838.673,0.820,0,0.00,5000.0,6217.5,5831.4,385.5,366.6,1330.9,197.1,9685.9,4.791,1,0.000,0.005,0.000,0.000,0.000
10,256,246.726,290.847,103.171,250048512,42.62,113.924,29.631,0,857.847,0.820,0,0.00,5000.0,6210.7,5830.9,379.3,366.6,1336.4,208.3,9679.8,0.515,1,0.000,0.007,0.000,0.000,0.000
11,256,215.148,219.946,94.435,166993920,44.84,101.882,18.831,43,687.570,0.820,0,0.17,5000.0,6210.0,5830.2,379.3,366.3,1339.3,215.4,9675.5,4.740,1,0.000,0.006,0.000,0.000,0.000
12,256,250.582,317.319,113.170,268907072,46.32,107.136,30.276,0,868.855,0.820,0,0.00,5000.0,6203.8,5829.2,374.0,366.7,1346.4,230.1,9669.8,0.579,1,0.000,0.006,0.000,0.000,0.000
13,256,248.520,269.623,106.032,214204416,47.92,116.451,26.037,0,864.238,0.820,0,0.00,5000.0,6204.5,5829.9,374.0,366.7,1345.5,228.1,9672.9,0.580,1,0.000,0.006,0.000,0.000,0.000
14,256,282.691,445.925,85.212,411918336,48.47,150.352,47.126,0,1025.877,0.820,0,0.00,5000.0,6199.4,5831.0,367.8,366.7,1344.0,237.5,9676.6,5.078,1,0.000,0.005,0.000,0.000,0.000
15,256,219.386,210.589,115.091,163835904,50.05,72.181,32.114,43,756.501,0.820,0,0.17,5000.0,6193.1,5829.9,362.6,366.6,1349.8,246.5,9671.6,4.743,1,0.000,0.006,0.000,0.000,0.000
16,256,203.523,159.129,106.683,126308352,51.64,77.887,18.953,0,684.323,0.820,0,0.00,5000.0,6194.0,5830.8,362.6,366.6,1348.9,245.3,9683.7,5.177,1,0.000,0.006,0.000,0.000,0.000
17,256,218.456,189.184,99.496,152580096,53.00,100.666,18.294,1,734.471,0.820,0,0.00,5000.0,6189.3,5829.8,358.9,366.6,1352.9,257.2,9677.8,0.510,1,0.000,0.007,0.000,0.000,0.000
18,256,237.788,280.405,102.992,225263616,53.98,104.081,30.715,0,835.558,0.820,0,0.00,5000.0,6181.4,5821.9,358.9,375.6,1365.3,270.8,9674.3,5.555,1,0.000,0.007,0.000,0.000,0.000
19,256,199.554,164.472,129.026,128778240,55.24,55.007,15.521,43,682.251,0.820,0,0.17,5000.0,6167.5,5811.9,355.0,385.7,1378.4,291.2,9659.3,6.135,1,0.000,0.006,0.000,0.000,0.000
20,256,255.416,135.956,169.305,101621760,56.51,73.388,12.724,0,775.851,0.820,0,0.00,5000.0,6166.9,5811.3,355.0,385.9,1434.7,341.2,9733.9,0.573,1,0.000,0.008,0.000,0.000,0.000
21,256,164.679,128.671,104.033,101720064,57.68,43.753,16.894,1,551.343,0.820,0,0.00,5000.0,6167.3,5811.8,355.0,385.9,1424.7,323.7,9731.5,0.611,1,0.000,0.005,0.000,0.000,0.000
22,256,161.122,125.589,96.099,93917184,58.80,49.310,15.714,0,563.466,0.820,0,0.00,5000.0,6164.6,5811.5,352.5,385.9,1438.4,343.3,9729.5,0.517,1,0.000,0.005,0.000,0.000,0.000
23,256,177.205,136.864,110.634,104189952,59.81,53.821,12.749,42,596.414,0.820,0,0.16,5000.0,6162.2,5812.0,349.6,385.9,1429.0,340.3,9726.8,5.518,1,0.000,0.007,0.000,0.000,0.000
24,256,113.431,62.774,90.085,45723648,60.95,16.666,6.680,1,400.320,0.820,0,0.00,5000.0,6161.9,5811.9,349.4,385.9,1432.4,344.3,9726.5,0.588,1,0.000,0.005,0.000,0.000,0.000
25,256,120.201,114.921,80.999,96387072,61.86,26.062,13.139,0,430.189,0.820,0,0.00,5000.0,6159.6,5809.8,349.3,385.9,1431.8,344.0,9726.3,0.597,1,0.000,0.006,0.000,0.000,0.000
26,256,152.916,145.781,93.319,120188928,62.64,43.019,16.578,0,526.534,0.820,0,0.00,5000.0,6156.1,5811.5,344.0,386.1,1441.4,362.5,9724.0,0.533,1,0.000,0.006,0.000,0.000,0.000
27,256,138.928,92.977,93.219,70017024,63.52,36.709,9.000,43,467.011,0.820,0,0.17,5000.0,6154.3,5809.7,344.0,385.8,1432.8,354.2,9723.3,2.002,1,0.000,0.005,0.000,0.000,0.000
28,256,129.942,90.576,95.430,69525504,64.36,25.022,9.490,1,457.785,0.820,0,0.00,5000.0,6156.3,5812.1,343.6,385.8,1426.3,348.2,9735.9,0.539,1,0.000,0.005,0.000,0.000,0.000
29,256,105.549,62.658,80.760,45428736,65.21,14.289,10.499,0,386.538,0.820,0,0.00,5000.0,6155.7,5812.2,343.0,385.8,1426.7,350.0,9735.4,0.597,1,0.000,0.005,0.000,0.000,0.000
30,256,103.883,51.248,83.249,40390656,66.03,14.487,6.146,0,367.589,0.820,0,0.00,5000.0,6155.6,5812.0,343.0,385.8,1426.4,349.9,9735.4,0.524,1,0.000,0.004,0.000,0.000,0.000
31,256,105.918,62.392,81.920,50860032,66.78,15.789,8.209,41,384.423,0.820,0,0.16,5000.0,6155.3,5811.9,342.9,385.7,1424.9,348.7,9735.9,0.527,1,0.000,0.005,0.000,0.000,0.000
32,256,99.254,35.155,83.166,26861568,67.56,11.707,4.382,1,364.810,0.820,0,0.00,5000.0,6154.9,5811.6,342.8,385.7,1419.0,342.5,9741.5,0.530,1,0.000,0.005,0.000,0.000,0.000
33,256,190.714,337.539,89.989,286396416,67.67,54.733,45.993,0,702.165,0.820,0,0.00,5000.0,6154.3,5811.0,342.8,385.7,1422.8,346.0,9741.5,0.558,1,0.000,0.007,0.000,0.000,0.000
34,256,151.258,182.947,88.338,153563136,68.09,38.314,24.606,1,535.312,0.820,0,0.00,5000.0,6154.3,5811.1,342.6,385.7,1420.4,342.5,9741.5,0.723,1,0.000,0.007,0.000,0.000,0.000
35,256,189.254,324.664,92.432,286396416,68.18,51.223,45.600,43,699.719,0.820,0,0.17,5000.0,6152.5,5810.6,341.3,385.4,1421.8,346.3,9741.8,0.732,1,0.000,0.006,0.000,0.000,0.000
36,256,125.960,116.322,84.468,88977408,68.72,27.449,14.043,1,439.811,0.820,0,0.00,5000.0,6152.5,5810.9,341.0,385.4,1430.9,355.5,9742.0,0.722,1,0.000,0.005,0.000,0.000,0.000
37,256,115.919,97.655,82.370,78114816,69.25,21.646,11.903,1,420.945,0.820,0,0.00,5000.0,6151.9,5811.8,339.5,385.4,1431.4,358.9,9741.0,0.524,1,0.000,0.006,0.000,0.000,0.000
38,256,136.172,147.543,85.171,121171968,69.67,34.071,16.930,1,483.136,0.820,0,0.00,5000.0,6152.1,5812.1,339.4,385.4,1426.6,354.4,9740.3,0.558,1,0.000,0.007,0.000,0.000,0.000
39,256,114.034,94.782,82.083,77721600,70.15,20.515,11.436,43,422.712,0.820,0,0.17,5000.0,6152.0,5812.1,339.4,385.3,1420.1,348.0,9741.0,0.564,1,0.000,0.006,0.000,0.000,0.000
40,256,132.565,144.763,84.562,118112256,70.54,31.445,16.558,0,468.483,0.820,0,0.00,5000.0,6152.1,5812.2,339.4,385.3,1421.9,349.8,9741.0,0.537,1,0.000,0.006,0.000,0.000,0.000
41,256,132.897,133.894,85.836,110309376,70.93,31.113,15.948,1,478.155,0.820,0,0.00,5000.0,6152.4,5812.5,339.4,385.3,1420.5,347.4,9741.3,0.610,1,0.000,0.006,0.000,0.000,0.000
42,256,95.138,28.445,82.722,18763776,71.48,8.066,4.350,0,362.487,0.820,0,0.00,5000.0,6152.1,5812.2,339.4,385.3,1419.9,346.7,9741.8,0.588,1,0.000,0.004,0.000,0.000,0.000
43,256,127.773,132.214,83.706,102113280,71.84,29.770,14.297,43,450.591,0.820,0,0.17,5000.0,6152.3,5812.3,339.4,385.1,1419.9,346.7,9742.0,0.538,1,0.000,0.005,0.000,0.000,0.000
44,256,130.656,142.955,83.327,112582656,72.18,31.557,15.771,1,453.291,0.820,0,0.00,5000.0,6151.9,5811.9,339.4,385.1,1420.5,347.2,9742.6,0.572,1,0.000,0.005,0.000,0.000,0.000
45,256,118.961,104.537,80.914,83447808,72.55,25.786,12.261,2,411.001,0.820,0,0.01,5000.0,6152.5,5812.6,339.4,385.1,1420.3,347.1,9742.6,0.542,1,0.000,0.004,0.000,0.000,0.000
46,256,129.942,136.198,84.405,104976384,72.88,31.468,14.069,0,455.148,0.820,0,0.00,5000.0,6152.6,5812.7,339.4,385.1,1419.5,346.3,9742.8,0.535,1,0.000,0.006,0.000,0.000,0.000
47,256,130.804,131.263,87.277,99446784,73.20,27.900,15.627,43,471.898,0.820,0,0.17,5000.0,6152.8,5812.8,339.4,384.9,1419.9,346.6,9743.4,0.565,1,0.000,0.005,0.000,0.000,0.000
48,256,103.613,48.959,84.636,37724160,73.61,12.666,6.311,2,381.868,0.820,0,0.01,5000.0,6150.7,5810.8,339.4,384.9,1413.9,329.0,9745.9,0.582,1,0.000,0.004,0.000,0.000,0.000
49,256,144.827,109.753,96.232,86212608,73.93,36.220,12.376,0,491.417,0.820,0,0.00,5000.0,6151.0,5811.1,339.4,384.9,1352.6,217.7,9748.5,0.575,1,0.000,0.005,0.000,0.000,0.000
50,256,188.887,60.063,160.083,45723648,74.31,19.931,8.873,4,612.148,0.820,0,0.02,5000.0,6139.7,5811.4,327.8,385.1,1332.3,131.5,9756.6,0.600,1,0.000,0.007,0.000,0.000,0.000
51,256,335.307,117.940,254.728,80781312,74.61,65.989,14.591,42,1025.485,0.820,0,0.16,5000.0,6128.7,5812.0,316.1,384.8,1339.2,162.2,9769.5,0.572,1,0.000,0.007,0.000,0.000,0.000
52,256,173.845,38.826,153.687,24195072,75.00,16.346,3.812,2,604.028,0.820,0,0.01,5000.0,6128.2,5811.5,316.1,384.8,1340.5,168.1,9764.5,0.578,1,0.000,0.006,0.000,0.000,0.000
