# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,410.269,518.854,183.373,452689920,6.53,167.945,58.951,9904,1434.462,-1.000,0,38.69,5000.0,6298.9,5842.3,456.1,354.2,1236.1,129.3,9752.4,0.400,1,0.000,0.007,0.000,0.000,0.000
2,256,276.104,361.284,103.565,325099520,13.16,118.970,53.569,9,1009.233,0.824,0,0.04,5000.0,6294.3,5843.4,450.5,354.2,1242.6,139.7,9745.8,1.446,1,0.000,0.006,0.000,0.000,0.000
3,256,321.841,462.639,90.611,383467520,18.05,169.074,62.156,32,1142.355,0.824,0,0.12,5000.0,6288.1,5843.9,443.9,354.1,1255.3,145.9,9737.2,0.579,1,0.000,0.007,0.000,0.000,0.000
4,256,238.410,240.537,117.707,180920320,23.69,91.540,29.163,15,811.108,0.824,0,0.06,5000.0,6279.7,5842.8,436.5,354.0,1256.3,145.3,9733.7,0.574,1,0.000,0.006,0.000,0.000,0.000
5,256,288.174,311.105,109.607,250048512,27.96,142.931,35.637,2,1005.110,0.824,0,0.01,5000.0,6271.6,5841.9,429.2,354.0,1256.5,121.3,9732.3,0.525,1,0.000,0.006,0.000,0.000,0.000
6,256,287.410,289.806,114.321,221900800,31.99,120.961,52.127,1,996.164,0.824,0,0.00,5000.0,6260.8,5841.7,418.8,354.0,1262.1,125.3,9727.2,4.895,1,0.000,0.007,0.000,0.000,0.000
7,256,235.046,209.372,105.882,159686656,35.75,94.815,34.348,33,812.414,0.824,0,0.13,5000.0,6255.9,5843.2,412.2,353.9,1264.0,123.4,9720.7,0.599,1,0.000,0.006,0.000,0.000,0.000
8,256,267.529,280.741,91.410,232964096,38.63,132.281,43.838,1,932.766,0.824,0,0.00,5000.0,6255.1,5842.4,412.2,353.9,1269.3,124.0,9714.1,4.860,1,0.000,0.005,0.000,0.000,0.000
9,256,258.588,302.407,91.935,247975936,41.02,117.443,49.210,0,894.897,0.824,0,0.00,5000.0,6250.1,5844.2,405.5,353.9,1275.2,136.3,9706.9,0.572,1,0.000,0.006,0.000,0.000,0.000
10,256,284.310,326.111,101.834,266047488,42.98,139.308,43.168,0,983.238,0.824,0,0.00,5000.0,6242.7,5843.7,398.6,353.9,1269.9,126.6,9712.9,0.526,1,0.000,0.006,0.000,0.000,0.000
