# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,477.589,565.382,249.591,452689920,6.53,148.504,79.494,11372,1561.456,-1.000,0,44.42,5000.0,6273.3,5832.0,440.9,364.5,1263.9,120.6,9687.7,0.402,1,0.000,0.007,0.000,0.000,0.000
2,256,262.489,386.189,97.744,312655872,13.29,120.442,44.303,7,939.735,0.820,0,0.03,5000.0,6268.7,5832.8,435.5,364.5,1274.2,127.5,9682.1,5.507,1,0.000,0.007,7.157,0.000,0.000
3,256,289.883,458.002,82.203,368357376,18.32,149.722,57.958,40,1019.894,0.820,0,0.16,5000.0,6264.7,5833.4,430.9,364.4,1278.9,137.1,9676.0,5.179,1,0.000,0.006,14.042,0.000,0.000
4,256,201.071,228.610,104.960,172032000,24.03,56.639,39.472,1,724.695,0.820,0,0.00,5000.0,6263.5,5832.3,430.9,364.4,1285.6,140.2,9670.5,0.587,1,0.000,0.006,6.442,0.000,0.000
5,256,255.114,316.172,108.718,242049024,28.29,113.538,32.859,1,872.652,0.820,0,0.00,5000.0,6258.2,5831.7,426.1,364.4,1288.8,133.9,9665.3,3.899,1,0.000,0.006,3.406,0.000,0.000
6,256,225.373,271.006,105.819,207581184,32.45,72.498,47.056,1,799.488,0.820,0,0.00,5000.0,6257.8,5831.2,426.1,364.4,1293.0,135.1,9658.1,1.446,1,0.000,0.006,14.851,0.000,0.000
7,256,208.106,206.272,111.956,148131840,36.27,58.742,37.408,41,718.942,0.820,0,0.16,5000.0,6254.8,5833.0,421.4,364.1,1295.6,140.4,9654.1,0.570,1,0.000,0.005,15.739,0.000,0.000
8,256,219.508,269.283,104.322,212520960,39.25,88.850,26.336,13,775.147,0.820,0,0.05,5000.0,6253.9,5832.1,421.4,364.1,1299.3,142.1,9649.6,1.887,1,0.000,0.006,1.872,0.000,0.000
9,256,350.796,341.264,199.910,247283712,41.79,97.783,53.103,1,1141.522,0.820,0,0.00,5000.0,6216.9,5833.8,382.7,364.1,1338.3,159.1,9693.2,3.997,1,0.000,0.008,9.843,0.000,0.000
10,256,263.911,331.647,98.555,263380992,43.73,115.453,49.903,0,936.763,0.820,0,0.00,5000.0,6208.5,5833.2,374.9,364.1,1345.3,144.9,9691.7,1.206,1,0.000,0.005,2.588,0.000,0.000
