# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4882 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,792.992,594.389,510.297,474021888,6.28,194.219,88.475,19395,2347.160,-1.000,0,75.76,4882.2,6059.0,5771.2,287.4,309.0,1168.1,200.8,9712.0,0.446,1,0.000,0.009,0.000,0.000,0.000
2,256,260.325,379.147,83.842,323321856,12.78,139.293,37.190,0,911.819,0.820,0,0.00,4882.2,6043.0,5759.0,283.5,319.5,1188.6,213.1,9698.2,1.331,1,0.000,0.004,0.000,0.000,0.000
3,256,305.941,446.876,76.319,368357376,17.63,186.648,42.974,13,1048.582,0.820,0,0.05,4882.2,6041.4,5757.5,283.5,321.2,1199.3,215.7,9682.7,0.534,1,0.000,0.006,0.000,0.000,0.000
4,256,231.739,236.665,86.219,177364992,23.24,116.630,28.890,1,770.048,0.820,0,0.00,4882.2,6038.6,5758.7,279.5,321.2,1207.7,227.6,9670.3,0.577,1,0.000,0.005,0.000,0.000,0.000
5,256,288.591,317.145,78.019,247382016,27.42,175.592,34.980,1,950.969,0.820,0,0.00,4882.2,6038.1,5758.2,279.5,321.2,1214.5,234.4,9660.2,0.521,1,0.000,0.006,0.000,0.000,0.000
6,256,226.026,264.132,84.029,204914688,31.30,118.234,23.763,0,749.527,0.820,0,0.00,4882.2,6033.6,5758.0,275.1,321.2,1222.0,231.9,9654.5,0.536,1,0.000,0.006,0.000,0.000,0.000
7,256,316.884,212.472,162.453,148131840,35.02,126.586,27.845,13,946.211,0.820,0,0.05,4882.2,6008.1,5756.8,250.9,321.2,1215.7,155.9,9657.5,0.541,1,0.000,0.007,0.000,0.000,0.000
8,256,261.945,271.643,79.743,207187968,37.90,158.554,23.647,1,852.293,0.820,0,0.00,4882.2,6010.0,5758.7,250.9,321.2,1226.2,166.0,9641.1,0.564,1,0.000,0.005,0.000,0.000,0.000
9,256,267.517,313.821,88.382,244420608,40.21,151.057,28.078,0,898.391,0.820,0,0.00,4882.2,6005.0,5757.9,246.6,321.2,1238.8,186.7,9627.1,0.594,1,0.000,0.005,0.000,0.000,0.000
10,256,307.751,332.881,94.541,260714496,42.17,182.602,30.608,0,1040.475,0.820,0,0.00,4882.2,5996.9,5756.8,239.6,321.3,1267.2,177.1,9667.4,0.515,1,0.000,0.005,0.000,0.000,0.000
