# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=3 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,466.768,617.348,194.339,452689920,6.53,208.038,64.391,13953,1545.163,-1.000,0,54.50,5000.0,6320.7,5814.9,505.5,381.7,1312.1,164.1,9638.2,0.394,1,0.000,0.006,0.000,0.000,0.000
2,256,294.142,393.556,108.321,312655872,13.13,146.257,39.564,12,1026.811,0.820,0,0.05,5000.0,6314.8,5815.8,498.6,381.6,1316.0,170.4,9636.4,1.806,1,0.000,0.006,0.000,0.000,0.000
3,256,338.273,462.094,93.772,363024384,18.07,200.262,44.240,56,1168.871,0.820,0,0.22,5000.0,6300.8,5816.4,484.1,381.5,1318.5,162.1,9632.0,0.568,1,0.000,0.005,0.000,0.000,0.000
4,256,227.522,233.466,114.121,172032000,23.80,84.345,29.056,4,792.469,0.820,0,0.02,5000.0,6292.2,5815.2,476.6,381.4,1321.3,168.6,9627.5,0.579,1,0.000,0.004,9.172,0.000,0.000
5,256,276.484,305.099,97.677,242049024,28.09,147.361,31.446,2,956.490,0.820,0,0.01,5000.0,6286.0,5814.6,471.0,381.4,1325.5,173.4,9622.5,0.579,1,0.000,0.004,2.331,0.000,0.000
6,256,250.595,248.183,109.740,194248704,32.20,105.591,35.263,2,873.024,0.820,0,0.01,5000.0,6285.7,5814.3,471.0,381.4,1323.3,170.2,9630.2,0.568,1,0.000,0.005,11.520,0.000,0.000
7,256,244.310,189.740,131.813,137465856,35.98,94.589,17.908,55,815.382,0.820,0,0.21,5000.0,6280.1,5816.0,463.7,381.2,1316.3,170.9,9645.8,0.571,1,0.000,0.005,0.868,0.000,0.000
8,256,255.512,264.062,111.337,201854976,38.86,115.615,28.560,1,889.755,0.820,0,0.00,5000.0,6271.8,5815.1,456.3,381.1,1323.2,169.1,9638.8,0.515,1,0.000,0.005,3.082,0.000,0.000
9,256,266.550,299.995,100.935,231088128,41.27,135.819,29.795,0,933.475,0.820,0,0.00,5000.0,6273.2,5816.4,456.3,381.4,1329.7,171.8,9631.5,0.562,1,0.000,0.005,3.513,0.000,0.000
10,256,259.562,322.941,108.479,255381504,43.23,121.180,29.902,0,909.261,0.820,0,0.00,5000.0,6268.5,5815.9,452.2,381.4,1336.4,178.4,9625.2,5.303,1,0.000,0.004,0.000,0.000,0.000
11,256,247.283,239.241,102.277,169660416,45.43,120.772,24.234,54,824.387,0.820,0,0.21,5000.0,6265.5,5815.2,449.8,381.2,1339.9,191.2,9619.0,0.736,1,0.000,0.005,0.000,0.000,0.000
12,256,287.246,365.734,98.067,282239552,46.87,152.143,37.035,2,1018.035,0.820,0,0.01,5000.0,6263.4,5814.8,448.2,381.2,1346.6,207.0,9613.4,0.560,1,0.000,0.004,3.456,0.000,0.000
13,256,259.487,275.126,103.057,203538432,48.52,113.256,43.174,0,882.561,0.820,0,0.00,5000.0,6257.9,5815.7,441.8,381.2,1350.0,217.7,9609.4,4.672,1,0.000,0.005,9.896,0.000,0.000
