# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=3 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,374.376,480.196,188.082,452689920,6.53,121.708,64.586,14339,1363.343,-1.000,0,56.01,5000.0,6341.7,5843.0,498.3,353.7,1254.3,165.7,9759.7,0.402,1,0.000,0.006,0.000,0.000,0.000
2,256,267.005,344.622,127.506,312655872,13.10,103.405,36.094,9,964.936,0.820,0,0.04,5000.0,6334.8,5843.7,490.7,353.7,1253.3,147.2,9758.7,1.111,1,0.000,0.004,0.000,0.000,0.000
3,256,278.089,404.799,94.153,363024384,18.07,130.571,53.365,38,1006.095,0.820,0,0.15,5000.0,6328.2,5844.4,483.4,353.6,1255.7,156.0,9753.1,0.610,1,0.000,0.004,2.046,0.000,0.000
4,256,219.218,207.458,110.101,172032000,23.71,80.771,28.346,3,767.163,0.820,0,0.01,5000.0,6319.3,5843.2,475.7,353.6,1259.1,158.6,9750.1,0.587,1,0.000,0.004,4.561,0.000,0.000
5,256,238.805,279.220,105.421,242049024,27.94,100.157,33.228,2,859.742,0.820,0,0.01,5000.0,6311.3,5842.6,468.3,353.6,1264.6,169.1,9744.4,2.012,1,0.000,0.004,0.000,0.000,0.000
6,256,231.546,239.590,105.107,194248704,32.01,88.681,37.759,1,826.390,0.820,0,0.00,5000.0,6310.2,5842.2,467.6,353.6,1267.0,172.6,9738.6,4.694,1,0.000,0.005,6.446,0.000,0.000
7,256,203.341,175.872,109.194,137465856,35.79,68.665,25.481,39,703.942,0.820,0,0.15,5000.0,6304.6,5843.6,460.6,353.6,1268.4,181.2,9735.9,5.004,1,0.000,0.004,4.142,0.000,0.000
8,256,231.695,243.760,104.145,201854976,38.65,104.043,23.507,1,789.728,0.820,0,0.00,5000.0,6296.7,5843.0,453.3,353.6,1273.9,197.2,9729.6,0.572,1,0.000,0.004,0.000,0.000,0.000
9,256,245.717,273.346,102.830,231088128,41.07,107.763,35.124,0,849.623,0.820,0,0.00,5000.0,6298.3,5844.6,453.3,353.6,1272.5,193.3,9734.1,0.567,1,0.000,0.005,5.572,0.000,0.000
10,256,257.077,300.090,105.507,252715008,43.02,109.384,42.186,0,890.806,0.820,0,0.00,5000.0,6291.7,5844.1,447.2,353.4,1272.9,202.5,9734.7,0.523,1,0.000,0.005,0.000,0.000,0.000
11,256,233.091,225.669,100.331,169660416,45.22,108.149,24.611,38,790.928,0.820,0,0.15,5000.0,6290.8,5843.1,447.2,353.3,1278.9,213.3,9728.9,0.599,1,0.000,0.004,0.000,0.000,0.000
12,256,253.786,325.652,103.586,282239552,46.66,114.188,36.012,1,891.304,0.820,0,0.00,5000.0,6284.9,5842.8,441.7,353.3,1275.9,204.8,9729.9,2.852,1,0.000,0.004,2.430,0.000,0.000
13,256,236.451,256.290,94.358,203538432,48.35,115.908,26.186,0,839.422,0.820,0,0.00,5000.0,6278.5,5843.6,434.4,353.3,1274.7,209.0,9734.5,0.580,1,0.000,0.004,1.832,0.000,0.000
14,256,298.874,459.223,77.215,409251840,48.89,164.977,56.682,0,1067.871,0.820,0,0.00,5000.0,6279.6,5844.7,434.4,353.3,1277.6,214.6,9733.8,5.122,1,0.000,0.005,0.000,0.000,0.000
15,256,236.130,213.703,123.674,161169408,50.48,80.817,31.639,38,797.813,0.820,0,0.15,5000.0,6271.1,5843.6,427.1,353.2,1281.7,227.4,9734.5,0.527,1,0.000,0.005,8.317,0.000,0.000
16,256,210.060,168.427,121.226,126308352,52.07,73.662,15.173,0,699.605,0.820,0,0.00,5000.0,6265.4,5843.4,421.6,353.4,1285.3,226.4,9730.5,0.576,1,0.000,0.004,0.000,0.000,0.000
17,256,212.238,183.708,116.621,149913600,53.45,78.646,16.971,2,724.050,0.820,0,0.01,5000.0,6265.2,5843.2,421.6,353.4,1289.9,233.3,9726.0,0.525,1,0.000,0.005,0.000,0.000,0.000
18,256,239.505,269.481,108.277,219930624,54.43,105.900,25.328,0,808.962,0.820,0,0.00,5000.0,6259.4,5844.2,414.8,353.4,1290.1,237.0,9724.5,5.090,1,0.000,0.004,0.000,0.000,0.000
19,256,218.375,169.695,127.665,128778240,55.72,69.146,21.563,37,748.597,0.820,0,0.14,5000.0,6242.9,5827.6,414.8,369.8,1317.4,239.9,9735.6,0.559,1,0.000,0.005,5.970,0.000,0.000
20,256,195.437,136.060,110.210,106954752,56.98,68.080,17.147,0,665.402,0.820,0,0.00,5000.0,6226.5,5817.2,408.8,380.3,1333.8,262.6,9719.6,5.631,1,0.000,0.005,4.595,0.000,0.000
21,256,191.431,137.056,106.164,104386560,58.14,68.090,17.177,1,638.686,0.820,0,0.00,5000.0,6226.2,5817.0,408.8,381.1,1331.5,265.6,9728.2,0.527,1,0.000,0.005,4.305,0.000,0.000
22,256,187.566,129.350,114.797,93917184,59.28,60.007,12.762,0,635.300,0.820,0,0.00,5000.0,6224.1,5816.6,407.1,381.1,1330.4,270.0,9731.5,0.525,1,0.000,0.004,1.636,0.000,0.000
23,256,195.401,141.599,125.328,104189952,60.29,51.009,19.064,36,655.640,0.820,0,0.14,5000.0,6217.5,5816.7,400.3,381.1,1333.3,286.0,9728.5,0.543,1,0.000,0.004,2.117,0.000,0.000
24,256,175.417,71.413,128.269,51056640,61.41,35.635,11.512,1,596.456,0.820,0,0.00,5000.0,6213.7,5819.9,393.3,381.1,1333.3,295.7,9724.2,0.542,1,0.000,0.004,1.251,0.000,0.000
25,256,187.465,121.091,115.890,96387072,62.33,58.276,13.299,0,642.245,0.820,0,0.00,5000.0,6210.4,5816.7,393.3,381.1,1329.7,269.5,9722.0,0.568,1,0.000,0.004,1.180,0.000,0.000
