# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=3 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,437.621,575.120,176.330,452689920,6.53,199.199,62.092,11039,1503.852,-1.000,0,43.12,5000.0,6229.0,5819.1,409.5,377.6,1187.6,140.0,9689.1,0.399,1,0.000,0.007,0.000,0.000,0.000
2,256,287.392,371.097,110.003,312655872,13.29,128.267,49.122,13,1023.378,0.820,0,0.05,5000.0,6224.4,5820.0,404.0,377.6,1187.5,137.8,9694.4,3.998,1,0.000,0.005,11.334,0.000,0.000
3,256,314.846,456.567,95.872,368357376,18.37,158.505,60.468,53,1100.801,0.820,0,0.21,5000.0,6219.4,5820.5,398.5,377.3,1193.8,130.4,9687.9,0.557,1,0.000,0.004,13.948,0.000,0.000
4,256,314.858,278.106,158.479,174796800,24.20,126.647,29.732,3,954.275,0.820,0,0.01,5000.0,6168.0,5819.5,348.1,377.3,1188.4,142.5,9688.2,4.616,1,0.000,0.005,7.676,0.000,0.000
5,256,260.519,306.549,100.161,242049024,28.48,120.992,39.366,1,915.597,0.820,0,0.00,5000.0,6162.8,5818.9,343.5,377.3,1195.7,158.5,9681.0,0.604,1,0.000,0.004,12.011,0.000,0.000
6,256,230.989,266.225,103.392,204914688,32.66,81.789,45.809,1,837.728,0.820,0,0.00,5000.0,6165.0,5821.1,343.5,377.3,1196.1,158.5,9679.6,0.564,1,0.000,0.005,22.733,0.000,0.000
7,256,225.972,205.640,118.754,148131840,36.52,73.039,34.179,64,780.953,0.820,0,0.25,5000.0,6164.0,5820.1,343.5,377.1,1201.7,168.2,9674.3,4.976,1,0.000,0.004,11.499,0.000,0.000
8,256,234.667,276.678,107.840,212520960,39.50,94.411,32.416,1,822.398,0.820,0,0.00,5000.0,6160.9,5822.1,338.5,377.1,1204.5,180.5,9669.3,5.531,1,0.000,0.004,7.174,0.000,0.000
9,256,251.279,297.376,96.868,239087616,41.96,111.466,42.944,0,916.499,0.820,0,0.00,5000.0,6155.2,5821.2,333.6,377.1,1204.3,178.9,9678.7,5.256,1,0.000,0.004,10.175,0.000,0.000
10,256,271.527,335.857,98.656,263380992,43.90,136.183,36.687,0,933.281,0.820,0,0.00,5000.0,6149.6,5820.6,328.6,377.1,1215.7,197.1,9671.5,5.240,1,0.000,0.004,5.883,0.000,0.000
11,256,239.488,254.112,107.446,182992896,46.11,103.143,28.899,50,822.153,0.820,0,0.20,5000.0,6151.5,5822.5,328.6,376.8,1216.3,196.9,9666.5,0.560,1,0.000,0.004,7.887,0.000,0.000
12,256,293.383,359.365,117.105,284906048,47.60,127.108,49.170,1,1050.249,0.820,0,0.00,5000.0,6139.6,5819.5,319.7,376.8,1219.0,194.6,9665.3,0.567,1,0.000,0.004,14.848,0.000,0.000
13,256,247.079,274.530,79.935,208871424,49.36,106.329,60.814,0,848.905,0.820,0,0.00,5000.0,6140.5,5820.4,319.7,376.8,1218.9,196.7,9663.3,6.518,1,0.000,0.005,31.944,0.000,0.000
14,256,327.685,509.419,88.010,409251840,49.87,186.840,52.836,0,1167.379,0.820,0,0.00,5000.0,6137.1,5821.6,315.1,376.8,1209.9,189.4,9670.7,0.589,1,0.000,0.005,4.059,0.000,0.000
15,256,230.535,247.298,107.178,182501376,51.52,88.227,35.131,50,791.515,0.820,0,0.20,5000.0,6131.2,5820.2,310.6,376.6,1230.9,218.8,9684.9,4.630,1,0.000,0.005,13.447,0.000,0.000
16,256,216.435,201.949,114.328,147738624,53.14,73.064,29.042,0,762.938,0.820,0,0.00,5000.0,6120.7,5809.7,310.6,387.3,1242.2,233.6,9680.7,0.574,1,0.000,0.004,11.908,0.000,0.000
17,256,231.271,212.293,93.163,160579584,54.47,118.819,19.289,0,781.994,0.820,0,0.00,5000.0,6113.4,5806.4,306.6,390.1,1253.1,252.0,9674.5,0.511,1,0.000,0.005,0.537,0.000,0.000
18,256,258.397,294.634,100.835,219930624,55.43,131.583,25.978,0,857.379,0.820,0,0.00,5000.0,6111.1,5807.3,303.4,390.2,1256.1,260.7,9668.5,4.749,1,0.000,0.005,0.000,0.000,0.000
19,256,211.137,186.960,115.319,139444224,56.80,69.065,26.753,53,734.673,0.820,0,0.21,5000.0,6107.3,5807.4,299.5,390.1,1253.4,254.3,9669.3,4.999,1,0.000,0.004,10.126,0.000,0.000
20,256,244.324,173.968,151.955,128385024,58.08,56.123,36.246,1,831.287,0.820,0,0.00,5000.0,6107.4,5807.6,299.5,390.1,1243.7,222.7,9693.8,0.565,1,0.000,0.005,12.884,0.000,0.000
21,256,203.514,171.094,108.382,128483328,59.24,75.937,19.196,1,698.107,0.820,0,0.00,5000.0,6105.3,5808.0,297.0,390.1,1252.6,237.0,9690.3,0.524,1,0.000,0.004,3.545,0.000,0.000
22,256,195.440,146.710,116.367,104583168,60.38,64.770,14.303,0,675.255,0.820,0,0.00,5000.0,6105.3,5807.9,297.0,390.1,1256.8,244.7,9684.8,0.544,1,0.000,0.005,2.181,0.000,0.000
23,256,203.454,172.384,111.161,123150336,61.40,64.317,27.975,52,695.243,0.820,0,0.20,5000.0,6102.8,5807.8,294.6,389.8,1260.0,253.5,9681.3,0.526,1,0.000,0.005,13.122,0.000,0.000
24,256,175.494,99.773,128.472,69722112,62.54,28.089,18.932,1,622.429,0.820,0,0.00,5000.0,6108.4,5813.4,294.6,389.8,1258.3,256.0,9677.1,0.557,1,0.000,0.005,10.997,0.000,0.000
25,256,193.884,148.749,109.473,109817856,63.45,57.070,27.341,0,664.503,0.820,0,0.00,5000.0,6100.6,5808.1,292.1,389.8,1265.6,269.1,9673.6,0.565,1,0.000,0.005,9.657,0.000,0.000
26,256,228.983,186.030,99.973,136679424,64.21,94.283,34.728,0,785.552,0.820,0,0.00,5000.0,6100.2,5807.7,292.1,389.8,1271.9,281.4,9666.9,0.521,1,0.000,0.004,6.127,0.000,0.000
27,256,175.507,112.102,114.850,78114816,65.12,31.302,29.355,52,614.561,0.820,0,0.20,5000.0,6097.8,5808.6,288.9,389.7,1273.4,290.2,9664.9,0.506,1,0.000,0.004,20.163,0.000,0.000
28,256,190.946,141.316,130.637,99053568,65.95,46.960,13.348,1,675.733,0.820,0,0.00,5000.0,6096.1,5811.0,284.7,389.7,1273.8,297.7,9659.2,0.511,1,0.000,0.005,1.668,0.000,0.000
29,256,175.261,97.643,129.298,72093696,66.79,31.078,14.885,0,648.666,0.820,0,0.00,5000.0,6093.8,5808.7,284.7,389.7,1276.5,304.8,9657.4,5.060,1,0.000,0.005,1.093,0.000,0.000
30,256,168.578,87.212,133.389,56586240,67.63,21.708,13.480,0,585.754,0.820,0,0.00,5000.0,6090.0,5807.9,281.7,389.7,1277.5,276.5,9659.4,4.716,1,0.000,0.004,5.931,0.000,0.000
31,256,378.410,107.176,302.469,75055104,68.36,53.387,22.554,51,1059.813,0.820,0,0.20,5000.0,6089.9,5808.0,281.5,389.6,1268.6,140.1,9840.1,0.532,1,0.000,0.006,8.449,0.000,0.000
32,256,215.494,80.859,188.109,53723136,69.11,16.157,11.229,1,722.302,0.820,0,0.00,5000.0,6084.1,5808.2,275.5,389.6,1300.4,181.0,9838.5,0.548,1,0.000,0.005,4.069,0.000,0.000
33,256,287.364,380.614,83.596,291729408,69.25,146.345,57.423,0,984.671,0.820,0,0.00,5000.0,6080.4,5807.8,272.2,389.6,1308.5,197.3,9832.0,0.581,1,0.000,0.004,22.575,0.000,0.000
34,256,258.020,263.438,99.751,201363456,69.58,127.084,31.185,1,847.692,0.820,0,0.00,5000.0,6076.0,5807.8,267.7,389.6,1311.2,207.3,9826.2,0.527,1,0.000,0.005,6.978,0.000,0.000
35,256,284.086,357.707,99.307,289062912,69.66,145.657,39.122,52,979.304,0.820,0,0.20,5000.0,6075.0,5807.0,267.6,389.3,1322.8,218.8,9826.7,5.391,1,0.000,0.005,4.115,0.000,0.000
36,256,223.456,171.835,106.385,120975360,70.19,72.879,44.192,0,760.611,0.820,0,0.00,5000.0,6069.1,5805.5,263.2,391.7,1322.1,223.4,9822.5,0.579,1,0.000,0.004,26.037,0.000,0.000
37,256,198.790,148.273,110.139,99643392,70.75,47.806,40.846,2,707.481,0.820,0,0.01,5000.0,6064.8,5805.7,258.7,391.8,1326.4,232.5,9817.8,0.513,1,0.000,0.005,23.886,0.000,0.000
38,256,223.504,176.250,118.935,123838464,71.25,57.749,46.820,1,766.314,0.820,0,0.00,5000.0,6064.8,5805.7,258.7,391.8,1328.3,231.0,9814.1,5.181,1,0.000,0.005,31.658,0.000,0.000
39,256,179.364,125.661,121.094,91152384,71.77,19.966,38.304,52,653.391,0.820,0,0.20,5000.0,6066.7,5811.5,254.9,391.8,1324.1,231.7,9813.5,0.583,1,0.000,0.005,27.072,0.000,0.000
40,256,199.536,171.946,115.484,131543040,72.17,60.706,23.347,0,714.612,0.820,0,0.00,5000.0,6060.9,5805.6,254.9,392.2,1333.5,245.0,9808.0,0.539,1,0.000,0.005,7.202,0.000,0.000
41,256,207.408,151.034,114.143,107544576,72.58,56.959,36.306,1,712.381,0.820,0,0.00,5000.0,6057.3,5805.9,251.1,392.2,1335.1,253.2,9804.8,0.508,1,0.000,0.005,23.520,0.000,0.000
42,256,182.684,58.334,155.561,37625856,73.11,17.053,10.070,0,630.422,0.820,0,0.00,5000.0,6056.8,5805.3,251.1,392.2,1335.0,256.0,9803.1,0.547,1,0.000,0.005,0.000,0.000,0.000
43,256,211.929,150.032,119.525,104779776,73.48,69.089,23.315,53,709.947,0.820,0,0.21,5000.0,6052.7,5805.0,247.2,392.1,1338.3,266.7,9797.4,4.836,1,0.000,0.005,10.786,0.000,0.000
44,256,223.527,186.728,107.055,134111232,73.80,95.775,20.696,1,739.892,0.820,0,0.00,5000.0,6052.7,5805.0,247.2,392.3,1341.7,274.8,9791.9,0.514,1,0.000,0.004,4.916,0.000,0.000
45,256,193.649,127.899,112.291,88780800,74.18,42.666,38.691,2,652.159,0.820,0,0.01,5000.0,6050.2,5804.2,245.6,394.0,1342.7,282.5,9788.7,0.515,1,0.000,0.005,26.806,0.000,0.000
46,256,204.974,160.218,110.616,112975872,74.51,49.723,44.635,0,728.753,0.820,0,0.00,5000.0,6048.1,5802.1,245.6,395.5,1350.2,293.1,9781.7,0.541,1,0.000,0.004,26.840,0.000,0.000
47,256,205.690,155.549,111.710,112975872,74.84,52.328,41.652,51,712.095,0.820,0,0.20,5000.0,6044.6,5800.6,243.6,395.3,1356.4,304.4,9778.8,4.817,1,0.000,0.005,23.099,0.000,0.000
48,256,175.289,69.346,142.358,48586752,75.25,22.535,10.397,1,629.648,0.820,0,0.00,5000.0,6042.7,5798.7,243.6,397.1,1358.1,308.0,9774.1,5.729,1,0.000,0.004,0.000,0.000,0.000
49,256,186.721,125.761,114.722,91643904,75.57,46.905,25.094,0,668.713,0.820,0,0.00,5000.0,6043.4,5799.4,243.6,397.1,1360.5,314.7,9768.9,5.338,1,0.000,0.005,13.864,0.000,0.000
50,256,175.468,84.655,120.854,56389632,75.97,12.271,42.344,1,637.685,0.820,0,0.00,5000.0,6037.7,5797.4,239.9,399.3,1360.4,319.3,9765.4,5.225,1,0.000,0.005,22.183,0.000,0.000
51,256,187.463,135.206,125.831,99446784,76.26,44.104,17.527,51,660.855,0.820,0,0.20,5000.0,6037.7,5797.5,239.9,399.3,1362.1,325.8,9763.1,0.539,1,0.000,0.005,5.392,0.000,0.000
52,256,167.503,53.481,137.040,34959360,76.63,16.811,13.652,2,593.209,0.820,0,0.01,5000.0,6035.6,5797.7,237.5,399.3,1364.4,334.8,9759.9,0.506,1,0.000,0.005,0.625,0.000,0.000
53,256,158.954,59.615,134.863,40095744,76.99,11.504,12.586,1,564.736,0.820,0,0.00,5000.0,6035.4,5797.6,237.5,399.3,1364.9,338.7,9756.1,0.508,1,0.000,0.005,6.202,0.000,0.000
54,256,155.308,29.845,151.301,18960384,77.36,0.000,4.008,1,557.269,0.820,0,0.00,5000.0,6032.0,5797.5,234.1,399.5,1366.9,348.0,9754.1,0.527,1,0.000,0.004,0.842,0.000,0.000
55,256,200.148,117.330,124.187,72486912,77.65,44.768,31.193,51,675.953,0.820,0,0.20,5000.0,6027.8,5797.8,229.6,399.3,1370.4,364.1,9750.4,0.542,1,0.000,0.005,21.317,0.000,0.000
56,256,231.485,120.305,149.255,88584192,77.91,49.966,32.265,2,749.618,0.820,0,0.01,5000.0,6030.2,5800.2,229.6,397.4,1357.9,325.5,9763.2,0.595,1,0.000,0.005,20.883,0.000,0.000
57,256,191.402,99.364,135.098,67448832,78.19,36.937,19.368,1,666.976,0.820,0,0.00,5000.0,6026.8,5800.3,226.1,397.4,1361.3,338.3,9759.7,0.559,1,0.000,0.005,10.544,0.000,0.000
58,256,175.512,85.277,129.871,56193024,78.50,18.984,26.657,1,634.756,0.820,0,0.00,5000.0,6022.5,5800.2,221.9,397.4,1362.5,349.6,9757.5,0.515,1,0.000,0.004,14.756,0.000,0.000
