# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,440.909,573.289,206.740,452689920,6.53,166.976,67.193,13167,1475.434,-1.000,0,51.43,5000.0,6248.4,5825.6,422.4,371.2,1219.3,126.5,9668.6,0.400,1,0.000,0.006,0.000,0.000,0.000
2,256,273.529,381.543,106.688,312655872,13.10,128.134,38.707,0,942.450,0.824,0,0.00,5000.0,6244.7,5826.1,418.1,371.2,1223.9,129.3,9662.1,1.522,1,0.000,0.005,0.000,0.000,0.000
3,256,314.683,466.062,105.295,365690880,17.95,165.922,43.467,49,1061.407,0.824,0,0.19,5000.0,6242.8,5826.8,415.6,371.0,1227.4,125.9,9654.3,0.586,1,0.000,0.005,0.000,0.000,0.000
4,256,210.569,229.084,101.432,172032000,23.58,85.237,23.900,1,709.860,0.824,0,0.00,5000.0,6237.7,5825.5,411.7,371.0,1232.7,131.0,9649.4,1.636,1,0.000,0.005,0.000,0.000,0.000
5,256,243.591,316.480,109.897,242049024,27.78,99.098,34.596,1,840.939,0.824,0,0.00,5000.0,6237.1,5824.9,411.7,371.0,1238.7,130.9,9641.9,1.440,1,0.000,0.006,0.000,0.000,0.000
6,256,235.439,266.452,107.622,196915200,31.68,91.089,36.728,0,806.916,0.824,0,0.00,5000.0,6236.6,5824.4,411.7,371.1,1245.4,138.3,9634.6,4.971,1,0.000,0.005,0.000,0.000,0.000
7,256,214.200,188.749,120.208,142798848,35.41,59.297,34.695,49,719.499,0.824,0,0.19,5000.0,6238.2,5826.1,411.7,371.0,1241.3,119.4,9635.9,0.591,1,0.000,0.006,0.000,0.000,0.000
8,256,228.645,259.717,106.929,199188480,38.31,98.141,23.575,1,781.662,0.824,0,0.00,5000.0,6233.5,5825.2,407.9,371.0,1246.2,127.1,9633.0,0.523,1,0.000,0.005,0.000,0.000,0.000
9,256,254.443,315.406,116.421,239087616,40.63,109.621,28.400,0,869.752,0.824,0,0.00,5000.0,6230.9,5827.1,403.4,371.0,1249.4,132.2,9625.5,0.572,1,0.000,0.006,0.000,0.000,0.000
10,256,251.906,315.944,97.309,250048512,42.62,123.267,31.330,0,835.243,0.824,0,0.00,5000.0,6230.2,5826.4,403.4,371.0,1248.0,129.3,9629.2,4.952,1,0.000,0.005,0.000,0.000,0.000
