# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,462.740,562.138,205.490,452689920,6.53,200.065,57.186,16500,1562.612,-1.000,0,64.45,5000.0,6276.1,5850.0,425.7,346.5,1256.6,175.1,9786.4,0.402,1,0.000,0.007,0.000,0.000,0.000
2,256,290.117,382.663,121.721,312655872,13.10,128.651,39.745,0,1006.256,0.820,0,0.00,5000.0,6275.6,5849.5,425.7,347.6,1260.6,161.4,9777.9,1.472,1,0.000,0.006,0.000,0.000,0.000
3,256,298.147,459.161,89.236,365690880,17.95,155.245,53.666,37,1058.059,0.820,0,0.14,5000.0,6272.6,5849.9,422.2,347.6,1265.9,168.1,9770.6,4.906,1,0.000,0.006,0.000,0.000,0.000
4,256,232.028,229.235,106.203,172032000,23.58,106.699,19.126,1,787.855,0.820,0,0.00,5000.0,6267.5,5848.7,418.5,347.6,1270.0,170.5,9765.6,5.278,1,0.000,0.005,0.000,0.000,0.000
5,256,279.485,312.887,109.920,242049024,27.78,140.488,29.076,1,941.962,0.820,0,0.00,5000.0,6264.3,5848.2,415.7,347.8,1275.4,188.5,9761.0,0.533,1,0.000,0.006,0.000,0.000,0.000
6,256,251.417,260.454,106.963,196915200,31.68,117.648,26.806,0,847.400,0.820,0,0.00,5000.0,6260.5,5847.6,412.5,347.8,1274.8,190.8,9761.4,0.596,1,0.000,0.006,0.000,0.000,0.000
7,256,235.466,202.217,115.039,142798848,35.41,98.621,21.806,37,767.359,0.820,0,0.14,5000.0,6258.6,5849.2,409.0,347.6,1279.1,197.6,9757.4,0.545,1,0.000,0.006,0.000,0.000,0.000
8,256,265.084,274.600,119.406,199188480,38.31,121.826,23.853,1,889.425,0.820,0,0.00,5000.0,6257.8,5848.4,409.0,347.6,1275.9,199.8,9759.9,0.532,1,0.000,0.006,0.000,0.000,0.000
9,256,263.482,308.660,102.595,239087616,40.63,130.234,30.653,0,896.254,0.820,0,0.00,5000.0,6256.4,5850.0,406.0,347.6,1278.3,207.7,9765.7,2.901,1,0.000,0.006,0.000,0.000,0.000
10,256,279.166,332.840,94.541,250048512,42.62,155.155,29.470,0,940.492,0.820,0,0.00,5000.0,6251.9,5849.7,401.8,347.6,1283.7,216.6,9758.7,0.534,1,0.000,0.006,0.000,0.000,0.000
