# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,547.040,606.736,241.951,452689920,6.53,243.406,61.683,13692,1746.134,-1.000,0,53.48,5000.0,6316.0,5860.3,455.4,336.2,1212.6,151.6,9690.7,0.401,1,0.000,0.009,0.000,0.000,0.000
2,256,300.561,380.660,116.897,315322368,13.32,141.601,42.063,10,1083.943,0.820,0,0.04,5000.0,6310.0,5861.3,448.5,336.2,1214.8,129.4,9685.2,10.357,1,0.000,0.005,4.996,0.000,0.000
3,256,324.069,441.829,105.208,368357376,18.34,162.106,56.756,33,1160.102,0.820,0,0.13,5000.0,6304.3,5861.8,442.2,336.2,1222.1,135.8,9677.0,5.000,1,0.000,0.004,10.128,0.000,0.000
4,256,250.511,236.200,122.148,172032000,24.05,101.418,26.944,14,861.114,0.820,0,0.05,5000.0,6303.2,5860.7,442.2,336.2,1227.1,136.9,9669.7,0.612,1,0.000,0.005,2.378,0.000,0.000
5,256,260.861,311.109,98.628,242049024,28.31,117.725,44.507,1,922.588,0.820,0,0.00,5000.0,6298.8,5860.0,438.5,336.1,1234.2,147.8,9662.2,0.553,1,0.000,0.005,7.520,0.000,0.000
6,256,242.339,269.193,124.398,207581184,32.47,76.375,41.566,2,877.927,0.820,0,0.01,5000.0,6298.4,5859.7,438.5,336.1,1234.6,148.9,9664.5,0.572,1,0.000,0.004,12.997,0.000,0.000
7,256,235.440,204.806,121.980,148131840,36.28,78.300,35.161,32,818.864,0.820,0,0.12,5000.0,6296.6,5861.2,435.1,335.9,1236.8,156.7,9661.7,5.077,1,0.000,0.004,8.190,0.000,0.000
8,256,251.467,272.879,109.489,212520960,39.26,108.993,32.984,1,880.218,0.820,0,0.00,5000.0,6291.9,5860.6,431.0,335.9,1240.2,167.0,9656.7,0.541,1,0.000,0.004,8.116,0.000,0.000
9,256,259.429,303.420,107.567,239087616,41.71,114.968,36.894,0,922.334,0.820,0,0.00,5000.0,6289.4,5862.3,426.9,335.9,1242.8,175.3,9650.0,0.598,1,0.000,0.004,10.066,0.000,0.000
10,256,266.575,332.198,99.398,263380992,43.66,126.399,40.777,0,963.476,0.820,0,0.00,5000.0,6288.8,5861.6,426.9,336.1,1248.9,183.3,9645.0,0.521,1,0.000,0.005,1.188,0.000,0.000
