# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,459.670,595.733,188.472,452689920,6.53,206.343,64.855,11683,1552.470,-1.000,0,45.64,5000.0,6145.9,5804.5,341.0,392.2,1219.4,131.0,9841.2,0.400,1,0.000,0.006,0.000,0.000,0.000
2,256,290.436,387.779,102.474,312655872,13.29,129.217,58.745,15,1039.050,0.820,0,0.06,5000.0,6143.9,5805.1,338.4,392.5,1224.5,140.1,9833.7,6.510,1,0.000,0.006,19.906,0.000,0.000
3,256,294.708,445.418,98.545,368357376,18.32,145.299,50.864,65,1102.457,0.820,0,0.25,5000.0,6141.8,5805.7,335.6,392.2,1227.3,150.1,9828.2,0.587,1,0.000,0.005,3.051,0.000,0.000
4,256,234.996,229.394,107.763,172032000,24.03,99.551,27.681,14,801.472,0.820,0,0.05,5000.0,6137.9,5804.5,333.0,392.2,1230.6,159.8,9823.6,5.233,1,0.000,0.004,7.239,0.000,0.000
5,256,303.900,298.539,129.965,242049024,28.29,140.201,33.733,1,1035.742,0.820,0,0.00,5000.0,6134.7,5804.0,330.3,392.2,1238.4,171.1,9852.3,0.596,1,0.000,0.005,0.141,0.000,0.000
6,256,251.376,269.179,113.566,204914688,32.45,95.610,42.200,1,898.983,0.820,0,0.00,5000.0,6134.3,5803.6,330.3,392.2,1250.5,169.9,9848.1,0.603,1,0.000,0.005,9.848,0.000,0.000
7,256,242.847,204.380,137.896,148131840,36.27,81.771,23.180,65,829.368,0.820,0,0.25,5000.0,6133.1,5804.6,328.1,392.7,1248.3,169.6,9846.8,0.574,1,0.000,0.004,3.925,0.000,0.000
8,256,252.053,276.952,105.264,209854464,39.26,106.078,40.711,1,878.188,0.820,0,0.00,5000.0,6129.3,5803.1,325.8,393.2,1252.0,177.5,9841.3,4.606,1,0.000,0.004,16.442,0.000,0.000
9,256,271.364,313.220,102.199,241754112,41.73,115.884,53.281,0,975.307,0.820,0,0.00,5000.0,6128.4,5805.0,323.0,393.2,1252.9,184.6,9835.5,0.572,1,0.000,0.004,20.281,0.000,0.000
10,256,571.457,337.145,394.909,260714496,43.67,139.176,37.372,0,1810.339,0.820,0,0.00,5000.0,6121.8,5804.4,317.0,393.2,1258.0,204.3,9850.7,0.552,1,0.000,0.004,2.172,0.000,0.000
11,256,295.401,264.242,168.215,182992896,45.90,96.685,30.500,64,957.014,0.820,0,0.25,5000.0,6118.1,5803.6,314.0,393.0,1261.1,215.4,9845.3,0.602,1,0.000,0.004,5.079,0.000,0.000
12,256,278.562,369.404,99.215,282239552,47.35,138.633,40.714,2,968.210,0.820,0,0.01,5000.0,6115.9,5803.3,312.1,393.0,1269.6,227.9,9836.8,0.575,1,0.000,0.005,3.280,0.000,0.000
13,256,259.970,282.212,86.698,208871424,49.09,120.501,52.772,0,882.684,0.820,0,0.00,5000.0,6116.7,5804.1,312.1,393.0,1274.4,235.4,9830.3,4.859,1,0.000,0.004,24.826,0.000,0.000
14,256,343.443,501.473,103.797,409251840,49.69,188.569,51.077,0,1189.368,0.820,0,0.00,5000.0,6114.8,5805.3,309.0,393.0,1271.0,198.1,9852.0,0.572,1,0.000,0.006,2.444,0.000,0.000
15,256,235.474,242.566,112.165,177168384,51.30,95.688,27.621,64,828.700,0.820,0,0.25,5000.0,6113.8,5806.5,306.9,394.2,1275.1,205.8,9844.5,0.522,1,0.000,0.005,2.673,0.000,0.000
16,256,220.881,207.665,114.680,155836416,52.93,76.371,29.830,0,776.964,0.820,0,0.00,5000.0,6110.7,5803.4,306.9,392.9,1283.4,216.2,9840.8,4.508,1,0.000,0.004,3.160,0.000,0.000
