# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,422.349,546.696,191.471,452689920,6.53,161.108,69.770,13069,1456.468,-1.000,0,51.05,5000.0,6455.3,5841.8,613.1,354.9,1325.4,199.4,9681.3,0.401,1,0.000,0.007,0.000,0.000,0.000
2,256,281.701,381.618,123.904,312655872,13.10,112.712,45.085,0,983.072,0.820,0,0.00,5000.0,6448.9,5842.5,606.0,354.9,1330.9,208.4,9673.6,1.794,1,0.000,0.006,0.000,0.000,0.000
3,256,291.436,451.296,103.911,365690880,17.95,144.849,42.677,38,1019.656,0.820,0,0.15,5000.0,6449.3,5842.9,606.0,354.9,1334.6,212.4,9666.3,4.993,1,0.000,0.008,0.000,0.000,0.000
4,256,234.471,238.125,119.311,172032000,23.58,94.651,20.509,1,762.716,0.820,0,0.00,5000.0,6440.4,5841.6,598.4,354.9,1339.7,222.5,9663.8,0.628,1,0.000,0.006,0.000,0.000,0.000
5,256,251.673,302.719,109.783,242049024,27.78,111.998,29.892,1,845.709,0.820,0,0.00,5000.0,6432.2,5841.2,590.6,354.9,1338.7,228.3,9663.3,4.962,1,0.000,0.007,0.000,0.000,0.000
6,256,251.737,268.226,134.763,196915200,31.68,92.994,23.980,0,855.847,0.820,0,0.00,5000.0,6424.3,5840.7,583.1,354.9,1342.3,238.9,9660.8,0.599,1,0.000,0.006,0.000,0.000,0.000
7,256,247.399,199.891,146.889,142798848,35.41,82.510,17.999,38,785.814,0.820,0,0.15,5000.0,6418.4,5842.3,575.6,354.6,1335.2,228.8,9693.0,0.570,1,0.000,0.005,0.000,0.000,0.000
8,256,242.972,255.376,116.357,199188480,38.31,101.346,25.269,1,806.033,0.820,0,0.00,5000.0,6417.5,5841.5,575.6,354.6,1345.9,212.1,9690.8,0.552,1,0.000,0.006,0.000,0.000,0.000
9,256,258.993,307.794,119.035,239087616,40.63,111.331,28.626,0,872.735,0.820,0,0.00,5000.0,6411.9,5843.2,568.3,354.6,1347.6,226.5,9686.4,0.608,1,0.000,0.007,0.000,0.000,0.000
10,256,274.558,328.832,116.387,250048512,42.62,128.467,29.704,0,896.774,0.820,0,0.00,5000.0,6403.9,5842.6,560.9,354.6,1341.3,201.7,9684.5,0.867,1,0.000,0.006,0.000,0.000,0.000
11,256,235.954,235.435,115.178,166993920,44.84,100.922,19.854,37,771.305,0.820,0,0.14,5000.0,6396.5,5841.7,554.4,354.5,1347.4,215.8,9679.9,0.602,1,0.000,0.005,0.000,0.000,0.000
12,256,267.968,353.003,105.787,268907072,46.32,130.326,31.856,0,909.572,0.820,0,0.00,5000.0,6389.3,5841.4,547.5,354.5,1351.3,229.3,9674.7,0.737,1,0.000,0.006,0.000,0.000,0.000
13,256,243.306,282.788,101.890,214204416,47.92,103.555,37.861,0,835.233,0.820,0,0.00,5000.0,6386.6,5838.7,547.5,358.0,1358.9,231.0,9666.5,0.632,1,0.000,0.006,0.000,0.000,0.000
14,256,315.410,498.171,103.779,411918336,48.47,157.673,53.959,0,1116.342,0.820,0,0.00,5000.0,6362.6,5822.1,540.1,375.9,1375.6,259.1,9656.2,4.844,1,0.000,0.006,0.000,0.000,0.000
15,256,231.530,223.177,110.280,163835904,50.05,97.427,23.823,38,760.405,0.820,0,0.15,5000.0,6361.3,5820.8,540.1,375.9,1381.2,261.1,9651.4,0.528,1,0.000,0.004,0.000,0.000,0.000
16,256,226.920,179.735,126.600,126308352,51.64,85.130,15.190,0,730.831,0.820,0,0.00,5000.0,6344.0,5810.6,533.0,387.1,1395.0,283.9,9637.2,0.575,1,0.000,0.006,0.000,0.000,0.000
17,256,247.784,206.647,121.391,152580096,53.00,107.454,18.939,1,798.680,0.820,0,0.00,5000.0,6336.0,5809.2,526.4,387.3,1393.0,267.9,9655.5,4.465,1,0.000,0.007,0.000,0.000,0.000
18,256,238.547,297.661,106.355,225263616,53.98,101.699,30.493,0,789.929,0.820,0,0.00,5000.0,6337.2,5810.4,526.4,387.4,1403.1,281.8,9650.5,4.708,1,0.000,0.006,0.000,0.000,0.000
19,256,216.402,176.647,138.500,128778240,55.24,62.041,15.861,39,736.146,0.820,0,0.15,5000.0,6330.4,5810.6,519.4,387.3,1405.4,295.7,9647.5,0.535,1,0.000,0.006,0.000,0.000,0.000
20,256,203.453,139.931,121.744,101621760,56.51,68.949,12.761,0,666.933,0.820,0,0.00,5000.0,6322.6,5810.2,511.9,387.3,1408.0,307.5,9644.3,0.571,1,0.000,0.006,0.000,0.000,0.000
21,256,210.996,145.472,134.038,101720064,57.68,63.890,13.069,1,701.472,0.820,0,0.00,5000.0,6316.1,5810.7,505.0,387.3,1410.9,319.9,9640.2,0.514,1,0.000,0.006,0.000,0.000,0.000
22,256,203.134,140.834,116.997,93917184,58.80,74.245,11.892,0,655.233,0.820,0,0.00,5000.0,6315.6,5810.2,505.0,387.4,1414.5,326.1,9637.0,4.950,1,0.000,0.005,0.000,0.000,0.000
23,256,211.858,144.339,118.774,104189952,59.81,75.627,17.456,38,680.739,0.820,0,0.15,5000.0,6308.7,5810.6,497.6,387.3,1417.6,339.4,9633.6,0.537,1,0.000,0.005,0.000,0.000,0.000
24,256,194.575,73.231,143.979,45723648,60.95,40.442,10.153,2,650.725,0.820,0,0.01,5000.0,6308.7,5810.7,497.6,387.3,1420.9,347.0,9629.1,0.575,1,0.000,0.005,0.000,0.000,0.000
25,256,143.652,127.242,91.791,96387072,61.86,39.026,12.834,0,496.141,0.820,0,0.00,5000.0,6306.6,5808.5,497.6,387.3,1419.6,346.3,9627.9,5.356,1,0.000,0.005,0.000,0.000,0.000
26,256,140.727,153.900,88.306,120188928,62.64,35.508,16.913,0,491.631,0.820,0,0.00,5000.0,6308.2,5810.2,497.6,387.3,1410.8,337.5,9628.4,0.540,1,0.000,0.005,0.000,0.000,0.000
27,256,128.011,98.510,89.741,70017024,63.52,27.879,10.390,37,438.392,0.820,0,0.14,5000.0,6306.3,5808.5,497.4,387.1,1412.0,333.5,9638.5,0.537,1,0.000,0.005,0.000,0.000,0.000
28,256,122.720,94.692,89.123,69525504,64.36,23.380,10.217,1,440.013,0.820,0,0.00,5000.0,6307.6,5810.7,496.5,387.1,1409.5,332.0,9639.0,0.541,1,0.000,0.005,0.000,0.000,0.000
29,256,113.593,69.107,87.640,45428736,65.21,17.769,8.185,0,409.760,0.820,0,0.00,5000.0,6307.8,5810.9,496.5,387.1,1410.2,332.7,9639.0,0.631,1,0.000,0.005,0.000,0.000,0.000
30,256,111.036,55.171,87.984,40390656,66.03,16.871,6.181,0,389.731,0.820,0,0.00,5000.0,6307.7,5810.7,496.5,387.1,1410.2,332.6,9639.0,0.527,1,0.000,0.005,0.000,0.000,0.000
31,256,111.605,63.124,87.248,50860032,66.78,16.084,8.273,37,414.422,0.820,0,0.14,5000.0,6307.4,5810.5,496.5,387.0,1409.9,332.4,9639.5,0.510,1,0.000,0.005,0.000,0.000,0.000
32,256,103.702,40.676,87.862,26861568,67.56,11.094,4.746,1,382.973,0.820,0,0.00,5000.0,6307.1,5810.2,496.5,386.9,1410.9,333.4,9639.9,0.508,1,0.000,0.005,0.000,0.000,0.000
33,256,206.215,366.595,96.685,286396416,67.67,62.171,47.358,0,747.339,0.820,0,0.00,5000.0,6306.7,5809.7,496.5,386.9,1413.1,335.5,9640.1,0.563,1,0.000,0.006,0.000,0.000,0.000
34,256,165.217,198.040,97.520,153563136,68.09,40.876,26.821,1,594.036,0.820,0,0.00,5000.0,6306.5,5809.6,496.5,386.9,1410.9,333.3,9640.1,0.878,1,0.000,0.006,0.000,0.000,0.000
35,256,200.415,344.672,97.376,286396416,68.18,54.146,48.894,37,746.418,0.820,0,0.14,5000.0,6306.2,5809.2,496.5,386.8,1413.1,335.6,9640.4,0.724,1,0.000,0.007,0.000,0.000,0.000
36,256,132.682,121.729,90.051,88977408,68.72,28.641,13.990,0,467.588,0.820,0,0.00,5000.0,6306.4,5809.5,496.5,386.8,1410.7,332.1,9640.9,0.667,1,0.000,0.005,0.000,0.000,0.000
37,256,124.707,106.412,89.014,78114816,69.25,22.671,13.021,1,462.620,0.820,0,0.00,5000.0,6307.2,5810.2,496.5,386.8,1409.6,331.0,9641.1,0.526,1,0.000,0.007,0.000,0.000,0.000
38,256,143.290,156.994,89.217,121171968,69.67,36.895,17.179,1,490.526,0.820,0,0.00,5000.0,6307.6,5810.7,496.5,386.8,1409.6,330.9,9641.2,0.557,1,0.000,0.005,0.000,0.000,0.000
39,256,125.281,106.133,87.321,77721600,70.15,25.816,12.144,38,439.240,0.820,0,0.15,5000.0,6307.7,5810.7,496.5,386.6,1409.2,330.6,9641.2,0.575,1,0.000,0.005,0.000,0.000,0.000
40,256,138.956,153.332,87.592,118112256,70.54,35.204,16.160,0,488.552,0.820,0,0.00,5000.0,6307.6,5810.6,496.5,386.6,1410.0,331.3,9641.2,0.564,1,0.000,0.005,0.000,0.000,0.000
41,256,140.873,143.753,90.594,110309376,70.93,34.654,15.625,1,490.961,0.820,0,0.00,5000.0,6307.9,5811.0,496.5,386.6,1408.7,330.1,9641.2,0.526,1,0.000,0.006,0.000,0.000,0.000
42,256,100.740,30.814,88.252,18763776,71.48,8.080,4.408,0,379.407,0.820,0,0.00,5000.0,6307.7,5810.7,496.5,386.6,1409.0,330.3,9641.5,0.593,1,0.000,0.005,0.000,0.000,0.000
43,256,135.330,136.414,88.604,102113280,71.84,32.788,13.939,38,459.364,0.820,0,0.15,5000.0,6307.8,5810.8,496.5,386.4,1407.8,329.1,9641.8,0.533,1,0.000,0.005,0.000,0.000,0.000
44,256,139.278,146.269,91.015,112582656,72.18,32.040,16.223,1,482.688,0.820,0,0.00,5000.0,6307.5,5810.6,496.5,386.4,1407.9,329.2,9642.5,0.665,1,0.000,0.005,0.000,0.000,0.000
45,256,130.787,110.703,90.658,83447808,72.55,27.557,12.572,2,451.712,0.820,0,0.01,5000.0,6308.2,5811.3,496.5,386.4,1408.4,329.8,9642.6,0.589,1,0.000,0.005,0.000,0.000,0.000
46,256,141.191,141.872,91.399,104976384,72.88,34.676,15.116,0,495.139,0.820,0,0.00,5000.0,6308.3,5811.3,496.5,386.4,1407.0,327.5,9643.6,0.539,1,0.000,0.006,0.000,0.000,0.000
47,256,136.958,142.828,89.612,99446784,73.20,32.610,14.736,38,473.968,0.820,0,0.15,5000.0,6308.2,5811.2,496.5,386.3,1407.6,328.1,9643.8,0.574,1,0.000,0.006,0.000,0.000,0.000
48,256,109.042,55.047,88.089,37724160,73.61,14.657,6.296,1,406.951,0.820,0,0.00,5000.0,6306.2,5809.3,496.5,386.3,1409.1,329.6,9643.8,0.584,1,0.000,0.004,0.000,0.000,0.000
49,256,134.272,112.410,90.690,86212608,73.93,31.821,11.761,0,462.654,0.820,0,0.00,5000.0,6306.4,5809.5,496.5,386.3,1407.7,328.1,9645.1,0.551,1,0.000,0.004,0.000,0.000,0.000
50,256,113.073,67.079,87.758,45723648,74.31,17.338,7.976,2,417.604,0.820,0,0.01,5000.0,6306.9,5809.9,496.5,386.3,1408.4,328.8,9645.2,0.506,1,0.000,0.006,0.000,0.000,0.000
51,256,129.766,110.975,90.857,80781312,74.61,27.573,11.337,37,450.896,0.820,0,0.14,5000.0,6307.7,5810.8,496.5,386.1,1407.7,328.2,9645.5,0.520,1,0.000,0.005,0.000,0.000,0.000
52,256,105.813,42.059,88.687,24195072,75.00,12.877,4.249,2,391.765,0.820,0,0.01,5000.0,6307.3,5810.3,496.5,386.1,1407.7,328.2,9645.5,0.519,1,0.000,0.005,0.000,0.000,0.000
53,256,107.825,51.228,87.922,34664448,75.35,13.837,6.065,1,396.033,0.820,0,0.00,5000.0,6306.9,5809.9,496.5,386.1,1406.6,327.1,9645.8,0.504,1,0.000,0.005,0.000,0.000,0.000
54,256,93.888,9.305,89.058,5332992,75.75,3.062,1.768,1,359.859,0.820,0,0.00,5000.0,6306.9,5810.0,496.5,386.1,1406.8,327.2,9646.0,0.523,1,0.000,0.005,0.000,0.000,0.000
55,256,127.284,98.473,88.728,69820416,76.03,27.710,10.846,38,430.540,0.820,0,0.15,5000.0,6307.4,5810.5,496.5,385.9,1406.4,326.9,9646.0,0.552,1,0.000,0.005,0.000,0.000,0.000
56,256,122.038,99.267,88.002,75251712,76.29,23.379,10.658,2,431.956,0.820,0,0.01,5000.0,6308.0,5811.1,496.5,385.9,1405.3,325.8,9646.0,0.616,1,0.000,0.005,0.000,0.000,0.000
57,256,121.905,87.685,89.874,62115840,76.56,22.841,9.189,1,436.883,0.820,0,0.00,5000.0,6308.5,5811.6,496.5,385.9,1405.3,325.8,9646.0,0.535,1,0.000,0.005,0.000,0.000,0.000
58,256,109.398,58.468,87.878,42762240,76.86,14.094,7.426,1,400.630,0.820,0,0.00,5000.0,6308.1,5811.2,496.5,385.9,1404.2,324.7,9646.7,0.520,1,0.000,0.004,0.000,0.000,0.000
59,256,156.581,189.883,92.658,139739136,77.00,43.332,20.592,37,533.717,0.820,0,0.14,5000.0,6306.7,5809.8,496.5,385.8,1406.9,327.3,9647.2,0.583,1,0.000,0.006,0.000,0.000,0.000
60,256,127.853,107.493,88.685,77721600,77.23,27.760,11.408,1,446.962,0.820,0,0.00,5000.0,6307.1,5810.2,496.5,385.8,1406.3,326.8,9647.2,0.590,1,0.000,0.005,0.000,0.000,0.000
61,256,133.052,120.992,90.291,95993856,77.42,28.515,14.246,0,470.502,0.820,0,0.00,5000.0,6307.2,5810.3,496.5,385.8,1406.0,325.9,9647.2,0.582,1,0.000,0.006,0.000,0.000,0.000
62,256,106.197,42.934,89.552,32096256,77.70,11.488,5.157,0,401.483,0.820,0,0.00,5000.0,6307.1,5810.2,496.5,385.8,1405.7,325.6,9647.5,0.526,1,0.000,0.005,0.000,0.000,0.000
63,256,179.010,261.027,95.081,206106624,77.73,52.537,31.392,36,623.643,0.820,0,0.14,5000.0,6306.8,5809.8,496.5,385.6,1400.6,296.2,9651.7,0.526,1,0.000,0.005,0.000,0.000,0.000
64,256,104.346,35.944,88.906,21528576,78.02,11.942,3.498,0,380.422,0.820,0,0.00,5000.0,6309.3,5812.3,496.5,385.6,1398.4,294.0,9651.7,0.531,1,0.000,0.005,0.000,0.000,0.000
65,256,104.570,40.762,89.334,26959872,78.28,10.572,4.663,0,389.773,0.820,0,0.00,5000.0,6309.0,5812.1,496.5,385.6,1395.8,291.3,9653.8,0.539,1,0.000,0.004,0.000,0.000,0.000
