# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,494.242,553.670,237.841,452689920,6.53,169.406,86.996,11273,1810.601,-1.000,0,44.04,5000.0,6475.0,5873.1,601.5,323.6,1309.8,141.9,9589.1,0.525,1,0.000,0.009,0.000,0.000,0.000
2,256,313.826,372.401,139.552,312655872,13.10,83.098,91.175,0,1193.518,0.820,0,0.00,5000.0,6472.7,5873.7,598.6,323.6,1313.7,148.7,9583.4,2.125,1,0.000,0.009,0.000,0.000,0.000
3,256,471.227,489.418,217.163,365690880,17.95,168.708,85.355,31,1466.134,0.820,0,0.12,5000.0,6469.2,5874.4,594.3,323.5,1370.1,136.3,9749.3,0.770,1,0.000,0.009,0.000,0.000,0.000
4,256,304.028,230.559,168.625,172032000,23.58,104.372,31.031,1,1031.550,0.820,0,0.00,5000.0,6460.3,5873.0,586.8,323.5,1366.2,131.0,9762.4,0.799,1,0.000,0.009,0.000,0.000,0.000
5,256,318.367,328.145,137.437,242049024,27.78,141.317,39.613,1,1119.940,0.820,0,0.00,5000.0,6456.2,5872.6,583.2,323.4,1402.1,173.6,9758.4,0.770,1,0.000,0.009,0.000,0.000,0.000
6,256,284.043,264.114,165.181,196915200,31.68,87.809,31.054,0,1023.397,0.820,0,0.00,5000.0,6455.9,5872.3,583.2,323.4,1408.0,182.1,9753.3,0.767,1,0.000,0.009,0.000,0.000,0.000
7,256,270.491,198.214,142.467,142798848,35.41,95.314,32.710,31,935.754,0.820,0,0.12,5000.0,6453.3,5873.8,579.1,323.2,1408.6,189.9,9749.6,0.759,1,0.000,0.008,0.000,0.000,0.000
8,256,287.638,264.545,131.831,199188480,38.31,116.027,39.779,1,1016.061,0.820,0,0.00,5000.0,6447.9,5872.9,574.6,323.2,1411.1,197.2,9745.1,0.679,1,0.000,0.008,0.000,0.000,0.000
9,256,302.944,312.910,143.943,239087616,40.63,109.649,49.352,0,1099.202,0.820,0,0.00,5000.0,6449.4,5874.5,574.5,323.2,1411.7,200.8,9740.3,0.743,1,0.000,0.008,0.000,0.000,0.000
10,256,307.254,325.192,127.446,250048512,42.62,138.448,41.359,0,1111.008,0.820,0,0.00,5000.0,6444.0,5873.9,569.7,323.2,1415.4,209.8,9737.3,0.682,1,0.000,0.007,0.000,0.000,0.000
11,256,279.250,244.047,137.367,166993920,44.84,115.329,26.555,30,946.707,0.820,0,0.12,5000.0,6438.3,5873.1,564.7,323.2,1419.9,222.6,9733.8,0.747,1,0.000,0.008,0.000,0.000,0.000
12,256,304.558,349.502,141.774,268907072,46.32,121.795,40.990,0,1093.560,0.820,0,0.00,5000.0,6438.0,5872.8,564.7,323.2,1418.1,221.3,9732.6,0.769,1,0.000,0.007,0.000,0.000,0.000
13,256,286.307,298.065,122.544,214204416,47.92,125.729,38.034,0,1003.083,0.820,0,0.00,5000.0,6434.5,5873.6,560.5,323.2,1422.2,232.5,9730.2,0.782,1,0.000,0.007,0.000,0.000,0.000
14,256,347.573,505.113,138.784,411918336,48.47,145.638,63.151,0,1328.237,0.820,0,0.00,5000.0,6430.7,5874.7,555.6,323.2,1426.0,243.5,9726.8,0.736,1,0.000,0.008,0.000,0.000,0.000
15,256,286.587,244.210,137.258,163835904,50.05,123.665,25.663,30,954.255,0.820,0,0.12,5000.0,6429.5,5873.5,555.6,323.1,1431.7,253.7,9720.8,0.682,1,0.000,0.008,0.000,0.000,0.000
16,256,256.375,183.673,135.419,126308352,51.64,97.082,23.874,1,860.857,0.820,0,0.00,5000.0,6425.5,5874.5,550.6,323.1,1434.0,264.9,9717.3,0.763,1,0.000,0.007,0.000,0.000,0.000
17,256,286.276,220.216,124.401,152580096,53.00,136.796,25.079,1,950.331,0.820,0,0.00,5000.0,6399.8,5854.0,545.3,342.1,1457.7,297.9,9695.6,0.675,1,0.000,0.007,0.000,0.000,0.000
18,256,307.894,315.776,127.540,225263616,53.98,144.389,35.964,0,1066.928,0.820,0,0.00,5000.0,6368.1,5826.8,540.8,370.7,1486.3,336.1,9663.8,0.752,1,0.000,0.008,0.000,0.000,0.000
