# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,485.529,522.671,275.430,452689920,6.53,131.399,78.700,11415,1819.551,-1.000,0,44.59,5000.0,6462.7,5871.4,591.0,325.0,1286.3,181.2,9732.0,0.525,1,0.000,0.010,0.000,0.000,0.000
2,256,308.086,366.415,175.161,312655872,13.29,68.257,64.669,17,1191.101,0.820,0,0.07,5000.0,6458.7,5872.6,585.9,324.9,1287.2,186.3,9729.1,2.212,1,0.000,0.006,6.140,0.000,0.000
3,256,349.333,441.316,166.794,368357376,18.32,116.954,65.585,46,1338.759,0.820,0,0.18,5000.0,6454.6,5873.1,581.3,324.8,1292.5,195.3,9729.7,5.550,1,0.000,0.006,5.076,0.000,0.000
4,256,279.305,228.893,138.446,172032000,24.05,103.449,37.411,3,1003.420,0.820,0,0.01,5000.0,6453.0,5871.9,580.8,324.6,1298.8,202.2,9727.6,3.453,1,0.000,0.006,6.795,0.000,0.000
5,256,307.227,311.487,150.183,242049024,28.31,94.191,62.853,1,1121.101,0.820,0,0.00,5000.0,6447.2,5871.3,575.7,324.6,1300.7,187.2,9725.4,0.741,1,0.000,0.006,10.975,0.000,0.000
6,256,296.371,274.772,148.157,204914688,32.47,88.513,59.701,1,1082.303,0.820,0,0.00,5000.0,6446.8,5870.9,575.7,324.6,1305.5,193.3,9720.4,0.798,1,0.000,0.006,20.079,0.000,0.000
7,256,267.319,208.331,158.034,148131840,36.28,75.933,33.351,33,963.270,0.820,0,0.13,5000.0,6442.9,5872.6,570.0,324.5,1307.5,202.0,9715.2,0.747,1,0.000,0.006,1.393,0.000,0.000
8,256,285.827,274.223,155.718,212520960,39.26,81.345,48.764,1,1068.718,0.820,0,0.00,5000.0,6441.9,5871.6,570.0,324.5,1313.7,208.0,9709.2,0.701,1,0.000,0.005,10.731,0.000,0.000
9,256,291.335,294.564,136.952,236421120,41.70,107.574,46.810,0,1094.989,0.820,0,0.00,5000.0,6443.6,5873.3,570.0,324.5,1315.3,211.5,9704.8,4.905,1,0.000,0.006,2.507,0.000,0.000
10,256,307.783,330.580,132.636,260714496,43.64,128.209,46.939,0,1136.405,0.820,0,0.00,5000.0,6437.8,5873.0,564.5,324.5,1321.6,222.0,9699.0,0.686,1,0.000,0.006,1.611,0.000,0.000
11,256,294.133,253.794,142.257,182992896,45.87,110.964,40.912,32,1059.196,0.820,0,0.12,5000.0,6436.7,5871.9,564.5,324.4,1325.7,228.5,9694.8,0.756,1,0.000,0.006,8.358,0.000,0.000
12,256,315.217,352.739,154.954,282239552,47.33,99.057,61.206,1,1170.979,0.820,0,0.00,5000.0,6430.9,5871.6,559.0,324.4,1323.8,216.9,9694.6,5.478,1,0.000,0.006,14.912,0.000,0.000
13,256,300.145,282.492,134.222,208871424,49.08,115.165,50.758,0,1076.657,0.820,0,0.00,5000.0,6434.3,5875.0,559.0,324.4,1326.1,219.6,9690.3,0.784,1,0.000,0.006,12.632,0.000,0.000
14,256,353.470,480.047,143.445,409251840,49.60,142.340,67.685,0,1378.249,0.820,0,0.00,5000.0,6432.7,5873.4,559.0,324.4,1332.1,229.2,9682.8,0.747,1,0.000,0.006,0.000,0.000,0.000
15,256,292.160,251.863,148.303,179834880,51.23,101.596,42.261,31,1058.774,0.820,0,0.12,5000.0,6430.0,5876.2,553.5,324.4,1334.4,239.1,9679.1,0.691,1,0.000,0.006,5.020,0.000,0.000
16,256,269.152,210.412,155.718,150503424,52.86,76.116,37.318,0,956.750,0.820,0,0.00,5000.0,6427.2,5873.4,553.5,324.4,1340.7,247.1,9673.1,0.756,1,0.000,0.005,9.249,0.000,0.000
17,256,285.345,229.283,125.803,163246080,54.19,134.158,25.384,0,975.078,0.820,0,0.00,5000.0,6420.6,5872.5,547.9,324.4,1341.6,253.3,9676.1,0.686,1,0.000,0.006,0.000,0.000,0.000
18,256,539.900,397.761,343.734,287674368,55.03,131.468,64.698,0,1628.104,0.820,0,0.00,5000.0,6415.1,5872.4,542.4,324.4,1468.2,308.2,9940.0,0.750,1,0.000,0.006,5.722,0.000,0.000
19,256,290.632,267.917,140.916,209068032,56.05,106.376,43.341,32,1058.323,0.820,0,0.12,5000.0,6399.1,5861.2,537.7,335.8,1483.1,312.1,9925.5,0.719,1,0.000,0.006,10.010,0.000,0.000
20,256,279.468,259.696,134.762,195145728,57.03,106.306,38.400,0,998.007,0.820,0,0.00,5000.0,6378.2,5845.5,532.4,350.4,1502.8,339.7,9907.3,0.756,1,0.000,0.020,0.000,0.000,0.000
