# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,474.596,527.187,227.731,452689920,6.53,166.053,80.812,11488,1756.385,-1.000,0,44.88,5000.0,6471.7,5863.2,608.1,333.6,1409.9,161.3,9849.8,0.553,1,0.000,0.011,0.000,0.000,0.000
2,256,322.898,350.162,155.484,312655872,13.29,92.497,74.917,14,1240.743,0.820,0,0.05,5000.0,6467.8,5863.9,603.5,333.6,1413.0,170.4,9845.5,2.257,1,0.000,0.007,14.648,0.000,0.000
3,256,348.057,433.293,130.605,368357376,18.32,142.836,74.616,42,1347.112,0.820,0,0.16,5000.0,6468.4,5864.5,603.5,333.5,1415.2,176.9,9840.0,2.792,1,0.000,0.006,9.912,0.000,0.000
4,256,315.235,231.739,181.554,174698496,24.05,90.489,43.192,3,1113.073,0.820,0,0.01,5000.0,6462.6,5863.4,598.8,333.4,1423.4,190.1,9842.0,0.770,1,0.000,0.006,6.328,0.000,0.000
5,256,300.529,304.407,139.038,242049024,28.35,110.021,51.470,1,1112.696,0.820,0,0.00,5000.0,6457.4,5862.9,594.1,333.4,1425.8,194.3,9839.6,0.785,1,0.000,0.006,0.000,0.000,0.000
6,256,278.035,274.628,148.715,207581184,32.50,79.836,49.484,0,1043.982,0.820,0,0.00,5000.0,6456.8,5862.4,594.0,333.4,1427.1,198.9,9836.2,0.760,1,0.000,0.006,12.586,0.000,0.000
7,256,278.920,203.467,177.051,148131840,36.36,71.543,30.326,31,998.515,0.820,0,0.12,5000.0,6453.3,5864.0,589.0,333.2,1428.7,205.0,9832.9,0.972,1,0.000,0.006,1.125,0.000,0.000
8,256,284.501,277.643,134.316,209854464,39.33,100.765,49.420,1,1045.868,0.820,0,0.00,5000.0,6452.8,5863.4,589.0,333.2,1437.0,218.0,9827.5,0.690,1,0.000,0.006,3.480,0.000,0.000
9,256,287.329,298.325,143.487,239087616,41.76,84.447,59.396,0,1097.179,0.820,0,0.00,5000.0,6449.3,5864.9,584.0,333.2,1436.9,226.4,9824.7,3.535,1,0.000,0.006,1.944,0.000,0.000
10,256,307.262,325.562,128.511,263380992,43.70,127.443,51.308,0,1139.682,0.820,0,0.00,5000.0,6443.8,5864.4,579.0,333.2,1441.9,238.1,9820.1,0.689,1,0.000,0.006,1.244,0.000,0.000
11,256,284.341,252.210,143.722,182992896,45.93,89.576,51.043,30,1020.734,0.820,0,0.12,5000.0,6443.1,5863.8,579.0,333.1,1447.0,244.8,9815.6,0.800,1,0.000,0.005,10.184,0.000,0.000
12,256,314.715,352.105,140.419,282239552,47.37,124.827,49.469,2,1168.003,0.820,0,0.01,5000.0,6437.6,5863.2,574.0,333.1,1450.1,254.1,9813.7,0.764,1,0.000,0.006,1.428,0.000,0.000
13,256,284.409,285.752,136.166,208871424,49.12,95.645,52.599,1,1034.628,0.820,0,0.00,5000.0,6438.4,5864.0,574.0,333.1,1455.2,259.1,9808.7,0.988,1,0.000,0.007,3.251,0.000,0.000
14,256,350.048,468.484,128.878,409251840,49.64,145.132,76.037,0,1365.409,0.820,0,0.00,5000.0,6434.4,5865.2,568.7,333.1,1457.5,270.0,9803.8,0.764,1,0.000,0.006,0.000,0.000,0.000
15,256,274.696,242.965,135.768,182501376,51.27,93.068,45.860,30,1000.197,0.820,0,0.12,5000.0,6436.7,5867.7,568.6,333.0,1458.4,275.8,9799.6,0.692,1,0.000,0.007,5.163,0.000,0.000
16,256,270.528,214.971,159.762,150503424,52.89,85.737,25.029,0,963.733,0.820,0,0.00,5000.0,6415.9,5852.4,563.1,345.5,1477.1,300.0,9783.4,3.736,1,0.000,0.006,1.259,0.000,0.000
17,256,263.546,217.744,121.846,163246080,54.22,104.261,37.440,2,916.594,0.820,0,0.01,5000.0,6415.1,5851.6,563.1,345.5,1481.1,308.0,9778.6,2.123,1,0.000,0.006,4.151,0.000,0.000
