# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,408.823,596.793,158.610,452689920,6.53,190.986,59.228,13732,1364.202,-1.000,0,53.64,5000.0,6205.1,5896.7,308.0,300.0,1150.6,123.9,9720.2,0.397,1,0.000,0.010,0.000,0.000,0.000
2,256,315.657,410.373,116.644,312655872,13.29,149.037,49.976,17,1083.440,0.820,0,0.07,5000.0,6204.3,5897.6,306.3,300.3,1159.2,133.5,9705.5,1.669,1,0.000,0.006,12.600,0.000,0.000
3,256,313.826,474.222,89.219,368357376,18.32,159.837,64.770,45,1096.361,0.820,0,0.18,5000.0,6204.5,5897.9,306.2,300.1,1164.1,129.0,9692.7,5.269,1,0.000,0.007,19.843,0.000,0.000
4,256,215.982,232.453,101.356,172032000,24.03,75.253,39.373,6,752.956,0.820,0,0.02,5000.0,6203.1,5896.7,306.0,300.1,1173.6,131.6,9685.5,0.575,1,0.000,0.005,14.139,0.000,0.000
5,256,271.082,315.641,89.297,242049024,28.29,145.807,35.978,1,916.389,0.820,0,0.00,5000.0,6200.6,5895.7,304.5,300.3,1185.9,131.6,9667.2,0.544,1,0.000,0.006,6.671,0.000,0.000
6,256,262.951,274.766,117.140,207581184,32.45,99.298,46.513,3,933.627,0.820,0,0.01,5000.0,6195.9,5898.1,297.3,300.3,1187.3,122.7,9663.5,5.434,1,0.000,0.007,16.128,0.000,0.000
7,256,296.543,214.202,185.164,150798336,36.32,74.662,36.717,32,1011.215,0.820,0,0.12,5000.0,6184.5,5897.0,287.1,300.1,1182.3,109.3,9665.0,0.549,1,0.000,0.006,12.221,0.000,0.000
8,256,233.156,263.497,99.773,212520960,39.30,94.932,38.452,1,820.026,0.820,0,0.00,5000.0,6183.7,5898.8,284.5,300.1,1186.2,115.5,9651.7,0.534,1,0.000,0.005,12.879,0.000,0.000
9,256,276.701,333.049,101.811,244518912,41.77,119.674,55.216,1,990.224,0.820,0,0.00,5000.0,6169.5,5897.5,271.6,300.5,1182.9,106.3,9640.6,0.566,1,0.000,0.006,22.297,0.000,0.000
10,256,258.972,343.902,105.077,263380992,43.72,121.220,32.676,1,872.882,0.820,0,0.00,5000.0,6166.3,5896.3,269.6,301.1,1196.4,117.1,9627.6,5.000,1,0.000,0.006,1.743,0.000,0.000
11,256,240.553,242.289,108.263,182992896,45.94,103.607,28.683,32,821.727,0.820,0,0.12,5000.0,6165.3,5895.3,269.6,301.5,1198.3,111.7,9628.9,0.550,1,0.000,0.006,6.892,0.000,0.000
12,256,270.108,364.864,81.898,282239552,47.39,142.731,45.479,2,913.439,0.820,0,0.01,5000.0,6162.3,5894.8,267.1,301.5,1208.6,129.0,9616.0,0.571,1,0.000,0.006,12.914,0.000,0.000
13,256,248.893,284.431,93.635,208871424,49.13,100.682,54.577,1,846.086,0.820,0,0.00,5000.0,6144.7,5879.6,264.7,317.3,1233.3,160.3,9587.5,0.570,1,0.000,0.005,28.712,0.000,0.000
14,256,418.294,551.498,175.791,411918336,49.69,183.915,58.588,1,1368.225,0.820,0,0.00,5000.0,6098.1,5852.6,245.1,345.5,1239.8,145.4,9578.1,0.563,1,0.000,0.007,0.000,0.000,0.000
