# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,397.280,581.811,171.440,452689920,6.53,169.083,56.756,14259,1300.803,-1.000,0,55.70,5000.0,6162.5,5822.0,340.1,374.8,1227.5,164.8,9759.5,0.401,1,0.000,0.008,0.000,0.000,0.000
2,256,266.697,387.005,106.344,312655872,13.29,120.254,40.098,11,923.498,0.820,0,0.04,5000.0,6157.0,5822.8,333.7,374.7,1233.3,177.6,9752.5,2.297,1,0.000,0.006,3.611,0.000,0.000
3,256,334.236,461.526,137.998,371023872,18.49,129.687,66.551,55,1133.042,0.820,0,0.21,5000.0,6131.8,5823.3,308.1,374.6,1213.6,121.8,9765.4,5.194,1,0.000,0.007,20.898,0.000,0.000
4,256,266.320,241.102,127.931,174698496,24.29,108.052,30.337,3,865.602,0.820,0,0.01,5000.0,6076.7,5822.3,254.0,374.6,1218.0,149.9,9768.7,5.152,1,0.000,0.007,7.927,0.000,0.000
5,256,268.654,323.626,102.071,247382016,28.58,96.752,69.832,1,920.039,0.820,0,0.00,5000.0,6036.3,5821.7,214.1,374.5,1213.3,157.4,9762.8,0.571,1,0.000,0.007,17.857,0.000,0.000
6,256,230.026,276.732,104.431,207581184,32.72,87.634,37.961,0,801.164,0.820,0,0.00,5000.0,6021.1,5823.8,196.9,374.5,1216.0,158.2,9759.8,0.634,1,0.000,0.006,9.431,0.000,0.000
7,256,212.876,207.513,115.647,148131840,36.55,60.271,36.958,42,727.657,0.820,0,0.16,5000.0,6016.6,5823.0,193.2,374.3,1216.9,135.7,9760.8,5.799,1,0.000,0.006,17.697,0.000,0.000
8,256,218.631,277.356,104.893,212520960,39.53,79.551,34.187,1,767.957,0.820,0,0.00,5000.0,6012.4,5822.1,189.9,374.3,1219.1,128.3,9758.0,0.521,1,0.000,0.005,9.328,0.000,0.000
9,256,233.775,295.286,92.360,239087616,41.96,99.573,41.841,0,828.871,0.820,0,0.00,5000.0,6013.8,5823.8,189.6,374.3,1222.8,129.3,9751.3,0.603,1,0.000,0.005,13.900,0.000,0.000
10,256,251.258,327.317,97.941,263380992,43.90,105.752,47.564,0,882.693,0.820,0,0.00,5000.0,6010.1,5823.3,186.4,374.3,1228.0,134.1,9747.6,5.652,1,0.000,0.006,7.460,0.000,0.000
11,256,210.412,239.204,103.007,182992896,46.11,82.305,25.100,39,728.392,0.820,0,0.15,5000.0,6009.3,5822.5,186.4,374.2,1230.6,137.4,9745.9,5.245,1,0.000,0.006,3.760,0.000,0.000
