# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,463.013,576.164,209.919,452689920,6.53,185.071,68.023,16347,1571.700,-1.000,0,63.86,5000.0,6311.5,5803.4,507.8,393.3,1292.3,141.2,9797.3,0.403,1,0.000,0.008,0.000,0.000,0.000
2,256,296.036,379.127,108.860,312655872,13.29,131.568,55.609,12,1059.023,0.820,0,0.05,5000.0,6307.4,5804.3,502.8,393.3,1294.5,145.4,9801.0,4.616,1,0.000,0.007,7.919,0.000,0.000
3,256,314.542,453.326,85.193,368357376,18.32,177.645,51.703,73,1116.247,0.820,0,0.29,5000.0,6302.7,5805.0,497.4,392.9,1300.6,146.6,9793.0,0.581,1,0.000,0.006,7.423,0.000,0.000
4,256,228.092,225.525,114.228,172032000,24.03,82.200,31.664,4,800.686,0.820,0,0.02,5000.0,6296.4,5803.9,492.2,392.9,1305.5,155.7,9789.4,4.810,1,0.000,0.006,1.220,0.000,0.000
5,256,262.421,308.014,98.024,242049024,28.29,126.577,37.819,1,893.401,0.820,0,0.00,5000.0,6290.5,5803.4,486.8,392.9,1308.2,155.1,9784.3,0.694,1,0.000,0.005,3.516,0.000,0.000
6,256,254.923,268.161,114.986,207581184,32.45,96.844,43.093,2,903.077,0.820,0,0.01,5000.0,6284.6,5803.1,481.2,392.9,1308.6,162.7,9785.8,0.578,1,0.000,0.006,15.540,0.000,0.000
7,256,222.832,202.198,121.027,148131840,36.30,75.772,26.033,60,794.095,0.820,0,0.23,5000.0,6280.8,5804.8,475.6,392.7,1310.9,176.3,9781.5,0.575,1,0.000,0.006,5.757,0.000,0.000
8,256,238.395,268.440,122.997,212520960,39.28,83.128,32.271,1,841.833,0.820,0,0.00,5000.0,6276.6,5806.3,470.0,392.7,1309.3,184.7,9780.8,2.468,1,0.000,0.005,2.022,0.000,0.000
9,256,266.953,304.226,102.372,236421120,41.73,127.279,37.302,0,926.833,0.820,0,0.00,5000.0,6270.1,5805.4,464.4,392.7,1313.6,187.0,9777.2,1.036,1,0.000,0.007,7.564,0.000,0.000
10,256,272.608,327.222,119.765,260714496,43.67,119.540,33.303,0,959.898,0.820,0,0.00,5000.0,6269.7,5805.0,464.4,392.7,1321.9,200.4,9769.2,0.526,1,0.000,0.006,0.414,0.000,0.000
11,256,239.364,251.467,108.807,182992896,45.90,88.806,41.751,58,821.529,0.820,0,0.23,5000.0,6263.3,5804.3,458.6,392.4,1323.7,205.7,9765.9,0.566,1,0.000,0.006,10.653,0.000,0.000
12,256,274.744,360.260,88.409,282239552,47.35,129.209,57.127,0,965.363,0.820,0,0.00,5000.0,6257.4,5804.0,453.1,392.4,1330.9,218.9,9760.3,0.568,1,0.000,0.007,13.748,0.000,0.000
13,256,247.410,282.401,85.035,208871424,49.09,118.048,44.328,1,867.769,0.820,0,0.00,5000.0,6260.8,5807.4,453.1,392.4,1335.0,226.2,9753.1,4.648,1,0.000,0.006,13.518,0.000,0.000
14,256,338.792,504.016,81.682,409251840,49.61,205.595,51.515,0,1201.103,0.820,0,0.00,5000.0,6254.4,5805.9,448.1,392.4,1343.3,237.6,9742.6,5.173,1,0.000,0.007,0.496,0.000,0.000
15,256,234.656,242.760,103.128,179834880,51.25,97.455,34.072,58,794.190,0.820,0,0.23,5000.0,6254.4,5806.0,448.1,392.2,1348.2,246.2,9737.8,5.139,1,0.000,0.006,7.208,0.000,0.000
16,256,236.307,220.894,122.095,155836416,52.87,86.878,27.334,0,820.572,0.820,0,0.00,5000.0,6248.6,5805.9,442.4,392.2,1351.0,255.8,9732.0,0.578,1,0.000,0.006,6.916,0.000,0.000
17,256,214.597,212.687,99.723,163246080,54.20,79.811,35.062,0,738.542,0.820,0,0.00,5000.0,6247.5,5804.8,442.4,392.2,1355.1,261.3,9727.5,0.518,1,0.000,0.006,9.739,0.000,0.000
18,256,299.487,380.765,97.632,290340864,54.91,164.831,37.024,0,1014.530,0.820,0,0.00,5000.0,6241.5,5804.3,436.9,392.2,1360.1,273.7,9723.0,5.433,1,0.000,0.006,0.000,0.000,0.000
19,256,250.245,263.498,108.889,206401536,55.94,104.200,37.156,58,865.438,0.820,0,0.23,5000.0,6235.9,5804.5,431.1,392.6,1363.9,287.7,9717.8,0.529,1,0.000,0.006,6.770,0.000,0.000
20,256,235.293,251.548,114.598,197812224,56.94,86.545,34.150,0,824.016,0.820,0,0.00,5000.0,6229.6,5803.5,425.8,392.6,1366.6,293.2,9714.3,0.573,1,0.000,0.006,4.282,0.000,0.000
21,256,244.327,250.197,99.964,187834368,57.91,97.651,46.712,1,871.800,0.820,0,0.00,5000.0,6227.5,5806.5,420.6,392.6,1368.2,306.1,9708.3,0.524,1,0.000,0.006,14.306,0.000,0.000
22,256,202.850,138.914,118.970,101916672,59.10,57.477,26.403,0,721.324,0.820,0,0.00,5000.0,6225.6,5804.7,420.6,392.6,1369.5,309.0,9707.1,4.939,1,0.000,0.006,11.781,0.000,0.000
23,256,235.537,203.346,97.177,150110208,60.07,109.323,29.038,60,802.298,0.820,0,0.23,5000.0,6213.7,5798.4,415.0,398.2,1358.8,280.7,9714.8,5.166,1,0.000,0.007,8.387,0.000,0.000
24,256,198.457,157.983,118.919,107544576,61.15,55.658,23.880,1,710.778,0.820,0,0.00,5000.0,6212.1,5796.7,415.0,402.7,1360.3,284.5,9709.1,0.562,1,0.000,0.006,5.284,0.000,0.000
25,256,210.198,176.601,106.493,136581120,62.02,69.420,34.285,0,722.673,0.820,0,0.00,5000.0,6219.7,5804.4,415.0,393.2,1365.8,292.8,9713.7,5.545,1,0.000,0.006,5.856,0.000,0.000
