# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,425.684,575.331,188.948,452689920,6.53,176.153,60.582,13991,1429.335,-1.000,0,54.65,5000.0,6328.8,5840.1,488.3,356.7,1288.5,136.3,9686.6,0.418,1,0.000,0.008,0.000,0.000,0.000
2,256,279.849,381.946,101.502,312655872,13.29,126.635,51.713,16,978.784,0.820,0,0.06,5000.0,6324.5,5840.8,483.2,356.7,1292.1,137.6,9679.8,1.625,1,0.000,0.007,13.317,0.000,0.000
3,256,294.811,446.453,100.891,368357376,18.32,138.024,55.895,49,1067.243,0.820,0,0.19,5000.0,6318.5,5841.5,476.6,356.4,1294.6,136.9,9675.6,0.563,1,0.000,0.007,8.262,0.000,0.000
4,256,234.607,229.705,116.931,172032000,24.03,80.368,37.308,5,804.059,0.820,0,0.02,5000.0,6311.2,5840.4,470.3,356.4,1298.0,132.7,9672.1,4.569,1,0.000,0.006,10.042,0.000,0.000
5,256,244.118,301.618,109.297,242049024,28.29,96.352,38.470,1,877.794,0.820,0,0.00,5000.0,6304.5,5839.8,464.2,356.4,1303.5,144.3,9666.4,0.569,1,0.000,0.005,7.479,0.000,0.000
6,256,240.030,265.105,121.235,204914688,32.45,74.949,43.846,2,854.442,0.820,0,0.01,5000.0,6300.2,5842.0,457.8,356.4,1303.3,146.6,9662.4,4.714,1,0.000,0.006,13.875,0.000,0.000
7,256,356.555,199.721,222.601,148131840,36.23,66.083,67.871,36,1132.468,0.820,0,0.14,5000.0,6269.8,5840.9,428.5,356.3,1281.7,138.8,9693.6,0.570,1,0.000,0.007,18.229,0.000,0.000
8,256,246.297,263.001,108.353,212520960,39.21,81.480,56.464,1,892.252,0.820,0,0.00,5000.0,6261.4,5842.8,418.2,356.3,1280.8,147.4,9703.2,0.580,1,0.000,0.006,7.890,0.000,0.000
9,256,249.746,304.664,96.263,239087616,41.63,103.919,49.565,0,880.372,0.820,0,0.00,5000.0,6250.8,5841.9,408.5,356.3,1285.4,167.1,9696.4,0.582,1,0.000,0.007,9.631,0.000,0.000
10,256,264.944,324.379,95.193,260714496,43.59,122.617,47.134,0,964.509,0.820,0,0.00,5000.0,6250.2,5841.3,408.5,356.3,1291.6,178.6,9691.4,0.571,1,0.000,0.006,9.569,0.000,0.000
11,256,231.501,242.433,109.457,182992896,45.82,92.364,29.681,35,810.728,0.820,0,0.14,5000.0,6243.9,5840.6,402.8,356.2,1291.3,188.5,9691.2,4.692,1,0.000,0.006,5.973,0.000,0.000
