# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,299.168,851.324,49.929,174010368,8.11,235.840,13.398,0,364.942,-1.000,0,0.00,2000.0,4048.8,2576.4,1472.4,0.0,4733.6,361.1,1783.6,0.161,1,0.000,0.004,0.000,0.000,0.000
2,96,185.848,498.864,43.586,95883264,16.61,122.184,20.078,1,260.074,-1.000,0,0.00,2000.0,4048.8,2579.8,1469.0,0.0,4776.9,427.8,1768.9,0.646,1,0.000,0.002,11.814,0.000,0.000
3,96,188.484,477.282,58.160,106536960,23.25,106.540,23.783,0,323.882,-1.000,0,0.00,2000.0,4045.8,2579.8,1466.0,0.0,4852.1,702.9,1750.6,0.216,1,0.000,0.004,14.285,0.000,0.000
4,96,133.134,302.416,45.101,74575872,29.09,81.743,6.289,0,236.655,-1.000,0,0.00,2000.0,4045.8,2579.8,1466.0,0.0,4868.1,691.9,1724.2,0.363,1,0.000,0.002,0.523,0.000,0.000
5,96,126.692,280.487,38.822,78127104,33.85,74.670,13.200,0,223.908,-1.000,0,0.00,2000.0,4042.4,2576.5,1466.0,0.0,4870.3,658.4,1692.2,0.222,1,0.000,0.002,7.200,0.000,0.000
6,96,133.513,304.154,42.680,88780800,37.67,76.057,14.777,0,239.517,-1.000,0,0.00,2000.0,4042.4,2576.5,1466.0,0.0,4893.9,647.3,1655.4,0.239,1,0.000,0.002,8.640,0.000,0.000
7,96,123.810,278.307,43.453,71024640,41.16,74.750,5.606,0,221.830,1.000,0,0.00,2000.0,4045.8,2579.8,1466.0,0.0,4894.5,634.7,1630.3,0.249,1,0.000,0.002,0.000,0.000,0.000
8,96,175.458,418.499,47.963,110088192,43.69,115.030,12.464,0,272.968,1.000,0,0.00,2000.0,4042.4,2576.5,1466.0,0.0,4865.1,573.2,1630.3,0.226,1,0.000,0.002,4.233,0.000,0.000
9,96,87.693,218.372,36.763,46166016,46.90,47.284,3.647,0,176.889,1.000,0,0.00,2000.0,4042.4,2576.5,1466.0,0.0,4876.5,569.9,1631.2,0.278,1,0.000,0.002,0.000,0.000,0.000
10,96,167.461,399.071,49.734,95883264,49.01,95.972,21.755,0,270.366,1.000,0,0.00,2000.0,4042.4,2576.5,1466.0,0.0,4839.4,501.9,1631.2,0.233,1,0.000,0.002,12.988,0.000,0.000
11,96,215.850,560.274,50.747,145600512,50.13,153.629,11.474,0,320.614,1.000,0,0.00,2000.0,4045.8,2579.8,1466.0,0.0,4966.8,594.1,1631.4,0.269,1,0.000,0.003,0.000,0.000,0.000
