# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=1500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,538.956,1791.625,43.712,266342400,5.44,474.080,21.164,0,453.674,-1.000,0,0.00,1500.5,5400.2,2077.6,3322.6,0.0,5863.7,347.7,662.9,0.113,1,0.000,0.003,0.000,0.000,0.000
2,96,417.574,897.668,70.657,138498048,13.07,239.824,107.092,0,504.791,-1.000,0,0.00,1500.5,5401.6,2104.7,3296.9,0.0,5956.6,348.7,663.8,0.282,1,0.000,0.003,5.726,0.000,0.000
3,96,410.730,681.088,70.325,124293120,19.43,202.377,138.028,0,529.465,-1.000,0,0.00,1500.5,5408.2,2222.9,3185.4,0.0,5838.6,369.3,633.7,0.356,1,0.000,0.004,8.470,0.000,0.000
4,96,259.087,418.843,53.657,85229568,25.41,132.109,73.322,0,345.310,-1.000,0,0.00,1500.5,5411.4,2303.9,3107.5,0.0,5774.2,560.5,564.9,0.277,1,0.000,0.002,3.605,0.000,0.000
5,96,282.060,435.940,50.601,92332032,30.22,139.179,92.280,0,417.197,-1.000,0,0.00,1500.5,5411.7,2391.6,3020.0,0.0,5638.9,439.7,565.2,0.231,1,0.000,0.003,11.724,0.000,0.000
6,96,295.032,459.803,60.148,92332032,34.39,135.418,99.467,0,399.467,-1.000,0,0.00,1500.5,5417.8,2479.4,2938.5,0.0,5591.2,469.8,537.2,0.248,1,0.000,0.002,17.463,0.000,0.000
7,96,208.051,413.405,49.229,81678336,38.23,119.218,39.605,0,297.839,1.000,0,0.00,1500.5,5413.8,2546.9,2866.9,0.0,5518.1,535.7,497.4,0.244,1,0.000,0.002,0.000,0.000,0.000
8,96,281.774,599.355,63.634,110088192,41.02,162.547,55.593,0,357.433,1.000,0,0.00,1500.5,5332.4,2489.5,2842.9,0.0,5569.2,556.7,486.1,0.256,1,0.000,0.003,14.098,0.000,0.000
9,96,233.753,486.849,57.148,106536960,43.39,145.026,31.578,0,298.096,1.000,0,0.00,1500.5,5325.7,2482.8,2842.9,0.0,5555.6,456.1,494.2,0.265,1,0.000,0.002,3.529,0.000,0.000
10,96,224.865,507.056,46.247,106536960,45.53,145.747,32.872,0,268.298,1.000,0,0.00,1500.5,5329.1,2486.1,2842.9,0.0,5769.9,621.8,481.7,0.264,1,0.000,0.002,6.950,0.000,0.000
11,96,263.462,689.029,50.627,152702976,47.03,184.554,28.281,0,322.138,1.000,0,0.00,1500.5,5409.6,2567.1,2842.4,0.0,5497.1,343.1,466.6,0.232,1,0.000,0.002,12.807,0.000,0.000
12,96,298.568,756.764,42.852,159805440,48.07,221.545,34.171,0,363.635,1.000,0,0.00,1500.5,5417.7,2577.3,2840.4,0.0,5333.0,630.1,455.0,0.279,1,0.000,0.003,3.753,0.000,0.000
13,96,240.430,523.319,70.526,117190656,49.44,143.613,26.290,0,335.273,1.000,0,0.00,1500.5,5397.4,2557.0,2840.4,0.0,5299.1,511.9,456.7,0.238,1,0.000,0.003,1.986,0.000,0.000
14,96,184.420,396.942,59.557,81678336,51.29,97.141,27.722,0,269.314,1.000,0,0.00,1500.5,5397.4,2557.0,2840.4,0.0,5274.4,425.6,456.8,0.284,1,0.000,0.003,8.202,0.000,0.000
15,96,231.468,497.630,64.833,110088192,52.64,131.237,35.398,0,329.186,1.000,0,0.00,1500.5,5414.3,2573.9,2840.4,0.0,5266.9,358.0,456.9,0.312,1,0.000,0.003,3.850,0.000,0.000
16,96,347.100,955.666,50.865,205971456,52.80,259.759,36.476,0,417.925,1.000,0,0.00,1500.5,5417.7,2577.3,2840.4,0.0,5173.2,399.7,457.9,0.236,1,0.000,0.003,4.262,0.000,0.000
17,96,246.070,603.137,53.254,134946816,53.81,146.159,46.657,0,330.204,1.000,0,0.00,1500.5,5413.7,2577.3,2836.5,0.0,5451.6,628.1,458.7,0.271,1,0.000,0.002,23.650,0.000,0.000
18,96,280.013,688.397,50.247,152702976,54.38,198.729,31.037,0,341.845,1.000,0,0.00,1500.5,5413.5,2577.3,2836.2,0.0,5407.1,472.7,507.3,0.268,1,0.000,0.002,4.119,0.000,0.000
