# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=1200 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,550.567,1309.012,70.446,323162112,3.80,368.013,112.108,0,715.792,-1.000,0,0.00,1200.1,5279.3,1814.8,3464.5,0.0,6230.1,453.5,806.4,0.156,1,0.000,0.005,0.000,0.000,0.000
2,96,387.160,618.617,61.140,149151744,11.34,174.081,151.939,0,439.779,-1.000,0,0.00,1200.1,5421.1,1956.6,3464.5,0.0,6061.2,495.5,803.4,0.296,1,0.000,0.002,2.794,0.000,0.000
3,96,321.305,618.304,55.899,134946816,17.64,176.276,89.130,0,360.527,-1.000,0,0.00,1200.1,5549.3,2084.8,3464.5,0.0,5872.7,551.1,798.1,0.226,1,0.000,0.002,5.882,0.000,0.000
4,96,250.410,350.832,62.197,85229568,23.71,109.437,78.775,0,315.146,-1.000,0,0.00,1200.1,5630.3,2165.8,3464.5,0.0,5839.7,619.5,794.2,0.305,1,0.000,0.003,0.000,0.000,0.000
5,96,343.597,553.965,74.115,113639424,28.67,127.213,142.269,0,396.008,-1.000,0,0.00,1200.1,5738.3,2273.8,3464.5,0.0,5724.7,512.4,797.6,0.230,1,0.000,0.002,27.230,0.000,0.000
6,96,264.906,590.374,41.921,134946816,32.22,172.573,50.412,0,336.942,-1.000,0,0.00,1200.1,5778.9,2314.3,3464.5,0.0,5755.6,545.3,797.8,0.269,1,0.000,0.003,10.107,0.000,0.000
7,96,234.695,455.505,56.171,88780800,35.82,143.800,34.725,0,308.927,1.000,0,0.00,1200.1,5745.1,2280.6,3464.5,0.0,5769.6,508.9,798.7,0.249,1,0.000,0.003,0.000,0.000,0.000
8,96,278.460,593.114,49.811,134946816,38.40,181.564,47.085,0,394.594,1.000,0,0.00,1200.1,5762.0,2297.5,3464.5,0.0,5718.5,398.9,798.9,0.332,1,0.000,0.003,9.374,0.000,0.000
9,96,142.441,152.821,66.830,42614784,41.79,52.907,22.704,0,212.447,1.000,0,0.00,1200.1,5711.4,2246.8,3464.5,0.0,5737.6,399.4,799.1,0.303,1,0.000,0.002,0.000,0.000,0.000
10,96,251.762,607.031,38.667,149151744,43.56,176.871,36.223,0,324.366,1.000,0,0.00,1200.1,5775.2,2311.0,3464.2,0.0,5736.5,335.9,751.0,0.256,1,0.000,0.002,11.815,0.000,0.000
11,96,307.995,718.939,42.450,184664064,44.76,225.508,40.037,0,455.165,1.000,0,0.00,1200.1,5554.5,2415.6,3138.9,0.0,5724.0,638.3,708.1,0.265,1,0.000,0.003,16.903,0.000,0.000
12,96,272.649,656.299,36.230,177561600,45.97,196.259,40.159,0,379.975,1.000,0,0.00,1200.1,5555.5,2483.1,3072.4,0.0,5658.4,696.0,681.4,0.231,1,0.000,0.003,15.913,0.000,0.000
13,96,237.716,506.961,45.441,113639424,47.49,162.833,29.442,0,303.088,1.000,0,0.00,1200.1,5545.0,2483.1,3061.9,0.0,5635.5,621.1,681.5,0.246,1,0.000,0.002,3.054,0.000,0.000
14,96,215.148,396.585,52.390,81678336,49.32,116.202,46.556,0,289.216,1.000,0,0.00,1200.1,5482.6,2425.7,3056.9,0.0,5699.9,628.1,681.8,0.265,1,0.000,0.003,11.578,0.000,0.000
15,96,239.508,500.630,66.177,124293120,50.54,138.461,34.869,0,331.393,1.000,0,0.00,1200.1,5489.4,2432.5,3056.9,0.0,5669.9,539.5,687.6,0.289,1,0.000,0.003,7.339,0.000,0.000
16,96,384.285,1021.200,44.587,198868992,50.93,292.364,47.333,0,436.310,1.000,0,0.00,1200.1,5515.2,2483.1,3032.1,0.0,5817.1,564.6,677.0,0.267,1,0.000,0.003,9.003,0.000,0.000
17,96,201.131,439.860,33.428,163356672,51.62,138.185,29.518,0,312.163,1.000,0,0.00,1200.1,5379.9,2537.1,2842.8,0.0,5514.1,434.6,641.2,0.256,1,0.000,0.002,7.146,0.000,0.000
18,96,157.332,275.125,53.840,99434496,52.86,85.569,17.923,0,273.471,1.000,0,0.00,1200.1,5186.7,2550.6,2636.0,0.0,5474.4,632.9,545.5,0.227,1,0.000,0.002,1.542,0.000,0.000
19,96,222.916,459.732,37.005,134946816,53.60,144.722,41.189,0,309.549,1.000,0,0.00,1200.1,5173.2,2537.1,2636.0,0.0,5534.7,638.9,458.5,0.253,1,0.000,0.002,5.516,0.000,0.000
20,96,187.506,303.972,53.353,88780800,54.67,101.545,32.609,0,286.875,1.000,0,0.00,1200.1,5142.8,2506.8,2636.0,0.0,5437.8,505.5,455.4,0.298,1,0.000,0.003,0.000,0.000,0.000
21,96,244.717,507.597,50.211,117190656,55.40,163.592,30.913,0,328.408,1.000,0,0.00,1200.1,5152.9,2516.9,2636.0,0.0,5458.4,457.5,455.6,0.279,1,0.000,0.003,0.000,0.000,0.000
22,96,220.825,418.497,52.437,159805440,55.95,127.339,41.049,0,372.450,1.000,0,0.00,1200.1,5190.0,2554.0,2636.0,0.0,5421.8,394.5,455.7,0.272,1,0.000,0.003,8.487,0.000,0.000
23,96,197.620,353.732,49.818,145600512,56.46,112.218,35.583,0,316.262,1.000,0,0.00,1200.1,5187.7,2577.6,2610.1,0.0,5387.9,383.6,426.2,0.276,1,0.000,0.003,7.000,0.000,0.000
24,96,148.761,189.012,52.750,95883264,57.20,71.352,24.659,0,272.990,1.000,0,0.00,1200.1,5130.7,2557.4,2573.3,0.0,5633.9,710.9,419.5,0.250,1,0.000,0.002,0.000,0.000,0.000
25,96,189.710,364.966,51.591,131395584,57.74,113.262,24.858,0,303.598,1.000,0,0.00,1200.1,5147.6,2574.3,2573.3,0.0,5613.8,644.5,419.9,0.286,1,0.000,0.003,1.543,0.000,0.000
26,96,163.958,184.349,58.569,56819712,58.67,68.596,36.793,0,255.491,1.000,0,0.00,1200.1,5080.1,2506.8,2573.3,0.0,5631.8,640.7,420.0,0.257,1,0.000,0.003,0.000,0.000,0.000
27,96,188.332,340.900,50.909,120741888,59.23,95.901,41.521,0,294.236,1.000,0,0.00,1200.1,5063.2,2489.9,2573.3,0.0,5541.2,521.6,434.2,0.261,1,0.000,0.003,10.104,0.000,0.000
28,96,266.635,570.564,56.144,166907904,59.44,162.859,47.632,0,385.608,1.000,0,0.00,1200.1,5073.3,2500.0,2573.3,0.0,5596.6,512.6,465.9,0.247,1,0.000,0.003,4.800,0.000,0.000
29,96,199.594,366.355,54.238,102985728,59.98,116.456,28.901,0,277.127,1.000,0,0.00,1200.1,5049.7,2476.4,2573.3,0.0,5620.8,491.7,504.4,0.250,1,0.000,0.003,0.799,0.000,0.000
30,96,256.195,552.215,47.387,159805440,60.18,169.327,39.481,0,362.745,1.000,0,0.00,1200.1,5070.0,2496.7,2573.3,0.0,5617.1,436.7,530.0,0.261,1,0.000,0.003,1.211,0.000,0.000
31,96,165.917,145.200,86.737,42614784,61.03,43.203,35.978,0,250.584,1.000,0,0.00,1200.1,5002.5,2429.2,2573.3,0.0,5686.9,488.7,556.7,0.279,1,0.000,0.003,0.000,0.000,0.000
32,96,180.698,312.594,57.295,106536960,61.49,99.062,24.341,0,298.587,1.000,0,0.00,1200.1,5026.1,2452.8,2573.3,0.0,5664.2,442.2,574.2,0.243,1,0.000,0.003,3.787,0.000,0.000
33,96,191.119,301.493,69.399,95883264,61.97,95.897,25.823,0,275.214,1.000,0,0.00,1200.1,5022.7,2449.4,2573.3,0.0,5650.6,354.2,615.5,0.253,1,0.000,0.003,0.000,0.000,0.000
34,96,131.911,146.024,55.629,63922176,62.60,47.367,28.914,0,214.330,1.000,0,0.00,1200.1,4936.1,2415.7,2520.4,0.0,5709.3,513.5,598.9,0.281,1,0.000,0.002,3.633,0.000,0.000
