# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=1500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,568.198,1790.023,66.889,266342400,5.44,476.400,24.909,0,622.939,-1.000,0,0.00,1500.5,5545.5,2077.6,3467.9,0.0,5939.4,502.7,659.1,0.140,1,0.000,0.005,0.000,0.000,0.000
2,96,336.245,718.563,66.392,138498048,13.07,182.325,87.528,0,466.643,-1.000,0,0.00,1500.5,5572.5,2104.6,3467.9,0.0,5926.0,561.5,660.5,0.365,1,0.000,0.003,8.332,0.000,0.000
3,96,366.831,715.689,58.157,124293120,19.43,199.382,109.292,0,466.133,-1.000,0,0.00,1500.5,5690.6,2222.7,3467.9,0.0,5819.9,626.9,660.5,0.358,1,0.000,0.003,1.899,0.000,0.000
4,96,268.110,502.349,59.857,85229568,25.41,142.616,65.638,0,386.163,-1.000,0,0.00,1500.5,5771.6,2303.7,3467.9,0.0,5721.0,543.0,660.5,0.254,1,0.000,0.004,0.481,0.000,0.000
5,96,361.593,496.921,61.408,92332032,30.22,205.100,95.085,0,711.095,-1.000,0,0.00,1500.5,5834.9,2391.5,3443.4,0.0,5658.7,543.4,660.5,0.245,1,0.000,0.004,34.345,0.000,0.000
6,96,392.350,523.956,60.746,92332032,34.39,196.761,134.843,0,717.195,-1.000,0,0.00,1500.5,5896.9,2479.2,3417.7,0.0,5546.5,464.4,660.5,0.264,1,0.000,0.004,35.402,0.000,0.000
7,96,254.519,413.590,62.496,81678336,38.23,125.528,66.496,0,458.461,1.000,0,0.00,1500.5,5907.3,2550.1,3357.1,0.0,5478.2,414.6,660.8,0.276,1,0.000,0.010,6.008,0.000,0.000
8,96,265.058,584.390,60.044,106536960,41.07,166.868,38.147,0,415.932,1.000,0,0.00,1500.5,5877.0,2543.4,3333.6,0.0,5463.8,509.4,660.8,0.367,1,0.000,0.006,13.000,0.000,0.000
9,96,207.275,455.852,62.239,95883264,43.69,123.498,21.538,0,329.176,1.000,0,0.00,1500.5,5904.0,2570.4,3333.6,0.0,5418.2,423.0,660.8,0.463,1,0.000,0.005,4.911,0.000,0.000
10,96,254.414,527.177,77.581,102985728,45.91,131.710,45.123,0,423.568,1.000,0,0.00,1500.5,5848.1,2519.7,3328.4,0.0,5476.7,437.6,660.9,0.376,1,0.000,0.004,12.534,0.000,0.000
11,96,342.755,947.022,68.058,152702976,47.43,226.215,48.482,0,458.694,1.000,0,0.00,1500.5,5892.9,2567.0,3325.9,0.0,5427.6,468.7,661.9,0.372,1,0.000,0.004,27.844,0.000,0.000
12,96,292.003,725.964,67.117,117190656,48.95,200.025,24.861,0,392.208,1.000,0,0.00,1500.5,5903.0,2577.1,3325.9,0.0,5365.2,337.3,662.1,0.364,1,0.000,0.004,6.261,0.000,0.000
13,96,282.430,603.049,69.438,113639424,50.32,178.629,34.363,0,396.538,1.000,0,0.00,1500.5,5896.3,2570.4,3325.9,0.0,5382.7,388.5,663.0,0.362,1,0.000,0.004,0.000,0.000,0.000
14,96,240.576,545.357,71.694,92332032,51.97,142.567,26.316,0,377.763,1.000,0,0.00,1500.5,5889.3,2563.6,3325.6,0.0,5395.6,351.7,663.4,0.358,1,0.000,0.006,3.145,0.000,0.000
15,96,250.464,571.674,65.151,106536960,53.29,152.263,33.050,0,368.566,1.000,0,0.00,1500.5,5906.2,2580.5,3325.6,0.0,5394.6,399.3,664.3,0.383,1,0.000,0.003,13.586,0.000,0.000
16,96,444.004,1268.744,71.479,213073920,53.35,335.820,36.706,0,509.586,1.000,0,0.00,1500.5,5902.8,2577.1,3325.6,0.0,5397.2,374.2,664.7,0.310,1,0.000,0.003,9.462,0.000,0.000
17,96,196.259,382.308,66.982,74575872,54.77,102.419,26.858,0,329.916,1.000,0,0.00,1500.5,5902.3,2577.1,3325.1,0.0,5394.3,340.7,664.7,0.330,1,0.000,0.005,10.700,0.000,0.000
18,96,224.504,529.652,62.871,88780800,56.06,119.909,41.724,0,344.128,1.000,0,0.00,1500.5,5902.3,2577.1,3325.1,0.0,5419.7,408.2,664.6,0.320,1,0.000,0.005,21.050,0.000,0.000
19,96,233.953,527.375,62.449,113639424,56.96,141.669,29.835,0,362.905,1.000,0,0.00,1500.5,5902.3,2577.1,3325.1,0.0,5405.8,340.5,665.1,0.287,1,0.000,0.005,6.986,0.000,0.000
20,96,163.196,360.034,47.329,78127104,58.13,88.673,27.194,0,266.236,1.000,0,0.00,1500.5,5905.2,2580.5,3324.7,0.0,5443.6,343.8,653.6,0.305,1,0.000,0.003,10.640,0.000,0.000
21,96,191.804,496.285,39.244,120741888,58.80,134.739,17.821,0,273.676,1.000,0,0.00,1500.5,5891.3,2577.1,3314.1,0.0,5484.7,333.8,610.8,0.248,1,0.000,0.004,2.308,0.000,0.000
22,96,128.572,250.740,41.498,74575872,59.80,66.078,20.996,0,240.214,1.000,0,0.00,1500.5,5891.3,2577.1,3314.1,0.0,5529.2,349.1,580.7,0.274,1,0.000,0.007,6.751,0.000,0.000
