# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=1500 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,354.292,1070.395,45.000,266342400,5.44,283.923,25.369,1,443.150,-1.000,0,0.00,1500.5,4741.7,2077.6,2664.1,0.0,5643.2,756.9,988.8,0.527,1,0.000,0.004,0.000,0.000,0.000
2,96,204.705,501.493,54.801,138498048,13.07,120.188,29.716,0,350.087,-1.000,0,0.00,1500.5,4696.6,2087.7,2608.9,0.0,5613.5,891.4,988.8,0.639,1,0.000,0.002,6.408,0.000,0.000
3,96,248.780,657.471,55.215,142049280,19.19,158.489,35.076,0,349.724,-1.000,0,0.00,1500.5,4652.8,2094.5,2558.3,0.0,5533.8,978.2,988.8,0.251,1,0.000,0.003,15.430,0.000,0.000
4,96,190.434,408.498,60.825,85229568,25.18,118.353,11.255,0,312.197,-1.000,0,0.00,1500.5,4656.1,2101.2,2554.8,0.0,5583.3,991.1,988.9,0.248,1,0.000,0.003,0.591,0.000,0.000
5,96,286.904,704.547,65.449,149151744,28.94,180.697,40.758,0,440.138,-1.000,0,0.00,1500.5,4649.2,2104.6,2544.6,0.0,5472.4,823.8,988.9,0.328,1,0.000,0.003,19.881,0.000,0.000
6,96,200.935,457.185,52.492,117190656,32.65,122.280,26.163,0,319.079,-1.000,0,0.00,1500.5,4650.7,2111.4,2539.3,0.0,5414.7,720.5,988.9,0.344,1,0.000,0.002,13.031,0.000,0.000
7,96,148.187,319.696,41.833,95883264,36.22,88.978,17.376,0,245.541,1.000,0,0.00,1500.5,4654.1,2121.5,2532.6,0.0,5405.6,677.6,988.9,0.247,1,0.000,0.002,6.911,0.000,0.000
8,96,174.417,404.618,42.501,127844352,38.77,116.869,15.046,0,283.504,1.000,0,0.00,1500.5,4650.7,2124.9,2525.8,0.0,5282.4,508.9,989.0,0.233,1,0.000,0.002,2.227,0.000,0.000
9,96,113.377,213.849,44.202,46166016,42.24,56.227,12.948,0,224.218,1.000,0,0.00,1500.5,4650.5,2131.6,2518.8,0.0,5322.0,525.2,989.1,0.270,1,0.000,0.002,4.742,0.000,0.000
10,96,190.220,459.626,51.127,113639424,44.50,114.802,24.292,0,303.217,1.000,0,0.00,1500.5,4649.7,2138.4,2511.3,0.0,5365.5,526.6,989.4,0.279,1,0.000,0.002,9.602,0.000,0.000
