# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=1200 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,646.872,1667.001,72.772,323162112,3.80,451.885,122.215,0,787.005,-1.000,0,0.00,1200.1,5278.1,1814.7,3463.4,0.0,6086.6,407.7,1142.2,0.141,1,0.000,0.006,0.000,0.000,0.000
2,96,470.028,774.664,63.682,149151744,11.34,222.626,183.720,0,578.100,-1.000,0,0.00,1200.1,5419.9,1956.5,3463.4,0.0,5981.5,336.6,1142.9,0.348,1,0.000,0.004,7.178,0.000,0.000
3,96,381.729,745.517,63.366,134946816,17.64,211.238,107.126,0,471.686,-1.000,0,0.00,1200.1,5548.1,2084.7,3463.4,0.0,5832.1,360.5,1142.9,0.326,1,0.000,0.004,6.544,0.000,0.000
4,96,206.075,280.866,44.253,85229568,23.71,87.285,74.537,0,306.904,-1.000,0,0.00,1200.1,5629.1,2165.7,3463.4,0.0,5810.5,365.3,1119.0,0.311,1,0.000,0.006,0.000,0.000,0.000
5,96,308.889,473.828,48.143,113639424,28.67,111.223,149.523,0,395.853,-1.000,0,0.00,1200.1,5737.1,2273.7,3463.4,0.0,5745.7,266.6,975.7,0.253,1,0.000,0.004,22.088,0.000,0.000
6,96,256.145,533.198,48.142,134946816,32.22,152.700,55.304,0,350.240,-1.000,0,0.00,1200.1,5777.6,2314.2,3463.4,0.0,5730.6,200.4,743.6,0.276,1,0.000,0.003,9.172,0.000,0.000
7,96,165.932,299.467,49.376,85229568,35.88,91.545,25.010,0,281.066,1.000,0,0.00,1200.1,5767.4,2304.1,3463.3,0.0,5749.4,344.0,682.4,0.241,1,0.000,0.005,0.000,0.000,0.000
8,96,197.330,468.865,43.386,131395584,38.77,118.725,35.218,0,296.828,1.000,0,0.00,1200.1,5838.3,2375.0,3463.3,0.0,5718.5,515.7,652.6,0.269,1,0.000,0.005,21.357,0.000,0.000
9,96,146.556,225.081,56.755,42614784,42.14,71.966,17.835,0,255.243,1.000,0,0.00,1200.1,5818.0,2354.7,3463.3,0.0,5728.5,534.2,652.5,0.252,1,0.000,0.005,0.000,0.000,0.000
10,96,331.085,863.667,66.232,138498048,44.12,227.871,36.982,0,410.000,1.000,0,0.00,1200.1,5909.1,2445.9,3463.3,0.0,5620.9,453.7,652.1,0.237,1,0.000,0.004,23.578,0.000,0.000
11,96,390.813,1044.191,71.772,163356672,45.65,263.614,55.427,0,489.907,1.000,0,0.00,1200.1,5996.9,2533.6,3463.3,0.0,5527.1,540.5,652.7,0.340,1,0.000,0.004,29.140,0.000,0.000
12,96,307.371,737.314,73.468,110088192,47.48,200.928,32.975,0,425.292,1.000,0,0.00,1200.1,6037.4,2574.1,3463.3,0.0,5453.5,338.3,655.3,0.361,1,0.000,0.005,10.626,0.000,0.000
13,96,182.370,376.365,44.320,78127104,49.40,106.110,31.940,0,271.986,1.000,0,0.00,1200.1,6017.2,2553.9,3463.3,0.0,5530.8,561.7,627.1,0.474,1,0.000,0.006,9.461,0.000,0.000
14,96,188.732,425.534,48.990,81678336,51.21,108.263,31.480,0,274.821,1.000,0,0.00,1200.1,6017.2,2553.9,3463.3,0.0,5511.5,519.3,609.8,0.281,1,0.000,0.004,13.624,0.000,0.000
15,96,243.023,557.687,62.495,106536960,52.53,149.384,31.145,0,376.691,1.000,0,0.00,1200.1,6030.7,2567.4,3463.3,0.0,5469.2,405.8,610.0,0.359,1,0.000,0.004,11.048,0.000,0.000
16,96,424.752,1233.289,53.921,216625152,52.59,336.058,34.774,0,478.089,1.000,0,0.00,1200.1,6040.7,2577.5,3463.2,0.0,5529.1,488.4,581.9,0.335,1,0.000,0.003,3.028,0.000,0.000
17,96,160.311,358.850,44.359,71024640,54.10,92.569,23.383,0,244.522,1.000,0,0.00,1200.1,6040.7,2577.5,3463.2,0.0,5527.8,633.9,554.1,0.264,1,0.000,0.005,7.197,0.000,0.000
18,96,189.407,420.796,68.742,81678336,55.49,91.344,29.322,0,322.847,1.000,0,0.00,1200.1,6037.4,2574.1,3463.2,0.0,5501.9,547.5,554.3,0.233,1,0.000,0.004,10.768,0.000,0.000
19,96,345.370,860.138,68.744,124293120,56.35,232.145,44.481,0,420.183,1.000,0,0.00,1200.1,6030.6,2567.4,3463.2,0.0,5504.9,456.5,554.4,0.373,1,0.000,0.004,12.134,0.000,0.000
20,96,246.688,517.316,67.236,74575872,57.49,143.913,35.539,0,348.663,1.000,0,0.00,1200.1,6040.7,2577.5,3463.2,0.0,5500.0,389.9,556.2,0.369,1,0.000,0.005,16.970,0.000,0.000
21,96,291.605,728.294,59.562,117190656,58.12,210.345,21.697,0,381.822,1.000,0,0.00,1200.1,6040.7,2577.5,3463.2,0.0,5506.3,512.4,556.6,0.384,1,0.000,0.005,1.268,0.000,0.000
22,96,149.706,319.330,47.748,67473408,59.15,85.098,16.859,0,228.134,1.000,0,0.00,1200.1,6040.7,2577.5,3463.2,0.0,5480.5,509.6,556.5,0.419,1,0.000,0.003,7.347,0.000,0.000
23,96,170.903,318.403,53.462,67473408,60.13,85.457,31.984,0,261.698,1.000,0,0.00,1200.1,6017.1,2553.9,3463.2,0.0,5498.7,493.3,556.5,0.231,1,0.000,0.004,10.130,0.000,0.000
24,96,196.961,413.627,70.060,71024640,61.05,110.813,16.089,0,328.314,1.000,0,0.00,1200.1,6040.8,2577.5,3463.2,0.0,5489.4,431.4,556.6,0.321,1,0.000,0.004,4.341,0.000,0.000
25,96,271.779,661.293,65.246,110088192,61.59,184.286,22.248,0,367.956,1.000,0,0.00,1200.1,6037.4,2574.2,3463.2,0.0,5490.9,525.1,557.2,0.314,1,0.000,0.003,0.000,0.000,0.000
26,96,189.701,456.394,69.398,74575872,62.41,106.962,13.341,0,324.943,1.000,0,0.00,1200.1,6037.4,2574.2,3463.2,0.0,5492.3,557.0,557.4,0.348,1,0.000,0.006,0.000,0.000,0.000
27,96,277.798,684.462,61.966,110088192,62.92,187.667,28.165,0,353.508,1.000,0,0.00,1200.1,6040.8,2577.6,3463.2,0.0,5464.0,445.2,557.5,0.325,1,0.000,0.004,7.836,0.000,0.000
28,96,247.415,627.129,51.127,134946816,63.18,175.135,21.152,0,317.058,1.000,0,0.00,1200.1,6037.4,2574.2,3463.2,0.0,5476.4,601.3,557.6,0.296,1,0.000,0.003,0.000,0.000,0.000
29,96,316.064,767.455,68.856,110088192,63.58,225.603,21.606,0,402.857,1.000,0,0.00,1200.1,6040.8,2577.6,3463.2,0.0,5459.4,557.9,558.3,0.248,1,0.000,0.004,0.000,0.000,0.000
30,96,302.084,661.132,71.444,106536960,64.00,192.514,38.126,0,411.774,1.000,0,0.00,1200.1,6040.8,2577.6,3463.2,0.0,5435.0,468.8,561.9,0.363,1,0.000,0.004,5.477,0.000,0.000
31,96,202.528,293.498,68.212,48533504,64.71,86.278,48.038,0,312.017,1.000,0,0.00,1200.1,5928.4,2465.1,3463.2,0.0,5573.6,603.2,562.0,0.353,1,0.000,0.004,0.000,0.000,0.000
32,96,217.867,367.353,63.342,68657152,65.28,120.119,34.406,0,335.926,1.000,0,0.00,1200.1,5878.8,2415.6,3463.2,0.0,5621.2,604.4,562.2,0.216,1,0.000,0.006,0.000,0.000,0.000
33,96,232.686,516.380,55.376,88780800,65.72,143.872,33.438,0,294.207,1.000,0,0.00,1200.1,5855.2,2391.9,3463.2,0.0,5622.1,526.8,563.5,0.335,1,0.000,0.004,4.351,0.000,0.000
34,96,159.655,299.469,44.552,56819712,66.28,95.661,19.442,0,221.123,1.000,0,0.00,1200.1,5824.8,2361.6,3463.2,0.0,5663.8,521.1,564.9,0.229,1,0.000,0.005,1.176,0.000,0.000
35,96,173.252,334.653,67.770,49717248,66.92,74.160,31.322,0,275.024,1.000,0,0.00,1200.1,5834.9,2371.7,3463.2,0.0,5663.5,485.1,565.1,0.223,1,0.000,0.007,19.997,0.000,0.000
36,96,97.774,136.642,49.400,28409856,67.62,28.345,20.029,0,177.821,1.000,0,0.00,1200.1,5831.5,2368.3,3463.2,0.0,5669.2,475.9,565.1,0.361,1,0.000,0.008,12.677,0.000,0.000
37,96,195.589,449.762,55.440,92332032,68.08,94.042,46.107,0,279.695,1.000,0,0.00,1200.1,5838.3,2375.1,3463.2,0.0,5676.7,429.8,565.2,0.221,1,0.000,0.004,24.621,0.000,0.000
38,96,118.874,142.620,57.961,35512320,68.62,52.383,8.530,0,253.787,1.000,0,0.00,1200.1,5845.0,2381.8,3463.2,0.0,5669.7,402.1,565.5,0.335,1,0.000,0.012,0.000,0.000,0.000
39,96,210.141,446.575,58.414,81678336,69.01,114.308,37.418,0,330.732,1.000,0,0.00,1200.1,5882.2,2418.9,3463.2,0.0,5615.0,476.8,566.8,0.321,1,0.000,0.005,22.844,0.000,0.000
40,96,232.216,597.306,68.155,85229568,69.49,93.160,70.901,0,320.662,1.000,0,0.00,1200.1,5942.9,2479.7,3463.2,0.0,5568.0,424.6,571.3,0.320,1,0.000,0.008,61.889,0.000,0.000
41,96,220.434,491.609,47.676,81678336,69.79,148.370,24.388,0,270.108,1.000,0,0.00,1200.1,5939.5,2476.3,3463.2,0.0,5540.0,329.2,575.8,0.279,1,0.000,0.003,5.949,0.000,0.000
42,96,212.958,526.491,48.772,92332032,70.12,123.959,40.227,0,263.861,1.000,0,0.00,1200.1,5963.2,2499.9,3463.2,0.0,5529.6,400.5,579.0,0.267,1,0.000,0.004,22.467,0.000,0.000
43,96,287.954,780.651,70.974,106536960,70.41,172.588,44.392,0,379.058,1.000,0,0.00,1200.1,6034.0,2570.8,3463.2,0.0,5428.1,337.2,582.1,0.232,1,0.000,0.007,33.160,0.000,0.000
44,96,268.829,640.243,53.295,106536960,70.55,194.529,21.005,0,339.021,1.000,0,0.00,1200.1,6033.8,2570.8,3463.0,0.0,5459.2,326.3,576.5,0.290,1,0.000,0.003,0.000,0.000,0.000
45,96,255.408,623.047,41.863,134946816,70.57,183.048,30.497,0,323.397,1.000,0,0.00,1200.1,6020.4,2577.6,3442.9,0.0,5551.3,366.1,532.6,0.243,1,0.000,0.003,5.527,0.000,0.000
46,96,263.811,632.789,52.675,120741888,70.69,166.504,44.631,0,364.979,1.000,0,0.00,1200.1,5992.9,2574.2,3418.7,0.0,5570.3,298.6,521.9,0.294,1,0.000,0.003,15.896,0.000,0.000
47,96,164.548,380.975,40.753,81678336,70.96,104.641,19.155,0,231.874,1.000,0,0.00,1200.1,5990.3,2581.0,3409.3,0.0,5551.6,169.0,534.9,0.224,1,0.000,0.003,6.069,0.000,0.000
48,96,219.869,447.647,48.476,95883264,71.13,129.746,41.647,0,311.440,1.000,0,0.00,1200.1,5922.3,2567.5,3354.9,0.0,5534.5,219.9,582.2,0.288,1,0.000,0.004,5.915,0.000,0.000
49,96,187.480,430.001,44.136,95883264,71.35,100.003,43.342,0,269.290,1.000,0,0.00,1200.1,5380.1,2567.5,2812.7,0.0,5536.8,856.6,582.5,0.240,1,0.000,0.004,22.501,0.000,0.000
50,96,227.821,449.170,64.536,78127104,71.61,126.625,36.659,0,342.282,1.000,0,0.00,1200.1,5332.9,2520.2,2812.7,0.0,5510.9,762.7,582.7,0.275,1,0.000,0.006,0.000,0.000,0.000
51,96,257.179,595.999,62.880,92332032,71.85,138.804,55.495,0,368.144,1.000,0,0.00,1200.1,5332.9,2520.2,2812.7,0.0,5457.7,634.1,585.5,0.347,1,0.000,0.005,25.085,0.000,0.000
52,96,155.484,258.624,52.647,49717248,72.17,81.289,21.548,0,256.188,1.000,0,0.00,1200.1,5295.8,2483.1,2812.7,0.0,5463.8,600.0,586.3,0.361,1,0.000,0.007,1.230,0.000,0.000
53,96,283.072,613.374,64.272,99434496,72.29,181.045,37.755,0,357.757,1.000,0,0.00,1200.1,5275.5,2462.9,2812.7,0.0,5423.6,487.0,586.5,0.371,1,0.000,0.003,4.427,0.000,0.000
54,96,218.547,509.031,46.329,110088192,72.36,154.626,17.592,0,276.033,1.000,0,0.00,1200.1,5302.5,2489.9,2812.7,0.0,5473.8,447.6,586.7,0.249,1,0.000,0.002,0.000,0.000,0.000
55,96,185.059,381.496,43.555,106536960,72.44,123.063,18.441,0,286.099,1.000,0,0.00,1200.1,5336.3,2523.6,2812.7,0.0,5450.6,362.2,586.9,0.230,1,0.000,0.003,0.000,0.000,0.000
56,96,223.183,474.484,58.234,92332032,72.65,116.346,48.604,0,353.758,1.000,0,0.00,1200.1,5272.2,2533.8,2738.4,0.0,5509.1,541.3,574.5,0.392,1,0.000,0.007,20.617,0.000,0.000
57,96,193.505,440.459,42.188,92332032,72.84,109.966,41.351,0,272.224,1.000,0,0.00,1200.1,5176.0,2540.5,2635.5,0.0,5551.2,744.7,551.4,0.253,1,0.000,0.004,16.669,0.000,0.000
58,96,223.385,431.893,66.472,88780800,73.00,134.205,22.708,0,356.523,1.000,0,0.00,1200.1,5189.5,2554.0,2635.5,0.0,5453.7,600.4,551.9,0.350,1,0.000,0.005,2.439,0.000,0.000
59,96,333.999,831.710,70.340,142049280,73.01,217.498,46.161,0,439.192,1.000,0,0.00,1200.1,5209.8,2574.3,2635.5,0.0,5446.7,492.0,552.8,0.358,1,0.000,0.004,15.298,0.000,0.000
60,96,124.543,231.782,44.234,71024640,73.23,64.475,15.835,0,228.908,1.000,0,0.00,1200.1,5213.2,2577.6,2635.5,0.0,5448.9,462.2,554.3,0.238,1,0.000,0.006,2.594,0.000,0.000
61,96,182.202,336.612,53.230,85229568,73.35,109.388,19.584,0,293.163,1.000,0,0.00,1200.1,5203.0,2567.5,2635.5,0.0,5462.5,431.9,554.3,0.264,1,0.000,0.006,0.000,0.000,0.000
62,96,288.685,612.884,70.353,110088192,73.42,188.096,30.236,0,405.886,1.000,0,0.00,1200.1,5213.2,2577.6,2635.5,0.0,5438.8,345.3,557.1,0.315,1,0.000,0.005,0.778,0.000,0.000
63,96,199.392,372.364,60.074,78127104,73.58,110.036,29.281,0,353.242,1.000,0,0.00,1200.1,5127.9,2564.1,2563.8,0.0,5478.2,518.4,558.2,0.378,1,0.000,0.007,0.000,0.000,0.000
64,96,257.556,566.135,67.222,95883264,73.69,162.290,28.043,0,371.235,1.000,0,0.00,1200.1,5095.8,2577.6,2518.2,0.0,5446.6,532.2,559.2,0.327,1,0.000,0.004,7.431,0.000,0.000
65,96,177.817,322.735,54.969,67473408,73.89,96.634,26.214,0,296.517,1.000,0,0.00,1200.1,5095.8,2577.6,2518.2,0.0,5435.6,487.8,559.6,0.251,1,0.000,0.005,6.443,0.000,0.000
66,96,135.381,223.029,39.790,67473408,74.05,76.015,19.576,0,238.082,1.000,0,0.00,1200.1,5055.3,2537.1,2518.2,0.0,5478.3,494.8,559.8,0.227,1,0.000,0.006,0.000,0.000,0.000
67,96,193.520,426.971,61.685,85229568,74.21,116.762,15.072,0,335.141,1.000,0,0.00,1200.1,5092.4,2574.3,2518.2,0.0,5473.3,453.1,560.4,0.335,1,0.000,0.005,0.000,0.000,0.000
68,96,233.542,511.358,65.713,95883264,74.34,128.824,39.006,0,361.204,1.000,0,0.00,1200.1,5085.7,2567.5,2518.2,0.0,5465.6,382.0,560.6,0.320,1,0.000,0.004,14.422,0.000,0.000
69,96,179.218,331.671,65.942,74575872,74.49,98.681,14.595,0,337.832,1.000,0,0.00,1200.1,5095.8,2577.7,2518.2,0.0,5447.7,332.8,561.4,0.379,1,0.000,0.004,0.000,0.000,0.000
70,96,298.418,716.707,65.551,134946816,74.47,194.260,38.607,0,425.727,1.000,0,0.00,1200.1,5008.8,2577.7,2431.1,0.0,5482.5,515.4,557.4,0.350,1,0.000,0.005,11.257,0.000,0.000
71,96,362.997,912.813,61.694,138498048,74.43,265.254,36.049,0,433.687,1.000,0,0.00,1200.1,4991.2,2581.0,2410.2,0.0,5483.7,467.4,557.1,0.388,1,0.000,0.004,3.518,0.000,0.000
72,96,245.653,564.426,54.983,99434496,74.51,160.526,30.145,0,314.091,1.000,0,0.00,1200.1,4987.8,2577.7,2410.2,0.0,5455.8,372.7,557.1,0.330,1,0.000,0.003,4.613,0.000,0.000
73,96,261.496,659.264,48.472,134946816,74.47,192.581,20.444,0,352.026,1.000,0,0.00,1200.1,4967.0,2577.7,2389.3,0.0,5519.7,437.3,557.3,0.232,1,0.000,0.003,1.236,0.000,0.000
74,96,172.314,192.247,59.846,53268480,74.64,65.288,47.180,0,313.418,1.000,0,0.00,1200.1,4872.5,2483.2,2389.3,0.0,5585.0,486.7,557.7,0.239,1,0.000,0.007,0.000,0.000,0.000
75,96,188.778,328.902,48.882,92332032,74.75,93.409,46.487,0,296.408,1.000,0,0.00,1200.1,4824.7,2456.2,2368.5,0.0,5674.2,604.5,561.8,0.319,1,0.000,0.005,14.782,0.000,0.000
76,96,203.620,372.575,58.546,78127104,74.87,114.024,31.050,0,332.244,1.000,0,0.00,1200.1,4726.5,2435.9,2290.6,0.0,5706.3,881.1,561.9,0.249,1,0.000,0.008,0.544,0.000,0.000
77,96,239.993,475.014,69.605,78127104,75.00,131.036,39.351,0,362.428,1.000,0,0.00,1200.1,4704.5,2432.5,2272.0,0.0,5688.6,878.7,562.0,0.365,1,0.000,0.005,8.997,0.000,0.000
78,96,149.709,236.344,70.409,49717248,75.21,62.385,16.916,0,297.718,1.000,0,0.00,1200.1,4707.9,2435.9,2272.0,0.0,5623.5,795.8,562.2,0.401,1,0.000,0.007,0.000,0.000,0.000
79,96,115.950,157.137,62.897,31961088,75.46,31.250,21.802,0,262.596,1.000,0,0.00,1200.1,4697.8,2425.8,2272.0,0.0,5633.1,788.9,562.2,0.357,1,0.000,0.014,8.670,0.000,0.000
80,96,166.143,232.090,61.324,74575872,75.57,76.585,28.234,0,328.744,1.000,0,0.00,1200.1,4669.2,2415.7,2253.5,0.0,5634.2,828.6,563.2,0.372,1,0.000,0.005,3.022,0.000,0.000
81,96,162.838,251.897,70.456,63922176,75.73,75.447,16.935,0,325.759,1.000,0,0.00,1200.1,4675.9,2422.4,2253.5,0.0,5593.6,771.9,563.2,0.343,1,0.000,0.007,0.000,0.000,0.000
82,96,107.159,248.717,43.174,78127104,75.89,54.513,9.472,0,213.871,1.000,0,0.00,1200.1,4729.9,2476.4,2253.5,0.0,5547.3,703.5,563.3,0.338,1,0.000,0.006,5.581,0.000,0.000
83,96,121.678,269.637,42.908,67473408,76.07,58.333,20.437,0,211.022,1.000,0,0.00,1200.1,4748.9,2513.6,2235.3,0.0,5569.5,745.2,563.4,0.230,1,0.000,0.006,12.302,0.000,0.000
84,96,190.435,344.459,62.028,88780800,76.17,99.952,28.455,0,336.151,1.000,0,0.00,1200.1,4741.2,2523.7,2217.5,0.0,5547.3,745.9,563.6,0.286,1,0.000,0.004,6.666,0.000,0.000
85,96,216.554,498.258,58.258,95883264,76.25,134.406,23.889,0,355.755,1.000,0,0.00,1200.1,4770.6,2570.9,2199.6,0.0,5506.1,714.2,563.7,0.327,1,0.000,0.005,9.309,0.000,0.000
86,96,171.157,309.510,59.970,81678336,76.35,83.761,27.426,0,330.387,1.000,0,0.00,1200.1,4780.7,2581.1,2199.6,0.0,5465.0,634.1,563.8,0.383,1,0.000,0.007,12.457,0.000,0.000
87,96,244.821,510.424,64.682,117190656,76.36,139.577,40.562,0,399.998,1.000,0,0.00,1200.1,4763.8,2564.2,2199.6,0.0,5439.0,572.9,564.5,0.353,1,0.000,0.004,9.044,0.000,0.000
88,96,253.545,523.524,66.239,110088192,76.40,145.438,41.868,0,410.017,1.000,0,0.00,1200.1,4743.0,2577.7,2165.3,0.0,5407.1,605.1,651.8,0.276,1,0.000,0.004,14.844,0.000,0.000
89,96,178.009,276.539,57.647,60370944,76.52,85.482,34.880,0,293.438,1.000,0,0.00,1200.1,4678.4,2530.4,2148.0,0.0,5469.8,695.1,657.3,0.242,1,0.000,0.005,8.726,0.000,0.000
90,96,205.198,354.092,75.113,81678336,76.62,91.065,39.020,0,386.233,1.000,0,0.00,1200.1,4691.9,2543.9,2148.0,0.0,5416.0,610.2,663.6,0.364,1,0.000,0.009,15.889,0.000,0.000
91,96,262.731,600.789,66.617,110088192,76.68,158.701,37.413,0,391.570,1.000,0,0.00,1200.1,4670.9,2557.4,2113.4,0.0,5500.8,767.1,664.5,0.346,1,0.000,0.008,6.550,0.000,0.000
92,96,236.948,428.101,71.853,88780800,76.74,129.360,35.735,0,372.436,1.000,0,0.00,1200.1,4627.6,2530.5,2097.2,0.0,5436.8,721.0,665.2,0.356,1,0.000,0.004,1.933,0.000,0.000
93,96,231.502,465.255,65.675,95883264,76.79,133.337,32.489,0,375.060,1.000,0,0.00,1200.1,4598.2,2517.0,2081.2,0.0,5451.7,745.0,665.1,0.300,1,0.000,0.004,1.104,0.000,0.000
94,96,199.768,379.519,58.809,92332032,76.83,121.716,19.242,0,336.037,1.000,0,0.00,1200.1,4606.1,2540.6,2065.5,0.0,5512.7,824.4,665.1,0.277,1,0.000,0.004,1.822,0.000,0.000
95,96,115.030,131.842,54.314,46166016,76.98,42.357,18.359,0,253.731,1.000,0,0.00,1200.1,4582.5,2517.0,2065.5,0.0,5469.2,769.2,665.1,0.337,1,0.000,0.007,0.000,0.000,0.000
96,96,203.255,391.866,57.004,102985728,77.01,116.742,29.509,0,336.297,1.000,0,0.00,1200.1,4583.8,2533.8,2050.0,0.0,5496.2,813.2,665.9,0.324,1,0.000,0.005,6.562,0.000,0.000
# summary tokens=96 s/tok=0.228 tok/s=4.383 read_MiB=8676.8 io_s=46.79 compute_s/tok=0.058 io_s/tok=0.487 cache_hit_pct=77.0 n_prompt=51 load_s=2.698 prefill_s=5.469 prefill_tps=9.32 stall_s/tok=0.134 mgmt_s/tok=0.036 cache_resident_MiB=1154.2 cache_budget_MiB=1200.1 cache_resizes=0 spec_read_MiB=1312.9 spec_experts=389 spec_useful=269 majflt/tok=0.00 cpu_s/tok=0.3364 token_demand_MiB=432.0 layer_demand_MiB=27.0 experts_routed=0 experts_dropped=0 experts_reranked=0 experts_substituted=0 loop_overhead_s/tok=0.0003 mtp_drafted=0 mtp_accepted=0 mtp_decodes=96 mtp_draft_s/tok=0.0000 drafted_steps=0 ra_committed=0 ra_passthrough=0 ra_agree_pct=0.0 ra_gemv_ms/tok=0.00 ra_issue_ms/tok=0.00 ra_wd_ms/tok=0.00 drain_s/tok=0.000 adopt_s/tok=0.008 evictions=974 rereads=1923 prefill_cpu_s=9.060 prefill_read_mib=2865.2 prefill_io_s=17.776 prefill_stall_s=4.026 prefill_mgmt_s=0.133 row_table_MiB=0.0 row_resident_MiB=0.0 row_rows=0 row_reads=0 row_read_MiB=0.0 row_evictions=0 row_io_errors=0
