# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,96,449.430,1470.565,45.745,174010368,8.11,387.987,15.698,0,356.264,-1.000,0,0.00,2000.0,4557.2,2576.4,1980.8,0.0,4973.8,428.6,1350.5,0.106,1,0.000,0.003,0.000,0.000,0.000
2,96,202.988,529.902,46.840,95883264,16.61,136.447,19.701,0,263.522,-1.000,0,0.00,2000.0,4558.4,2579.8,1978.5,0.0,4978.8,409.0,1380.1,0.777,1,0.000,0.002,11.874,0.000,0.000
3,96,194.297,524.744,47.198,106536960,23.25,122.230,24.869,0,267.603,-1.000,0,0.00,2000.0,4555.2,2579.8,1975.3,0.0,4971.4,372.3,1396.4,0.253,1,0.000,0.003,15.552,0.000,0.000
4,96,138.764,307.393,42.818,74575872,29.09,88.147,7.799,0,229.452,-1.000,0,0.00,2000.0,4555.2,2579.8,1975.3,0.0,4979.8,363.5,1402.8,0.220,1,0.000,0.002,1.586,0.000,0.000
5,96,157.664,366.006,46.670,78127104,33.85,92.745,18.249,0,246.131,-1.000,0,0.00,2000.0,4551.1,2576.5,1974.6,0.0,4979.4,333.5,1405.9,0.260,1,0.000,0.002,11.318,0.000,0.000
6,96,137.507,306.801,40.994,88780800,37.67,77.455,19.058,0,234.241,-1.000,0,0.00,2000.0,4530.2,2576.5,1953.8,0.0,5101.9,583.5,1406.9,0.290,1,0.000,0.002,11.378,0.000,0.000
7,96,101.492,217.300,34.524,71024640,41.16,62.177,4.792,0,192.619,1.000,0,0.00,2000.0,4533.6,2579.8,1953.8,0.0,5077.7,527.9,1406.9,0.262,1,0.000,0.002,0.000,0.000,0.000
8,96,224.126,514.461,66.947,110088192,43.69,141.345,15.834,0,376.395,1.000,0,0.00,2000.0,4530.1,2576.5,1953.6,0.0,5069.8,471.1,1406.9,0.291,1,0.000,0.004,4.985,0.000,0.000
9,96,105.184,177.382,60.053,42614784,46.90,40.541,4.590,0,265.689,1.000,0,0.00,2000.0,4529.8,2576.5,1953.4,0.0,5078.3,466.9,1406.9,0.353,1,0.000,0.003,0.000,0.000,0.000
10,96,186.678,445.211,56.610,95883264,49.01,103.639,26.429,0,310.252,1.000,0,0.00,2000.0,4529.8,2576.5,1953.4,0.0,5054.5,401.3,1407.3,0.362,1,0.000,0.003,16.605,0.000,0.000
