# bmoe_metrics v2
# engine=0.23.0
# model=olmoe-1b-7b-0924-q4_0.gguf arch=olmoe n_layer=16 n_expert=64 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=2000 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=432 force_cache=1 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,394.787,599.059,122.631,234381312,6.37,247.535,24.620,21904,880.030,-1.000,0,85.56,2000.0,2026.8,2015.7,11.1,560.8,5283.9,2345.6,937.6,0.114,1,0.000,0.002,0.000,0.000,0.000
2,64,254.398,281.468,45.298,131395584,13.88,194.371,14.729,1236,613.713,-1.000,0,4.83,2000.0,1987.3,1976.2,11.1,600.2,5243.8,2260.6,898.1,0.288,1,0.000,0.002,0.000,0.000,0.000
3,64,176.275,279.955,38.351,117190656,20.16,124.186,13.738,846,404.194,-1.000,0,3.30,2000.0,1994.8,1983.7,11.1,592.7,5219.1,2194.7,905.6,0.170,1,0.000,0.002,0.000,0.000,0.000
4,64,154.733,191.952,30.259,95883264,25.70,115.094,9.379,655,384.733,-1.000,0,2.56,2000.0,1981.2,1970.1,11.1,606.3,5167.1,2116.7,892.1,0.156,1,0.000,0.002,0.000,0.000,0.000
5,64,174.375,273.653,39.581,124293120,29.74,122.978,11.816,1718,377.252,-1.000,0,6.71,2000.0,2008.4,1997.4,11.0,579.1,5392.8,2354.3,919.3,0.159,1,0.000,0.002,0.000,0.000,0.000
6,64,173.193,247.683,39.481,145600512,32.78,119.874,13.837,1491,422.402,-1.000,0,5.82,2000.0,2013.6,2002.6,11.0,573.8,5268.5,2198.7,924.5,0.211,1,0.000,0.001,0.000,0.000,0.000
7,64,129.793,197.178,30.439,88780800,36.28,90.021,9.333,942,294.980,0.805,0,3.68,2000.0,2018.1,2007.0,11.0,569.4,5203.2,2103.9,928.9,0.155,1,0.000,0.001,0.000,0.000,0.000
8,64,202.193,362.083,30.443,138498048,38.56,157.016,14.735,406,404.821,0.805,0,1.59,2000.0,2021.3,2010.2,11.0,566.2,5165.2,2012.4,932.1,0.144,1,0.000,0.002,0.000,0.000,0.000
9,64,68.617,60.263,29.607,31961088,42.04,34.948,4.061,544,180.355,0.805,0,2.12,2000.0,2022.4,2011.4,11.0,565.1,5130.2,1969.0,933.3,0.209,1,0.000,0.002,0.000,0.000,0.000
10,64,145.733,206.888,32.476,110088192,44.07,100.735,12.522,201,356.925,0.805,0,0.79,2000.0,2023.4,2012.3,11.0,564.1,5164.8,2010.9,934.3,0.147,1,0.000,0.002,0.000,0.000,0.000
