worker,t0,t1,bytes
cpu,27621.660415,27621.684145,22020096
cpu,27621.684149,27621.708124,22020096
cpu,27621.708126,27621.732066,22020096
cpu,27621.732068,27621.752359,22020096
cpu,27621.752360,27621.753341,22020096
cpu,27621.753344,27621.754317,22020096
cpu,27621.754317,27621.755301,22020096
cpu,27621.755301,27621.756291,22020096
cpu,27621.756292,27621.757270,22020096
cpu,27621.757271,27621.758242,22020096
cpu,27621.758242,27621.759215,22020096
cpu,27621.759215,27621.760203,22020096
cpu,27621.760203,27621.761165,22020096
cpu,27621.761165,27621.762136,22020096
cpu,27621.762136,27621.763098,22020096
cpu,27621.763098,27621.764081,22020096
cpu,27621.764082,27621.765045,22020096
cpu,27621.765047,27621.766015,22020096
cpu,27621.766015,27621.766980,22020096
cpu,27621.766980,27621.767937,22020096
cpu,27621.767937,27621.768914,22020096
cpu,27621.768914,27621.769879,22020096
cpu,27621.769880,27621.770848,22020096
cpu,27621.770849,27621.771812,22020096
cpu,27621.771812,27621.772786,22020096
cpu,27621.772786,27621.773753,22020096
cpu,27621.773754,27621.774709,22020096
cpu,27621.774709,27621.775669,22020096
cpu,27621.775669,27621.776645,22020096
cpu,27621.776645,27621.777604,22020096
cpu,27621.777604,27621.778566,22020096
cpu,27621.778567,27621.779525,22020096
cpu,27621.779526,27621.780508,22020096
cpu,27621.780510,27621.781476,22020096
cpu,27621.781477,27621.782445,22020096
cpu,27621.782445,27621.783407,22020096
cpu,27621.783407,27621.784380,22020096
cpu,27621.784380,27621.785359,22020096
cpu,27621.785359,27621.786360,22020096
cpu,27621.786360,27621.787353,22020096
cpu,27621.787353,27621.788367,22020096
cpu,27621.788367,27621.789344,22020096
cpu,27621.789344,27621.790340,22020096
cpu,27621.790341,27621.791318,22020096
cpu,27621.791318,27621.792313,22020096
cpu,27621.792314,27621.793329,22020096
cpu,27621.793329,27621.794316,22020096
cpu,27621.794316,27621.795310,22020096
cpu,27621.795310,27621.796350,22020096
cpu,27621.796350,27621.797359,22020096
cpu,27621.797359,27621.798348,22020096
cpu,27621.798349,27621.799335,22020096
cpu,27621.799335,27621.800319,22020096
cpu,27621.800320,27621.801303,22020096
cpu,27621.801304,27621.802283,22020096
cpu,27621.802283,27621.803272,22020096
cpu,27621.803273,27621.804268,22020096
cpu,27621.804268,27621.805250,22020096
cpu,27621.805250,27621.806220,22020096
cpu,27621.806220,27621.807202,22020096
cpu,27621.807202,27621.808188,22020096
cpu,27621.808188,27621.809163,22020096
cpu,27621.809163,27621.810133,22020096
cpu,27621.810133,27621.811110,22020096
cpu,27621.811110,27621.812112,22020096
cpu,27621.812116,27621.813088,22020096
cpu,27621.813088,27621.814064,22020096
cpu,27621.814064,27621.815031,22020096
cpu,27621.815031,27621.816022,22020096
cpu,27621.816023,27621.816991,22020096
cpu,27621.816991,27621.817948,22020096
cpu,27621.817948,27621.818909,22020096
cpu,27621.818909,27621.819871,22020096
cpu,27621.819871,27621.820852,22020096
cpu,27621.820852,27621.821816,22020096
cpu,27621.821816,27621.822781,22020096
cpu,27621.822782,27621.823744,22020096
cpu,27621.823744,27621.824718,22020096
cpu,27621.824718,27621.825677,22020096
cpu,27621.825677,27621.826638,22020096
cpu,27621.826638,27621.827600,22020096
cpu,27621.827601,27621.828577,22020096
cpu,27621.828578,27621.829536,22020096
cpu,27621.829537,27621.830493,22020096
cpu,27621.830493,27621.831454,22020096
cpu,27621.831454,27621.832436,22020096
cpu,27621.832436,27621.833403,22020096
cpu,27621.833403,27621.834373,22020096
cpu,27621.834373,27621.835335,22020096
cpu,27621.835335,27621.836308,22020096
cpu,27621.836308,27621.837267,22020096
cpu,27621.837267,27621.838222,22020096
cpu,27621.838222,27621.839184,22020096
cpu,27621.839185,27621.840181,22020096
cpu,27621.840181,27621.841154,22020096
cpu,27621.841154,27621.842163,22020096
cpu,27621.842163,27621.843161,22020096
cpu,27621.843161,27621.844158,22020096
cpu,27621.844159,27621.845120,22020096
cpu,27621.845120,27621.846068,22020096
cpu,27621.846068,27621.847078,22020096
cpu,27621.847078,27621.848062,22020096
cpu,27621.848063,27621.849075,22020096
cpu,27621.849075,27621.850032,22020096
cpu,27621.850032,27621.850995,22020096
cpu,27621.850995,27621.851955,22020096
cpu,27621.851955,27621.852931,22020096
cpu,27621.852931,27621.853899,22020096
cpu,27621.853899,27621.854871,22020096
cpu,27621.854871,27621.855842,22020096
cpu,27621.855842,27621.856814,22020096
cpu,27621.856814,27621.857775,22020096
cpu,27621.857776,27621.858737,22020096
cpu,27621.858737,27621.859696,22020096
cpu,27621.859696,27621.860669,22020096
cpu,27621.860669,27621.861628,22020096
cpu,27621.861629,27621.862593,22020096
cpu,27621.862593,27621.863545,22020096
cpu,27621.863545,27621.864524,22020096
cpu,27621.864524,27621.865476,22020096
cpu,27621.865476,27621.866443,22020096
cpu,27621.866443,27621.867416,22020096
cpu,27621.867416,27621.868397,22020096
cpu,27621.868397,27621.869366,22020096
cpu,27621.869367,27621.870327,22020096
cpu,27621.870327,27621.871282,22020096
cpu,27621.871282,27621.872258,22020096
cpu,27621.872259,27621.873219,22020096
cpu,27621.873219,27621.874178,22020096
cpu,27621.874192,27621.875150,22020096
cpu,27621.875150,27621.876136,22020096
cpu,27621.876137,27621.877095,22020096
cpu,27621.877095,27621.878073,22020096
cpu,27621.878074,27621.879040,22020096
cpu,27621.879041,27621.880022,22020096
cpu,27621.880023,27621.880984,22020096
cpu,27621.880984,27621.881952,22020096
cpu,27621.881953,27621.882912,22020096
cpu,27621.882912,27621.883870,22020096
cpu,27621.883870,27621.884847,22020096
cpu,27621.884848,27621.885808,22020096
cpu,27621.885808,27621.886805,22020096
cpu,27621.886805,27621.887806,22020096
cpu,27621.887806,27621.888804,22020096
cpu,27621.888804,27621.889777,22020096
cpu,27621.889777,27621.890745,22020096
cpu,27621.890745,27621.891699,22020096
cpu,27621.891700,27621.892672,22020096
cpu,27621.892672,27621.893632,22020096
cpu,27621.893632,27621.894610,22020096
cpu,27621.894611,27621.895560,22020096
cpu,27621.895561,27621.896532,22020096
cpu,27621.896532,27621.897501,22020096
cpu,27621.897502,27621.898461,22020096
