worker,t0,t1,bytes
cpu,27456.827925,27456.856194,22020096
cpu,27456.856198,27456.880115,22020096
cpu,27456.880116,27456.904089,22020096
cpu,27456.904090,27456.916665,22020096
cpu,27456.916666,27456.917640,22020096
cpu,27456.917643,27456.918625,22020096
cpu,27456.918625,27456.919609,22020096
cpu,27456.919609,27456.920620,22020096
cpu,27456.920621,27456.921593,22020096
cpu,27456.921594,27456.922560,22020096
cpu,27456.922560,27456.923529,22020096
cpu,27456.923529,27456.924516,22020096
cpu,27456.924516,27456.925474,22020096
cpu,27456.925474,27456.926445,22020096
cpu,27456.926446,27456.927423,22020096
cpu,27456.927423,27456.928412,22020096
cpu,27456.928413,27456.929386,22020096
cpu,27456.929388,27456.930371,22020096
cpu,27456.930372,27456.931367,22020096
cpu,27456.931367,27456.932348,22020096
cpu,27456.932348,27456.933317,22020096
cpu,27456.933317,27456.934273,22020096
cpu,27456.934273,27456.935230,22020096
cpu,27456.935230,27456.936221,22020096
cpu,27456.936221,27456.937176,22020096
cpu,27456.937176,27456.938144,22020096
cpu,27456.938144,27456.939103,22020096
cpu,27456.939103,27456.940163,22020096
cpu,27456.940163,27456.941124,22020096
cpu,27456.941124,27456.942080,22020096
cpu,27456.942081,27456.943040,22020096
cpu,27456.943040,27456.943998,22020096
cpu,27456.943998,27456.944984,22020096
cpu,27456.944986,27456.945941,22020096
cpu,27456.945941,27456.946904,22020096
cpu,27456.946904,27456.947861,22020096
cpu,27456.947862,27456.948833,22020096
cpu,27456.948833,27456.949793,22020096
cpu,27456.949793,27456.950763,22020096
cpu,27456.950763,27456.951723,22020096
cpu,27456.951723,27456.952698,22020096
cpu,27456.952698,27456.953663,22020096
cpu,27456.953663,27456.954634,22020096
cpu,27456.954635,27456.955597,22020096
cpu,27456.955597,27456.956582,22020096
cpu,27456.956582,27456.957541,22020096
cpu,27456.957541,27456.958502,22020096
cpu,27456.958502,27456.959453,22020096
cpu,27456.959454,27456.960432,22020096
cpu,27456.960432,27456.961386,22020096
cpu,27456.961387,27456.962346,22020096
cpu,27456.962346,27456.963306,22020096
cpu,27456.963306,27456.964273,22020096
cpu,27456.964273,27456.965233,22020096
cpu,27456.965233,27456.966189,22020096
cpu,27456.966189,27456.967149,22020096
cpu,27456.967150,27456.968129,22020096
cpu,27456.968129,27456.969094,22020096
cpu,27456.969094,27456.970054,22020096
cpu,27456.970054,27456.971030,22020096
cpu,27456.971030,27456.971989,22020096
cpu,27456.971989,27456.972968,22020096
cpu,27456.972968,27456.973928,22020096
cpu,27456.973928,27456.974906,22020096
cpu,27456.974906,27456.975881,22020096
cpu,27456.975885,27456.976874,22020096
cpu,27456.976874,27456.977890,22020096
cpu,27456.977890,27456.978876,22020096
cpu,27456.978876,27456.979834,22020096
cpu,27456.979834,27456.980816,22020096
cpu,27456.980817,27456.981773,22020096
cpu,27456.981774,27456.982725,22020096
cpu,27456.982725,27456.983682,22020096
cpu,27456.983683,27456.984655,22020096
cpu,27456.984656,27456.985617,22020096
cpu,27456.985617,27456.986573,22020096
cpu,27456.986573,27456.987539,22020096
cpu,27456.987539,27456.988531,22020096
cpu,27456.988532,27456.989484,22020096
cpu,27456.989484,27456.990447,22020096
cpu,27456.990447,27456.991432,22020096
cpu,27456.991432,27456.992416,22020096
cpu,27456.992416,27456.993380,22020096
cpu,27456.993380,27456.994338,22020096
cpu,27456.994338,27456.995294,22020096
cpu,27456.995294,27456.996265,22020096
cpu,27456.996265,27456.997223,22020096
cpu,27456.997223,27456.998179,22020096
cpu,27456.998180,27456.999155,22020096
cpu,27456.999156,27457.000130,22020096
cpu,27457.000130,27457.001103,22020096
cpu,27457.001103,27457.002060,22020096
cpu,27457.002060,27457.003012,22020096
cpu,27457.003013,27457.003971,22020096
cpu,27457.003972,27457.004948,22020096
cpu,27457.004948,27457.005911,22020096
cpu,27457.005912,27457.006888,22020096
cpu,27457.006888,27457.007847,22020096
cpu,27457.007847,27457.008821,22020096
cpu,27457.008821,27457.009778,22020096
cpu,27457.009778,27457.010752,22020096
cpu,27457.010753,27457.011731,22020096
cpu,27457.011731,27457.012706,22020096
cpu,27457.012706,27457.013662,22020096
cpu,27457.013662,27457.014614,22020096
cpu,27457.014614,27457.015574,22020096
cpu,27457.015574,27457.016538,22020096
cpu,27457.016538,27457.017498,22020096
cpu,27457.017498,27457.018458,22020096
cpu,27457.018458,27457.019424,22020096
cpu,27457.019424,27457.020403,22020096
cpu,27457.020403,27457.021433,22020096
cpu,27457.021433,27457.022427,22020096
cpu,27457.022427,27457.023408,22020096
cpu,27457.023408,27457.024391,22020096
cpu,27457.024391,27457.025365,22020096
cpu,27457.025365,27457.026326,22020096
cpu,27457.026326,27457.027288,22020096
cpu,27457.027289,27457.028258,22020096
cpu,27457.028258,27457.029214,22020096
cpu,27457.029214,27457.030169,22020096
cpu,27457.030169,27457.031133,22020096
cpu,27457.031133,27457.032104,22020096
cpu,27457.032105,27457.033064,22020096
cpu,27457.033064,27457.034022,22020096
cpu,27457.034022,27457.034979,22020096
cpu,27457.034979,27457.035935,22020096
cpu,27457.035935,27457.036911,22020096
cpu,27457.036911,27457.037866,22020096
cpu,27457.037879,27457.038834,22020096
cpu,27457.038834,27457.039802,22020096
cpu,27457.039802,27457.040776,22020096
cpu,27457.040776,27457.041736,22020096
cpu,27457.041736,27457.042701,22020096
cpu,27457.042701,27457.043655,22020096
cpu,27457.043655,27457.044629,22020096
cpu,27457.044629,27457.045586,22020096
cpu,27457.045586,27457.046548,22020096
cpu,27457.046548,27457.047505,22020096
cpu,27457.047505,27457.048480,22020096
cpu,27457.048481,27457.049438,22020096
