# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,499.044,567.933,258.544,452689920,6.53,153.810,86.691,11246,1794.680,-1.000,0,43.93,5000.0,6417.9,5817.9,599.6,378.9,1467.3,253.4,9720.5,0.528,1,0.000,0.010,0.000,0.000,0.000
2,256,322.593,373.809,165.061,312655872,13.29,53.540,103.993,12,1270.421,0.820,0,0.05,5000.0,6413.6,5818.7,594.6,378.8,1467.5,262.6,9717.0,1.945,1,0.000,0.008,9.137,0.000,0.000
3,256,326.230,448.483,132.637,368357376,18.32,124.553,69.040,59,1290.873,0.820,0,0.23,5000.0,6409.3,5819.4,589.5,378.5,1469.3,274.3,9713.8,0.757,1,0.000,0.008,9.670,0.000,0.000
4,256,259.323,229.552,153.948,172032000,24.03,65.636,39.739,1,961.818,0.820,0,0.00,5000.0,6402.9,5818.3,584.2,378.5,1472.8,286.6,9711.3,0.750,1,0.000,0.007,4.597,0.000,0.000
5,256,261.656,302.340,128.573,242049024,28.29,93.113,39.969,1,997.415,0.820,0,0.00,5000.0,6402.4,5817.8,584.2,378.5,1467.7,285.5,9707.8,0.753,1,0.000,0.009,0.564,0.000,0.000
6,256,190.579,263.928,112.898,207581184,32.45,38.805,38.876,2,769.252,0.820,0,0.01,5000.0,6404.4,5819.8,584.2,378.5,1464.4,280.5,9709.5,0.764,1,0.000,0.009,2.727,0.000,0.000
7,256,169.782,192.281,110.605,148131840,36.27,31.041,28.137,49,675.175,0.820,0,0.19,5000.0,6403.6,5819.0,584.2,378.3,1463.7,279.4,9710.3,0.747,1,0.000,0.008,1.066,0.000,0.000
8,256,185.809,258.869,109.335,209854464,39.25,39.349,37.125,1,732.309,0.820,0,0.00,5000.0,6405.4,5820.8,584.2,378.3,1461.5,275.5,9710.9,0.767,1,0.000,0.008,2.266,0.000,0.000
9,256,194.874,287.123,110.368,239087616,41.70,40.227,44.279,0,790.363,0.820,0,0.00,5000.0,6404.6,5820.0,584.2,378.3,1468.2,282.2,9718.9,0.751,1,0.000,0.008,3.948,0.000,0.000
10,256,206.162,320.168,109.099,260714496,43.64,51.097,45.966,0,820.314,0.820,0,0.00,5000.0,6403.9,5819.3,584.2,378.3,1468.2,282.2,9718.9,0.712,1,0.000,0.008,0.000,0.000,0.000
11,256,175.769,232.930,110.015,182992896,45.87,34.346,31.407,46,700.228,0.820,0,0.18,5000.0,6405.8,5821.2,584.2,378.2,1464.6,277.8,9720.7,0.775,1,0.000,0.008,0.891,0.000,0.000
12,256,215.367,339.477,111.611,282239552,47.32,52.693,51.063,0,862.141,0.820,0,0.00,5000.0,6402.9,5818.3,584.2,378.2,1467.6,280.8,9720.7,0.760,1,0.000,0.009,1.485,0.000,0.000
13,256,181.550,265.467,106.235,208871424,49.07,38.577,36.738,0,730.972,0.820,0,0.00,5000.0,6406.2,5821.6,584.2,378.2,1465.5,278.7,9721.2,0.747,1,0.000,0.008,3.351,0.000,0.000
14,256,258.904,474.815,112.095,409251840,49.59,69.966,76.843,0,1050.175,0.820,0,0.00,5000.0,6404.9,5820.3,584.2,378.2,1464.4,277.6,9721.4,0.736,1,0.000,0.009,0.000,0.000,0.000
15,256,170.816,224.744,108.562,177168384,51.21,30.540,31.714,45,680.634,0.820,0,0.18,5000.0,6407.4,5822.8,584.2,377.9,1461.7,274.9,9721.9,0.671,1,0.000,0.008,2.435,0.000,0.000
16,256,157.986,176.022,108.533,145170432,52.83,24.485,24.969,0,633.888,0.820,0,0.00,5000.0,6404.8,5820.2,584.2,377.9,1464.6,277.7,9722.0,0.764,1,0.000,0.007,1.557,0.000,0.000
17,256,172.469,196.476,108.608,163246080,54.17,37.133,26.727,0,664.353,0.820,0,0.00,5000.0,6403.9,5819.3,584.2,377.9,1465.0,276.1,9722.2,0.668,1,0.000,0.008,0.000,0.000,0.000
18,256,222.300,360.095,110.546,290340864,54.88,58.462,53.291,0,866.121,0.820,0,0.00,5000.0,6403.5,5818.9,584.2,377.9,1464.8,273.9,9722.7,0.753,1,0.000,0.009,0.587,0.000,0.000
