# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,547.603,598.546,290.464,452689920,6.53,180.231,76.908,11736,1933.918,-1.000,0,45.84,5000.0,6389.9,5804.7,584.8,392.0,1345.9,202.0,9425.3,0.532,1,0.000,0.010,0.000,0.000,0.000
2,256,347.536,393.527,174.227,312655872,13.29,114.804,58.505,13,1287.750,0.820,0,0.05,5000.0,6385.9,5805.6,579.9,392.0,1346.7,199.6,9431.4,1.829,1,0.000,0.008,5.828,0.000,0.000
3,256,363.563,471.697,127.383,371023872,18.34,170.255,65.925,60,1369.875,0.820,0,0.23,5000.0,6381.7,5806.3,574.9,391.7,1351.9,212.4,9428.7,0.763,1,0.000,0.007,5.058,0.000,0.000
4,256,297.670,245.923,137.313,172032000,24.05,124.314,36.042,1,1057.748,0.820,0,0.00,5000.0,6375.2,5805.1,569.8,391.7,1355.1,222.7,9425.0,0.761,1,0.000,0.006,5.302,0.000,0.000
5,256,319.043,314.661,132.252,242049024,28.31,137.208,49.584,2,1159.090,0.820,0,0.01,5000.0,6369.4,5804.3,564.6,391.7,1356.6,224.2,9424.0,0.738,1,0.000,0.007,6.912,0.000,0.000
6,256,289.144,277.358,148.576,204914688,32.47,81.161,59.407,2,1073.658,0.820,0,0.01,5000.0,6364.1,5804.3,559.4,391.7,1361.3,224.6,9420.5,0.786,1,0.000,0.007,19.224,0.000,0.000
7,256,407.688,218.452,265.026,158994432,36.34,103.794,38.868,49,1264.977,0.820,0,0.19,5000.0,6361.2,5805.7,555.0,391.5,1465.1,256.9,9598.7,0.757,1,0.000,0.008,9.656,0.000,0.000
8,256,292.042,283.637,135.682,212520960,39.31,105.741,50.619,1,1071.284,0.820,0,0.00,5000.0,6358.3,5807.7,550.3,391.5,1473.1,273.0,9596.0,5.574,1,0.000,0.007,18.665,0.000,0.000
9,256,311.249,316.616,148.236,239087616,41.76,118.630,44.383,0,1148.342,0.820,0,0.00,5000.0,6352.4,5806.7,545.3,391.5,1476.7,284.4,9591.5,0.759,1,0.000,0.006,9.048,0.000,0.000
10,256,317.451,350.656,132.607,263380992,43.70,140.826,44.018,0,1161.642,0.820,0,0.00,5000.0,6346.9,5806.3,540.1,391.5,1481.0,296.3,9588.3,0.681,1,0.000,0.006,4.057,0.000,0.000
11,256,296.520,265.965,129.004,185659392,45.94,116.826,50.690,48,1097.195,0.820,0,0.19,5000.0,6340.8,5805.6,534.8,391.2,1483.3,307.9,9585.8,0.797,1,0.000,0.007,6.515,0.000,0.000
12,256,323.295,359.124,143.893,282239552,47.39,125.415,53.987,0,1209.508,0.820,0,0.00,5000.0,6334.8,5805.1,529.3,391.2,1486.6,319.8,9582.6,5.261,1,0.000,0.007,2.708,0.000,0.000
13,256,319.093,280.492,143.823,208871424,49.15,121.492,53.777,0,1132.254,0.820,0,0.00,5000.0,6335.6,5805.9,529.3,391.2,1476.1,254.0,9590.6,0.734,1,0.000,0.008,11.589,0.000,0.000
14,256,386.860,498.913,135.054,409251840,49.67,187.667,64.139,0,1473.574,0.820,0,0.00,5000.0,6327.8,5807.0,520.4,391.2,1479.9,261.8,9586.4,1.355,1,0.000,0.008,0.000,0.000,0.000
15,256,289.609,250.325,132.343,177168384,51.29,119.421,37.845,48,1028.556,0.820,0,0.19,5000.0,6330.5,5809.7,520.4,391.1,1480.0,265.2,9584.2,0.698,1,0.000,0.006,9.730,0.000,0.000
16,256,276.019,209.671,144.649,145170432,52.92,91.204,40.165,0,983.186,0.820,0,0.00,5000.0,6322.1,5806.4,515.3,391.5,1485.3,276.1,9581.2,5.646,1,0.000,0.007,9.406,0.000,0.000
17,256,283.338,229.014,128.029,160579584,54.27,121.790,33.519,2,981.819,0.820,0,0.01,5000.0,6313.7,5803.4,509.9,393.6,1482.0,281.9,9588.2,0.686,1,0.000,0.006,0.398,0.000,0.000
18,256,343.195,396.668,121.571,290340864,54.99,169.536,52.088,0,1242.404,0.820,0,0.00,5000.0,6305.5,5800.6,504.4,396.1,1489.1,299.3,9582.7,0.771,1,0.000,0.008,5.671,0.000,0.000
19,256,315.321,283.302,139.746,209166336,56.01,138.294,37.281,50,1137.704,0.820,0,0.20,5000.0,6297.1,5792.3,504.4,405.0,1487.8,297.1,9574.2,0.698,1,0.000,0.006,1.446,0.000,0.000
20,256,291.243,266.249,125.710,195145728,57.02,110.506,55.027,1,1062.945,0.820,0,0.00,5000.0,6289.6,5784.8,504.4,411.2,1488.9,300.5,9566.9,0.746,1,0.000,0.007,8.270,0.000,0.000
21,256,233.625,255.287,114.069,190500864,57.98,79.636,39.920,1,874.577,0.820,0,0.00,5000.0,6304.4,5799.6,504.4,402.0,1475.8,289.1,9573.5,0.678,1,0.000,0.006,5.020,0.000,0.000
22,256,146.005,131.427,109.026,101916672,59.17,17.833,19.146,0,599.400,0.820,0,0.00,5000.0,6300.0,5795.2,504.4,402.0,1479.6,292.0,9573.5,0.683,1,0.000,0.007,1.448,0.000,0.000
23,256,161.216,177.647,108.985,144678912,60.15,26.753,25.478,48,640.745,0.820,0,0.19,5000.0,6299.8,5795.0,504.4,401.9,1479.2,291.6,9573.5,0.672,1,0.000,0.007,1.054,0.000,0.000
24,256,146.021,133.424,110.579,104878080,61.22,14.926,20.516,1,609.178,0.820,0,0.00,5000.0,6313.3,5808.5,504.4,391.2,1476.2,288.6,9584.3,0.716,1,0.000,0.006,1.075,0.000,0.000
25,256,156.537,158.378,108.692,131248128,62.09,26.257,21.588,0,620.924,0.820,0,0.00,5000.0,6311.3,5806.5,504.4,391.2,1474.8,286.5,9586.5,0.748,1,0.000,0.005,0.000,0.000,0.000
26,256,169.320,204.842,106.772,163442688,62.80,35.959,26.589,0,664.946,0.820,0,0.00,5000.0,6311.6,5806.8,504.4,391.2,1472.1,283.7,9586.5,0.666,1,0.000,0.006,0.000,0.000,0.000
27,256,147.373,127.839,110.248,94408704,63.67,20.884,16.240,50,584.456,0.820,0,0.20,5000.0,6309.9,5805.1,504.4,391.1,1474.5,286.1,9586.8,0.657,1,0.000,0.005,0.060,0.000,0.000
28,256,157.296,165.556,108.824,125915136,64.45,26.639,21.833,1,611.706,0.820,0,0.00,5000.0,6314.7,5809.9,504.4,391.1,1467.0,276.0,9589.0,0.669,1,0.000,0.006,2.223,0.000,0.000
29,256,144.394,117.510,109.959,88289280,65.26,17.840,16.595,0,588.832,0.820,0,0.00,5000.0,6314.5,5809.7,504.4,391.1,1467.8,276.9,9589.0,0.754,1,0.000,0.006,0.713,0.000,0.000
30,256,140.625,101.037,111.543,75743232,66.05,15.163,13.919,0,562.525,0.820,0,0.00,5000.0,6310.6,5805.7,504.4,391.1,1472.9,282.0,9589.0,0.659,1,0.000,0.019,0.000,0.000,0.000
31,256,138.389,104.567,111.477,80584704,66.84,11.490,15.421,48,577.403,0.820,0,0.19,5000.0,6313.1,5808.3,504.4,390.8,1469.9,278.9,9589.3,0.656,1,0.000,0.006,1.203,0.000,0.000
32,256,134.462,83.900,112.157,64389120,67.59,11.000,11.305,1,540.439,0.820,0,0.00,5000.0,6313.5,5808.7,504.4,390.8,1469.4,278.4,9589.3,0.661,1,0.000,0.005,0.174,0.000,0.000
33,256,184.973,259.465,106.213,211734528,67.94,42.942,35.818,0,722.207,0.820,0,0.00,5000.0,6311.0,5806.1,504.4,390.8,1471.9,280.9,9589.3,0.752,1,0.000,0.006,1.540,0.000,0.000
34,256,179.518,225.953,110.212,182206464,68.36,38.908,30.398,1,695.628,0.820,0,0.00,5000.0,6316.3,5811.5,504.4,390.8,1464.1,265.5,9605.5,0.657,1,0.000,0.007,0.673,0.000,0.000
35,256,185.450,242.979,108.882,198107136,68.68,42.401,34.167,49,717.908,0.820,0,0.19,5000.0,6310.8,5806.0,504.4,390.6,1469.6,270.9,9605.7,0.890,1,0.000,0.007,0.802,0.000,0.000
36,256,139.662,110.570,111.782,83251200,69.30,11.281,16.598,0,578.037,0.820,0,0.00,5000.0,6310.4,5805.6,504.4,390.6,1469.7,271.0,9605.7,0.747,1,0.000,0.006,2.640,0.000,0.000
37,256,130.236,70.843,111.010,51154944,69.92,9.520,9.707,1,522.319,0.820,0,0.00,5000.0,6310.6,5805.8,504.4,390.6,1468.9,270.2,9605.7,0.657,1,0.000,0.005,0.000,0.000,0.000
38,256,149.164,141.847,109.900,110407680,70.42,18.966,20.298,1,612.814,0.820,0,0.00,5000.0,6310.7,5805.9,504.4,390.6,1470.9,272.2,9606.4,0.724,1,0.000,0.006,2.382,0.000,0.000
39,256,137.536,105.625,112.103,77819904,70.98,10.938,14.496,49,561.837,0.820,0,0.19,5000.0,6315.5,5810.7,504.4,390.5,1464.7,266.0,9606.6,0.726,1,0.000,0.006,1.130,0.000,0.000
40,256,143.221,130.943,110.934,104681472,71.46,13.521,18.766,0,601.275,0.820,0,0.00,5000.0,6311.4,5806.6,504.4,390.5,1469.9,271.2,9606.9,0.699,1,0.000,0.006,0.985,0.000,0.000
41,256,144.922,124.969,110.945,94015488,71.92,17.278,16.698,1,594.456,0.820,0,0.00,5000.0,6311.4,5806.6,504.4,390.5,1468.2,269.5,9607.1,0.660,1,0.000,0.006,0.905,0.000,0.000
42,256,177.385,220.899,109.359,168873984,72.21,37.524,30.502,0,684.788,0.820,0,0.00,5000.0,6311.6,5806.8,504.4,390.5,1469.7,271.0,9607.1,0.700,1,0.000,0.006,2.183,0.000,0.000
43,256,147.868,133.577,110.983,102113280,72.63,18.296,18.589,49,597.724,0.820,0,0.19,5000.0,6312.5,5807.7,504.4,390.2,1470.5,271.8,9607.4,0.724,1,0.000,0.006,1.668,0.000,0.000
44,256,145.987,135.592,111.962,109817856,73.07,12.081,21.944,1,605.168,0.820,0,0.00,5000.0,6311.9,5807.1,504.4,390.2,1469.7,271.0,9607.4,0.683,1,0.000,0.006,3.752,0.000,0.000
45,256,143.785,109.434,108.865,86016000,73.46,19.028,15.892,2,570.932,0.820,0,0.01,5000.0,6312.0,5807.2,504.4,390.2,1470.1,271.4,9607.4,0.656,1,0.000,0.006,0.799,0.000,0.000
46,256,160.540,125.627,119.488,96780288,73.84,23.660,17.391,0,629.340,0.820,0,0.00,5000.0,6311.9,5807.1,504.4,390.2,1467.5,261.2,9610.9,0.694,1,0.000,0.006,1.285,0.000,0.000
47,256,144.805,119.776,111.249,94212096,74.20,16.773,16.783,48,583.913,0.820,0,0.19,5000.0,6312.6,5807.7,504.4,390.0,1467.7,261.4,9611.1,0.764,1,0.000,0.006,0.347,0.000,0.000
48,256,130.310,63.102,112.079,45821952,74.62,9.557,8.673,1,530.923,0.820,0,0.00,5000.0,6312.1,5807.3,504.4,390.0,1468.3,261.9,9611.1,0.709,1,0.000,0.006,0.197,0.000,0.000
49,256,155.997,64.333,136.192,42958848,75.05,7.122,12.683,0,606.330,0.820,0,0.00,5000.0,6312.1,5807.3,504.4,390.0,1466.7,258.8,9611.4,0.727,1,0.000,0.007,4.615,0.000,0.000
50,256,130.121,76.859,112.544,56586240,75.44,6.270,11.306,1,535.667,0.820,0,0.00,5000.0,6312.4,5807.6,504.4,390.0,1465.6,257.7,9611.4,0.701,1,0.000,0.006,0.215,0.000,0.000
