# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4600 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4600 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,557.005,882.531,257.333,508686336,5.89,297.440,2.232,11864,1591.098,-1.000,0,46.34,4600.0,6513.2,5923.1,589.7,444.4,1283.9,125.4,9583.9,0.525,1,0.000,0.011,0.000,0.000,0.000
2,256,307.712,516.198,159.764,352653312,13.37,135.013,12.935,9,990.091,0.820,0,0.04,4600.0,6505.0,5915.6,589.0,452.1,1285.8,129.8,9574.4,1.914,1,0.000,0.008,10.351,0.000,0.000
3,256,313.306,604.957,105.962,408354816,19.25,170.857,36.486,61,973.305,0.820,0,0.24,4600.0,6493.3,5909.1,583.8,458.6,1287.5,137.7,9566.4,0.917,1,0.000,0.008,34.761,0.000,0.000
4,256,251.138,358.796,156.321,244420608,25.08,89.063,5.754,1,833.017,0.820,0,0.00,4600.0,6486.9,5902.7,583.8,465.1,1290.0,139.6,9565.0,0.928,1,0.000,0.008,4.157,0.000,0.000
5,256,266.375,417.333,143.908,282243072,29.98,104.192,18.275,1,866.209,0.820,0,0.00,4600.0,6481.3,5902.5,578.4,465.1,1294.9,150.0,9562.0,5.656,1,0.000,0.007,15.600,0.000,0.000
6,256,263.079,370.292,135.718,247775232,34.30,93.942,33.419,0,874.087,0.820,0,0.00,4600.0,6474.3,5895.5,578.4,472.4,1294.1,148.7,9555.3,0.765,1,0.000,0.008,27.647,0.000,0.000
7,256,241.150,264.143,167.695,177758208,38.33,58.071,15.384,68,826.019,0.820,0,0.27,4600.0,6467.5,5888.7,578.4,479.1,1293.9,148.5,9548.5,0.752,1,0.000,0.006,12.984,0.000,0.000
8,256,251.339,368.755,150.126,247480320,41.61,72.610,28.603,1,836.587,0.820,0,0.00,4600.0,6460.0,5881.2,578.4,486.7,1293.7,147.5,9541.0,0.682,1,0.000,0.007,26.895,0.000,0.000
9,256,265.334,436.534,130.044,300908544,44.27,127.483,7.807,0,866.913,0.820,0,0.00,4600.0,6451.6,5872.8,578.4,494.9,1293.5,147.2,9533.9,0.734,1,0.000,0.006,6.170,0.000,0.000
10,256,284.055,464.887,131.573,311377920,46.51,119.572,32.910,0,912.659,0.820,0,0.00,4600.0,6441.4,5868.0,573.0,499.7,1294.5,151.8,9526.7,5.834,1,0.000,0.007,30.155,0.000,0.000
