# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4600 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4600 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,600.760,869.259,312.396,508686336,5.89,286.336,2.028,14502,1649.679,-1.000,0,56.65,4600.0,6001.8,5649.0,352.3,718.8,1127.9,151.9,9460.6,0.526,1,0.000,0.009,0.000,0.000,0.000
2,256,309.707,496.297,146.736,352751616,13.37,142.136,20.834,4493,985.280,0.820,0,17.55,4600.0,6015.0,5666.2,348.5,701.5,1128.8,164.1,9475.1,1.731,1,0.000,0.007,17.842,0.000,0.000
3,256,323.209,568.418,137.960,400355328,19.40,147.975,37.274,7263,1037.740,0.820,0,28.37,4600.0,6040.0,5694.9,344.7,673.5,1129.8,162.6,9502.6,0.750,1,0.000,0.008,35.495,0.000,0.000
4,256,255.318,346.638,163.291,241754112,25.21,74.058,17.968,3426,847.880,0.820,0,13.38,4600.0,6051.2,5708.2,342.6,660.0,1131.8,172.5,9513.1,0.772,1,0.000,0.007,16.347,0.000,0.000
5,256,267.192,397.286,130.426,279576576,30.07,105.738,31.028,4993,888.614,0.820,0,19.50,4600.0,6069.0,5727.7,341.0,640.5,1134.9,183.5,9529.1,0.734,1,0.000,0.007,28.513,0.000,0.000
6,256,264.634,357.814,148.312,245108736,34.40,81.840,34.481,5248,873.681,0.820,0,20.50,4600.0,6086.5,5748.4,337.7,619.9,1130.7,144.1,9552.0,0.746,1,0.000,0.008,32.692,0.000,0.000
7,256,266.025,258.841,186.617,177758208,38.37,64.582,14.826,3561,885.015,0.820,0,13.91,4600.0,6091.0,5762.0,328.6,606.0,1125.5,152.9,9564.0,0.734,1,0.000,0.008,12.226,0.000,0.000
8,256,260.430,337.492,154.327,244813824,41.65,68.698,37.405,3820,886.626,0.820,0,14.92,4600.0,6104.0,5777.0,326.6,591.3,1125.0,160.5,9576.5,0.738,1,0.000,0.008,35.691,0.000,0.000
9,256,281.943,432.229,140.166,303575040,44.22,118.156,23.622,4373,929.964,0.820,0,17.08,4600.0,6116.0,5791.3,324.3,576.9,1124.6,159.2,9588.5,0.760,1,0.000,0.007,21.950,0.000,0.000
10,256,281.313,439.632,138.471,308711424,46.51,118.850,23.992,4341,919.246,0.820,0,16.96,4600.0,6125.5,5800.8,324.3,567.3,1120.6,152.0,9602.1,0.680,1,0.000,0.007,21.152,0.000,0.000
11,256,255.181,353.934,146.771,239185920,48.80,81.050,27.360,4360,853.466,0.820,0,17.03,4600.0,6139.2,5814.9,323.8,553.3,1120.3,155.9,9627.5,0.785,1,0.000,0.007,25.685,0.000,0.000
12,256,301.271,533.953,141.576,367665728,50.37,130.793,28.901,5153,963.911,0.820,0,20.13,4600.0,6155.7,5833.4,321.8,534.7,1138.1,177.7,9645.1,0.799,1,0.000,0.008,27.041,0.000,0.000
13,256,235.194,347.566,123.246,241164288,52.32,81.548,30.400,0,784.798,0.820,0,0.00,4600.0,6151.5,5831.2,320.0,536.9,1140.2,182.1,9640.6,0.759,1,0.000,0.007,23.598,0.000,0.000
14,256,319.587,640.761,120.571,441741312,53.28,150.229,48.786,0,974.633,0.820,0,0.00,4600.0,6143.7,5823.3,320.0,545.0,1140.5,178.3,9632.3,0.764,1,0.000,0.008,46.868,0.000,0.000
15,256,258.971,327.659,187.446,222892032,55.02,52.529,18.996,62,852.181,0.820,0,0.24,4600.0,6137.9,5820.2,317.3,548.0,1132.9,168.8,9628.1,0.687,1,0.000,0.008,15.288,0.000,0.000
16,256,225.288,285.017,173.314,198893568,56.68,44.951,7.024,0,774.301,0.820,0,0.00,4600.0,6131.9,5814.2,317.3,554.3,1131.6,164.0,9622.6,0.869,1,0.000,0.006,5.462,0.000,0.000
17,256,255.792,384.225,140.193,263082560,58.01,75.374,40.224,0,845.675,0.820,0,0.00,4600.0,6124.3,5806.5,317.3,561.9,1131.6,163.8,9615.1,0.692,1,0.000,0.007,30.404,0.000,0.000
18,256,284.278,445.905,126.442,293007360,59.05,110.065,47.771,0,894.105,0.820,0,0.00,4600.0,6114.4,5796.7,317.3,571.7,1130.9,163.1,9605.4,5.301,1,0.000,0.007,44.730,0.000,0.000
19,256,224.372,288.234,149.606,198795264,60.31,53.000,21.767,62,762.475,0.820,0,0.24,4600.0,6108.4,5790.7,317.3,577.8,1129.4,157.2,9600.4,0.700,1,0.000,0.007,20.065,0.000,0.000
20,256,237.940,311.853,148.257,206106624,61.46,70.385,19.298,0,791.617,0.820,0,0.00,4600.0,6101.3,5783.5,317.3,584.7,1129.0,156.5,9593.4,0.787,1,0.000,0.007,17.652,0.000,0.000
21,256,236.833,275.422,167.108,188030976,62.57,57.078,12.647,0,784.712,0.820,0,0.00,4600.0,6094.8,5777.0,317.3,591.4,1128.6,154.3,9587.4,0.667,1,0.000,0.007,10.072,0.000,0.000
22,256,213.779,175.723,165.931,118210560,63.71,31.819,16.030,1,748.064,0.820,0,0.00,4600.0,6089.1,5771.4,317.3,597.0,1126.7,151.3,9581.6,0.686,1,0.000,0.007,14.436,0.000,0.000
23,256,231.385,233.630,152.679,160874496,64.69,66.663,12.044,60,781.774,0.820,0,0.23,4600.0,6083.1,5768.2,314.6,600.3,1129.4,161.3,9576.6,0.677,1,0.000,0.007,9.435,0.000,0.000
24,256,223.261,184.822,172.560,121073664,65.67,32.711,17.990,0,765.302,0.820,0,0.00,4600.0,6077.3,5762.3,314.6,606.2,1129.4,161.1,9570.9,0.719,1,0.000,0.006,16.469,0.000,0.000
25,256,224.945,199.706,176.980,144777216,66.60,41.300,6.665,0,778.266,0.820,0,0.00,4600.0,6071.0,5756.0,314.6,612.4,1129.2,160.9,9564.6,0.741,1,0.000,0.006,5.137,0.000,0.000
26,256,245.906,278.356,170.314,190599168,67.37,64.329,11.264,0,828.647,0.820,0,0.00,4600.0,6064.1,5749.2,314.6,619.3,1129.2,160.9,9557.4,0.666,1,0.000,0.007,8.474,0.000,0.000
27,256,219.056,159.062,183.957,110604288,68.24,23.397,11.702,61,771.594,0.820,0,0.24,4600.0,6058.4,5743.4,314.6,625.0,1128.9,159.9,9551.7,0.676,1,0.000,0.006,10.104,0.000,0.000
28,256,223.311,222.454,179.713,150208512,68.99,37.621,5.978,0,770.489,0.820,0,0.00,4600.0,6052.6,5737.6,314.6,630.9,1129.6,160.6,9546.0,0.676,1,0.000,0.007,4.381,0.000,0.000
29,256,215.650,142.762,177.645,93622272,69.76,21.935,16.070,0,751.545,0.820,0,0.00,4600.0,6046.9,5731.9,314.6,636.5,1129.6,148.4,9555.0,0.737,1,0.000,0.006,13.572,0.000,0.000
30,256,227.173,144.711,176.483,92233728,70.46,49.126,1.564,0,770.918,0.820,0,0.00,4600.0,6040.9,5725.9,314.6,642.5,1130.3,146.7,9548.8,0.679,1,0.000,0.006,0.000,0.000,0.000
31,256,219.227,133.308,184.756,93720576,71.17,29.022,5.449,62,768.558,0.820,0,0.24,4600.0,6035.8,5720.8,314.6,647.7,1130.1,146.2,9543.5,0.676,1,0.000,0.007,2.906,0.000,0.000
32,256,208.800,108.901,193.452,75251712,71.84,13.943,1.404,0,728.480,0.820,0,0.00,4600.0,6030.9,5715.9,314.6,652.5,1129.4,145.5,9539.0,0.673,1,0.000,0.006,0.000,0.000,0.000
33,256,277.627,477.222,142.657,329256960,72.14,95.662,39.308,0,902.465,0.820,0,0.00,4600.0,6027.5,5715.3,311.8,653.2,1138.3,161.9,9532.5,0.753,1,0.000,0.007,37.520,0.000,0.000
34,256,263.301,394.765,132.641,273850368,72.49,107.295,23.365,1,843.914,0.820,0,0.00,4600.0,6020.8,5708.5,311.8,660.0,1138.4,161.9,9525.5,0.680,1,0.000,0.007,16.558,0.000,0.000
35,256,275.309,459.214,123.316,318590976,72.77,124.849,27.144,63,886.212,0.820,0,0.25,4600.0,6012.9,5700.6,311.8,667.5,1137.5,157.1,9518.5,0.744,1,0.000,0.007,25.334,0.000,0.000
36,256,231.240,256.780,181.834,174600192,73.29,33.775,15.631,0,802.375,0.820,0,0.00,4600.0,6013.0,5700.8,311.8,667.5,1141.5,165.2,9513.5,0.722,1,0.000,0.007,13.990,0.000,0.000
37,256,221.873,148.034,179.867,99643392,73.82,33.793,8.213,1,760.561,0.820,0,0.00,4600.0,6009.9,5700.5,309.0,668.0,1142.1,171.4,9512.0,0.694,1,0.000,0.006,5.759,0.000,0.000
38,256,236.673,219.232,191.494,153464832,74.30,31.042,14.138,1,819.777,0.820,0,0.00,4600.0,6007.3,5700.5,306.3,668.0,1146.5,182.3,9506.8,0.757,1,0.000,0.006,12.559,0.000,0.000
39,256,197.630,170.346,150.963,112779264,74.77,20.042,26.625,63,721.658,0.820,0,0.25,4600.0,6004.5,5697.8,306.3,670.8,1145.7,181.5,9504.0,0.742,1,0.000,0.007,20.040,0.000,0.000
40,256,232.246,250.668,154.706,174895104,75.15,51.991,25.549,0,782.822,0.820,0,0.00,4600.0,6004.5,5697.8,306.3,670.8,1150.6,190.3,9498.3,6.298,1,0.000,0.006,19.842,0.000,0.000
41,256,226.446,205.015,170.633,139739136,75.54,52.153,3.661,1,762.132,0.820,0,0.00,4600.0,5998.5,5694.6,303.5,673.9,1149.7,192.5,9493.8,0.679,1,0.000,0.007,2.070,0.000,0.000
42,256,223.365,172.432,185.621,120975360,75.97,24.012,13.733,0,785.968,0.820,0,0.00,4600.0,5994.4,5690.5,303.5,678.2,1150.7,191.8,9488.8,0.756,1,0.000,0.006,11.074,0.000,0.000
43,256,229.310,217.891,177.864,145268736,76.34,42.030,9.417,63,773.841,0.820,0,0.25,4600.0,5993.1,5689.3,303.5,679.4,1153.9,197.0,9484.0,0.696,1,0.000,0.007,7.870,0.000,0.000
44,256,227.506,229.206,167.392,158502912,76.71,48.236,11.878,1,775.558,0.820,0,0.00,4600.0,5991.3,5688.4,302.5,680.3,1156.3,205.2,9479.0,0.685,1,0.000,0.007,6.237,0.000,0.000
45,256,217.499,156.094,177.260,107741184,77.10,27.897,12.342,2,752.967,0.820,0,0.01,4600.0,5990.0,5687.1,302.5,681.5,1158.8,209.0,9475.5,5.585,1,0.000,0.007,9.790,0.000,0.000
46,256,218.300,216.407,167.101,142700544,77.42,41.246,9.953,0,746.050,0.820,0,0.00,4600.0,5989.9,5687.0,302.5,681.5,1162.2,214.0,9470.8,0.715,1,0.000,0.007,8.466,0.000,0.000
47,256,238.868,270.619,156.877,185462784,77.73,55.513,26.478,63,824.355,0.820,0,0.25,4600.0,5987.4,5687.1,299.8,681.7,1164.3,221.2,9467.8,0.666,1,0.000,0.006,15.855,0.000,0.000
48,256,213.244,83.795,193.815,56684544,78.09,13.896,5.533,1,737.952,0.820,0,0.00,4600.0,5986.5,5686.3,299.8,682.2,1166.2,225.3,9463.5,0.724,1,0.000,0.006,0.000,0.000,0.000
49,256,218.211,147.608,190.419,105172992,78.42,22.264,5.528,0,771.027,0.820,0,0.00,4600.0,5983.8,5686.3,297.1,682.2,1168.6,233.1,9459.5,0.733,1,0.000,0.006,4.055,0.000,0.000
50,256,222.820,115.294,176.806,72880128,78.76,29.344,16.670,1,773.382,0.820,0,0.00,4600.0,5981.4,5683.9,297.1,684.8,1169.0,234.1,9456.0,0.695,1,0.000,0.006,6.180,0.000,0.000
51,256,226.958,217.962,166.106,142798848,79.01,54.226,6.626,61,773.862,0.820,0,0.24,4600.0,5981.6,5684.1,297.1,684.7,1169.5,233.0,9454.8,0.706,1,0.000,0.007,5.088,0.000,0.000
52,256,208.570,75.681,177.120,51056640,79.33,25.843,5.607,2,725.431,0.820,0,0.01,4600.0,5977.4,5682.9,294.1,685.9,1171.2,239.8,9450.8,0.668,1,0.000,0.007,4.193,0.000,0.000
53,256,211.221,84.023,194.509,58859520,79.65,14.353,2.359,3,751.352,0.820,0,0.01,4600.0,5976.9,5682.4,294.1,686.3,1175.0,243.8,9446.3,0.665,1,0.000,0.007,0.000,0.000,0.000
54,256,207.109,30.168,205.728,18960384,79.98,0.000,1.380,1,742.910,0.820,0,0.00,4600.0,5976.3,5681.8,294.1,686.9,1178.2,247.0,9442.8,0.677,1,0.000,0.006,0.000,0.000,0.000
55,256,211.549,133.480,187.307,85917696,80.27,21.747,2.495,293,742.610,0.820,0,1.14,4600.0,5976.3,5681.8,294.1,686.9,1177.2,245.5,9442.1,0.710,1,0.000,0.006,0.000,0.000,0.000
56,256,278.293,153.046,241.444,104878080,80.53,35.232,1.617,236,907.889,0.820,0,0.92,4600.0,5977.3,5682.8,294.1,685.9,1166.0,228.9,9452.9,0.735,1,0.000,0.007,0.000,0.000,0.000
57,256,250.806,145.522,215.308,94605312,80.78,29.175,6.323,462,847.965,0.820,0,1.80,4600.0,5973.2,5681.9,290.8,686.8,1154.7,218.1,9456.2,3.277,1,0.000,0.007,4.707,0.000,0.000
58,256,220.052,112.252,191.352,72290304,81.05,15.200,13.500,236,776.714,0.820,0,0.92,4600.0,5973.8,5682.6,290.8,685.9,1160.5,223.9,9453.2,5.585,1,0.000,0.008,10.930,0.000,0.000
59,256,244.903,264.804,173.006,177659904,81.26,51.188,20.709,3136,834.422,0.820,0,12.25,4600.0,5982.3,5694.2,287.7,674.5,1160.2,229.9,9461.5,0.759,1,0.000,0.007,15.019,0.000,0.000
60,256,241.659,166.128,192.942,112680960,81.48,40.514,8.202,1418,822.323,0.820,0,5.54,4600.0,5987.4,5699.3,287.7,669.2,1160.1,230.4,9466.0,0.697,1,0.000,0.007,0.000,0.000,0.000
61,256,238.160,239.112,175.542,171442176,81.65,49.483,13.136,0,807.235,0.820,0,0.00,4600.0,5984.5,5699.3,284.8,669.2,1159.7,226.2,9463.2,0.778,1,0.000,0.008,6.468,0.000,0.000
62,256,252.359,111.029,227.670,83447808,81.89,23.162,1.528,0,843.448,0.820,0,0.00,4600.0,5984.8,5699.6,284.8,669.2,1160.7,197.8,9470.0,0.693,1,0.000,0.008,0.000,0.000,0.000
63,256,260.131,323.671,162.941,227536896,82.01,63.597,33.593,62,868.349,0.820,0,0.24,4600.0,5978.8,5696.7,281.7,672.0,1171.6,210.0,9469.5,0.706,1,0.000,0.009,26.721,0.000,0.000
64,256,222.513,80.671,197.732,54018048,82.22,22.708,2.074,0,771.225,0.820,0,0.00,4600.0,5978.8,5696.7,281.7,672.0,1173.2,206.8,9467.1,0.688,1,0.000,0.007,0.570,0.000,0.000
65,256,216.666,101.266,187.272,64978944,82.43,27.949,1.444,0,748.356,0.820,0,0.00,4600.0,5974.3,5694.7,279.2,674.0,1173.9,212.3,9464.6,0.682,1,0.000,0.007,0.000,0.000,0.000
66,256,237.894,107.430,205.955,66957312,82.65,18.119,13.821,1,818.238,0.820,0,0.00,4600.0,5974.3,5694.7,279.2,674.0,1169.4,205.0,9462.3,0.709,1,0.000,0.008,11.051,0.000,0.000
67,256,229.572,133.335,186.943,88682496,82.83,41.115,1.514,95,772.271,0.820,0,0.37,4600.0,5971.4,5694.8,276.2,673.8,1168.3,208.0,9460.4,0.786,1,0.000,0.008,0.000,0.000,0.000
68,256,236.903,251.498,162.132,174206976,82.97,50.505,24.266,2,803.129,0.820,0,0.01,4600.0,5968.2,5694.8,273.0,673.8,1170.5,217.2,9456.9,0.740,1,0.000,0.007,22.265,0.000,0.000
69,256,283.288,400.301,149.985,282046464,83.01,93.608,39.695,0,902.608,0.820,0,0.00,4600.0,5966.9,5693.6,273.0,675.2,1173.9,224.5,9451.4,0.755,1,0.000,0.007,37.056,0.000,0.000
70,256,223.347,72.996,208.197,48291840,83.20,13.614,1.537,2,782.215,0.820,0,0.01,4600.0,5960.4,5690.3,269.7,678.2,1175.0,229.7,9447.6,0.695,1,0.000,0.008,0.000,0.000,0.000
71,256,227.259,225.663,184.208,155836416,83.36,37.948,5.103,96,779.314,0.820,0,0.38,4600.0,5957.4,5687.3,269.7,681.3,1174.3,230.4,9444.1,0.798,1,0.000,0.008,2.562,0.000,0.000
72,256,227.117,190.891,183.280,129171456,83.52,24.124,19.713,0,781.869,0.820,0,0.00,4600.0,5952.7,5685.9,266.3,682.7,1173.9,236.2,9442.6,0.748,1,0.000,0.007,18.068,0.000,0.000
73,256,243.313,265.113,151.964,177364992,83.64,65.097,26.252,0,820.264,0.820,0,0.00,4600.0,5948.8,5682.1,266.3,686.7,1174.8,228.4,9438.0,0.689,1,0.000,0.007,24.507,0.000,0.000
74,256,235.416,238.343,172.831,171442176,83.75,55.414,7.170,1,800.621,0.820,0,0.00,4600.0,5948.7,5681.9,266.3,686.7,1179.8,221.0,9434.0,0.683,1,0.000,0.007,4.615,0.000,0.000
75,256,224.060,135.375,187.731,91054080,83.92,29.489,6.840,97,774.930,0.820,0,0.38,4600.0,5943.3,5679.7,263.2,689.0,1181.8,206.0,9432.6,0.753,1,0.000,0.007,4.918,0.000,0.000
76,256,218.361,91.020,194.357,61919232,84.08,22.391,1.613,0,762.708,0.820,0,0.00,4600.0,5940.0,5676.4,263.2,692.2,1181.3,191.3,9430.4,0.810,1,0.000,0.007,0.000,0.000,0.000
77,256,219.290,98.805,201.023,67350528,84.26,11.386,6.881,1,775.443,0.820,0,0.00,4600.0,5940.0,5676.4,263.2,692.2,1182.5,191.2,9426.9,0.674,1,0.000,0.007,4.315,0.000,0.000
78,256,223.218,90.606,209.858,59252736,84.43,11.825,1.536,0,770.493,0.820,0,0.00,4600.0,5935.2,5674.5,260.2,694.0,1188.8,200.4,9440.6,0.752,1,0.000,0.006,0.000,0.000,0.000
79,256,216.449,36.314,206.359,24293376,84.59,7.592,2.497,95,754.080,0.820,0,0.37,4600.0,5935.5,5674.9,260.2,693.8,1197.4,201.8,9438.4,0.684,1,0.000,0.006,0.000,0.000,0.000
80,256,230.214,192.985,161.898,123740160,84.71,61.668,6.647,0,774.051,0.820,0,0.00,4600.0,5931.8,5673.7,257.7,695.0,1196.0,197.2,9438.0,0.689,1,0.000,0.006,4.930,0.000,0.000
81,256,311.266,631.032,134.472,450232320,84.59,142.611,34.183,2,970.746,0.820,0,0.01,4600.0,5927.9,5672.9,254.6,695.7,1201.0,211.1,9431.2,0.694,1,0.000,0.006,32.292,0.000,0.000
82,256,260.053,302.485,150.720,209952768,84.65,92.778,16.555,1,851.507,0.820,0,0.00,4600.0,5926.3,5671.3,254.6,697.3,1202.6,214.0,9427.3,0.683,1,0.000,0.007,13.898,0.000,0.000
83,256,233.459,159.860,192.865,105271296,84.77,34.400,6.194,95,816.392,0.820,0,0.37,4600.0,5922.3,5669.9,252.0,698.7,1204.0,221.2,9424.0,0.771,1,0.000,0.007,4.649,0.000,0.000
