# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,414.660,512.067,189.461,452689920,6.53,162.097,63.102,14125,1469.639,-1.000,0,55.18,5000.0,6369.0,5820.0,548.5,376.9,1269.0,170.7,9633.2,0.400,1,0.000,0.007,0.000,0.000,0.000
2,64,267.428,340.038,111.791,315322368,13.32,112.862,42.775,18,979.050,0.820,0,0.07,5000.0,6369.2,5820.9,547.8,376.8,1272.0,165.1,9628.7,4.575,1,0.000,0.006,6.282,0.000,0.000
3,64,311.421,414.054,90.661,368357376,18.34,162.030,58.731,62,1136.033,0.820,0,0.24,5000.0,6364.6,5821.6,542.5,376.6,1276.2,178.4,9622.4,0.566,1,0.000,0.006,11.113,0.000,0.000
4,64,226.053,213.381,105.982,172032000,24.05,91.137,28.934,2,786.338,0.820,0,0.01,5000.0,6358.1,5820.4,537.1,376.6,1278.6,188.1,9618.7,0.574,1,0.000,0.006,8.910,0.000,0.000
5,64,240.844,279.802,98.869,242049024,28.31,109.533,32.442,1,877.706,0.820,0,0.00,5000.0,6351.7,5819.7,531.5,376.6,1281.2,200.2,9615.5,0.604,1,0.000,0.005,3.949,0.000,0.000
6,64,234.765,263.677,127.266,207581184,32.47,66.136,41.362,1,850.011,0.820,0,0.00,5000.0,6345.7,5819.4,525.8,376.6,1285.7,212.6,9611.2,0.549,1,0.000,0.006,16.668,0.000,0.000
7,64,240.052,194.649,132.771,148131840,36.32,80.149,27.132,49,833.880,0.820,0,0.19,5000.0,6341.5,5821.1,519.9,376.3,1284.7,221.1,9611.9,0.595,1,0.000,0.007,8.247,0.000,0.000
8,64,251.452,256.839,114.279,212520960,39.30,104.586,32.586,1,901.399,0.820,0,0.00,5000.0,6334.6,5820.2,513.9,376.3,1289.2,235.2,9607.7,0.523,1,0.000,0.005,2.624,0.000,0.000
9,64,259.479,285.183,106.366,239087616,41.74,119.612,33.501,2,916.226,0.820,0,0.01,5000.0,6336.1,5821.7,513.9,376.4,1292.3,223.3,9601.8,0.564,1,0.000,0.006,6.812,0.000,0.000
10,64,267.417,318.769,105.584,263380992,43.69,127.023,34.809,0,945.516,0.820,0,0.00,5000.0,6323.5,5821.1,501.9,376.4,1297.2,241.6,9596.8,0.520,1,0.000,0.006,4.447,0.000,0.000
11,64,247.447,242.605,107.743,182992896,45.93,102.802,36.902,48,855.030,0.820,0,0.19,5000.0,6322.9,5820.5,501.9,376.3,1298.7,246.9,9594.5,0.572,1,0.000,0.005,7.471,0.000,0.000
12,64,266.928,336.368,93.986,282239552,47.37,134.174,38.768,0,958.866,0.820,0,0.00,5000.0,6316.2,5819.9,495.8,376.3,1302.1,235.2,9592.7,0.569,1,0.000,0.005,6.456,0.000,0.000
13,64,248.052,267.263,95.456,208871424,49.12,106.118,46.478,1,877.590,0.820,0,0.00,5000.0,6311.5,5820.9,490.1,376.3,1305.9,245.1,9588.0,4.518,1,0.000,0.005,17.110,0.000,0.000
14,64,459.555,482.351,222.710,414584832,49.70,178.478,58.367,0,1443.865,0.820,0,0.00,5000.0,6296.8,5811.9,484.4,386.4,1377.9,210.2,9737.8,0.564,1,0.000,0.006,0.920,0.000,0.000
15,64,281.701,243.675,155.265,185266176,51.34,94.076,32.360,50,931.119,0.820,0,0.20,5000.0,6291.4,5811.3,479.5,386.9,1423.8,244.8,9779.9,2.134,1,0.000,0.006,3.565,0.000,0.000
16,64,215.401,194.276,107.415,147836928,52.99,61.525,46.461,0,770.726,0.820,0,0.00,5000.0,6286.1,5811.2,474.4,386.9,1437.2,260.0,9777.7,0.591,1,0.000,0.004,21.219,0.000,0.000
17,64,230.307,210.007,103.457,163246080,54.33,102.175,24.675,1,793.880,0.820,0,0.00,5000.0,6279.1,5809.7,468.9,387.4,1440.6,272.6,9781.2,0.531,1,0.000,0.005,5.791,0.000,0.000
18,64,359.471,356.114,182.071,290340864,55.10,135.420,41.981,0,1172.162,0.820,0,0.00,5000.0,6272.9,5808.6,463.8,388.2,1442.5,228.6,9798.3,5.663,1,0.000,0.008,3.307,0.000,0.000
19,64,243.073,253.310,105.921,209166336,56.12,91.411,45.740,50,884.990,0.820,0,0.20,5000.0,6263.0,5803.5,459.0,393.6,1441.9,234.3,9792.8,0.558,1,0.000,0.006,18.426,0.000,0.000
20,64,239.099,238.697,96.391,189812736,57.13,109.646,33.063,0,851.955,0.820,0,0.00,5000.0,6257.8,5798.3,459.0,397.8,1445.8,240.0,9785.6,4.907,1,0.000,0.006,2.823,0.000,0.000
21,64,239.587,227.912,105.598,182501376,58.13,101.811,32.178,1,836.628,0.820,0,0.00,5000.0,6248.6,5794.8,453.2,401.9,1447.0,248.7,9780.3,4.880,1,0.000,0.005,9.937,0.000,0.000
22,64,207.751,143.281,110.649,104583168,59.31,72.481,24.621,0,719.789,0.820,0,0.00,5000.0,6241.2,5787.4,453.2,409.7,1446.4,248.0,9772.8,0.537,1,0.000,0.005,4.185,0.000,0.000
23,64,214.491,179.677,108.575,142012416,60.28,73.250,32.666,50,763.254,0.820,0,0.20,5000.0,6238.8,5785.0,453.2,412.0,1449.3,255.5,9766.8,0.520,1,0.000,0.006,15.384,0.000,0.000
24,64,200.958,148.998,132.999,107544576,61.36,42.841,25.118,1,716.139,0.820,0,0.00,5000.0,6242.2,5794.5,447.2,402.7,1449.8,266.3,9775.7,5.149,1,0.000,0.005,2.393,0.000,0.000
25,64,245.351,174.895,123.598,133914624,62.23,98.329,23.424,0,827.001,0.820,0,0.00,5000.0,6245.1,5803.6,441.0,394.0,1443.0,266.7,9797.1,0.610,1,0.000,0.005,1.454,0.000,0.000
26,64,231.974,206.221,114.173,163540992,62.94,98.201,19.600,0,803.881,0.820,0,0.00,5000.0,6236.6,5795.0,441.0,403.0,1442.4,264.8,9789.4,0.586,1,0.000,0.005,0.000,0.000,0.000
27,64,203.708,122.234,126.582,89075712,63.83,57.655,19.471,656,700.348,0.820,0,2.56,5000.0,6230.1,5794.4,435.1,401.5,1450.8,286.3,9787.9,0.519,1,0.000,0.005,8.421,0.000,0.000
28,64,222.891,166.600,112.574,123248640,64.59,90.950,19.367,1,779.072,0.820,0,0.00,5000.0,6231.1,5795.4,435.1,405.5,1446.2,282.0,9783.1,0.537,1,0.000,0.005,0.733,0.000,0.000
29,64,203.488,120.931,126.810,88289280,65.40,61.270,15.409,0,707.853,0.820,0,0.00,5000.0,6226.8,5791.1,435.1,409.4,1445.9,282.5,9780.0,4.857,1,0.000,0.005,3.555,0.000,0.000
30,64,178.448,94.765,123.849,70410240,66.20,34.097,20.502,1,632.874,0.820,0,0.00,5000.0,6225.1,5789.5,435.1,407.1,1454.9,297.0,9777.6,0.513,1,0.000,0.005,6.918,0.000,0.000
31,64,111.569,102.000,86.555,83251200,66.97,9.573,15.441,48,459.344,0.820,0,0.19,5000.0,6240.6,5805.0,435.1,394.4,1440.9,283.1,9790.5,0.523,1,0.000,0.005,2.233,0.000,0.000
32,64,111.498,87.827,86.635,67153920,67.72,15.083,9.779,1,441.896,0.820,0,0.00,5000.0,6240.8,5805.2,435.1,394.4,1436.0,276.6,9794.2,0.516,1,0.000,0.005,0.494,0.000,0.000
33,64,167.036,263.720,89.515,211734528,68.05,45.160,32.361,442,626.218,0.820,0,1.73,5000.0,6245.9,5810.2,435.1,386.6,1437.7,278.4,9802.5,0.572,1,0.000,0.006,1.457,0.000,0.000
34,64,155.231,222.234,89.008,184971264,68.45,38.269,27.953,2,581.151,0.820,0,0.01,5000.0,6251.1,5815.4,435.1,386.6,1432.4,273.1,9802.5,0.615,1,0.000,0.006,2.817,0.000,0.000
35,64,163.234,227.213,92.354,198205440,68.78,39.376,31.504,51,622.431,0.820,0,0.20,5000.0,6246.0,5810.3,435.1,386.5,1436.9,277.5,9803.0,0.619,1,0.000,0.006,0.907,0.000,0.000
36,64,113.952,106.324,87.261,85917696,69.39,11.388,15.303,0,467.187,0.820,0,0.00,5000.0,6245.6,5809.9,435.1,386.5,1436.4,277.1,9803.2,0.814,1,0.000,0.005,3.610,0.000,0.000
37,64,105.438,66.257,86.319,51154944,70.01,10.121,8.998,1,413.272,0.820,0,0.00,5000.0,6245.7,5810.0,435.1,386.5,1436.4,277.0,9803.2,0.508,1,0.000,0.005,0.919,0.000,0.000
38,64,125.413,130.149,87.086,110407680,70.51,20.647,17.680,1,496.991,0.820,0,0.00,5000.0,6245.8,5810.1,435.1,386.5,1436.0,276.7,9803.5,0.584,1,0.000,0.005,3.160,0.000,0.000
39,64,112.413,100.491,88.381,77819904,71.06,11.517,12.515,50,450.103,0.820,0,0.20,5000.0,6250.5,5814.8,435.1,386.2,1430.3,269.1,9803.5,0.559,1,0.000,0.005,2.006,0.000,0.000
40,64,120.169,117.779,87.402,96681984,71.53,18.504,14.263,0,469.559,0.820,0,0.00,5000.0,6246.2,5810.5,435.1,386.2,1435.3,274.1,9804.0,0.541,1,0.000,0.005,0.653,0.000,0.000
41,64,116.514,109.427,87.463,91348992,72.00,15.390,13.662,1,462.155,0.820,0,0.00,5000.0,6246.7,5811.0,435.1,386.2,1433.1,271.9,9804.0,0.507,1,0.000,0.005,1.229,0.000,0.000
42,64,153.286,213.143,87.128,171540480,72.27,38.028,28.130,0,563.517,0.820,0,0.00,5000.0,6246.9,5811.2,435.1,386.2,1432.8,271.6,9804.0,0.586,1,0.000,0.005,3.907,0.000,0.000
43,64,122.678,128.930,87.225,104779776,72.69,18.991,16.463,50,484.887,0.820,0,0.20,5000.0,6247.4,5811.7,435.1,386.0,1431.2,270.0,9804.2,0.632,1,0.000,0.005,2.191,0.000,0.000
44,64,121.496,128.756,86.923,104386560,73.11,16.201,18.373,1,476.847,0.820,0,0.00,5000.0,6246.9,5811.2,435.1,386.0,1432.5,271.3,9804.2,0.531,1,0.000,0.005,4.535,0.000,0.000
45,64,121.132,98.197,87.971,86016000,73.50,19.200,13.961,2,474.155,0.820,0,0.01,5000.0,6246.9,5811.3,435.1,386.0,1432.8,271.6,9804.3,0.505,1,0.000,0.005,1.199,0.000,0.000
46,64,119.178,117.905,87.653,96780288,73.89,16.919,14.606,0,471.533,0.820,0,0.00,5000.0,6247.1,5811.4,435.1,386.0,1429.0,267.8,9806.5,0.534,1,0.000,0.005,1.852,0.000,0.000
47,64,120.051,114.591,85.912,94212096,74.24,19.086,15.054,49,465.635,0.820,0,0.19,5000.0,6247.5,5811.8,435.1,385.8,1428.6,267.3,9806.8,0.504,1,0.000,0.005,1.459,0.000,0.000
48,64,101.310,61.646,86.589,48586752,74.67,7.475,7.247,1,407.162,0.820,0,0.00,5000.0,6247.3,5811.6,435.1,385.7,1428.7,267.4,9806.8,0.550,1,0.000,0.004,0.434,0.000,0.000
49,64,99.664,51.744,87.249,42958848,75.09,4.103,8.312,0,412.776,0.820,0,0.00,5000.0,6247.2,5811.5,435.1,385.7,1427.9,266.6,9806.8,0.559,1,0.000,0.004,1.836,0.000,0.000
50,64,101.669,67.147,86.437,51154944,75.49,5.224,10.008,1,427.110,0.820,0,0.00,5000.0,6247.6,5812.0,435.1,385.7,1428.1,266.9,9806.8,0.504,1,0.000,0.004,1.996,0.000,0.000
51,64,127.419,142.092,87.060,112877568,75.77,23.605,16.754,47,488.950,0.820,0,0.18,5000.0,6248.2,5812.6,435.1,385.6,1426.5,265.3,9807.0,0.533,1,0.000,0.005,2.010,0.000,0.000
52,64,96.546,42.073,87.118,32391168,76.15,4.169,5.258,2,395.025,0.820,0,0.01,5000.0,6248.0,5812.4,435.1,385.6,1426.9,265.7,9807.0,0.508,1,0.000,0.005,0.229,0.000,0.000
53,64,100.616,52.832,86.501,42762240,76.52,4.979,9.137,1,409.630,0.820,0,0.00,5000.0,6248.0,5812.3,435.1,385.6,1426.0,264.7,9807.0,0.503,1,0.000,0.004,2.266,0.000,0.000
54,64,91.894,31.204,87.370,18960384,76.90,0.000,4.523,1,385.805,0.820,0,0.00,5000.0,6247.8,5812.2,435.1,385.6,1426.6,265.4,9807.0,0.500,1,0.000,0.005,1.060,0.000,0.000
55,64,113.935,90.093,87.362,72585216,77.20,14.550,12.023,46,439.424,0.820,0,0.18,5000.0,6248.7,5813.1,435.1,385.3,1425.9,264.6,9807.3,0.551,1,0.000,0.004,1.699,0.000,0.000
56,64,113.232,92.643,87.487,78114816,77.48,13.352,12.393,2,458.497,0.820,0,0.01,5000.0,6248.8,5813.1,435.1,385.3,1427.1,265.8,9807.3,0.583,1,0.000,0.004,1.575,0.000,0.000
57,64,113.546,88.340,89.482,72880128,77.77,12.855,11.209,1,446.849,0.820,0,0.00,5000.0,6246.8,5811.2,435.1,385.3,1426.5,265.2,9807.8,0.532,1,0.000,0.005,0.654,0.000,0.000
58,64,105.909,74.630,87.454,56193024,78.09,5.702,12.753,1,439.776,0.820,0,0.00,5000.0,6247.0,5811.3,435.1,385.3,1427.1,265.8,9807.8,0.530,1,0.000,0.004,4.152,0.000,0.000
59,64,175.876,282.376,91.892,236126208,78.10,47.130,36.854,50,660.482,0.820,0,0.20,5000.0,6246.5,5810.8,435.1,385.2,1421.6,260.3,9808.5,0.584,1,0.000,0.005,2.230,0.000,0.000
