# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4600 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4600 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,488.608,867.382,222.283,508686336,5.89,264.745,1.580,13070,1247.876,-1.000,0,51.05,4600.0,5947.9,5695.5,252.0,672.2,1045.5,124.1,9393.1,0.401,1,0.000,0.008,0.000,0.000,0.000
2,64,301.159,563.625,131.063,349986816,13.18,151.483,18.613,2973,906.175,0.820,0,11.61,4600.0,5942.4,5693.2,248.7,674.5,1046.8,131.9,9388.1,1.715,1,0.000,0.006,16.578,0.000,0.000
3,64,291.452,592.131,113.617,405688320,19.10,150.347,27.489,7043,871.887,0.820,0,27.51,4600.0,5967.8,5720.3,247.0,647.5,1046.2,143.3,9416.7,4.704,1,0.000,0.007,26.079,0.000,0.000
4,64,235.040,364.820,126.014,239087616,24.90,91.767,17.259,3678,704.671,0.820,0,14.37,4600.0,5980.4,5734.8,245.1,633.2,1046.2,141.7,9428.9,0.580,1,0.000,0.007,16.006,0.000,0.000
5,64,223.823,403.651,115.040,274145280,29.69,86.590,22.193,4465,683.021,0.820,0,17.44,4600.0,5997.0,5752.2,244.4,615.8,1048.7,146.0,9442.9,0.620,1,0.000,0.007,20.131,0.000,0.000
6,64,234.474,371.444,128.618,250441728,33.94,82.945,22.911,5891,729.360,0.820,0,23.01,4600.0,6016.6,5775.3,240.9,592.7,1052.1,150.8,9462.2,0.566,1,0.000,0.006,17.632,0.000,0.000
7,64,211.826,279.332,138.292,188424192,37.87,61.910,11.624,3573,714.814,0.820,0,13.96,4600.0,6029.1,5789.5,239.2,578.8,1054.0,156.7,9473.5,0.575,1,0.000,0.006,9.659,0.000,0.000
8,64,215.538,352.746,129.512,250146816,41.11,72.355,13.671,3999,699.161,0.820,0,15.62,4600.0,6044.2,5805.0,238.9,563.3,1055.4,162.7,9485.1,4.962,1,0.000,0.006,12.431,0.000,0.000
9,64,243.452,424.207,111.674,287477760,43.70,104.147,27.631,4683,744.763,0.820,0,18.29,4600.0,6059.5,5822.2,236.9,545.8,1060.6,170.2,9498.6,0.564,1,0.000,0.007,26.297,0.000,0.000
10,64,239.160,460.312,110.848,308711424,45.99,107.944,20.367,4404,756.944,0.820,0,17.20,4600.0,6069.0,5833.3,235.2,535.0,1060.8,175.9,9507.8,0.520,1,0.000,0.006,18.360,0.000,0.000
11,64,211.561,330.434,109.691,228323328,48.32,74.825,27.045,3982,685.353,0.820,0,15.55,4600.0,6078.6,5843.0,235.2,525.3,1061.2,176.4,9517.3,4.821,1,0.000,0.006,25.778,0.000,0.000
12,64,262.544,516.092,98.862,362332736,49.85,128.300,35.383,5316,804.241,0.820,0,20.77,4600.0,6097.4,5863.6,233.4,504.7,1065.1,192.9,9532.8,0.564,1,0.000,0.006,33.921,0.000,0.000
13,64,207.492,348.289,106.191,238497792,51.77,74.520,26.781,1,659.092,0.820,0,0.00,4600.0,6089.2,5857.7,231.1,510.8,1061.2,168.3,9529.1,1.338,1,0.000,0.007,24.762,0.000,0.000
14,64,323.423,648.863,148.381,439074816,52.73,153.615,21.427,0,866.689,0.820,0,0.00,4600.0,6082.0,5852.8,228.7,515.5,1163.1,259.5,9670.1,0.594,1,0.000,0.007,20.090,0.000,0.000
