# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,167.579,0.000,166.392,0,50.00,0.000,1.187,0,579.827,-1.000,0,0.00,5000.0,3363.3,2133.7,1229.3,40.4,4888.4,397.3,9843.8,0.372,1,0.000,0.005,0.000,0.000,0.000
2,256,171.192,306.402,169.902,235339776,66.67,0.000,1.290,2,716.577,1.000,0,0.01,5000.0,3580.8,2357.2,1223.3,40.4,4664.0,300.8,9842.3,4.777,1,0.000,0.006,0.000,0.000,0.000
3,256,175.496,313.386,174.848,243437568,75.00,0.000,0.648,0,741.978,1.000,0,0.00,5000.0,3809.2,2588.4,1220.4,40.4,4432.3,197.8,9841.6,0.525,1,0.000,0.006,0.000,0.000,0.000
4,256,179.683,271.639,179.059,222105600,80.00,0.000,0.624,0,830.697,1.000,0,0.00,5000.0,4001.2,2799.3,1201.6,40.4,4226.2,134.5,9836.7,0.520,1,0.000,0.007,0.000,0.000,0.000
5,256,203.234,245.566,189.915,192675840,83.33,0.000,13.319,0,895.697,1.000,0,0.00,5000.0,4180.2,2982.1,1197.8,40.4,4049.0,132.7,9828.8,0.524,1,0.000,0.009,0.000,0.000,0.000
6,256,205.602,109.441,204.571,77819904,85.71,0.000,1.031,0,766.118,1.000,0,0.00,5000.0,4242.3,3056.2,1185.8,40.4,3957.3,167.4,9844.7,0.516,1,0.000,0.007,0.000,0.000,0.000
7,256,201.372,46.333,199.502,34861056,87.50,0.000,1.870,0,718.177,1.000,0,0.00,5000.0,4275.4,3089.3,1185.8,40.4,3911.5,118.0,9845.8,0.537,1,0.000,0.006,0.000,0.000,0.000
8,256,162.402,58.776,161.381,37429248,88.89,0.000,1.022,0,605.746,1.000,0,0.00,5000.0,4304.7,3124.6,1179.8,40.4,3879.5,179.9,9844.7,0.537,1,0.000,0.006,0.000,0.000,0.000
9,256,168.182,35.743,167.099,21331968,90.00,0.000,1.084,0,612.574,1.000,0,0.00,5000.0,4325.0,3144.9,1179.8,40.4,3861.0,170.6,9843.8,0.522,1,0.000,0.007,0.000,0.000,0.000
10,256,176.697,35.485,174.698,21430272,90.91,0.000,2.000,0,644.123,1.000,0,0.00,5000.0,4339.3,3165.2,1173.8,40.4,3843.0,221.2,9845.9,0.538,1,0.000,0.006,0.000,0.000,0.000
