# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,24,79.778,0.000,78.600,0,50.00,0.000,1.178,0,314.858,-1.000,0,0.00,5000.0,3432.7,2135.3,1297.1,38.5,5129.1,393.5,9667.3,0.512,1,0.000,0.005,0.000,0.000,0.000
2,24,145.438,283.330,144.120,224673792,66.67,0.000,1.318,1,616.948,1.000,0,0.00,5000.0,3643.6,2348.9,1294.3,38.5,4914.8,290.2,9665.3,1.145,1,0.000,0.005,0.000,0.000,0.000
3,24,143.388,278.367,138.757,230105088,75.00,0.000,4.631,0,613.692,1.000,0,0.00,5000.0,3853.5,2567.3,1285.8,38.5,4696.6,188.7,9663.8,4.840,1,0.000,0.006,0.000,0.000,0.000
4,24,151.524,253.945,150.953,216772608,80.00,0.000,0.571,0,699.741,1.000,0,0.00,5000.0,4048.6,2773.0,1275.2,38.5,4493.9,159.7,9660.3,4.615,1,0.000,0.007,0.000,0.000,0.000
5,24,150.345,228.047,144.890,187342848,83.33,0.000,5.456,0,667.481,1.000,0,0.00,5000.0,4209.1,2951.0,1257.7,38.5,4318.1,152.3,9656.8,0.549,1,0.000,0.005,0.000,0.000,0.000
6,24,138.105,127.832,137.240,96387072,85.71,0.000,0.865,0,527.266,1.000,0,0.00,5000.0,4291.9,3042.5,1249.0,38.5,4227.1,148.6,9654.8,5.568,1,0.000,0.006,0.000,0.000,0.000
7,24,144.892,59.334,143.229,40194048,87.50,0.000,1.663,0,538.616,1.000,0,0.00,5000.0,4317.0,3080.6,1236.0,38.5,4190.5,435.1,9652.8,0.564,1,0.000,0.006,0.000,0.000,0.000
8,24,92.556,46.056,91.535,37429248,88.89,0.000,1.021,0,373.354,1.000,0,0.00,5000.0,4352.5,3116.1,1236.0,38.5,4153.8,396.3,9652.1,0.515,1,0.000,0.006,0.000,0.000,0.000
9,24,75.180,32.211,74.202,21331968,90.00,0.000,0.978,0,320.990,1.000,0,0.00,5000.0,4372.9,3136.5,1236.0,38.5,4132.6,374.4,9652.3,0.511,1,0.000,0.006,0.000,0.000,0.000
10,24,75.590,29.551,73.876,21430272,90.91,0.000,1.714,0,321.195,1.000,0,0.00,5000.0,4393.2,3156.9,1236.0,38.5,4111.9,353.8,9652.6,0.511,1,0.000,0.006,0.000,0.000,0.000
11,24,75.363,27.557,74.351,18665472,91.67,0.000,1.012,0,319.017,1.000,0,0.00,5000.0,4411.0,3174.6,1236.0,38.5,4093.9,335.8,9652.6,0.508,1,0.000,0.006,0.000,0.000,0.000
12,24,74.991,23.837,74.043,13332480,92.31,0.000,0.948,0,316.713,1.000,0,0.00,5000.0,4423.5,3187.1,1236.0,38.5,4081.1,322.7,9652.6,0.506,1,0.000,0.005,0.000,0.000,0.000
13,24,76.013,29.719,74.296,21331968,92.86,0.000,1.716,0,319.370,1.000,0,0.00,5000.0,4443.7,3207.4,1236.0,38.5,4060.5,299.6,9652.8,0.502,1,0.000,0.006,0.000,0.000,0.000
14,24,74.834,11.808,73.695,8097792,93.33,0.000,1.139,0,314.359,1.000,0,0.00,5000.0,4451.5,3215.1,1236.0,38.5,4052.4,291.4,9652.8,0.505,1,0.000,0.006,0.000,0.000,0.000
15,24,75.772,37.033,74.201,21430272,93.75,0.000,1.572,0,321.131,1.000,0,0.00,5000.0,4471.7,3235.4,1236.0,38.5,4033.6,272.6,9652.8,0.503,1,0.000,0.005,0.000,0.000,0.000
16,24,75.202,7.536,74.085,5332992,94.12,0.000,1.117,0,313.594,1.000,0,0.00,5000.0,4476.9,3240.5,1236.0,38.5,4026.4,263.5,9653.8,0.500,1,0.000,0.006,0.000,0.000,0.000
17,24,75.473,15.499,74.313,10764288,94.44,0.000,1.159,0,316.831,1.000,0,0.00,5000.0,4476.7,3251.0,1225.3,38.5,4012.8,394.4,9653.8,0.500,1,0.000,0.006,0.000,0.000,0.000
18,24,75.183,8.761,73.520,5431296,94.74,0.000,1.663,0,302.611,1.000,0,0.00,5000.0,4481.7,3256.0,1225.3,38.5,4009.4,391.0,9653.8,0.499,1,0.000,0.005,0.000,0.000,0.000
19,24,75.026,10.626,73.910,7999488,95.00,0.000,1.116,0,303.192,1.000,0,0.00,5000.0,4489.5,3263.8,1225.3,38.5,4002.0,383.6,9653.8,0.518,1,0.000,0.006,0.000,0.000,0.000
20,24,74.975,9.294,73.923,2666496,95.24,0.000,1.052,0,313.106,1.000,0,0.00,5000.0,4491.9,3266.1,1225.3,38.5,3998.8,380.4,9653.8,0.517,1,0.000,0.005,0.000,0.000,0.000
21,24,75.506,16.154,73.911,10665984,95.45,0.000,1.595,0,317.389,1.000,0,0.00,5000.0,4501.9,3276.1,1225.3,38.5,3988.5,370.1,9654.1,0.508,1,0.000,0.007,0.000,0.000,0.000
22,24,76.424,17.947,75.386,13332480,95.65,0.000,1.038,0,317.835,1.000,0,0.00,5000.0,4514.6,3288.9,1225.3,38.5,3975.6,342.8,9655.1,0.504,1,0.000,0.005,0.000,0.000,0.000
23,24,75.404,8.015,73.778,5332992,95.83,0.000,1.626,0,302.523,1.000,0,0.00,5000.0,4519.7,3294.0,1225.3,38.5,3968.8,334.7,9656.3,0.521,1,0.000,0.006,0.000,0.000,0.000
24,24,75.423,16.300,74.285,10764288,96.00,0.000,1.138,0,304.695,1.000,0,0.00,5000.0,4530.1,3304.4,1225.3,38.5,3957.3,323.1,9656.6,0.523,1,0.000,0.006,0.000,0.000,0.000
# summary tokens=24 s/tok=0.094 tok/s=10.655 read_MiB=1173.8 io_s=1.58 compute_s/tok=0.092 io_s/tok=0.066 cache_hit_pct=96.0 n_prompt=34 load_s=25.135 prefill_s=1.956 prefill_tps=17.38 stall_s/tok=0.000 mgmt_s/tok=0.002 cache_resident_MiB=2144.9 cache_budget_MiB=5000.0 cache_resizes=0 spec_read_MiB=1168.4 spec_experts=460 spec_useful=0 majflt/tok=0.04 cpu_s/tok=0.3907 token_demand_MiB=976.5 layer_demand_MiB=21.0 experts_routed=0 experts_dropped=0 experts_reranked=0 experts_substituted=0 loop_overhead_s/tok=0.0011 mtp_drafted=0 mtp_accepted=0 mtp_decodes=24 mtp_draft_s/tok=0.0000 drafted_steps=0 ra_committed=0 ra_passthrough=0 ra_agree_pct=0.0 ra_gemv_ms/tok=0.00 ra_issue_ms/tok=0.00 ra_wd_ms/tok=0.00 drain_s/tok=0.000 adopt_s/tok=0.000 evictions=0 rereads=0 prefill_cpu_s=7.357 prefill_read_mib=981.0 prefill_io_s=0.988 prefill_stall_s=0.125 prefill_mgmt_s=0.002 row_table_MiB=0.0 row_resident_MiB=0.0 row_rows=0 row_reads=0 row_read_MiB=0.0 row_evictions=0 row_io_errors=0
