# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=4096 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,178.968,0.000,177.698,0,87.30,0.000,1.270,0,706.328,0.945,0,0.00,5000.0,3305.6,2345.3,960.1,106.4,4207.2,350.4,10503.6,0.621,1,0.000,0.007,0.000,0.000,0.000
2,64,186.329,340.171,184.398,230105088,88.73,0.000,1.931,2,855.468,0.918,0,0.01,5000.0,3512.5,2559.4,952.8,110.8,3989.8,266.6,10498.6,1.473,1,0.000,0.007,0.000,0.000,0.000
3,64,186.727,325.924,185.711,206106624,89.87,0.000,1.016,0,943.911,0.918,0,0.00,5000.0,3693.5,2740.4,952.8,125.3,3821.5,164.1,10494.8,0.592,1,0.000,0.007,0.000,0.000,0.000
4,64,201.671,305.528,196.865,155246592,90.80,0.000,4.807,0,1203.395,0.871,0,0.00,5000.0,3803.9,2856.3,947.3,157.0,3678.0,127.1,10461.5,0.623,1,0.000,0.007,0.000,0.000,0.000
5,64,194.705,296.779,193.499,232378368,91.58,0.000,1.207,0,1003.414,0.871,0,0.00,5000.0,4010.0,3072.0,937.7,161.9,3462.1,161.6,10451.5,0.565,1,0.000,0.008,0.000,0.000,0.000
6,64,187.496,256.338,186.196,198107136,92.23,0.000,1.301,0,871.717,0.871,0,0.00,5000.0,4190.1,3259.8,930.1,162.0,3277.5,169.9,10446.3,0.531,1,0.000,0.008,0.000,0.000,0.000
7,64,189.185,232.412,186.866,182108160,92.79,0.000,2.319,0,865.505,0.855,0,0.00,5000.0,4356.1,3432.6,923.2,162.0,3106.6,190.1,10442.5,0.518,1,0.000,0.006,0.000,0.000,0.000
8,64,182.362,160.399,181.083,120778752,93.28,0.000,1.279,0,810.530,0.855,0,0.00,5000.0,4467.6,3547.4,919.9,162.0,2997.8,149.5,10435.3,0.513,1,0.000,0.006,0.000,0.000,0.000
9,64,184.837,135.419,183.620,96780288,93.70,0.000,1.217,0,816.948,0.855,0,0.00,5000.0,4552.0,3639.1,912.6,162.0,2910.1,216.4,10429.5,0.514,1,0.000,0.007,0.000,0.000,0.000
10,64,184.228,164.551,182.051,118112256,94.07,0.000,2.177,0,807.659,0.855,0,0.00,5000.0,4660.0,3751.4,908.3,162.0,2800.1,243.0,10426.5,0.515,1,0.000,0.007,0.000,0.000,0.000
11,64,183.058,113.636,181.756,80683008,94.41,0.000,1.302,0,787.436,0.855,0,0.00,5000.0,4728.2,3828.0,899.9,162.0,2726.9,280.6,10419.5,0.510,1,0.000,0.006,0.000,0.000,0.000
12,64,181.122,91.226,179.123,67350528,94.70,0.000,1.999,1,776.965,0.855,0,0.00,5000.0,4787.7,3892.0,895.4,162.0,2669.0,304.6,10412.8,0.511,1,0.000,0.006,0.000,0.000,0.000
13,64,177.901,61.675,176.690,37724160,94.97,0.000,1.210,0,734.796,0.855,0,0.00,5000.0,4821.9,3927.6,893.9,162.0,2634.8,301.7,10411.3,0.506,1,0.000,0.006,0.000,0.000,0.000
14,64,178.710,94.623,177.464,67153920,95.21,0.000,1.245,0,761.357,0.855,0,0.00,5000.0,4883.9,3991.5,892.1,162.0,2571.8,298.2,10410.0,0.507,1,0.000,0.007,0.000,0.000,0.000
15,64,179.089,87.206,177.000,61820928,95.43,0.000,2.089,0,758.989,0.855,0,0.00,5000.0,4941.6,4050.0,891.3,162.0,2512.4,299.9,10409.3,0.506,1,0.000,0.007,0.000,0.000,0.000
