# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.repacked.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=4096 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4519 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,148.482,0.000,147.192,0,87.30,0.000,1.290,0,610.404,0.977,0,0.00,4519.9,3987.4,2611.6,1375.3,82.9,4031.0,406.4,10535.3,0.761,1,0.000,0.005,0.000,0.000,0.000
2,64,150.583,333.183,148.739,240771072,88.73,0.000,1.844,2,713.273,0.949,0,0.01,4519.9,4203.9,2836.3,1367.2,87.1,3807.4,198.6,10530.6,3.202,1,0.000,0.005,0.000,0.000,0.000
3,64,180.951,252.237,180.274,171442176,89.87,0.000,0.677,0,1027.830,0.949,0,0.00,4519.9,4333.4,2973.9,1359.1,112.3,3646.7,133.1,10503.1,0.590,1,0.000,0.005,0.000,0.000,0.000
4,64,186.267,265.698,177.537,182108160,90.80,0.000,8.730,0,1087.382,0.902,0,0.00,4519.9,4466.3,3119.8,1346.1,139.3,3472.5,131.0,10474.8,0.548,1,0.000,0.005,0.000,0.000,0.000
5,64,185.324,269.079,184.610,203341824,91.58,0.000,0.714,0,1084.939,0.902,0,0.00,4519.9,4552.4,3299.9,1252.1,152.0,3286.4,140.0,10452.3,0.529,1,0.000,0.004,0.000,0.000,0.000
6,64,156.895,269.554,155.892,206106624,92.23,0.000,1.003,0,797.877,0.902,0,0.00,4519.9,4637.4,3495.5,1141.5,152.0,3094.7,138.1,10446.8,0.532,1,0.000,0.006,0.000,0.000,0.000
7,64,151.653,224.637,149.757,174108672,92.79,0.000,1.896,0,728.182,0.879,0,0.00,4519.9,4714.5,3660.8,1053.3,152.0,2931.4,147.1,10442.8,0.520,1,0.000,0.005,0.000,0.000,0.000
8,64,146.977,135.529,145.724,102014976,93.28,0.000,1.252,0,654.154,0.879,0,0.00,4519.9,4748.6,3757.6,990.6,152.0,2837.6,182.1,10440.3,0.515,1,0.000,0.006,0.000,0.000,0.000
9,64,145.699,101.339,144.448,72486912,93.70,0.000,1.250,0,625.034,0.879,0,0.00,4519.9,4758.4,3826.4,931.6,152.0,2768.3,223.9,10437.1,0.514,1,0.000,0.005,0.000,0.000,0.000
10,64,144.819,77.871,142.748,53919744,94.07,0.000,2.071,0,612.666,0.879,0,0.00,4519.9,4782.0,3877.8,903.8,152.0,2720.0,249.6,10432.1,0.525,1,0.000,0.005,0.000,0.000,0.000
11,64,144.833,63.008,143.541,45625344,94.41,0.000,1.292,0,610.544,0.879,0,0.00,4519.9,4752.3,3921.0,830.8,152.0,2680.4,324.4,10429.1,0.510,1,0.000,0.005,0.000,0.000,0.000
12,64,141.779,39.619,139.722,24391680,94.70,0.000,2.058,0,594.657,0.879,0,0.00,4519.9,4770.9,3944.0,826.5,152.0,2658.0,313.7,10427.6,0.509,1,0.000,0.004,0.000,0.000,0.000
13,64,141.549,34.480,140.262,16293888,94.97,0.000,1.286,0,578.722,0.879,0,0.00,4519.9,4769.5,3959.5,809.6,152.0,2643.6,324.3,10425.6,0.506,1,0.000,0.005,0.000,0.000,0.000
14,64,140.256,23.918,139.126,10665984,95.21,0.000,1.131,0,577.210,0.879,0,0.00,4519.9,4779.8,3969.8,809.6,152.0,2633.8,317.1,10425.3,0.512,1,0.000,0.005,0.000,0.000,0.000
15,64,141.033,45.691,139.013,26763264,95.43,0.000,2.020,0,595.414,0.879,0,0.00,4519.9,4805.1,3995.1,809.6,152.0,2607.5,290.8,10425.3,0.506,1,0.000,0.005,0.000,0.000,0.000
16,64,141.145,35.097,140.055,10665984,95.63,0.000,1.090,0,576.906,0.879,0,0.00,4519.9,4815.1,4005.1,809.6,152.0,2598.2,281.5,10425.3,0.503,1,0.000,0.005,0.000,0.000,0.000
