# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4002 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,629.246,1120.048,147.534,519057408,13.56,105.249,376.464,8693,1279.959,-1.000,0,33.96,4002.5,6351.0,4891.2,1459.2,316.0,1347.1,301.9,10168.1,0.644,1,0.000,0.010,0.000,0.000,0.000
2,256,380.304,445.105,98.498,341889024,19.25,212.344,69.462,16,863.768,0.828,0,0.06,4002.5,6352.4,4892.1,1459.7,316.0,1344.5,290.4,10158.9,1.548,1,0.000,0.008,1.050,0.000,0.000
3,256,237.444,478.224,101.020,381493248,23.54,65.285,71.139,30,885.933,0.828,0,0.12,4002.5,6353.5,4892.2,1460.7,315.9,1350.8,296.5,10142.6,0.429,1,0.000,0.008,1.206,0.000,0.000
4,256,157.843,220.138,95.058,172032000,28.82,33.194,29.592,1,598.908,0.828,0,0.00,4002.5,6352.8,4890.9,1461.3,315.9,1351.8,297.4,10131.1,0.662,1,0.000,0.006,1.517,0.000,0.000
5,256,181.583,306.497,93.634,242049024,32.77,47.609,40.339,1,660.224,0.828,0,0.00,4002.5,6354.8,4892.8,1461.5,315.9,1349.1,294.7,10119.6,0.404,1,0.000,0.006,2.834,0.000,0.000
6,256,170.991,291.969,91.495,234147840,36.35,38.972,40.524,0,638.623,0.828,0,0.00,4002.5,6357.0,4894.8,1461.6,315.9,1346.5,292.0,10107.9,0.643,1,0.000,0.007,3.587,0.000,0.000
7,256,150.336,214.645,88.627,166797312,39.81,35.590,26.119,30,554.336,0.828,0,0.12,4002.5,6353.4,4891.1,1461.7,315.8,1349.8,295.2,10096.4,0.564,1,0.000,0.007,2.210,0.000,0.000
8,256,176.631,285.578,97.332,225755136,42.45,41.961,37.337,1,651.747,0.828,0,0.00,4002.5,6357.6,4895.3,1461.7,315.8,1344.2,287.6,10083.6,0.418,1,0.000,0.007,2.477,0.000,0.000
9,256,186.128,314.669,99.146,249753600,44.64,45.145,41.836,0,705.944,0.828,0,0.00,4002.5,6354.2,4891.8,1461.8,315.8,1347.4,290.7,10069.6,0.409,1,0.000,0.007,1.511,0.000,0.000
10,256,204.215,360.827,96.582,284712960,46.28,55.188,52.446,0,755.766,0.828,0,0.00,4002.5,6353.6,4891.3,1461.8,315.8,1348.1,280.6,10054.1,0.435,1,0.000,0.008,0.372,0.000,0.000
11,256,154.716,239.453,87.834,188227584,48.35,36.889,29.992,29,577.458,0.828,0,0.11,4002.5,6355.3,4892.8,1462.0,315.6,1346.8,279.2,10043.9,0.507,1,0.000,0.006,2.069,0.000,0.000
12,256,217.159,409.616,99.700,329945088,49.46,59.204,58.256,1,801.794,0.828,0,0.00,4002.5,6354.6,4892.0,1462.1,315.6,1346.6,279.0,10029.6,0.510,1,0.000,0.007,2.083,0.000,0.000
13,256,154.593,247.075,86.084,198205440,51.15,36.413,32.096,0,571.384,0.828,0,0.00,4002.5,6354.1,4891.4,1462.2,315.6,1348.1,280.5,10019.6,0.740,1,0.000,0.006,3.516,0.000,0.000
14,256,214.871,405.509,96.537,329158656,51.94,63.266,55.067,0,780.693,0.828,0,0.00,4002.5,6354.7,4891.9,1462.2,315.6,1347.0,279.3,10004.6,0.561,1,0.000,0.006,0.000,0.000,0.000
15,256,144.529,217.692,84.268,174305280,53.49,32.338,27.922,30,536.472,0.828,0,0.12,4002.5,6354.1,4891.2,1462.3,315.5,1347.0,279.4,9993.4,0.649,1,0.000,0.005,4.667,0.000,0.000
