# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,505.262,583.840,241.735,452689920,6.53,198.390,65.137,13975,1599.233,-1.000,0,54.59,5000.0,6381.2,5836.8,543.9,359.9,1266.4,111.6,9563.1,0.398,1,0.000,0.008,0.000,0.000,0.000
2,256,315.572,431.926,129.509,312655872,13.29,129.062,57.000,16,1046.105,0.828,0,0.06,5000.0,6357.9,5837.6,519.9,359.8,1272.2,126.9,9553.0,1.882,1,0.000,0.006,16.281,0.000,0.000
3,256,309.946,483.901,78.502,368357376,18.32,174.297,57.146,46,1069.565,0.828,0,0.18,5000.0,6350.7,5838.1,512.2,359.7,1286.6,141.4,9539.2,0.738,1,0.000,0.005,14.216,0.000,0.000
4,256,215.165,231.947,92.640,172032000,24.03,92.295,30.230,1,753.839,0.828,0,0.00,5000.0,6349.5,5836.9,512.2,359.7,1299.7,151.5,9527.2,0.583,1,0.000,0.006,10.078,0.000,0.000
5,256,252.010,305.158,97.592,242049024,28.29,117.882,36.536,1,887.707,0.828,0,0.00,5000.0,6341.0,5836.5,504.2,359.5,1308.2,146.6,9516.0,5.587,1,0.000,0.005,6.211,0.000,0.000
6,256,237.422,268.794,97.725,207581184,32.45,84.767,54.929,2,835.424,0.828,0,0.01,5000.0,6332.9,5836.0,496.4,359.5,1314.2,149.7,9505.3,0.587,1,0.000,0.006,29.773,0.000,0.000
7,256,212.468,203.622,97.778,148131840,36.27,78.171,36.519,34,760.701,0.828,0,0.13,5000.0,6334.4,5837.6,496.4,359.4,1321.5,161.5,9494.6,0.604,1,0.000,0.005,10.062,0.000,0.000
8,256,259.503,272.056,95.349,212520960,39.25,122.838,41.316,1,892.040,0.828,0,0.00,5000.0,6327.8,5839.2,488.2,359.4,1330.9,181.1,9482.1,5.374,1,0.000,0.005,15.121,0.000,0.000
9,256,247.448,320.574,106.298,236421120,41.68,105.885,35.266,0,847.442,0.828,0,0.00,5000.0,6318.9,5838.5,479.9,359.4,1331.9,169.2,9479.5,0.565,1,0.000,0.006,6.766,0.000,0.000
10,256,275.004,344.674,99.935,260714496,43.63,136.818,38.251,0,924.597,0.828,0,0.00,5000.0,6310.4,5838.0,472.0,359.4,1342.2,174.6,9466.7,0.531,1,0.000,0.006,4.866,0.000,0.000
11,256,235.607,257.111,94.428,185659392,45.87,107.034,34.145,33,787.988,0.828,0,0.13,5000.0,6301.6,5837.2,464.0,359.3,1344.5,186.1,9467.3,0.606,1,0.000,0.005,12.619,0.000,0.000
12,256,262.494,366.809,91.035,282239552,47.32,130.108,41.351,1,913.613,0.828,0,0.00,5000.0,6293.3,5836.8,456.0,359.3,1357.2,207.5,9452.8,0.593,1,0.000,0.006,8.109,0.000,0.000
13,256,244.571,275.757,84.996,208871424,49.07,114.320,45.255,0,859.664,0.828,0,0.00,5000.0,6296.6,5840.1,456.0,359.4,1362.9,218.5,9441.8,0.598,1,0.000,0.006,15.506,0.000,0.000
