# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=3898 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,350.029,582.899,140.446,537722880,13.35,139.359,70.225,3254,1290.511,-1.000,0,12.71,3898.4,6192.5,4794.8,1397.4,308.6,1287.7,257.6,9750.6,0.377,1,0.000,0.004,0.000,0.000,0.000
2,256,283.708,395.668,120.081,349888512,18.98,121.766,41.861,8,985.312,0.824,0,0.03,3898.4,6140.5,4748.7,1391.5,355.9,1344.3,322.3,9690.6,5.030,1,0.000,0.005,0.993,0.000,0.000
3,256,310.676,466.881,124.228,392159232,23.17,125.610,60.838,1,1130.004,0.824,0,0.00,3898.4,6140.1,4747.3,1392.5,357.1,1352.7,330.3,9678.1,4.616,1,0.000,0.006,9.419,0.000,0.000
4,256,184.046,223.977,110.982,180031488,28.44,49.256,23.808,1,649.232,0.824,0,0.00,3898.4,6139.6,4746.1,1393.1,357.1,1348.5,326.8,9679.4,5.493,1,0.000,0.005,1.692,0.000,0.000
5,256,170.030,288.526,85.138,244715520,32.40,45.300,39.592,1,616.862,0.824,0,0.00,3898.4,6138.8,4745.2,1393.2,357.1,1352.8,331.0,9675.2,0.532,1,0.000,0.005,3.029,0.000,0.000
6,256,170.882,282.368,91.346,236814336,35.98,38.446,41.089,0,649.930,0.824,0,0.00,3898.4,6143.6,4749.9,1393.4,357.1,1351.7,329.1,9670.7,0.674,1,0.000,0.006,4.681,0.000,0.000
7,256,149.961,215.733,88.630,169463808,39.45,32.560,28.771,1,562.052,0.824,0,0.00,3898.4,6140.0,4746.1,1393.5,357.1,1356.0,333.4,9665.9,0.642,1,0.000,0.005,2.461,0.000,0.000
8,256,171.070,288.613,89.497,231088128,42.06,44.552,37.021,1,629.064,0.824,0,0.00,3898.4,6143.9,4750.0,1393.5,357.1,1354.6,331.9,9661.9,0.518,1,0.000,0.005,1.933,0.000,0.000
9,256,168.259,300.252,84.947,249753600,44.27,41.591,41.722,0,636.049,0.824,0,0.00,3898.4,6140.4,4746.4,1393.6,357.5,1359.5,336.8,9659.2,0.552,1,0.000,0.005,2.780,0.000,0.000
10,256,190.541,348.165,90.174,287379456,45.91,51.777,48.591,0,710.181,0.824,0,0.00,3898.4,6139.4,4745.4,1393.6,357.8,1363.0,340.2,9653.7,0.516,1,0.000,0.006,0.000,0.000,0.000
