# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4002 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,444.018,706.356,169.058,519057408,13.56,220.757,54.203,535,1386.227,-1.000,0,2.09,4002.5,6136.6,4810.6,1325.6,396.6,1291.1,207.9,9734.9,0.296,1,0.000,0.007,0.000,0.000,0.000
2,64,272.885,451.575,88.006,341889024,19.30,145.163,39.716,16,937.439,0.820,0,0.06,4002.5,6134.9,4811.5,1322.9,396.6,1298.6,211.6,9723.4,5.112,1,0.000,0.005,6.932,0.000,0.000
3,64,309.164,495.803,75.942,381493248,23.59,189.338,43.884,38,1069.164,0.820,0,0.15,4002.5,6126.8,4811.8,1314.6,396.5,1308.8,231.4,9708.9,0.472,1,0.000,0.005,5.189,0.000,0.000
4,64,230.491,235.475,82.676,174698496,28.89,122.252,25.563,1,779.517,0.820,0,0.00,4002.5,6119.3,4809.6,1309.3,397.3,1316.4,248.9,9696.7,0.446,1,0.000,0.005,7.841,0.000,0.000
5,64,264.926,311.283,83.370,242049024,32.83,150.694,30.862,1,890.267,0.820,0,0.00,4002.5,6115.3,4811.5,1303.3,397.3,1361.5,266.9,9731.1,0.642,1,0.000,0.004,6.518,0.000,0.000
6,64,187.975,295.066,82.004,234147840,36.41,67.947,38.024,1,674.517,0.820,0,0.00,4002.5,6117.1,4813.4,1303.3,397.3,1360.6,266.4,9738.7,0.444,1,0.000,0.006,10.391,0.000,0.000
7,64,163.237,219.034,75.580,166797312,39.86,66.549,21.108,37,565.669,0.820,0,0.14,4002.5,6110.8,4809.9,1300.4,397.1,1355.5,263.7,9735.5,0.443,1,0.000,0.005,3.531,0.000,0.000
8,64,194.829,294.807,93.085,225755136,42.50,67.393,34.351,1,670.434,0.820,0,0.00,4002.5,6109.8,4811.3,1298.1,397.1,1366.6,270.7,9734.0,0.393,1,0.000,0.006,5.429,0.000,0.000
9,64,210.685,320.508,96.440,249753600,44.69,73.627,40.619,1,762.648,0.820,0,0.00,4002.5,6106.1,4810.4,1295.3,397.1,1371.2,279.6,9729.0,0.430,1,0.000,0.006,7.407,0.000,0.000
10,64,211.694,363.936,102.344,284712960,46.32,61.300,48.049,1,773.242,0.820,0,0.00,4002.5,6105.6,4809.9,1295.2,397.1,1370.1,273.8,9730.0,0.381,1,0.000,0.007,0.059,0.000,0.000
11,64,176.581,245.407,86.383,188227584,48.41,62.864,27.334,38,626.036,0.820,0,0.15,4002.5,6104.0,4811.4,1292.2,397.0,1367.8,278.2,9735.2,0.493,1,0.000,0.006,1.880,0.000,0.000
12,64,213.747,412.840,96.496,329945088,49.51,59.429,57.822,1,797.777,0.820,0,0.00,4002.5,6102.6,4810.7,1291.4,397.0,1357.2,269.0,9734.5,0.427,1,0.000,0.007,1.459,0.000,0.000
13,64,159.149,244.880,84.288,198205440,51.20,41.064,33.798,1,601.187,0.820,0,0.00,4002.5,6102.0,4810.2,1291.3,397.0,1353.8,265.3,9739.1,0.791,1,0.000,0.006,3.660,0.000,0.000
14,64,238.093,402.854,89.771,329158656,51.99,99.317,49.006,1,844.915,0.820,0,0.00,4002.5,6099.6,4810.5,1288.7,397.0,1366.7,282.6,9736.4,0.424,1,0.000,0.007,0.000,0.000,0.000
15,64,145.411,219.453,84.085,176971776,53.53,33.589,27.737,43,537.268,0.820,0,0.17,4002.5,6099.1,4810.1,1288.6,396.8,1359.3,275.5,9736.4,1.387,1,0.000,0.006,4.684,0.000,0.000
