# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,337.107,660.596,139.137,588681216,4.99,132.814,65.156,19965,814.865,-1.000,0,77.99,4000.0,5466.3,4891.2,574.6,306.0,1963.0,341.2,9693.7,0.273,1,0.000,0.005,0.000,0.000,0.000
2,256,315.123,468.400,188.964,384651264,11.00,85.814,40.345,3,832.303,0.820,0,0.01,4000.0,5466.4,4891.3,574.6,306.4,1900.2,278.1,9674.7,1.344,1,0.000,0.006,0.000,0.000,0.000
3,256,259.257,542.178,116.924,440352768,15.36,97.739,44.594,1,646.871,0.820,0,0.00,4000.0,5466.8,4891.7,574.6,306.4,1907.4,281.6,9693.4,0.522,1,0.000,0.005,0.000,0.000,0.000
4,256,189.698,310.049,99.373,244027392,20.61,61.455,28.870,2,469.192,0.820,0,0.01,4000.0,5465.7,4890.6,574.6,306.2,1904.4,278.6,9688.2,0.466,1,0.000,0.004,0.000,0.000,0.000
5,256,204.454,336.343,100.996,266047488,24.86,74.143,29.314,1,494.610,0.820,0,0.00,4000.0,5465.2,4890.2,574.6,306.2,1899.4,272.9,9683.4,0.493,1,0.000,0.005,0.000,0.000,0.000
6,256,194.670,330.182,107.588,250245120,28.60,61.092,25.990,1,478.564,0.820,0,0.00,4000.0,5464.6,4889.5,574.6,306.2,1907.6,280.9,9685.8,0.452,1,0.000,0.005,0.000,0.000,0.000
7,256,165.399,229.994,96.119,172130304,32.35,49.866,19.414,1,395.604,0.820,0,0.00,4000.0,5466.2,4891.2,574.6,306.2,1906.5,279.8,9681.6,0.471,1,0.000,0.004,0.000,0.000,0.000
8,256,190.079,314.234,99.381,247185408,35.15,62.763,27.935,1,472.712,0.820,0,0.00,4000.0,5465.4,4890.3,574.6,306.2,1898.7,271.9,9676.1,0.423,1,0.000,0.005,0.000,0.000,0.000
9,256,332.474,471.972,219.745,311083008,37.23,73.415,39.314,1,794.523,0.820,0,0.00,4000.0,5463.7,4889.5,573.8,306.2,1943.2,200.2,9672.4,0.544,1,0.000,0.009,0.000,0.000,0.000
10,256,406.365,387.639,293.578,298045440,39.15,79.361,33.426,2,928.568,0.820,0,0.01,4000.0,5452.3,4889.2,562.6,306.4,1921.3,153.6,9655.4,0.555,1,0.000,0.008,0.000,0.000,0.000
