# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,370.623,753.931,137.668,588681216,4.99,165.799,67.156,22762,789.952,-1.000,0,88.91,4000.0,5520.3,4938.2,581.8,258.6,1937.7,260.1,9723.6,0.286,1,0.000,0.007,0.000,0.000,0.000
2,256,237.946,468.941,98.241,384651264,11.00,98.354,41.351,3,497.545,0.820,0,0.01,4000.0,5520.9,4938.8,581.8,258.6,1953.9,278.8,9703.3,1.328,1,0.000,0.005,0.000,0.000,0.000
3,256,262.152,556.989,114.952,440352768,15.36,103.258,43.941,2,591.162,0.820,0,0.01,4000.0,5520.7,4939.3,581.2,258.6,1943.3,267.8,9694.6,0.484,1,0.000,0.006,0.000,0.000,0.000
4,256,196.832,322.229,103.192,244027392,20.61,68.864,24.776,2,421.372,0.820,0,0.01,4000.0,5519.3,4938.0,581.1,258.6,1947.0,273.7,9688.6,0.576,1,0.000,0.010,0.000,0.000,0.000
5,256,421.143,349.572,323.914,266047488,24.86,68.414,28.815,1,1014.112,0.820,0,0.00,4000.0,5517.7,4937.5,579.9,258.6,1948.9,195.7,9703.4,0.504,1,0.000,0.009,0.000,0.000,0.000
6,256,199.145,333.301,109.603,250245120,28.60,61.701,27.841,1,462.543,0.820,0,0.00,4000.0,5517.4,4937.2,579.9,258.6,1964.4,222.8,9689.7,0.490,1,0.000,0.005,0.000,0.000,0.000
7,256,167.039,232.127,98.818,172130304,32.35,49.133,19.088,2,352.505,0.820,0,0.01,4000.0,5516.2,4938.5,577.4,258.6,1971.7,255.8,9679.9,0.510,1,0.000,0.005,0.000,0.000,0.000
8,256,190.565,318.804,105.289,247185408,35.15,57.534,27.742,1,428.029,0.820,0,0.00,4000.0,5515.1,4937.7,577.1,258.6,1981.8,292.6,9668.5,0.483,1,0.000,0.005,0.000,0.000,0.000
9,256,220.312,399.767,97.534,311083008,37.23,90.884,31.894,1,465.149,0.820,0,0.00,4000.0,5514.2,4936.8,577.1,258.6,1970.6,283.9,9656.2,0.484,1,0.000,0.005,0.000,0.000,0.000
10,256,215.137,386.488,99.977,298045440,39.15,84.188,30.972,2,464.463,0.820,0,0.01,4000.0,5514.4,4937.1,577.1,258.6,1954.9,262.0,9652.7,0.434,1,0.000,0.005,0.000,0.000,0.000
11,256,205.234,264.058,134.612,190992384,41.43,50.354,20.267,2,461.258,0.820,0,0.01,4000.0,5514.7,4938.0,576.4,258.6,1955.6,257.8,9650.0,0.535,1,0.000,0.007,0.000,0.000,0.000
12,256,240.583,469.433,116.205,364999232,42.61,86.730,37.647,1,539.023,0.820,0,0.00,4000.0,5514.6,4937.9,576.4,258.6,1985.4,291.6,9636.5,0.521,1,0.000,0.006,0.000,0.000,0.000
13,256,183.773,299.418,98.384,230301696,44.31,60.947,24.442,1,398.223,0.820,0,0.00,4000.0,5514.7,4938.9,575.6,258.6,1962.7,273.9,9630.3,0.508,1,0.000,0.006,0.000,0.000,0.000
14,256,255.709,514.259,119.083,414683136,45.02,91.706,44.920,1,628.513,0.820,0,0.00,4000.0,5513.2,4937.4,575.6,258.6,1956.4,265.5,9647.0,0.520,1,0.000,0.006,0.000,0.000,0.000
15,256,169.286,244.323,103.568,188030976,46.64,44.915,20.803,2,356.998,0.820,0,0.01,4000.0,5513.1,4937.3,575.6,258.6,1950.3,259.5,9643.3,0.452,1,0.000,0.005,0.000,0.000,0.000
16,256,159.568,177.298,105.023,131739648,48.36,40.433,14.112,1,334.532,0.820,0,0.00,4000.0,5514.2,4938.3,575.6,258.6,1949.5,254.9,9639.8,0.540,1,0.000,0.007,0.000,0.000,0.000
17,256,163.890,198.823,100.431,152580096,49.86,47.428,16.030,2,332.426,0.820,0,0.01,4000.0,5514.0,4938.2,575.6,258.7,1950.4,253.8,9638.3,0.486,1,0.000,0.005,0.000,0.000,0.000
18,256,272.289,612.767,108.294,480645120,49.99,113.184,50.811,0,608.567,0.820,0,0.00,4000.0,5514.7,4938.9,575.6,258.8,1943.8,247.3,9628.8,0.488,1,0.000,0.005,0.000,0.000,0.000
19,256,184.048,262.131,107.406,201265152,51.14,54.534,22.108,3,394.135,0.820,0,0.01,4000.0,5513.7,4937.9,575.6,258.9,1979.6,267.1,9628.3,0.500,1,0.000,0.005,0.000,0.000,0.000
